ordre_sessio	id_global	origen	persona	forma	clip	prioritat	prob_min	text	motiu	estat	text_small	text_base	rol_provisional	motiu_rol	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	estat_instrumental
11	canon::pa-017::doncs::57	canònic	pa-017	doncs	clips/pa-017__doncs__459.25.wav	A-triple-token-fort	0.9049	i perfecte.  Doncs a partir d'aquí, sempre ja que et dubte,  desapigué, és que...	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	I perfecte, doncs a partir d'aquí, sempre ja que et dubte de sapiguer,	potser ja està en en contra i perfecte. Doncs a partir d'aquí, sempre hi ha que dubte de saber que és que el que nosaltres han pogut sentir d'aquests reunions		segment canònic; el rol es confirma amb l'audició	203.86	58.91	0.100	535.38	1090.69	2887.19	suport automàtic; pendent d'audició
12	canon::pa-003::ensenyança::314	canònic	pa-003	ensenyança	clips/pa-003__ensenyan-a__279.69.wav	C-dos-models		que s'integre amb una primera ensenyança de sistemes educatius estrangers,  com?	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	que s'integre amb una primera ensenyança de sistemes educatius estrangers?			segment canònic; el rol es confirma amb l'audició	308.83	44.35	0.050	656.50	854.82	1855.85	suport automàtic; pendent d'audició
13	canon::pa-045::evidentment::31	canònic	pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	A-triple-token-fort	0.9812	que tenen senyor o, evidentment,  en una sèrie de...  de condicions molt clares,  dir-ho amb la de persona.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	que tenen senyor o, evidentment, en una sèrie de condicions molt clares, d'un nombre de persones.	Però crec que amb llocs on les condicions permetin ensenyar-ho, evidentment, a una sèrie de condicions molt clares, per dir nombra de persones, a horaris de visita,		segment canònic; el rol es confirma amb l'audició	306.76	109.84	0.040	539.26	1404.56	2075.75	suport automàtic; pendent d'audició
14	canon::pa-037::llavors::98	canònic	pa-037	llavors	clips/pa-037__llavors__92.53.wav	B-triple-token-baix	0.7037	i que no hi hagi una altra.  I jo era així.  I ja des de llavors,  encara cada any es fa el dia 2 de febrer,  fem un dinar o un troupau  de trobada de tot el constituent.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	I jo era així, i a bon dia ja, des de llavors, encara cada any es fa el dia 2 de febrer, fem un dinar o un trobar de tot el constituent.	O menys jo, jo era així. I ja des de llavors, encara cada any, es fa el dia 2 de febrer, fem un dinar o un sopar de trobar des dels totes del cotxe continuant.		segment canònic; el rol es confirma amb l'audició	237.28	143.75	0.060	474.31	967.96	2622.85	suport automàtic; pendent d'audició
15	canon::pa-014::o sigui::102	canònic	pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	B-triple-token-baix	0.6862	És a dir, els homes amb barretina, o sigui, amb pantolons de barllut, negres, faixa i barretina vermella, camisa blanca, mitjons blanques i bigatans.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	És a dir, els homes amb barretina, o sigui, amb pantolons de ballut, negres, faixa i barretina vermella, camisa blanca, mitjons blancs i bigatans.	van expulsar-ho, i a partir d'aquell moment ja es vaya vestits d'un vestiment a Catalunya. És a dir, els homes amb baratina, o sigui, amb pantolons de barit, negras... faixa i baratina vermellà, que mísa blanca, mitjons blancs i vigatanes.		segment canònic; el rol es confirma amb l'audició	130.48	69.78	0.080	467.77	1866.05	2369.32	suport automàtic; pendent d'audició
16	canon::pa-058::perquè::38	canònic	pa-058	perquè	clips/pa-058__perqu__91.09.wav	A-triple-token-fort	0.9674	i resòria, perquè no podíem acabar mai de decidir que una cosa...	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	i resòria, perquè no podíem acabar mai de decidir que una cosa...	autogestionar internament, però això era una il·lusió i risòria, perquè no podia m'acabar mai de decidir		segment canònic; el rol es confirma amb l'audició	263.29	52.72	0.080	797.36	1961.25	3076.75	suport automàtic; pendent d'audició
17	canon::pa-038::reformeta::36	canònic	pa-038	reformeta	clips/pa-038__reformeta__1821.69.wav	A-triple-token-fort	0.9688	que ho convolguis, segueixen contentat amb una reformeta.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	o com vulguis, segueixen contentat amb una reformeta.	ho diu a Cubulguis, s'haguessin acontentat amb una reformeta, no? que hi havia diferents interessos aquí,		segment canònic; el rol es confirma amb l'audició	201.34	35.56	0.090	520.45	1443.84	3004.74	suport automàtic; pendent d'audició
18	canon::pa-056::tirar endavant::55	canònic	pa-056	tirar endavant	clips/pa-056__tirar-endavant__185.53.wav	A-triple-token-fort	0.9073	i estem d'acord? Doncs vam tirar endavant.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	i estem d'acord? Doncs vam tirar endavant.	estem d'acord, doncs vam tirar endavant, es va fer la comissió constituent i endavant, i així es va anar.		segment canònic; el rol es confirma amb l'audició	110.03	18.35	0.090	1300.85	2292.14	3951.58	suport automàtic; pendent d'audició
19	canon::pa-038::vull dir::29	canònic	pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	A-triple-token-fort	0.9837	Ja et dic que els agents exteriors siguin... ja no vull dir quins, però...	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	Ja et dic que els agents exteriors siguin ja no vull dir quins, però...	Llavors, ja et dic, els agents exteriors sigui, ja no vull dir quins, però ex polítics, el que sigui, minaven amb molta gent, a mi.		segment canònic; el rol es confirma amb l'audició	217.16	80.76	0.180	434.84	1598.88	2343.74	suport automàtic; pendent d'audició
20	canon::pa-008::és a dir::131	canònic	pa-008	és a dir	clips/pa-008__s-a-dir__1110.25.wav	B-triple-token-baix	0.4791	o fer plantee, no? És a dir, els més grans es simplegant.	cobertura equilibrada: primer clip disponible fora de la sessió 01	pendent	a la festa o fer planter, no? És a dir, quan els més grans s'hi implicen.	Aquesta ser un pas important perquè, d'aquesta manera, el que aconseguiria era preservar la festa o fer plante, és a dir, quan els més grans s'han simplegat, que anessin ampeñent per sota.		segment canònic; el rol es confirma amb l'audició	167.05	118.17	0.070	337.67	2217.54	2776.08	suport automàtic; pendent d'audició
