ordre_sessio	id_global	origen	persona	forma	clip	prioritat	prob_min	text	motiu	estat	text_small	text_base	rol_provisional	motiu_rol	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	estat_instrumental
11	canon::pa-004::evidentment::s05-11	canònic	pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	A-triple-token-fort	0.9676	i doncs provaria aigua suficient, evidentment, i el...	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	242.56	182.81	0.340	434.36	2049.83	2923.89	suport automàtic; pendent d'audició
12	canon::pa-035::crec::s05-12	canònic	pa-035	crec	clips/pa-035__crec__872.77.wav	A-triple-token-fort	0.9666	Jo no crec que s'ha de canviar massa, massa subint una constitució.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	152.87	99.96	0.100	221.86	1231.96	2633.52	suport automàtic; pendent d'audició
13	canon::pa-018::perquè::s05-13	canònic	pa-018	perquè	clips/pa-018__perqu__91.09.wav	A-triple-token-fort	0.9663	i resòria, perquè no podíem acabar mai de decidir que una cosa...	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	264.23	49.87	0.070	657.39	1698.80	2850.42	suport automàtic; pendent d'audició
14	canon::pa-065::clar::s05-14	canònic	pa-065	clar	clips/pa-065__clar__221.29.wav	A-triple-token-fort	0.9627	Jo tinc clar que l'Evangeli és on tinc el macar.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	237.63	139.14	0.100	1133.99	1569.61	2495.53	suport automàtic; pendent d'audició
15	canon::pa-055::reformeta::s05-15	canònic	pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	A-triple-token-fort	0.9557	La diferència és que la reformeta tractava amb missatges.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	257.13	170.49	0.100	368.71	1818.78	2634.03	suport automàtic; pendent d'audició
16	canon::pa-021::crec::s05-16	canònic	pa-021	crec	clips/pa-021__crec__115.53.wav	A-triple-token-fort	0.9550	i és molt fàcil.  Jo crec que el fet que me'l consella anterior  passés el que va passant.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	184.66	154.39	0.060	527.62	2056.23	3683.17	suport automàtic; pendent d'audició
17	canon::pa-026::reformeta::s05-17	canònic	pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	A-triple-token-fort	0.9543	i ho veiem aconseguir.  La diferència és que la reformeta tractàvem massatge.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	255.30	162.43	0.080	1614.53	2453.52	3662.27	suport automàtic; pendent d'audició
18	canon::pa-009::evidentment::s05-18	canònic	pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	A-triple-token-fort	0.9520	l'hora de venir, evidentment, si era l'estiu o era l'hivern, tant que ha de	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	196.21	61.41	0.140	457.97	1691.63	2233.40	suport automàtic; pendent d'audició
19	canon::pa-027::crec::s05-19	canònic	pa-027	crec	clips/pa-027__crec__8.81.wav	A-triple-token-fort	0.9514	Jo recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	215.11	122.12	0.060	792.65	2476.69	3689.17	suport automàtic; pendent d'audició
20	canon::pa-016::clar::s05-20	canònic	pa-016	clar	clips/pa-016__clar__175.69.wav	A-triple-token-fort	0.9439	Tenim un objectiu molt clar i l'hem de solit.	sessió 05: clip canònic d'alta prioritat fora de les sessions 01–02	pendent	sí	sí		segment canònic; el rol es confirma amb l'audició	311.94	56.04	0.080	484.94	1190.58	2462.03	suport automàtic; pendent d'audició
