ordre_sessio	id_global	origen	persona	forma	clip	prioritat	prob_min	text	motiu	estat	text_small	text_base	rol_provisional	motiu_rol	f0_median_hz	f0_iqr_hz	pausa_mediana_s	f1_hz	f2_hz	f3_hz	estat_instrumental
11	canon::pa-041::vull dir::11	canònic	pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	A-triple-token-fort	0.9947	Un element, no vull dir de discussió,  però potser no s'acaba d'entendre bé.  Molt poc s'endurà.	tres models i probabilitat de token >= 0,80	pendent	un element no vull dir potser de discussió però potser no s'acaba d'entendre bé, molt poc s'endurà.	va ser potser també un element, no vull dir potser de discussió, però potser no s'aclava d'entendre bé. Molt pocs endorrants.		segment canònic; el rol es confirma amb l'audició	204.48	53.92	0.080	320.02	1654.50	2599.84	suport automàtic; pendent d'audició
12	canon::pa-043::crec::12	canònic	pa-043	crec	clips/pa-043__crec__102.25.wav	A-triple-token-fort	0.9942	per mi l'escola en d'Orrana és una identitat no, jo crec.	tres models i probabilitat de token >= 0,80	pendent	per mi l'escola andorrana és una identitat no, jo crec.	una mica aquesta idea. Bueno, per mi, l'Ascolandor Rana és que has vingut una identitat, no, jo crec. És a dir, tots els alumnes que hem sigut té petits,		segment canònic; el rol es confirma amb l'audició	217.96	146.91	0.070	756.89	1764.73	2507.09	suport automàtic; pendent d'audició
13	canon::pa-022::crec::13	canònic	pa-022	crec	clips/pa-022__crec__243.73.wav	A-triple-token-fort	0.9941	Jo crec que un factor important és el canvi generacional, també, entre un.	tres models i probabilitat de token >= 0,80	pendent	I jo crec que un factor important és el canvi generacional, també, entreu.	perquè tenia un la pot i a veure si ara s'aduré inextremis. Jo crec que un factor important és el canvi internacional, també. Entreu, arribé una generació, una gent més jove,		segment canònic; el rol es confirma amb l'audició	245.20	183.45	0.040	1615.47	2579.88	4077.49	suport automàtic; pendent d'audició
14	canon::pa-014::crec::14	canònic	pa-014	crec	clips/pa-014__crec__153.25.wav	A-triple-token-fort	0.9940	i jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	tres models i probabilitat de token >= 0,80	pendent	I jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...	I crec que també hi ha algú que li pugui l'interessar que estigui interessat en aquesta cultura i en aquest ámbit, que es volen que el comú també fa que tu ets aquí i han cantat del vídeo de veró fet.		segment canònic; el rol es confirma amb l'audició	142.35	87.50	0.040	1334.01	2031.63	3393.21	suport automàtic; pendent d'audició
15	canon::pa-007::a veure::15	canònic	pa-007	a veure	clips/pa-007__a-veure__89.25.wav	A-triple-token-fort	0.9934	que he tingut a veure amb la història del nostre país  i que vaig publicar a un dels meus llibres que tinc per aquí.	tres models i probabilitat de token >= 0,80	pendent	que he tingut a veure amb la història del nostre país i que vaig publicar a un dels meus llibres que tinc per aquí.	d'algum personatge que ha tingut a veure amb la història del nostre país i que vaig publicar a un dels veus llibres que tinc per aquí i ja ho s'ensenyen.		segment canònic; el rol es confirma amb l'audició	291.20	45.84	0.060	374.23	898.89	2345.39	suport automàtic; pendent d'audició
16	canon::pa-019::bé::16	canònic	pa-019	bé	clips/pa-019__b__195.25.wav	A-triple-token-fort	0.9932	i buscàvem qui era la fórmula que ens encaixava més bé.	tres models i probabilitat de token >= 0,80	pendent	i buscàvem qui era la fórmula que ens encaixava més bé.	i entre els quadres consellers discutíem, parlàvem, I buscàvem, doncs, quina era la fórmula que ens encaixava més bé. Realment era tot un tema de consens.		segment canònic; el rol es confirma amb l'audició	161.31	165.43	0.060	828.25	1682.88	2647.25	suport automàtic; pendent d'audició
17	canon::pa-019::crec::17	canònic	pa-019	crec	clips/pa-019__crec__27.25.wav	A-triple-token-fort	0.9925	i en aquell moment jo crec que en Dorre necessitava.	tres models i probabilitat de token >= 0,80	pendent	i en aquell moment jo crec que en Dorre necessitava.	I adaptar-te situacions, doncs que en aquell moment jo crec que, en dors repos necessitava, no, per entrar-lo, el que havia de ser,		segment canònic; el rol es confirma amb l'audició	166.76	91.70	0.080	592.68	1227.67	2307.88	suport automàtic; pendent d'audició
18	canon::pa-005::bé::18	canònic	pa-005	bé	clips/pa-005__b__51.09.wav	A-triple-token-fort	0.9921	Si us sembla bé, farem un viatge en el temps més precisament.	tres models i probabilitat de token >= 0,80	pendent	Si us sembla bé, farem un viatge en el temps, més precisament.	sobre aquest pilat tan important de la nostra economia. Si us sembla bé, farem un viatge en el temps, més precisament de l'any 1556,		segment canònic; el rol es confirma amb l'audició	241.53	27.99	0.150	422.68	1940.04	2838.07	suport automàtic; pendent d'audició
19	canon::pa-008::a veure::19	canònic	pa-008	a veure	clips/pa-008__a-veure__668.25.wav	A-triple-token-fort	0.9915	tot això no té res a veure amb el que tres anys abans	tres models i probabilitat de token >= 0,80	pendent	tot això no té res a veure amb el que tres anys abans	i que després, quan arriba a l'anit, s'encenen i és gira volta. Tot això no té res a veure amb el que 3 anys abans, Rafael Miranda havia introduït la nit de Sant Joan amb la festivitat,		segment canònic; el rol es confirma amb l'audició	177.82	52.01	0.060	533.13	1520.53	2422.28	suport automàtic; pendent d'audició
20	canon::pa-039::crec::20	canònic	pa-039	crec	clips/pa-039__crec__90.85.wav	A-triple-token-fort	0.9907	i ho explicarà.  Doncs jo crec que a aquest home hi va voler marcar...	tres models i probabilitat de token >= 0,80	pendent	i ho explicarà, doncs jo crec que a aquest home va voler marcar...	que ja ho en el seu moment ja s'explicarà, doncs, jo crec que aquesta home va volguer marcar una cosa històrica per andorra.		segment canònic; el rol es confirma amb l'audició	180.97	163.35	0.080	354.92	1576.19	2547.10	suport automàtic; pendent d'audició
21	canon::pa-010::llavors::81	canònic	pa-010	llavors	clips/pa-010__llavors__386.25.wav	B-triple-token-baix	0.7955	A la llavors, per intentar interpretar què devia voler dir en l'Origem, aquest...	tres models amb probabilitat baixa	pendent	Allà, llavors, per intentar interpretar què devia voler dir en origen, aquest...	ens vam pulmant i estar histÃ²nic en quÃ¨ les vaig adorrar-nos i no es parlava. Clar, llavors, per intentar interpretar quÃ¨ de dia volia dir en l'Ã€ngel, aquest toponin, o aquest estesÃ¨gi de toponins tan antÃ­gics,		segment canònic; el rol es confirma amb l'audició	135.17	164.72	0.070	251.26	1749.14	2495.81	suport automàtic; pendent d'audició
22	canon::pa-041::ensenyança::82	canònic	pa-041	ensenyança	clips/pa-041__ensenyan-a__523.25.wav	B-triple-token-baix	0.7954	I aquest material pedagògic, que tingués continuïtat,  també de cara a tota la primera ensenyança,  perquè aviam si...	tres models amb probabilitat baixa	pendent	I aquest material pedagògic, que tingués continuïtat, també de cara a tota la primera ensenyança.	perquè poguéssim fer-se-hi la escola. I aquest material pedagògic, doncs que tingués continuïtat, també, doncs de cara, a tot la primera ensenyança, perquè havíem si podíem preveure una mica,		segment canònic; el rol es confirma amb l'audició	204.13	80.28	0.080	433.77	1670.25	2698.89	suport automàtic; pendent d'audició
23	canon::pa-016::evidentment::83	canònic	pa-016	evidentment	clips/pa-016__evidentment__456.85.wav	B-triple-token-baix	0.7723	i evidentment si has de dir alguna cosa ho dius a les sessions que tens intern.	tres models amb probabilitat baixa	pendent	I, evidentment, si has de dir alguna cosa, ho dius a les sessions que tens intern.	sinó que formes per d'un grup i d'un equip. I, evidentment, si hi has de dir algo, ho dius a les sessions que tens intern. Els hi hagués agradat tenir impos als consellers,		segment canònic; el rol es confirma amb l'audició	281.75	145.79	0.060	797.79	1956.70	3187.13	suport automàtic; pendent d'audició
24	canon::pa-062::és a dir::84	canònic	pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	B-triple-token-baix	0.7665	que ells donaven, és a dir, que s'instaureix  entre el món polític i el món empresarial un diàleg...	tres models amb probabilitat baixa	pendent	que ells donaven, és a dir, que s'instaureix entre el món polític i el món empresarial un diàleg...	Els polítics a proposar els idees o a seguir les idees que ens donaven, és a dir, que si ens taures entre el món polític i el món empresarial, un diàleg a través de la Canada.		segment canònic; el rol es confirma amb l'audició	235.54	125.56	0.080	658.98	1618.07	2518.15	suport automàtic; pendent d'audició
25	canon::pa-027::perquè::85	canònic	pa-027	perquè	clips/pa-027__perqu__8.81.wav	B-triple-token-baix	0.7631	Jo recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	tres models amb probabilitat baixa	pendent	I ho recordo perquè no crec que era la ràdio, no sé si havia televisió en aquest moment.	Jo recordo, perquè no crec que era la radio. Necessitvié televisió en aquest moment. En el consell aquell puntia a l'autodidolució,		segment canònic; el rol es confirma amb l'audició	215.11	122.12	0.060	434.10	1329.92	2358.98	suport automàtic; pendent d'audició
26	canon::pa-059::tirar endavant::86	canònic	pa-059	tirar endavant	clips/pa-059__tirar-endavant__49.77.wav	B-triple-token-baix	0.7573	i les decisions com per poder tirar endavant amb tot el que era la justícia,  l'immigració...	tres models amb probabilitat baixa	pendent	per fer les decisions com per poder tirar endavant amb tot el que era la justícia,	majós d'edat per poder agafar certes decisions com per poder tirar endavant amb tot el que era la justícia, L'immigració teníem ben clar que no volien que ens continuessin dictant		segment canònic; el rol es confirma amb l'audició	226.38	146.70	0.100	591.97	1475.80	2775.32	suport automàtic; pendent d'audició
27	canon::pa-065::doncs::87	canònic	pa-065	doncs	clips/pa-065__doncs__157.49.wav	B-triple-token-baix	0.7556	i quan hi ha amor, doncs Déu, avi, tenen les nostres cors.	tres models amb probabilitat baixa	pendent	i quan hi ha amor, doncs Déu, avi, tenen tots els nostres cors.	però els pedres viben som los altres badícesos. I quan hi ha morts, doncs deu, habiten dins les nostres coses. I jo no ho n'important és que els altres doncs		segment canònic; el rol es confirma amb l'audició	264.81	122.35	0.080	254.66	1619.66	2731.29	suport automàtic; pendent d'audició
28	canon::pa-058::vull dir::88	canònic	pa-058	vull dir	clips/pa-058__vull-dir__975.13.wav	B-triple-token-baix	0.7520	i demitots que gràcies a Déu que vull dir a l'adrin.	tres models amb probabilitat baixa	pendent	i demitots que gràcies a Déu que vull dir a l'Adri.	fent la servir i tots diguem, personalment, m'ho han dit a mi, tots, de que gràcies a Déu que vull dir a l'Adria. ens havíem sentit dir que, bueno, de que nosaltres naem,		segment canònic; el rol es confirma amb l'audició	261.73	91.29	0.080	425.18	1573.67	2628.97	suport automàtic; pendent d'audició
29	canon::pa-021::vull dir::89	canònic	pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	B-triple-token-baix	0.7440	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.	tres models amb probabilitat baixa	pendent	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.	Però en aquell moment no es viuen tan clar, això. I nosaltres, malgrat de que no vull dir de que no vulguessin de cap manera, no? Lo que passa és que, evidentment, el poble ens havia mandatat		segment canònic; el rol es confirma amb l'audició	226.92	139.06	0.060	453.62	902.78	3100.86	suport automàtic; pendent d'audició
30	canon::pa-037::diguem::90	canònic	pa-037	diguem	clips/pa-037__diguem__469.77.wav	B-triple-token-baix	0.7388	Bé, marxar. Una cosa que em va satisfir molt, molt,  va ser que vaig fer de síndic, diguem-ho així,  durant una hora o més.	tres models amb probabilitat baixa	pendent	Bé, marxar. Una cosa que em va satisfir molt va ser que vaig fer desíndic, diguem-ho així, durant una hora o més.	Fins el 10 que m'emporto això i fins el 10 que ja vam marxar. Una cosa que em va ser desfem molt, molt, va ser que vaig fer descèndic, diguem-ho, sis, durant més o ara o una hora. Vaig depender de llunyament al cèndig farràs,		segment canònic; el rol es confirma amb l'audició	242.06	188.40	0.100				suport automàtic; pendent d'audició
31	lead-rtva-001::a veure::31	Joan Verdú	Joan Verdú	a veure	candidats/lead-rtva-001/clips/joan__a-veure__94.36.wav	A-consens-ASR	4		candidat separat; confirmar identitat de veu i forma	pendent	A veure, amb l'Aracan li tinc una relació boníssima,	A vegades la canda tinc una relació boníssima,			222.66	23.44	0.040	643.87	1340.43	2468.32	suport automàtic; pendent d’audició
32	lead-rtva-001::bueno::32	Joan Verdú	Joan Verdú	bueno	candidats/lead-rtva-001/clips/joan__bueno__175.96.wav	A-consens-ASR	6		candidat separat; confirmar identitat de veu i forma	pendent	i, bueno, no vaig poder acabar malauradament les manes,	i no vaig poder acabar malauratament les manes			234.38	54.69	0.040	367.21	1919.14	3172.99	suport automàtic; pendent d’audició
33	lead-rtva-001::doncs::33	Joan Verdú	Joan Verdú	doncs	candidats/lead-rtva-001/clips/joan__doncs__324.00.wav	A-consens-ASR	8		candidat separat; confirmar identitat de veu i forma	pendent	doncs poder fer una carrera així allà és increïble.	pot fer una carrera així, allà és increïble.			203.12	132.81	0.060	526.49	1460.37	2436.28	suport automàtic; pendent d’audició
34	lead-rtva-001::de fet::34	Joan Verdú	Joan Verdú	de fet	candidats/lead-rtva-001/clips/joan__de-fet__370.60.wav	A-consens-ASR	1		candidat separat; confirmar identitat de veu i forma	pendent	De fet, segurament sorties, em poso que el 25 no està tot el 26,	De fet, segurament sortir el 25, no està tot 26, però el 25.			218.75	109.38	0.060	709.69	1026.08	2369.44	suport automàtic; pendent d’audició
35	lead-rtva-001::clar::35	Joan Verdú	Joan Verdú	clar	candidats/lead-rtva-001/clips/joan__clar__440.36.wav	A-consens-ASR	5		candidat separat; confirmar identitat de veu i forma	pendent	però, clar, s'ha d'anar construint per poder arribar allà	però clar, s'ha d'anar construïnt per poder arribar allà			250.00	101.56	0.040	557.00	1201.01	2684.89	suport automàtic; pendent d’audició
36	lead-rtva-001::llavors::36	Joan Verdú	Joan Verdú	llavors	candidats/lead-rtva-001/clips/joan__llavors__484.40.wav	A-consens-ASR	4		candidat separat; confirmar identitat de veu i forma	pendent	Llavors, com que no m'ho puc permetre ara mateix,	o més caiguda, jo vols, com que no m'ho permetre ara mateix.			234.38	39.06	0.040	937.43	2042.38	3649.32	suport automàtic; pendent d’audició
37	lead-rtva-001::vull dir::37	Joan Verdú	Joan Verdú	vull dir	candidats/lead-rtva-001/clips/joan__vull-dir__521.16.wav	B-un-model-ASR	1		candidat separat; confirmar identitat de veu i forma	pendent	Però al final de temporada, vull dir.	Sí. Però al final de temporada, avui.			218.75	95.70	0.040	841.96	1801.99	2843.00	suport automàtic; pendent d’audició
38	lead-rtva-001::perquè::38	Joan Verdú	Joan Verdú	perquè	candidats/lead-rtva-001/clips/joan__perqu__560.44.wav	A-consens-ASR	15		candidat separat; confirmar identitat de veu i forma	pendent	Tinc una treta un pes de sobre, no només perquè he vist	estrenent un pes de sobre, no només per què			250.00	128.91	0.040	801.57	1429.90	2468.47	suport automàtic; pendent d’audició
39	lead-rtva-001::evidentment::39	Joan Verdú	Joan Verdú	evidentment	candidats/lead-rtva-001/clips/joan__evidentment__617.96.wav	A-consens-ASR	3		candidat separat; confirmar identitat de veu i forma	pendent	no cada cara podrà ser un 12è, jo, evidentment,	no cada garrerà podrà ser un tots res, jo, que evidentment,			250.00	85.94	0.040	1814.46	3232.24	3943.61	suport automàtic; pendent d’audició
40	lead-rtva-001::bé::40	Joan Verdú	Joan Verdú	bé	candidats/lead-rtva-001/clips/joan__b__753.64.wav	A-consens-ASR	14		candidat separat; confirmar identitat de veu i forma	pendent	ens ho passem bé, intentem fer un format professional,	entendem fer un format professional, però la gaga que sí, divertit i entretingut,			242.19	85.94	0.070	954.49	1702.04	3165.36	suport automàtic; pendent d’audició
41	lead-rtva-002-ian-moya::a nivell::41	Ian Moya	Ian Moya	a nivell	candidats/lead-rtva-002-ian-moya/clips/ian__a-nivell__225.92.wav	A-consens-ASR	3		candidat separat; confirmar identitat de veu i forma	pendent	I després, a nivell d'artista, jo et diria potser un art de triomf amb un praia de Barcelona o alguna cosa així,	i després a nivell d'artista	ian-probable	primera persona i resposta desenvolupada	132.81	23.44	0.030	204.24	1620.63	2804.44	suport automàtic; pendent d’audició
42	lead-rtva-002-ian-moya::a veure::42	Ian Moya	Ian Moya	a veure	candidats/lead-rtva-002-ian-moya/clips/ian__a-veure__114.56.wav	A-consens-ASR	5		candidat separat; confirmar identitat de veu i forma	pendent	Això potser més trista, més melancòlica, però res a veure,	Això el programa és a su, tot ser més trista, no?	indeterminat	no hi ha senyal textual suficient	140.62	23.44	0.040	877.09	2383.99	3597.70	suport automàtic; pendent d’audició
43	lead-rtva-002-ian-moya::bé::43	Ian Moya	Ian Moya	bé	candidats/lead-rtva-002-ian-moya/clips/ian__b__80.96.wav	A-consens-ASR	10		candidat separat; confirmar identitat de veu i forma	pendent	Com estàs? Doncs molt bé, molt agraïda.	-Ai, a la nit.-Ai, a la nit, eh?	entrevistador-probable	marcador interrogatiu o inici de pregunta	140.62	44.92	0.040	1543.48	2017.31	3409.74	suport automàtic; pendent d’audició
44	lead-rtva-002-ian-moya::clar::44	Ian Moya	Ian Moya	clar	candidats/lead-rtva-002-ian-moya/clips/ian__clar__174.80.wav	A-consens-ASR	15		candidat separat; confirmar identitat de veu i forma	pendent	Ho tenia molt clar, però ho he de confirmar, com ve dius,	Si ja ho tenia molt clar, però ho havia a confirmar com ve dius.	ian-probable	primera persona i resposta desenvolupada	125.00	23.44	0.020	881.01	1672.20	3395.23	suport automàtic; pendent d’audició
45	lead-rtva-002-ian-moya::de fet::45	Ian Moya	Ian Moya	de fet	candidats/lead-rtva-002-ian-moya/clips/ian__de-fet__92.84.wav	A-consens-ASR	6		candidat separat; confirmar identitat de veu i forma	pendent	Doncs mira, de fet, no n'estic fent tants,	Doncs mira, de fet, no en estic fent tants,	indeterminat	no hi ha senyal textual suficient	148.44	46.88	0.040	220.51	2067.94	2569.78	suport automàtic; pendent d’audició
46	lead-rtva-002-ian-moya::doncs::46	Ian Moya	Ian Moya	doncs	candidats/lead-rtva-002-ian-moya/clips/ian__doncs__80.96.wav	A-consens-ASR	21		candidat separat; confirmar identitat de veu i forma	pendent	Com estàs? Doncs molt bé, molt agraïda.	-Ai, a la nit.-Ai, a la nit, eh?	entrevistador-probable	marcador interrogatiu o inici de pregunta	140.62	44.92	0.040	1543.48	2017.31	3409.74	suport automàtic; pendent d’audició
47	lead-rtva-002-ian-moya::evidentment::47	Ian Moya	Ian Moya	evidentment	candidats/lead-rtva-002-ian-moya/clips/ian__evidentment__1242.76.wav	A-consens-ASR	1		candidat separat; confirmar identitat de veu i forma	pendent	Llavors, evidentment, si que no pots anar a Amsterdam, jo diria si no hi ha res que en el que necessitin.	I a vosaltres, si que d'emporten a Amsterdam,	ian-probable	primera persona i resposta desenvolupada	125.00	23.44	0.060	1193.88	1590.53	2461.28	suport automàtic; pendent d’audició
48	lead-rtva-002-ian-moya::llavors::48	Ian Moya	Ian Moya	llavors	candidats/lead-rtva-002-ian-moya/clips/ian__llavors__123.44.wav	A-consens-ASR	25		candidat separat; confirmar identitat de veu i forma	pendent	Llavors la gent de la seva va ser molt positiva.	I a vosaltres, la seva ser molt positiva.	indeterminat	no hi ha senyal textual suficient	128.91	29.30	0.040	1668.69	2385.59	4004.91	suport automàtic; pendent d’audició
49	lead-rtva-002-ian-moya::no?::49	Ian Moya	Ian Moya	no?	candidats/lead-rtva-002-ian-moya/clips/ian__no__297.08.wav	A-consens-ASR	12		candidat separat; confirmar identitat de veu i forma	pendent	Al final és el que vull fer com artista, no?	És el final és el que vull fer com artista, no?	entrevistador-probable	marcador interrogatiu o inici de pregunta	148.44	54.69	0.020	762.17	1512.20	2574.73	suport automàtic; pendent d’audició
50	lead-rtva-002-ian-moya::o sigui::50	Ian Moya	Ian Moya	o sigui	candidats/lead-rtva-002-ian-moya/clips/ian__o-sigui__100.08.wav	A-consens-ASR	20		candidat separat; confirmar identitat de veu i forma	pendent	Ah, d'acord, o sigui, tu t'has instal·lat a Barcelona,	Ah, d'acord, així, tu t'has instal·lat a Barcelona	indeterminat	no hi ha senyal textual suficient	179.69	80.08	0.020	2305.37	2635.97	3320.13	suport automàtic; pendent d’audició
51	lead-rtva-002-ian-moya::per tant::51	Ian Moya	Ian Moya	per tant	candidats/lead-rtva-002-ian-moya/clips/ian__per-tant__1186.72.wav	A-consens-ASR	1		candidat separat; confirmar identitat de veu i forma	pendent	Per tant, no m'he emportat cap premi ni he firmat cap discogràfica,	i, per tant, no m'he portat cap prèmini,	ian-probable	primera persona i resposta desenvolupada	195.31	62.50	0.040	561.34	1834.93	2809.96	suport automàtic; pendent d’audició
52	lead-rtva-002-ian-moya::perquè::52	Ian Moya	Ian Moya	perquè	candidats/lead-rtva-002-ian-moya/clips/ian__perqu__94.92.wav	A-consens-ASR	36		candidat separat; confirmar identitat de veu i forma	pendent	perquè, com ara m'he passat des del Nadal,	perquè, com ara m'he passat des del Nadal, a Barcelona fem feina cada dia,	entrevistador-probable	marcador interrogatiu o inici de pregunta	132.81	23.44	0.040	612.49	1625.38	2479.27	suport automàtic; pendent d’audició
53	lead-rtva-002-ian-moya::és a dir::53	Ian Moya	Ian Moya	és a dir	candidats/lead-rtva-002-ian-moya/clips/ian__s-a-dir__539.76.wav	A-consens-ASR	3		candidat separat; confirmar identitat de veu i forma	pendent	I sempre amb nivell molt bo, és a dir, cada any hi havia hagut una o dues persones que quedava entre els 50 finals, que arribava el càsting presencial,	I sempre amb nivell molt bo, és a dir, cada any,	ian-probable	segment llarg compatible amb resposta	132.81	39.06	0.060	501.78	798.25	3401.12	suport automàtic; pendent d’audició
54	lead-rtva-002-ian-moya::Escaldes::54	Ian Moya	Ian Moya	Escaldes	candidats/lead-rtva-002-ian-moya/clips/ian__escaldes__56.96.wav	A-consens-ASR	3		candidat separat; confirmar identitat de veu i forma	pendent	# En llaners d'escaldes engordant, canten anglès,	# Bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé, bé	indeterminat	no hi ha senyal textual suficient	210.94	82.03	0.020	456.29	2058.83	2737.38	suport automàtic; pendent d’audició
55	lead-rtva-002-ian-moya::vull dir::55	Ian Moya	Ian Moya	vull dir	candidats/lead-rtva-002-ian-moya/clips/ian__vull-dir__177.36.wav	B-un-model-ASR	3		candidat separat; confirmar identitat de veu i forma	pendent	i si és la confirmació de què vull dir Carme, això, de per vida.	I si és la confirmació de què vull dedicar-me això de per vida.	indeterminat	no hi ha senyal textual suficient	125.00	117.19	0.060	445.14	1455.28	2361.28	suport automàtic; pendent d’audició
