id_persona	n_contextos	categories	estat
pa-038	280	contacte_castella_candidat=4;incoatiu_eix_candidat=5;negacio_lexical_candidat=5;negacio_no_pas_candidat=1;perifrasi_past_candidata=115;possessius_candidat=23;pronom_en_candidat=49;pronom_hi_candidat=45;pronom_ho_candidat=33	candidat textual ASR; revisió auditiva pendent
pa-039	88	contacte_castella_candidat=1;incoatiu_eix_candidat=3;perifrasi_past_candidata=35;possessius_candidat=11;pronom_en_candidat=13;pronom_hi_candidat=12;pronom_ho_candidat=13	candidat textual ASR; revisió auditiva pendent
pa-040	44	negacio_lexical_candidat=1;perifrasi_past_candidata=17;possessius_candidat=7;pronom_en_candidat=8;pronom_hi_candidat=9;pronom_ho_candidat=2	candidat textual ASR; revisió auditiva pendent
pa-041	82	contacte_castella_candidat=3;incoatiu_eix_candidat=2;negacio_lexical_candidat=2;perifrasi_past_candidata=16;possessius_candidat=7;pronom_en_candidat=27;pronom_hi_candidat=20;pronom_ho_candidat=5	candidat textual ASR; revisió auditiva pendent
pa-042	29	negacio_lexical_candidat=3;perifrasi_past_candidata=10;possessius_candidat=8;pronom_en_candidat=1;pronom_hi_candidat=6;pronom_ho_candidat=1	candidat textual ASR; revisió auditiva pendent
pa-043	7	contacte_castella_candidat=1;perifrasi_past_candidata=1;possessius_candidat=3;pronom_hi_candidat=1;pronom_ho_candidat=1	candidat textual ASR; revisió auditiva pendent
pa-044	355	contacte_castella_candidat=11;incoatiu_eix_candidat=3;negacio_lexical_candidat=7;perifrasi_past_candidata=78;possessius_candidat=40;pronom_en_candidat=47;pronom_hi_candidat=92;pronom_ho_candidat=77	candidat textual ASR; revisió auditiva pendent
pa-045	189	contacte_castella_candidat=6;incoatiu_eix_candidat=5;negacio_lexical_candidat=4;negacio_no_pas_candidat=3;perifrasi_past_candidata=46;possessius_candidat=22;pronom_en_candidat=39;pronom_hi_candidat=45;pronom_ho_candidat=19	candidat textual ASR; revisió auditiva pendent
pa-046	109	contacte_castella_candidat=15;incoatiu_eix_candidat=4;negacio_lexical_candidat=1;perifrasi_past_candidata=21;possessius_candidat=27;pronom_en_candidat=21;pronom_hi_candidat=7;pronom_ho_candidat=13	candidat textual ASR; revisió auditiva pendent
pa-047	191	contacte_castella_candidat=4;incoatiu_eix_candidat=3;negacio_lexical_candidat=6;perifrasi_past_candidata=62;possessius_candidat=15;pronom_en_candidat=57;pronom_hi_candidat=23;pronom_ho_candidat=21	candidat textual ASR; revisió auditiva pendent
pa-048	139	contacte_castella_candidat=3;incoatiu_eix_candidat=6;negacio_lexical_candidat=4;perifrasi_past_candidata=11;possessius_candidat=28;pronom_en_candidat=22;pronom_hi_candidat=42;pronom_ho_candidat=23	candidat textual ASR; revisió auditiva pendent
pa-049	223	contacte_castella_candidat=12;incoatiu_eix_candidat=6;negacio_lexical_candidat=5;perifrasi_past_candidata=62;possessius_candidat=44;pronom_en_candidat=52;pronom_hi_candidat=31;pronom_ho_candidat=11	candidat textual ASR; revisió auditiva pendent
pa-050	438	incoatiu_eix_candidat=3;negacio_lexical_candidat=1;perifrasi_past_candidata=397;possessius_candidat=18;pronom_en_candidat=11;pronom_hi_candidat=8	candidat textual ASR; revisió auditiva pendent
pa-051	43	contacte_castella_candidat=2;perifrasi_past_candidata=7;possessius_candidat=4;pronom_en_candidat=13;pronom_hi_candidat=13;pronom_ho_candidat=4	candidat textual ASR; revisió auditiva pendent
pa-052	19	contacte_castella_candidat=1;perifrasi_past_candidata=10;possessius_candidat=3;pronom_en_candidat=2;pronom_hi_candidat=3	candidat textual ASR; revisió auditiva pendent
pa-053	35	perifrasi_past_candidata=18;possessius_candidat=5;pronom_en_candidat=1;pronom_hi_candidat=10;pronom_ho_candidat=1	candidat textual ASR; revisió auditiva pendent
pa-054	36	contacte_castella_candidat=2;negacio_lexical_candidat=2;perifrasi_past_candidata=6;possessius_candidat=10;pronom_en_candidat=4;pronom_hi_candidat=5;pronom_ho_candidat=7	candidat textual ASR; revisió auditiva pendent
pa-055	339	contacte_castella_candidat=28;negacio_lexical_candidat=2;perifrasi_past_candidata=184;possessius_candidat=17;pronom_en_candidat=21;pronom_hi_candidat=51;pronom_ho_candidat=36	candidat textual ASR; revisió auditiva pendent
pa-056	195	contacte_castella_candidat=5;incoatiu_eix_candidat=4;negacio_lexical_candidat=2;perifrasi_past_candidata=85;possessius_candidat=12;pronom_en_candidat=26;pronom_hi_candidat=39;pronom_ho_candidat=22	candidat textual ASR; revisió auditiva pendent
pa-057	200	contacte_castella_candidat=1;negacio_lexical_candidat=1;perifrasi_past_candidata=109;possessius_candidat=13;pronom_en_candidat=35;pronom_hi_candidat=32;pronom_ho_candidat=9	candidat textual ASR; revisió auditiva pendent
pa-058	413	contacte_castella_candidat=37;incoatiu_eix_candidat=3;negacio_lexical_candidat=7;negacio_no_pas_candidat=1;perifrasi_past_candidata=142;possessius_candidat=31;pronom_en_candidat=93;pronom_hi_candidat=65;pronom_ho_candidat=34	candidat textual ASR; revisió auditiva pendent
pa-059	143	contacte_castella_candidat=5;incoatiu_eix_candidat=1;negacio_lexical_candidat=3;perifrasi_past_candidata=63;possessius_candidat=10;pronom_en_candidat=13;pronom_hi_candidat=36;pronom_ho_candidat=12	candidat textual ASR; revisió auditiva pendent
pa-060	102	contacte_castella_candidat=4;perifrasi_past_candidata=62;possessius_candidat=3;pronom_en_candidat=12;pronom_hi_candidat=16;pronom_ho_candidat=5	candidat textual ASR; revisió auditiva pendent
pa-061	158	contacte_castella_candidat=12;incoatiu_eix_candidat=6;negacio_lexical_candidat=2;perifrasi_past_candidata=29;possessius_candidat=30;pronom_en_candidat=42;pronom_hi_candidat=25;pronom_ho_candidat=12	candidat textual ASR; revisió auditiva pendent
pa-062	181	contacte_castella_candidat=1;incoatiu_eix_candidat=8;negacio_lexical_candidat=6;perifrasi_past_candidata=70;possessius_candidat=49;pronom_en_candidat=25;pronom_hi_candidat=17;pronom_ho_candidat=5	candidat textual ASR; revisió auditiva pendent
pa-063	188	contacte_castella_candidat=1;incoatiu_eix_candidat=4;negacio_lexical_candidat=2;perifrasi_past_candidata=51;possessius_candidat=17;pronom_en_candidat=52;pronom_hi_candidat=44;pronom_ho_candidat=17	candidat textual ASR; revisió auditiva pendent
pa-064	141	incoatiu_eix_candidat=2;negacio_lexical_candidat=4;perifrasi_past_candidata=56;possessius_candidat=19;pronom_en_candidat=27;pronom_hi_candidat=31;pronom_ho_candidat=2	candidat textual ASR; revisió auditiva pendent
pa-065	159	contacte_castella_candidat=3;incoatiu_eix_candidat=6;negacio_lexical_candidat=4;perifrasi_past_candidata=36;possessius_candidat=27;pronom_en_candidat=41;pronom_hi_candidat=28;pronom_ho_candidat=14	candidat textual ASR; revisió auditiva pendent
pa-066	119	contacte_castella_candidat=1;perifrasi_past_candidata=65;possessius_candidat=6;pronom_en_candidat=31;pronom_hi_candidat=11;pronom_ho_candidat=5	candidat textual ASR; revisió auditiva pendent
