id_persona	forma	clip	sha256	greedy_txt	text_greedy	forma_en_greedy
pa-007	diguem	clips/pa-007__diguem__585.25.wav	c70b6b51a669d6fb01dabdca4e6938a74bdc2008c6bfff1d1247242c25a4f16c	qa-equilibrada-greedy/pa-007__diguem__585_25.txt	per la frontera, diguem que es va generar un debat força encès a les courses espanyoles.	sí
pa-008	a veure	clips/pa-008__a-veure__668.25.wav	b8ec0ea035f80dc7781e0482c5309e8d1c8801ed3c891425c324353862e4f9ea	qa-equilibrada-greedy/pa-008__a-veure__668_25.txt	tot això no té res a veure amb el que tres anys abans	sí
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	acfe1234f287ab39e2606044e4d008e299c4e0f01dde49bfbdf93e1686854e87	qa-equilibrada-greedy/pa-008__aleshores__1315_25.txt	que feien camp. Aleshores va aproficiar aquest retrobament, es va constituir...	sí
pa-009	bé	clips/pa-009__b__557.25.wav	b2df5a5659372b5420f121ee03d4321eb31516e78dc9f30f2d4c47056c949be1	qa-equilibrada-greedy/pa-009__b__557_25.txt	i són campanes que sonen molt bé.	sí
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	1b7aa96e46a8e0f9f97e04d9c5fd52a7612d816ec981baae45d556914c293227	qa-equilibrada-greedy/pa-009__evidentment__947_25.txt	l'hora de venir, evidentment, si era l'estiu o era l'hivern, tant que ha de	sí
pa-010	clar	clips/pa-010__clar__334.85.wav	5f880ecdc700d1894c240df5b3ff38246092008085ba9b90f26ff09bd4540f4e	qa-equilibrada-greedy/pa-010__clar__334_85.txt	que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.	sí
pa-011	bé	clips/pa-011__b__185.57.wav	034b819677a59b8d383b5ddb60c9951a3331f66f42a86724202ce1b2c815ec04	qa-equilibrada-greedy/pa-011__b__185_57.txt	a l'exterior de la casa, o molt bé, a aquesta casa.	sí
pa-012	perquè	clips/pa-012__perqu__369.25.wav	4f44df390cad8205ba3046068dfa49ceef24647ed6707c5a8be4e626ea6880ae	qa-equilibrada-greedy/pa-012__perqu__369_25.txt	perquè la gent es recordi d'aquestes eines.	sí
pa-013	bé	clips/pa-013__b__196.65.wav	4be0dce49624a07cf218029bdefa30dac94a6d0f63074f1550a6c4d46f76cc72	qa-equilibrada-greedy/pa-013__b__196_65.txt	que em sofre i que va bé per la pell, pel sistema digestiu i també té altres propietats.  Propietats que...	sí
pa-013	és a dir	clips/pa-013__s-a-dir__579.17.wav	30f54ca8f95556f452e42047d54e4de6a1235335e4afb66e77b83fe5bd922380	qa-equilibrada-greedy/pa-013__s-a-dir__579_17.txt	d'urrana. És a dir, l'arquitectura de granit es dona en un moment de reconversió gradual  del nostre país, que passa de ser...	sí
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	5fa2db8a2f3ffeef11efe825ad0cf8482ac53328738c0ac535238b38648e3bd7	qa-equilibrada-greedy/pa-014__o-sigui__658_45.txt	És a dir, els homes amb barretina, o sigui, amb pantolons de barllut, negres, faixa i barretina vermella, camisa blanca, mitjons blanques i bigatans.	sí
pa-014	aviam	clips/pa-014__aviam__875.45.wav	f0734d64362e54adeb066fb426217e22af46539c4fe68eff7e4d9a9e2375209f	qa-equilibrada-greedy/pa-014__aviam__875_45.txt	i es pot fer una cosa, i van dir, escuteu, aviam,  imagineu-vos que les merdes apareixen.  Què passa amb el contrapàs? Es deixarà de ballar.	sí
pa-015	doncs	clips/pa-015__doncs__83.25.wav	2f666e1eff8fed57c0a6be7a4e79f9d130981b91570781073aa7d5de5609591b	qa-equilibrada-greedy/pa-015__doncs__83_25.txt	"és important. Doncs per ""és important"" per una senzilla rau."	sí
pa-015	llavors	clips/pa-015__llavors__197.25.wav	398a121cdb719ac84692a4b54a82005a4f7c1872d8e93ccd7c691867aa04a003	qa-equilibrada-greedy/pa-015__llavors__197_25.txt	lletat. I llavors, a part de tindre aquest sis,	sí
pa-016	bé	clips/pa-016__b__170.05.wav	3114a077311c96bb91a613edf7f8772cf1201008f33c622cc6d733e2d72bd791	qa-equilibrada-greedy/pa-016__b__170_05.txt	"És una disolució, entres encara amb molta més responsabilitat de dir  ""estàs bé, hem de fer bé""."	sí
pa-016	clar	clips/pa-016__clar__175.69.wav	53417c5937ebd77eea674c73a53a00c5def89cc1388d4d9ba7af2c08352a5321	qa-equilibrada-greedy/pa-016__clar__175_69.txt	Tenim un objectiu molt clar i l'hem de solit.	sí
pa-017	clar	clips/pa-017__clar__34.45.wav	af312c7026f7ee8277a947a1f0ee4eae5b3cc637ce0450d40bf05c79ba88bd85	qa-equilibrada-greedy/pa-017__clar__34_45.txt	No és el fet de ser els primers o no els primers.  Nosaltres teníem clar que havíem de fer el pas.	sí
pa-017	doncs	clips/pa-017__doncs__459.25.wav	88468d412a21fe20d4f5f076302a7cc9b4e3d98f87e2f3e7c3089cbe5a6a7c2d	qa-equilibrada-greedy/pa-017__doncs__459_25.txt	i perfecte.  Doncs a partir d'aquí, sempre ja que et dubte,  desapigué, és que...	sí
pa-018	crec	clips/pa-018__crec__7.49.wav	892fa937d3f28d1abb2e8634864fdad187b0fb5c9380fa33c4086189c763f430	qa-equilibrada-greedy/pa-018__crec__7_49.txt	i després jo crec que el problema que hi ha del 78 és que...	sí
pa-018	perquè	clips/pa-018__perqu__91.09.wav	26189b0a263714ef40ca0fe1cde356c2818cdb993a4fba5c05348fc3e0037b55	qa-equilibrada-greedy/pa-018__perqu__91_09.txt	i resòria, perquè no podíem acabar mai de decidir que una cosa...	sí
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	bfbb6fbfec9bb2459306cba449dc2ad4694b256a0b9276b3e49813b7e8ba9b99	qa-equilibrada-greedy/pa-019__a-nivell__122_25.txt	i la Constitució és un qualsevol tema que entre a nivell de comissions.	sí
pa-019	llavors	clips/pa-019__llavors__422.25.wav	11f80fb011244ef741e3376e5f8494c7a3893876378c983f6d6f5585d71f4aaa	qa-equilibrada-greedy/pa-019__llavors__422_25.txt	perquè ens donava eines per poder fer més coses  que podíem fer fins al llavors.	sí
pa-020	aviam	clips/pa-020__aviam__252.21.wav	d939cc85022682c4190eb9152a29c2c1e37d97058b8fcbfbf17401b197db1820	qa-equilibrada-greedy/pa-020__aviam__252_21.txt	I a mi em sembla que és el que em sembla.	no
pa-021	crec	clips/pa-021__crec__115.53.wav	3258b10743d8cab81625debfd526fc9a66d620cbf7a637e1c99bb78f1dc91ebe	qa-equilibrada-greedy/pa-021__crec__115_53.txt	i és molt fàcil.  Jo crec que el fet que me'l consella anterior  passés el que va passant.	sí
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	e6426f1d9f78724e1b7290e1fbacc05e4e093a28a4dd39e938500813ceb21c16	qa-equilibrada-greedy/pa-021__vull-dir__314_29.txt	i nosaltres, malgrat que no vull dir que no volguéssim de cap manera.	sí
pa-022	clar	clips/pa-022__clar__107.73.wav	e9a457dd00829350bb1cd8d5427e351a52d5363a4c2877a49f4e6d076eb4c7d1	qa-equilibrada-greedy/pa-022__clar__107_73.txt	que el seu objectiu tenia molt clar que es jugava molt.	sí
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	c65e84e357dec2ff67419ceba790d9bee1687552e4277c7d1b3c11b2cfe97367	qa-equilibrada-greedy/pa-022__reformeta__125_53.txt	Ara toqui. Portava menys a la redèria de la reformeta,  de no sé què, que no s'acaba.	sí
pa-023	a nivell	clips/pa-023__a-nivell__418.57.wav	a6b0d9ecbff2c19bebc2926abc5f29acea6e08f0fd8f9a68c89181c3c9376826	qa-equilibrada-greedy/pa-023__a-nivell__418_57.txt	i després també a nivell d'agricultura.	sí
pa-024	crec	clips/pa-024__crec__368.01.wav	af256840702c4389fa217b6dc3be7f0c6c325a6a7ba223a27a63829aa69d8843	qa-equilibrada-greedy/pa-024__crec__368_01.txt	i que, per tant, jo crec que els carrers, desfocats,	sí
pa-025	aleshores	clips/pa-025__aleshores__361.93.wav	be98cda03e68589b1f774916fa60ef4aaa649b0210bc777f4c57af1c79ddf586	qa-equilibrada-greedy/pa-025__aleshores__361_93.txt	i aleshores ens tornem més primirats.	sí
pa-025	diguem	clips/pa-025__diguem__500.89.wav	d31e71bc7da322771f5cb7e142782f69d9f3beadc6f4a551fe191856fc9b3193	qa-equilibrada-greedy/pa-025__diguem__500_89.txt	i de competències que en francès en diguem regalient.	sí
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	9ecc153c139b2e8eee21dd2b57aff9f5505a367f856e1bb5009943f99b73b282	qa-equilibrada-greedy/pa-026__reformeta__138_61.txt	i ho veiem aconseguir.  La diferència és que la reformeta tractàvem massatge.	sí
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	396166e7dcac8577bd565408d3f51829e90f5e81bdbee5c08cf4fdf2ec70940e	qa-equilibrada-greedy/pa-027__s-a-dir__185_61.txt	de grup, és a dir, amb els que l'havien portat a l'acció de fer amb reunió de grup.	sí
pa-028	doncs	clips/pa-028__doncs__329.33.wav	3805ccfc9d6eb1cf6e51c39cc3b10f1068e476b393b1b19c19030c8ae72c9bc5	qa-equilibrada-greedy/pa-028__doncs__329_33.txt	i que, igual, doncs conyes que realment té un valor que té constitució.	sí
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	5f14096867f46ed1299f44511f099ef4bcd6601b91b66853dcd31a78016ff2f1	qa-equilibrada-greedy/pa-029__tirar-endavant__56_73.txt	i que véssim també d'autodisoldre per la incapacitat de poder tirar endavant.	sí
pa-029	a nivell	clips/pa-029__a-nivell__417.09.wav	4cbd9b08de52bbc1f76e9ea3305ef525452f8eee82b0f7294a7fa58491fe1f57	qa-equilibrada-greedy/pa-029__a-nivell__417_09.txt	i això ha de deixar a quatre,  a algú que els valta els quatre a nivell nacional.	sí
pa-030	tirar endavant	clips/pa-030__tirar-endavant__185.61.wav	54728c1e80d1ff918a2b8576ab1fe83cd1ee5c2bd2316505671c1a6130c9dbb7	qa-equilibrada-greedy/pa-030__tirar-endavant__185_61.txt	que estem d'acord, doncs vam tirar endavant,  es va fer la comissió constituent,  i ja...	sí
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	e8f71c838cc57af6bbb4d19b07f09f072436f569a2fdeec8945b755e4a243dd8	qa-equilibrada-greedy/pa-030__vull-dir__842_69.txt	i que no hi hagi una altra part de l'independentisme.	no
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	5785296cce7554b7cb749c80b7cb6e1fbe29aa36ce7eaa2ff059ae184192b98a	qa-equilibrada-greedy/pa-031__de-fet__9_93.txt	i, de fet, no em va portar ningú.	sí
pa-031	tirar endavant	clips/pa-031__tirar-endavant__146.09.wav	734d4da29e4c231453e9e940f971b4dd0ceda1bf2974d757185523ad8dd47825	qa-equilibrada-greedy/pa-031__tirar-endavant__146_09.txt	que s'havia de tirar endavant de la manera que fos.	sí
pa-032	bueno	clips/pa-032__bueno__44.73.wav	ecfa14d10598ee1565c45d37de1b5b8f2b856e8f98d2759d8ef79112535f895e	qa-equilibrada-greedy/pa-032__bueno__44_73.txt	i bueno, l'últim, la psiquia 4 que ens vam apuntar i vam dir que era capaç.	sí
pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	1b1bb44e83c8d79ff3c87e0634c94d781b3e1577af3346519993523c255137aa	qa-equilibrada-greedy/pa-032__aleshores__79_09.txt	i, aleshores, els dos oponents es van posar d'acord al moment.  Al moment.	sí
pa-033	diguem	clips/pa-033__diguem__49.01.wav	ad631b7215d4c5aac568cd226501c4d126fc0de5e788f583c08df99c46d29db7	qa-equilibrada-greedy/pa-033__diguem__49_01.txt	normalment es revia amb... amb interès, diguem.	sí
pa-033	de fet	clips/pa-033__de-fet__249.69.wav	46a44cd237981a6175ace71efc9c7211829ef554ac1021d65b6c74757ae97af0	qa-equilibrada-greedy/pa-033__de-fet__249_69.txt	Ho capgira tot, de fet, eh?	sí
pa-034	a veure	clips/pa-034__a-veure__94.05.wav	f11ae47cfb296a410bc792f10d50a4670333a71827c336ac9c126292c960a427	qa-equilibrada-greedy/pa-034__a-veure__94_05.txt	i em va venir a veure, perquè, clar, ja sabia de començar a preparar,  les candidats.	sí
pa-034	diguem	clips/pa-034__diguem__504.45.wav	cc573f2b5119d203646f32c63cb0a3073eb0cb9579a20fd0c32ffd63b2fa7850	qa-equilibrada-greedy/pa-034__diguem__504_45.txt	i ho dic moltes persones de la cor antenna, diguem-ne.	sí
pa-035	doncs	clips/pa-035__doncs__195.49.wav	407b7e368e7e93f22b9df827c4fd303b5cdb9de07bb6943545a1d368e7b1b6bc	qa-equilibrada-greedy/pa-035__doncs__195_49.txt	I, ara, ja he vingut a participar, doncs, una mica.	sí
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	ad58ae8bb7fcdeb37f4ac6aac790f51c9fa7265b5bfe9b5554975ac5c4a88a9c	qa-equilibrada-greedy/pa-036__evidentment__202_85.txt	i no ens van anar més enllà.  Ens va costar fer aquest pas important.  Després, evidentment, entrem a la legislatura crítica	sí
pa-036	a nivell	clips/pa-036__a-nivell__386.45.wav	09ded2303ce7bfb7ec5936ed492a4b05bbe17bdfc3b340fd4ea3c8df6cd5546b	qa-equilibrada-greedy/pa-036__a-nivell__386_45.txt	tot i que les relacions entre en Gàmels i altres parroquis  no eren bones a nivell electoral no s'havia perdut.	sí
pa-037	bueno	clips/pa-037__bueno__105.29.wav	06492e67f98cb5ff6ac0d9ccce990af01b2ac560f6a02ec29f9173dfe995ec1d	qa-equilibrada-greedy/pa-037__bueno__105_29.txt	i que s'ha constituït.  Gailbé, existim tothom.  Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquí està el mateix, he bainat.  I torne bé.  Bona ambient, molt bona ambient.  Molt bona ambient.  Torna a comentar coses del que ha fet passat,  però sobretot...	sí
pa-037	bé	clips/pa-037__b__105.29.wav	06492e67f98cb5ff6ac0d9ccce990af01b2ac560f6a02ec29f9173dfe995ec1d	qa-equilibrada-greedy/pa-037__b__105_29.txt	i que s'ha constituït.  Gailbé, existim tothom.  Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquí està el mateix, he bainat.  I torne bé.  Bona ambient, molt bona ambient.  Molt bona ambient.  Torna a comentar coses del que ha fet passat,  però sobretot...	sí
pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	a32fa9f85404bb12274c7111daef9b76d6847ba1f7d0d2406a4428ddc78c2ac3	qa-equilibrada-greedy/pa-038__vull-dir__1576_57.txt	Ja et dic que els agents exteriors siguin... ja no vull dir quins, però...	sí
pa-038	reformeta	clips/pa-038__reformeta__1821.69.wav	c8f3ae6d77e84f493a44d32e456e11f78217167340f1dd1218caa7b91e6146c8	qa-equilibrada-greedy/pa-038__reformeta__1821_69.txt	que ho convolguis, segueixen contentat amb una reformeta.	sí
pa-039	bé	clips/pa-039__b__27.77.wav	9f205fdb77948f20db612fa965d1b98ea9dbc5150d1a003937b7c95e563147d6	qa-equilibrada-greedy/pa-039__b__27_77.txt	fins a la prostitució no ja està bé.	sí
pa-040	de fet	clips/pa-040__de-fet__70.17.wav	1a1f4d6fe223de8ca0f3798029daa9a58cc783b6c68421e0666332a6e0bbdf51	qa-equilibrada-greedy/pa-040__de-fet__70_17.txt	i de fet el meu pare el portava sempre sobre aquell pin.	sí
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	30c9b43017918ddcd0935a3e0ad2948d48f28c4fa80779af4c8f54decb491b14	qa-equilibrada-greedy/pa-041__vull-dir__264_25.txt	Un element, no vull dir de discussió,  però potser no s'acaba d'entendre bé.  Molt poc s'endurà.	sí
pa-041	ensenyança	clips/pa-041__ensenyan-a__523.25.wav	44a988b8bdc291ade600ca53a9e336d6f494e952083278c092bed9a16ad7760c	qa-equilibrada-greedy/pa-041__ensenyan-a__523_25.txt	I aquest material pedagògic, que tingués continuïtat,  també de cara a tota la primera ensenyança,  perquè aviam si...	sí
pa-042	perquè	clips/pa-042__perqu__29.13.wav	070ca7096afab41fd8168729d4884fa32c4920392328afd39413d4653ba181c7	qa-equilibrada-greedy/pa-042__perqu__29_13.txt	i que no hi hagi una escola.	no
pa-043	crec	clips/pa-043__crec__102.25.wav	852ada4cda576e3cba651abb69c4496002392d4a973ffaf363b98f39cc530610	qa-equilibrada-greedy/pa-043__crec__102_25.txt	per mi l'escola en d'Orrana és una identitat no, jo crec.	sí
pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	c24d3885c6cb09b8e089ded26fac1df462068c9ae1e9b4d948e9307ea9c3bf93	qa-equilibrada-greedy/pa-045__evidentment__290_13.txt	que tenen senyor o, evidentment,  en una sèrie de...  de condicions molt clares,  dir-ho amb la de persona.	sí
pa-045	clar	clips/pa-045__clar__399.85.wav	512b50fe62e74c159ca6f43e8bf607bdbad775cd06d5d9177e4a69471db78924	qa-equilibrada-greedy/pa-045__clar__399_85.txt	amb el qual estava... amb res.  Amb el qual estava bastant clar.  Semblava bastant clar.	sí
pa-046	és a dir	clips/pa-046__s-a-dir__135.61.wav	cd35ebbe856f24d950b4f7bdec74c37fa4dd26a1523fca161dddc698c05bfab4	qa-equilibrada-greedy/pa-046__s-a-dir__135_61.txt	i que no hi hagi una altra.	no
pa-046	diguem	clips/pa-046__diguem__626.01.wav	6734d0bf1a0cc2e3ff4b3ac55500d671822c2df5204f80f755bca866795392df	qa-equilibrada-greedy/pa-046__diguem__626_01.txt	A part de les patates o les tronfes, que diguem a Canillo.	sí
pa-048	crec	clips/pa-048__crec__110.97.wav	49369d24af002dcf807cd314d250b79f985e1ac6c53f1fdba415c0136cf438b5	qa-equilibrada-greedy/pa-048__crec__110_97.txt	Si hi ha cel, jo no crec ni en l'inferna, ni el purgatori, ni el cel.	sí
pa-048	a nivell	clips/pa-048__a-nivell__435.77.wav	d56fd7a76ac688f574fc3bd1fb9dc7aec6209cb3d29b8ad4cb0311806f515600	qa-equilibrada-greedy/pa-048__a-nivell__435_77.txt	No, perquè normalment, quan t'inviten a nivell oficial,	sí
pa-049	llavors	clips/pa-049__llavors__230.45.wav	15816ac71e01ce131564ffb48b96500bc67d759120ea181db1ccf2b01f772f77	qa-equilibrada-greedy/pa-049__llavors__230_45.txt	i aquí en Dorre va vindre llavors el delegat de premsa de la Casa Blanca.  No sé si va ser arreu realment d'aquesta carta.	sí
pa-049	a veure	clips/pa-049__a-veure__244.85.wav	7b71fcc78c5080a21279eadcf1cc4451262936076575f74fb3f5f9663ea5a47f	qa-equilibrada-greedy/pa-049__a-veure__244_85.txt	i el meu pare es va veure després a la xarxa.	no
pa-051	crec	clips/pa-051__crec__208.57.wav	bd3f988c1d3f228686ac1604eca57ac0194a2699c56f2cbc580ef173d40e93d4	qa-equilibrada-greedy/pa-051__crec__208_57.txt	No crec que arribi amb totes les ovelles de canillo sent.	sí
pa-052	bueno	clips/pa-052__bueno__41.97.wav	2401ffa57294c6b4d966a1fb548363cb209d3408905f66768c0360c49bcc39da	qa-equilibrada-greedy/pa-052__bueno__41_97.txt	I, bueno, tinc certs germans.	sí
pa-053	perquè	clips/pa-053__perqu__113.93.wav	64fcdd3ba28a2bf0be76550ffa94d3e071ac713bf39b61138ae6714812d35997	qa-equilibrada-greedy/pa-053__perqu__113_93.txt	que no hi hagi una persona que no té cap problema.	no
pa-054	bueno	clips/pa-054__bueno__51.69.wav	3f04ee88b4dc96889303168191c0c41c51d79e6f0af5a4e5ccac70a766474dae	qa-equilibrada-greedy/pa-054__bueno__51_69.txt	i, bueno, és el primer pas.	sí
pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	25559cd9532afec3a83f8784fb253837ddde48d96cfa14708531d62f457f57c2	qa-equilibrada-greedy/pa-055__reformeta__139_05.txt	La diferència és que la reformeta tractava amb missatges.	sí
pa-056	aleshores	clips/pa-056__aleshores__393.13.wav	8f6abda40a406d4b6d088777e6d46ad924a000b59b216e4e16aa25cd13af6759	qa-equilibrada-greedy/pa-056__aleshores__393_13.txt	i, aleshores, això està tan quadriculat.	sí
pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	66a0b9648889fdf52c4f4b2c0d8b06b93f983546570ea9c69230ac18342dd77b	qa-equilibrada-greedy/pa-056__vull-dir__842_65.txt	Bé, vull dir també, perquè cal recordar-ho.	sí
pa-057	tirar endavant	clips/pa-057__tirar-endavant__56.61.wav	659575b8fab9339b4de7daf0f12cd188b2b2ca6c3d65ba19fb03e1adfd3e0f6b	qa-equilibrada-greedy/pa-057__tirar-endavant__56_61.txt	i que vesim també d'autodisoldre per la incapacitat de poder tirar endavant.	sí
pa-058	és a dir	clips/pa-058__s-a-dir__74.41.wav	3270b5a32a26b56d13f5e7a311d8571acb19fbe6c6b2bdb68cc78cd598fafc4b	qa-equilibrada-greedy/pa-058__s-a-dir__74_41.txt	i que no hi hagi una persona que no hagi tingut un lloc.	no
pa-058	perquè	clips/pa-058__perqu__91.09.wav	17c00630e6e803a985f847462ce1cc0756a6d99fe77b0dbc37d90092396a6b3a	qa-equilibrada-greedy/pa-058__perqu__91_09.txt	i resòria, perquè no podíem acabar mai de decidir que una cosa...	sí
pa-059	clar	clips/pa-059__clar__36.61.wav	64525ab92616f6fedb386d04f9fc635597e6aa9ae86b52c7e2994a02ffa36894	qa-equilibrada-greedy/pa-059__clar__36_61.txt	i és on els primers.  Nosaltres teníem clar que havíem de fer el pas.	sí
pa-060	de fet	clips/pa-060__de-fet__72.57.wav	c9b4a528445a1057a5f3a047b6e68cb9f6ab9e2db61b98a7394c4753d3c7d8a6	qa-equilibrada-greedy/pa-060__de-fet__72_57.txt	d'explicatures que van ocupar 4 anys, de fet.	sí
pa-061	o sigui	clips/pa-061__o-sigui__161.05.wav	ca6151a6593172914136beb224aaaab1693599e809741fd0b5fc8ba29e314626	qa-equilibrada-greedy/pa-061__o-sigui__161_05.txt	i que no hi hagi una altra gent que no té cap problema.	no
pa-061	llavors	clips/pa-061__llavors__380.77.wav	e20bc8319ccc4237e38b44777091712e6b80bb2cd4aa633ad9d31bc9c02b6fe6	qa-equilibrada-greedy/pa-061__llavors__380_77.txt	-Exacte.  -Bueno, llavors comença tot una agredació.	sí
pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	fb0f7ddeaa9f328943a90c2dda128ececea860d7ceb0eca6da117ce7d4218d21	qa-equilibrada-greedy/pa-062__s-a-dir__973_65.txt	que ells donaven, és a dir, que s'instaureix  entre el món polític i el món empresarial un diàleg...	sí
pa-063	crec	clips/pa-063__crec__758.81.wav	d727c6acd359cecd21e87d844090fb53ec2090421c35982fe329d439f328f9a8	qa-equilibrada-greedy/pa-063__crec__758_81.txt	que comprin.  Això és el que hem d'intentar i jo crec que s'està fent.	sí
pa-063	o sigui	clips/pa-063__o-sigui__826.09.wav	43d1e56df2aeaa0cf363b869db3023f71b79bad98855e7545e63d1b35d7ab7b9	qa-equilibrada-greedy/pa-063__o-sigui__826_09.txt	i és modern.	no
pa-064	o sigui	clips/pa-064__o-sigui__36.73.wav	57c81b2557424a116da39a11fc60cc435ef0f229250d92b510aaefae28a84c83	qa-equilibrada-greedy/pa-064__o-sigui__36_73.txt	i el que ha de fer és fer-ho.	no
pa-064	a veure	clips/pa-064__a-veure__587.61.wav	d2b367717082674c001d5c114930374201ac81a40b44b1fc5d7f1e21b2e8fe9c	qa-equilibrada-greedy/pa-064__a-veure__587_61.txt	No s'ha tornat a veure amb els anys.	sí
pa-065	bé	clips/pa-065__b__138.57.wav	13d706fe597ebef3b508b59a531d16f8db00f85915f3493c1489e5b33de6329c	qa-equilibrada-greedy/pa-065__b__138_57.txt	i el que va passar és que el que va passar és que el que va passar  va ser que el que va passar és que el que va passar és que el que va passar	no
pa-065	doncs	clips/pa-065__doncs__157.49.wav	fa6b643feaf38740c3c673bdf0240a4181c5a163af029a8b9849d97c40d783a2	qa-equilibrada-greedy/pa-065__doncs__157_49.txt	i quan hi ha amor, doncs Déu, avi, tenen les nostres cors.	sí
pa-066	llavors	clips/pa-066__llavors__16.21.wav	5d3f190d42be6a68e145c600b829752671c073bd48638714b774062785861411	qa-equilibrada-greedy/pa-066__llavors__16_21.txt	i que la gent no s'ha de fer.	no
pa-066	bueno	clips/pa-066__bueno__357.23.wav	8ed8e7a1a01fb2743b592fc06dad5b50f6e56f99256fe92029fa58f22ff2b7a7	qa-equilibrada-greedy/pa-066__bueno__357_23.txt	i, bueno, jo recordo que he passat...	sí
