ordre	categoria	score_evidencia	id_persona	forma	interval_escolta	clip	transcripcio_qa	json_qa	token_coincidencia	token_intervals_absolute	token_prob_min	token_prob_mean	token_text	text_qa	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	veu_proporcio	rms_p50_db	f0_median_hz	f0_iqr_hz	centroid_median_hz	pausa_mediana_s	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio	categoria_tres_models	text_small	text_base	text_greedy	prioritat_manual	token_interval_absolute	token_duration_s	f0_token_hz	f1_token_hz	f2_token_hz	f3_token_hz	intensity_token_db	f0_persona_median_hz	delta_f0_clip_persona_hz	centroid_clip_hz	veu_clip	pausa_clip_s
128	A-triple-consens	9	pa-028	bé	182.49-187.39	clips/pa-028__b__182.49.wav	qa-clips/pa-028__be__182_49_187_39.txt	qa-clips-json/pa-028__b__182_49.json	sí	185.520-185.610	0.9916	0.9916	bé	i ho veiem, continuem com estàvem, que hem estat molt bé fins ara.	sí	sí	sí	0.064	0.058	0.4426	-37.51	146.72	37.58	1393.46	0.080	pendent						B-dos-models	i ho veiem, continuem com estàvem, que hem estat molt bé fins ara.	Continuem com estàvem que m'han estat molt bé fins ara.	i que no hi hagi una altra.	12	185.520-185.610	0.090	126.72	159.05	1562.72	2871.58	60.14	131.09	15.63	1393.46	0.4426	0.080
133	A-triple-consens	9	pa-029	a nivell	417.09-421.47	clips/pa-029__a-nivell__417.09.wav	qa-clips/pa-029__a-nivell__417_09_421_47.txt	qa-clips-json/pa-029__a-nivell__417_09.json	sí	418.660-419.290	0.9070	0.9632	a nivell	que es volien els 4 a nivell nacional i l'aconseguiria.	sí	sí	sí	0.072	0.080	0.7798	-28.02	218.99	164.59	1010.79	0.020	pendent						B-dos-models	que es volien els 4 a nivell nacional i l'aconseguiria.	i xarquatres, o que els altres volien als quadren i veig nacional,  i l'aconseguiria.	i això ha de deixar a quatre,  a algú que els valta els quatre a nivell nacional.	13	418.660-419.290	0.630	93.63	804.16	2102.64	2422.59	64.86	219.51	-0.52	1010.79	0.7798	0.020
141	A-triple-consens	9	pa-030	vull dir	842.69-848.23	clips/pa-030__vull-dir__842.69.wav	qa-clips/pa-030__vull-dir__842_69_848_23.txt	qa-clips-json/pa-030__vull-dir__842_69.json	sí	843.370-844.350	0.9049	0.9470	vull dir	Bé, vull dir també, perquè cal recordar-ho.	sí	sí	sí	0.080	0.077	0.3659	-47.98	132.93	136.17	1481.10	0.120	pendent						B-dos-models	Bé, vull dir també, perquè cal recordar-ho.	Bé, vull dir també perquè cal recordar-ho.	i que no hi hagi una altra part de l'independentisme.	14	843.370-844.350	0.980		793.66	1681.36	2628.64	31.91	134.25	-1.32	1481.10	0.3659	0.120
154	A-triple-consens	9	pa-033	vull dir	56.25-62.63	clips/pa-033__vull-dir__56.25.wav	qa-clips/pa-033__vull-dir__56_25_62_63.txt	qa-clips-json/pa-033__vull-dir__56_25.json	sí	56.860-57.140	0.8126	0.9022	vull dir	perquè, clar, vull dir, tothom veia les exigències que tenien al sol.	sí	sí	sí	0.059	0.101	0.5346	-34.32	286.95	118.91	1173.59	0.050	pendent						B-dos-models	perquè, clar, vull dir, tothom veia les exigències que tenien al sol.	"que el clar va dir ""tot amb ell i em va dir les exigències que tenia en el seu""."	perquè, clar, vull dir, tot el que veia és...  Dels exigències que tenien al centre.	15	56.860-57.140	0.280		726.37	1226.06	2100.01	64.23	286.24	0.71	1173.59	0.5346	0.050
167	A-triple-consens	9	pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	qa-clips/pa-036__clar__136_45_147_15.txt	qa-clips-json/pa-036__clar__136_45.json	sí	141.540-141.720	0.8695	0.8695	clar	fos una mena d'eleccions ja amb un objectiu més clar que anar més enllà de les reformes que s'està fent,	sí	sí	sí	0.139	0.037	0.6948	-28.88	274.88	138.07	1071.23	0.100	pendent						B-dos-models	fos una mena d'eleccions ja amb un objectiu més clar que anar més enllà de les reformes que s'està fent,	Fos una mena de eleccions, ja amb un objectiu més clar,  que en el més enllà de les reformes que s'està fent,  si no hi ha d'anar d'aquestes.	que s'està fent.	16	141.540-141.720	0.180	99.67	605.74	1078.98	2588.69	71.09	261.02	13.86	1071.23	0.6948	0.100
189	A-triple-consens	9	pa-039	bé	27.77-32.03	clips/pa-039__b__27.77.wav	qa-clips/pa-039__be__27_77_32_03.txt	qa-clips-json/pa-039__b__27_77.json	sí	30.990-31.040	0.9914	0.9914	bé	fins a la prostitució no ja està bé.	sí	sí	sí	0.049	0.094	0.3821	-40.98	154.90	81.55	1638.45	0.140	pendent						B-dos-models	fins a la prostitució no ja està bé.	fins a la prostitució no hi estava.	fins a la prostitució no ja està bé.	17	30.990-31.040	0.050		484.73	1503.18	2358.34	48.52	154.90	0.00	1638.45	0.3821	0.140
195	A-triple-consens	9	pa-040	evidentment	103.93-106.95	clips/pa-040__evidentment__103.93.wav	qa-clips/pa-040__evidentment__103_93_106_95.txt	qa-clips-json/pa-040__evidentment__103_93.json	sí	105.810-106.120	0.8726	0.9560	Evidentment	que es poden fer més en positiu.  Evidentment hauria sigut un daltabaix,	sí	sí	sí	0.077	0.123	0.7267	-31.23	206.39	125.17	1104.92	0.040	pendent						B-dos-models	que es poden fer més en positiu.  Evidentment hauria sigut un daltabaix,	El que passa és que no s'han positiu.  Evidentment, hagués sigut un dalt a baix, que si no s'hagués.	que no s'ha de fer.	18	105.810-106.120	0.310	66.57	607.26	1633.82	2334.69	65.08	202.99	3.40	1104.92	0.7267	0.040
207	A-triple-consens	9	pa-045	a veure	340.93-345.91	clips/pa-045__a-veure__340.93.wav	qa-clips/pa-045__a-veure__340_93_345_91.txt	qa-clips-json/pa-045__a-veure__340_93.json	sí	345.020-345.090	0.9709	0.9821	a veure	No ho veiem perquè...  No ho veiem perquè per un luxe d'anar-ho a veure i per conservar-ho.	sí	sí	sí	0.069	0.011	0.6048	-30.84	303.18	110.24	951.19	0.080	pendent						B-dos-models	No ho veiem perquè...  No ho veiem perquè per un luxe d'anar-ho a veure i per conservar-ho.	No ho veiem perquè on l'ús s'ha de donar-ho a veure  i per conservar-ho, no ho veiem.	No ho veiem perquè...  No ho sé, no ho veiem.	19	345.020-345.090	0.070	70.93	479.78	1284.64	2565.99	56.17	272.44	30.74	951.19	0.6048	0.080
209	A-triple-consens	9	pa-045	clar	399.85-405.95	clips/pa-045__clar__399.85.wav	qa-clips/pa-045__clar__399_85_405_95.txt	qa-clips-json/pa-045__clar__399_85.json	sí	403.530-403.870;404.870-405.050	0.9012;0.9997	0.9012;0.9997	clar;clar	amb la qual estava bastant clar, semblava bastant clar.	sí	sí	sí	0.027	0.098	0.3257	-41.24	310.18	81.42	1552.50	0.160	pendent						B-dos-models	amb la qual estava bastant clar, semblava bastant clar.	No ho he fet, no ho he fet, no ho he fet, no ho he fet, no ho he fet.	amb el qual estava... amb res.  Amb el qual estava bastant clar.  Semblava bastant clar.	20	403.530-403.870	0.340		579.70	1314.42	2642.67	66.14	272.44	37.74	1552.50	0.3257	0.160
213	A-triple-consens	9	pa-046	bé	348.81-352.55	clips/pa-046__b__348.81.wav	qa-clips/pa-046__be__348_81_352_55.txt	qa-clips-json/pa-046__b__348_81.json	sí	351.130-351.370	0.8391	0.8391	bé	I volem avançar dins del camp, molt bé.	sí	sí	sí	0.053	0.095	0.3710	-40.27	250.30	75.44	1304.43	0.070	pendent						C-un-model	I volem avançar dins del camp, molt bé.	i volem avançar dins del càmodeu.	i volen pensar dins del camp.	21	351.130-351.370	0.240	98.90	715.74	2597.88	3914.06	61.09	216.65	33.65	1304.43	0.3710	0.070
225	A-triple-consens	9	pa-049	bueno	269.05-275.83	clips/pa-049__bueno__269.05.wav	qa-clips/pa-049__bueno__269_05_275_83.txt	qa-clips-json/pa-049__bueno__269_05.json	sí	274.610-274.840	0.8754	0.8754	Bueno	A vosaltres hi havia de més feia de... de més...  Sí, de més de descompte.  Bueno, de més de descompte...	sí	sí	sí	0.037	0.103	0.6864	-27.38	193.55	83.54	1446.33	0.060	pendent						B-dos-models	A vosaltres hi havia de més feia de... de més...  Sí, de més de descompte.  Bueno, de més de descompte...	El vostre aviat de més filla de més de d'escola.  De més de d'escola.	-Aquí, a mi. -A vostra via de més feia de...  -De més... -De més de més de més de més de més de més.  Bueno, de més de més de...	22	274.610-274.840	0.230	166.81	1035.86	2330.10	3429.25	57.32	229.09	-35.54	1446.33	0.6864	0.060
233	A-triple-consens	9	pa-055	a nivell	38.09-44.07	clips/pa-055__a-nivell__38.09.wav	qa-clips/pa-055__a-nivell__38_09_44_07.txt	qa-clips-json/pa-055__a-nivell__38_09.json	sí	38.450-39.280	0.8532	0.9241	a nivell	Però a nivell nacional, volia dir, per 89,	sí	sí	sí	0.075	0.040	0.4564	-41.54	272.57	46.78	1375.36	0.600	pendent						B-dos-models	Però a nivell nacional, volia dir, per 89,	Però l'hi veig nacional, bollet i pobvitant-neu, una qüestió.	però a nivell nacional volia dir, per 89,	23	38.450-39.280	0.830		794.55	1446.74	2640.90	33.71	272.57	0.00	1375.36	0.4564	0.600
247	A-triple-consens	9	pa-057	perquè	249.45-254.11	clips/pa-057__perqu__249.45.wav	qa-clips/pa-057__perque__249_45_254_11.txt	qa-clips-json/pa-057__perqu__249_45.json	sí	250.210-250.590	0.9119	0.9119	perquè	molt poc temps, perquè tot això es va fer al tomb de 8 mesos, o sigui.	sí	sí	sí	0.035	0.029	0.2414	-40.38	119.06	181.14	1584.57	0.130	pendent						C-un-model	molt poc temps, perquè tot això es va fer al tomb de 8 mesos, o sigui.	en un poc temps que vaig trobar a fer un tom de lluit més rostia.	"i molt poc temps per a això es va fer el ""Tom de I8"".  Més o ràpid."	24	250.210-250.590	0.380		969.80	2844.91	3678.28	53.94	226.75	-107.69	1584.57	0.2414	0.130
252	A-triple-consens	9	pa-058	és a dir	74.41-79.87	clips/pa-058__s-a-dir__74.41.wav	qa-clips/pa-058__es-a-dir__74_41_79_87.txt	qa-clips-json/pa-058__s-a-dir__74_41.json	sí	75.500-76.070	0.9532	0.9776	És a dir	sin enviure.  És a dir, que nosaltres podíem dins que volíem ser com un pa...	sí	sí	sí	0.040	0.090	0.6434	-29.49	264.22	44.11	910.98	0.100	pendent						C-un-model	sin enviure.  És a dir, que nosaltres podíem dins que volíem ser com un pa...	que volien ser com un pare.	i que no hi hagi una persona que no hagi tingut un lloc.	25	75.500-76.070	0.570	110.89	342.21	2315.24	2691.94	64.75	264.70	-0.48	910.98	0.6434	0.100
264	A-triple-consens	9	pa-061	a nivell	1357.21-1360.71	clips/pa-061__a-nivell__1357.21.wav	qa-clips/pa-061__a-nivell__1357_21_1360_71.txt	qa-clips-json/pa-061__a-nivell__1357_21.json	sí	1358.420-1359.180	0.8152	0.9262	a nivell	No vol dir que a nivell laboral la néixer.	sí	sí	sí	0.110	0.098	0.8851	-24.54	299.53	82.09	1409.18	0.080	pendent						B-dos-models	No vol dir que a nivell laboral la néixer.	No parlo de dir que a nivell d'La Brau planèria.	i que no hi hagi una altra.	26	1358.420-1359.180	0.760	142.96	716.20	1596.29	2488.07	65.84	219.47	80.05	1409.18	0.8851	0.080
268	A-triple-consens	9	pa-061	crec	428.85-435.63	clips/pa-061__crec__428.85.wav	qa-clips/pa-061__crec__428_85_435_63.txt	qa-clips-json/pa-061__crec__428_85.json	sí	430.790-430.850	0.9809	0.9809	crec	que hi ha una cosa que jo crec que és importantíssima,  que és el vinó.	sí	sí	sí	0.105	0.069	0.6095	-30.51	248.98	112.56	1470.60	0.060	pendent						B-dos-models	que hi ha una cosa que jo crec que és importantíssima,  que és el vinó.	Hi ha una cosa que jo crec que és important.	i que no es poden fer.  I això és molt important.	27	430.790-430.850	0.060	151.30	699.65	1719.22	2464.46	69.29	219.47	29.50	1470.60	0.6095	0.060
289	A-triple-consens	9	pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	qa-clips/pa-065__be__138_57_144_67.txt	qa-clips-json/pa-065__b__138_57.json	sí	140.040-140.340	0.9995	0.9995	bé	M'ho diu jo, molt bé, el cert que ve no el paradís,  va en marxar del paradís, però...	sí	sí	sí	0.019	0.082	0.3849	-41.67	262.04	130.00	1159.60	0.120	pendent						B-dos-models	M'ho diu jo, molt bé, el cert que ve no el paradís,  va en marxar del paradís, però...	M'agrada molt bé, el Serre Benopardis va marxar el paradis.	i el que va passar és que el que va passar és que el que va passar  va ser que el que va passar és que el que va passar és que el que va passar	28	140.040-140.340	0.300	125.83	440.27	1885.92	2382.21	59.86	197.97	64.08	1159.60	0.3849	0.120
