id_persona	nom_public	parroquia_o_ambit	rol_documentat	font_contextual	evidencia	limitacio
pa-065	Mossèn Ramon de Canillo	Canillo	rector de Canillo i fundador d'AINA	https://www.rtva.ad/ca/programes/entrevista-mossen-ramon-canillo-210820239	RTVA documenta que exerceix a la parròquia de Canillo des de 1966 i que va fundar AINA.	La font documenta trajectòria de vida, però no llengua inicial.
pa-066	Carles Sasplugas	Andorra la Vella	entrevistat sobre els aiguats de 1982	https://associacions.andorralavella.ad/node/311	El registre municipal d'associacions d'Andorra la Vella inclou Carles Sasplugas Vilagut com a vicepresident d'una entitat local; el nom és compatible amb el títol del vídeo RTVA. Cerca complementària: el Diari d'Andorra manté una pàgina d'autor de Joan Carles Sasplugas (https://www.diariandorra.ad/autores/joan-carles-sasplugas/), però no permet equiparar-lo amb el nom abreujat del vídeo.	No s'ha verificat encara que el nom abreujat del vídeo i el nom complet del registre siguin la mateixa persona, ni la llengua inicial. La pista Joan Carles Sasplugas tampoc no prova que sigui la mateixa persona.
pa-001	Albert Gelabert Grau	d'Arinsal, la Massana	síndic general 1991–1992; conseller general	https://www.consellgeneral.ad/ca/noticies/condecorat-amb-la-creu-dels-set-bracos-exsindic-general-gelabert	La notícia oficial documenta la trajectòria institucional; l’índex històric el situa al Mas de Ribafeta d’Arinsal de la Massana.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-002	Jordi Farràs Forné	Andorra la Vella	síndic general 1992–1993; conseller general 1986–1993	https://www.consellgeneral.ad/ca/noticies/condecorat-amb-la-creu-dels-set-bracos-jordi-farras-el-sindic-del-consell-constituent	La notícia oficial documenta el càrrec i que fou escollit per la parròquia d’Andorra la Vella.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-016	Olga Adellach Coma	Ordino	consellera general 1992–1993 i 2001–2011; ministra	https://www.consellgeneral.ad/ca/arxiu/arxiu-de-lleis-i-textos-aprovats-en-legislatures-anteriors/vi-legislatura-2011-2015/consellers-generals/olga-adellach-coma	La fitxa oficial documenta la trajectòria i la circumscripció parroquial d’Ordino.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-021	Josep Areny Fité	Consell General; parròquia no indicada a la fitxa consultada	conseller general 1992–2005	https://www.consellgeneral.ad/ca/arxiu/arxiu-de-lleis-i-textos-aprovats-en-legislatures-anteriors/i-legislatura-1994-1997/consellers-generals-del-1994-1997/josep-areny-fite	La fitxa oficial documenta la trajectòria parlamentària i la data de naixement.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-018	Miquel Aleix Areny	d'Escaldes-Engordany	cònsol menor 1983–1987; conseller general 1990–1997	https://www.consellgeneral.ad/ca/arxiu/arxiu-de-lleis-i-textos-aprovats-en-legislatures-anteriors/vi-legislatura-2011-2015/consellers-generals/miquel-aleix-areny	La fitxa oficial documenta la trajectòria i la circumscripció parroquial d’Escaldes-Engordany.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-020	Guillem Areny Argelich	de la Massana	conseller general 1992–1997	https://www.consellgeneral.ad/ca/el-consell-dandorra/el-consell-general-en-la-historia/publicacions/index-de-carrecs-institucionals-1133-2023	L’índex antroponímic oficial el situa a la Massana i registra els càrrecs de conseller.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-034	Rosa Maria Mandicó Alcobé	del Forn de Canillo	consellera general 1992–1993	https://www.consellgeneral.ad/actes-historiques/index-de-carrecs-institucionals-1133-2023	L’índex antroponímic oficial la situa al Forn de Canillo i registra el càrrec de consellera.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-038	Maria Reig Moles	Consell General; parròquia no indicada a la pàgina consultada	consellera general 1992–1993	https://www.consellgeneral.ad/ca/el-consell-dandorra/el-consell-general-en-la-historia/les-dones-al-consell-general	La pàgina institucional de les dones al Consell General la situa entre les conselleres de 1992–1993 i de la legislatura constituent.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-019	Pere Altimir Pintat	Consell General; parròquia no indicada a la referència consultada	conseller general; ponent de la Comissió Legislativa de Finances i Pressupost	https://www.consellgeneral.ad/fitxers/documents/bcg-2014/bcg-38-2014	El Butlletí oficial documenta la seva intervenció com a ponent parlamentari.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-022	Miquel Armengol Pons	d'Andorra	conseller general 1992–1993	https://www.consellgeneral.ad/ca/el-consell-dandorra/el-consell-general-en-la-historia/publicacions/index-de-carrecs-institucionals-1133-2023	L’índex antroponímic oficial el situa a Andorra i registra el càrrec de conseller.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-024	Ladislau Baró Solà	Consell General; parròquia no indicada a la fitxa consultada	conseller general en diverses legislatures	https://www.consellgeneral.ad/ca/arxiu/arxiu-de-lleis-i-textos-aprovats-en-legislatures-anteriors/ii-legislatura-1997-2001/consellers-generals-del-1997-2001/ladislau-baro-sola	La fitxa oficial documenta la trajectòria parlamentària i la data de naixement.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-003	Roser Bastida	Sant Julià de Lòria (context polític local)	consellera general; representant d’Unió Laurediana	https://www.rtva.ad/ca/noticies/politica/ul-es-deixa-estimar-da-i-liberals-dandorra	La notícia RTVA documenta la seva activitat parlamentària i la vinculació política amb Sant Julià de Lòria.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-048	Antoni Morell	la Massana / Escàs	escriptor, secretari general de la Sindicatura i ambaixador al Vaticà	https://www.rtva.ad/noticies/societat/mor-antoni-morell-principals-referents-literatura-andorrana	RTVA el descriu com un referent de la literatura andorrana, vinculat a Escàs (la Massana), amb trajectòria institucional a Andorra i entrevista al programa Identitats.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-049	Angelina Mas	Andorra (sufragisme)	sufragista andorrana i figura clau del sufragi femení	https://www.rtva.ad/ca/noticies/cultura/homenatge-sufragistes-andorranes-60-anys-despres	RTVA la identifica com una de les sufragistes andorranes i situa la seva participació en el projecte d’homenatge celebrat a Encamp i Escaldes-Engordany.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-043	Irene Clua	Encamp / Andorra	artista i autora del cartell del Dia de la Constitució	https://www.rtva.ad/ca/noticies/cultura/casa-vall-tancara-rehabilitacio-1-abril	RTVA identifica Irene Clua com l’artista del cartell del Dia de la Constitució i situa la seva obra en actes públics del Consell General i en una mostra d’Encamp.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-041	Mercè Segura	Andorra la Vella / Encamp	assessora pedagògica i secretària general de Càritas Andorrana	https://caritas.ad/wp-content/uploads/2021/04/CARITAS-MEMORIA-2023-web.pdf	La memòria pública de Càritas Andorrana la identifica com a secretària general; fonts sobre l’Escola Andorrana la situen com a assessora pedagògica a Andorra.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-044	Casimir Arajol	Andorra la Vella	pregoner, escriptor i figura vinculada a les tradicions locals	https://www.rtva.ad/noticies/societat/andorra-vella-festa-major	RTVA el presenta com a pregoner de la festa major d’Andorra la Vella, molt vinculat a les tradicions, la cultura i el teixit social d’Andorra.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-047	Gualbert Osorio	Andorra (trajectòria professional documentada)	periodista, director de Ràdio Andorra i autor sobre la història radiofònica del país	https://www.rtva.ad/programes/cau-dorella-amb-gualbert-osorio	RTVA descriu la seva arribada al país, la trajectòria periodística i la direcció de Ràdio Andorra; la font el situa com a periodista amb una llarga trajectòria al país.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-050	Àngels Mach	Andorra (Societat Andorrana de Ciències)	presidenta de la Societat Andorrana de Ciències i agent cultural	https://www.rtva.ad/programes/connectem-societat-andorrana-ciencies	RTVA identifica Àngels Mach com a presidenta de la Societat Andorrana de Ciències i documenta la seva activitat cultural i institucional al país.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-035	Josep Marsal Riba	Andorra (trajectòria institucional)	polític i expresident del Consell Superior de la Justícia	https://www.rtva.ad/programes/josep-marcal-180220251	RTVA el descriu com a protagonista de la transformació d’Andorra a la segona meitat del segle XX i documenta la seva trajectòria política i institucional.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-051	Josep Casal	Canillo	exministre i excònsol de Canillo	https://www.rtva.ad/ca/noticies/politica/mor-exministre-exconsol-canillo-josep-casal	RTVA identifica Josep Casal com a exministre i excònsol de Canillo i documenta la seva trajectòria política al país.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-009	Robert Lizarte	Canillo	director de Cultura i Tradicions del Comú de Canillo i historiador	https://www.rtva.ad/noticies/cultura/els-acordions-envaeixen-canillo	RTVA identifica Robert Lizarte com a director del Departament de Cultura de Canillo i el vincula a activitats de patrimoni i tradició andorrana.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-025	Jaume Bartumeu Cassany	Andorra la Vella / Andorra	conseller general, ministre i cap de Govern	https://www.consellgeneral.ad/ca/arxiu/arxiu-de-lleis-i-textos-aprovats-en-legislatures-anteriors/vi-legislatura-2011-2015/consellers-generals/jaume-bartumeu-cassany	La fitxa oficial del Consell General documenta la seva trajectòria institucional, la representació d’Andorra la Vella i el càrrec de cap de Govern.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-052	Rosa Vidal	Andorra (Ministeri de Salut)	cap d’àrea de Prevenció, Promoció i Vigilància de la Salut	https://www.rtva.ad/noticies/salut-f/nou-calendari-de-vacunacio-per-a-adults-gratuit-i-sense-recepta	RTVA identifica Rosa Vidal com a responsable de salut pública i recull la seva intervenció sobre el calendari de vacunació d’Andorra.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-015	Sara Ubach	Andorra (Patrimoni Cultural)	tècnica de Patrimoni Cultural del Govern d’Andorra	https://www.rtva.ad/noticies/cultura/el-patrimoni-mundial-d-andorra-a-la-viquipedia	RTVA identifica Sara Ubach com a tècnica de Patrimoni Cultural i recull la seva intervenció en una activitat institucional sobre el patrimoni mundial d’Andorra.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-005	Ludmilla Lacueva	Andorra	escriptora andorrana i autora de narrativa ambientada al país	https://www.rtva.ad/blog/recomanacions-de-llibres/10-propostes-regalar-llibre-sant-jordi	RTVA presenta Ludmilla Lacueva com a escriptora andorrana i documenta la seva obra i recerca vinculades a Andorra.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-004	Francina Pons	Andorra la Vella / Andorra	jurista i vicepresidenta de Velles Cases Andorranes	https://www.rtva.ad/programes/el-cafe-de-les-arts-amb-francina-pons	RTVA identifica Francina Pons en una entrevista sobre els molins d’Andorra, la justícia andorrana i la seva activitat cultural al país.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-008	Albert Roig	Ordino	fallaire i president de l’Associació de Cultura Popular d’Ordino	https://www.rtva.ad/noticies/cultura/ordino-inicia-la-festa-de-sant-pere-amb-la-plantada-del-mai	RTVA identifica Albert Roig com a president de l’Associació de Cultura Popular d’Ordino i fallaire, amb activitat pública vinculada a les tradicions andorranes.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-007	Alfred Llahí	Andorra / Escaldes-Engordany	periodista, historiador i expresentador de RTVA	https://www.rtva.ad/noticies/societat/alfred-llahi-repassa-la-seva-trajectoria-a-rtva-pels-30-anys-d-andorra-televisio	RTVA documenta la seva trajectòria professional a Andorra Televisió i la seva recerca sobre història i memòria del país.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-033	Antoni Jordi Areny	Escaldes-Engordany	conseller general per la parròquia d’Escaldes-Engordany	https://www.consellgeneral.ad/ca/arxiu/diari-oficial-del-consell-general-1/any-1992/dcg-2-1992/at_download/pdf	L’acta constitutiva oficial del Consell General l’identifica entre els consellers d’Escaldes-Engordany.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-032	Andreu Gaspà Picart	Ordino	conseller general per la parròquia d’Ordino	https://www.consellgeneral.ad/ca/arxiu/diari-oficial-del-consell-general-1/any-1992/dcg-2-1992/at_download/pdf	L’acta constitutiva oficial del Consell General l’identifica entre els consellers d’Ordino.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-027	Enric Casadevall Medrano	Andorra (Justícia)	president del Consell Superior de la Justícia	https://www.rtva.ad/noticies/societat/canolich-mingorance-jura-nova-magistrada-tribunal	RTVA identifica Enric Casadevall com a president del Consell Superior de la Justícia i documenta la seva activitat institucional al país.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-011	Esther Jover	Andorra (RTVA)	periodista i autora de peces informatives sobre el país	https://www.rtva.ad/noticies/cultura/casa-de-la-vall-mes-de-500-anys-d-historia-parlamentaria-a-andorra	RTVA signa la peça com a autora i la situa treballant sobre història i actualitat d’Andorra; cal distingir la veu de periodista de les veus entrevistades.	La font documenta activitat professional a RTVA, però no llengua inicial ni lloc de socialització lingüística.
pa-040	Jordi Torres Alís	d'Encamp	conseller general per la parròquia d'Encamp	https://www.consellgeneral.ad/ca/arxiu/diari-oficial-del-consell-general-1/any-1993/dcg-7-1993/at_download/pdf	Acta oficial del Consell General que l'identifica entre els representants d'Encamp en la legislatura constituent.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-039	Joan Santamaria Terré	de Sant Julià de Lòria	conseller general per la parròquia de Sant Julià de Lòria	https://www.consellgeneral.ad/ca/arxiu/diari-oficial-del-consell-general-1/any-1993/dcg-7-1993/at_download/pdf	Acta oficial del Consell General que l'identifica entre els representants de Sant Julià de Lòria en la legislatura constituent.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-036	Jordi Mas Torres	d'Encamp	conseller general per la parròquia d'Encamp	https://www.consellgeneral.ad/ca/arxiu/diari-oficial-del-consell-general-1/any-1992/dcg-9-1992/at_download/pdf	Acta oficial del Consell General que l'identifica entre els representants d'Encamp.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-012	Albert Rossa Naudí	Andorra la Vella (context documental)	persona esmentada en un document oficial amb context patrimonial local	https://www.consellgeneral.ad/fitxers/documents/lleis-1989-2002/llei-de-guarderies-infantils.pdf	El document oficial esmenta Albert Rossa Naudi en relació amb un immoble d'Andorra la Vella; serveix com a context local nominal, no com a biografia.	La font no confirma que sigui la mateixa persona del vídeo ni documenta llengua inicial o socialització lingüística.
pa-031	Josep Garrallà Rossell	de la Massana	conseller general per la parròquia de la Massana	https://www.consellgeneral.ad/ca/arxiu/diari-oficial-del-consell-general-1/any-1993/dcg-4-1993/at_download/pdf	Acta oficial del Consell General que l'identifica entre els consellers de la Massana.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-045	Eudald Guillamet	Andorra (activitat patrimonial)	restaurador i especialista en patrimoni cultural	https://www.consellgeneral.ad/ca/noticies/el-consell-general-inicia-els-estudis-del-pla-director-de-la-casa-de-la-vall	El Consell General el documenta com a restaurador i conservador de béns culturals, responsable amb Xavier Llovera del Pla Director de la Casa de la Vall.	La font documenta activitat professional a Andorra, però no llengua inicial ni lloc de socialització lingüística.
pa-037	Miquel Naudi Casal	de Soldeu, Canillo	conseller general de la legislatura constituent 1992–1993	https://www.consellgeneral.ad/actes-historiques/llibres-actes/estudi-sobre-les-actes-transcrites/index-de-carrecs-institucionals-1133-2023	L'índex antroponímic oficial el registra com a Miquel Naudí Casal, de Soldeu de Canillo, i hi documenta el càrrec de conseller el 1992 i el 1993.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-028	Robert Cassany Vila	Andorra la Vella	conseller general per la parròquia d'Andorra la Vella	https://www.consellgeneral.ad/ca/arxiu/diari-oficial-del-consell-general-1/any-1993/dcg-2-1993/at_download/pdf	L'acta oficial el situa entre els consellers generals d'Andorra la Vella i recull una intervenció seva en la legislatura constituent.	No documenta llengua inicial ni lloc de socialització lingüística.
pa-013	Ruth Casabella	Andorra (patrimoni cultural)	cap de Museus i Monuments del Govern d'Andorra	https://www.rtva.ad/ca/noticies/cultura/obren-portes-esglesies-romaniques	RTVA la identifica com a cap de Museus i Monuments del Govern en una peça sobre el patrimoni romànic d'Andorra.	La font documenta activitat professional al país, però no llengua inicial ni lloc de socialització lingüística.
pa-053	Pere Torres	Canillo / el Forn	ramaderia de muntanya i testimoni de l'Arxiu d'Etnografia d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0011.mp4.info	La fitxa de l'Arxiu identifica la peça «Vides de muntanya — Ramaderia d'alçada» i la situa a Casa Toni, Canillo/el Forn.	La fitxa documenta el lloc i l'àmbit etnogràfic, però no llengua inicial; l'ús queda limitat als termes educatius i de recerca de l'arxiu.
pa-054	Trini Mandicó Baró	Sispony, la Massana	testimoni sobre pagesia, escola i remeis a l'Arxiu d'Etnografia d'Andorra	https://www.arxiuenlinia.ad/fotoweb/archives/5005-Audiovisual/Audiovisual/AE/AE_0029.mp4.info	La fitxa de l'Arxiu identifica la peça «Vides de dones» i la situa a Casa Xarret de Sispony, amb context de pagesia, escola i remeis.	La fitxa documenta el lloc i l'àmbit etnogràfic, però no llengua inicial; l'ús queda limitat als termes educatius i de recerca de l'arxiu.
pa-010	Xavier Planas	Andorra (toponímia i riscos naturals)	geòleg i investigador de toponímia andorrana	https://www.govern.ad/ca/w/es-publica-el-treball-analisi-fisiografica-de-toponims-andorrans-d-arrel-preromana-1	El Govern documenta Xavier Planas com a geòleg i tècnic de riscos naturals, autor de l'estudi sobre toponímia preromana d'Andorra.	La font documenta activitat professional i recerca al país, però no llengua inicial ni lloc de socialització lingüística.
pa-014	Teo Armengol	Andorra la Vella	confrare escudellaire i investigador de la cultura popular	https://www.govern.ad/documents/d/guest/festes_patrimoni_immaterial-pdf-1?download=true	El document patrimonial del Govern recull el seu relat com a confrare escudellaire d'Andorra la Vella des de 1992.	La font documenta vinculació cultural local, però no llengua inicial ni lloc de socialització lingüística.
pa-046	Josep Areny	Soldeu, Canillo	hoteler i polític local	https://www.rtva.ad/programes/josep-areny-080120248	RTVA el presenta com a hoteler i polític dels anys noranta i situa la fonda familiar de Cal Calbó a Soldeu.	La font documenta trajectòria i localització professional, però no llengua inicial ni lloc de socialització lingüística.
pa-006	Alan Ward	Andorra la Vella / Andorra	enginyer, divulgador científic i membre de la Societat Andorrana de Ciències	https://associacions.andorralavella.ad/sac	El registre municipal d'associacions de la Societat Andorrana de Ciències hi inclou Alan Ward Koeck com a cap de secció.	La font documenta activitat associativa i professional a Andorra, però no llengua inicial ni lloc de socialització lingüística.
pa-042	Cielo	Escola Andorrana: Escaldes-Engordany, Andorra la Vella i la Margineda	cuinera de l'Escola Andorrana des de 1986	https://publicacions.iec.cat/repository/pdf/00000189/00000093.pdf; https://gam21espai.blogspot.com/2012/11/3-es-tota-una-vida-no.html	La publicació de memòria de l'Escola Andorrana identifica «la Cielo» com una cuinera de referència; el testimoni autobiogràfic descriu la seva feina des de 1986 i el pas per centres d'Escaldes, Andorra la Vella i la Margineda.	El registre públic només dona el nom de pila i no permet confirmar el nom civil ni la llengua inicial; cal mantenir la identitat com a provisional.
