expedient	nom	categoria	estat	evidencia	font
lead-rtva-019-lisa-cruz	Lisa Cruz	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/clau-19-desembre-2024-20559
lead-rtva-020-monica-bonell	Mònica Bonell	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/video-entrevista-monica-bonell-ministra-cultura-joventut
lead-rtva-021-bonaventura-riberaygua	Bonaventura Riberaygua	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/bonaventura-riberaygua-080120249
lead-rtva-022-josep-marsal	Josep Marsal	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/josep-marcal-180220251
lead-rtva-023-josep-maria-cases	Josep Maria Cases	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/ca/programes/josep-maria-cases-pgm23-210220250
lead-rtva-024-denisa-font	Denisa Font	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/denisa-170220259
lead-rtva-025-albert-gelabert	Albert Gelabert	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/memoria-dun-pais-pgm17_albert-gelabert-20606
lead-rtva-026-rosa-maria-mandico	Rosa Maria Mandicó	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/memoria-dun-pais-pgm16_rosa-maria-mandico-20608
lead-rtva-027-jordi-guillamet	Jordi Guillamet	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/memoria-dun-pais-pgm15_jordi-guillamet-20599
lead-rtva-028-pere-besoli	Pere Besolí	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/pere-besoli-080120241
lead-rtva-029-angelina-mas	Angelina Mas	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/angelina-mas-080120248
lead-rtva-030-casimir-arajol	Casimir Arajol	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/casimir-arajol-080120242
lead-rtva-031-ramon-rossell	Mossèn Ramon Rossell	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/mossen-ramon-rossell-080120249
lead-rtva-032-anna-riberaygua	Anna Riberaygua	arrelament_documentat	pendent_validacio_humana	RTVA presenta una trajectòria institucional, cultural o comunitària al Principat; no és prova automàtica de lloc de naixement	https://www.rtva.ad/programes/anna-riberaygua-080120245
lead-rtva-059-carles-ensenyat	Carles Ensenyat	institucional_andorrà	pendent_validacio_humana	font oficial RTVA/Consell: síndic general; nacionalitat individual a verificar separadament	https://www.rtva.ad/programes/discurs-del-sindic-general-amb-motiu-del-dia-de-meritxell-2026
lead-rtva-060-xavier-espot-actual	Xavier Espot	institucional_andorrà	pendent_validacio_humana	font oficial RTVA/Govern: cap de Govern; nacionalitat individual a verificar separadament	https://www.rtva.ad/noticies/societat/ensenyat-apel-la-al-coratge-per-canviar-allo-que-ja-no-respon-al-present
lead-rtva-061-antoni-morell	Antoni Morell	referent_andorrà_origen_extern	pendent_validacio_humana	RTVA: nascut a Barcelona i descrit com un dels grans referents de la literatura andorrana	https://www.rtva.ad/noticies/societat/mor-antoni-morell-principals-referents-literatura-andorrana
lead-yt-033-david-montane	David Montané	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=-Nn6jatvEAY
lead-yt-034-antoni-marti	Antoni Martí Petit	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=WAN5vuqAOhQ
lead-yt-035-cerni-escale	Cerni Escalé	institucional_andorrà	pendent_validacio_humana	Consell General: president del grup parlamentari de Concòrdia; nacionalitat individual a verificar separadament	https://www.youtube.com/watch?v=eRcBWJzHdyo
lead-yt-036-xavier-espot	Xavier Espot	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=MhGYlCSdtQ4
lead-yt-037-oscar-ribas	Òscar Ribas i Reig	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=9mXzxEA4Jlg
lead-yt-038-conxita-marsol	Conxita Marsol Riart	arrelament_documentat_origen_extern	pendent_validacio_humana	Govern: nascuda a Artesa de Segre; trajectòria pública andorrana documentada	https://www.youtube.com/watch?v=Nd1cHcMh-ks
lead-yt-039-marta-roure	Marta Roure	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=_mez8hd4Oxs
lead-yt-040-guillem-forne	Guillem Forné	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=I1QZRB8A5Y4
lead-yt-041-guillem-areny	Guillem Areny	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=8gerOARXiYM
lead-yt-042-andreu-gonzalez	Andreu González	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=4dWGHdqBL8A
lead-yt-043-oriol-agorreta	Oriol Agorreta	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=G001CWkBezs
lead-yt-044-laura-casanovas	Laura Casanovas	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=YVOqMgemCbY
lead-yt-045-arnau-rius	Arnau Rius	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=b5aQmIfpqR8
lead-yt-046-alberto-villagrasa	Alberto Villagrasa	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=82SaEquzEy4
lead-yt-047-katia-ustina	Katia Ustina	arrelament_no_verificat	pendent_validacio_humana	la font només identifica una secció de finances; no acredita nacionalitat ni residència	https://www.youtube.com/watch?v=KexXOfGSjVo
lead-yt-048-ander-mirambell	Ander Mirambell	no_apte_com_a_andorrà_nadiu	pendent_validacio_humana	biografia pròpia: nascut a Barcelona; veu convidada en un programa produït a Andorra	https://www.youtube.com/watch?v=I7Nv4edlBOI
lead-yt-049-joan-piquet	Joan Piquet	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=A8IQKfxQxtg
lead-yt-050-pau-chica	Pau Chica	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=SBenbl0lHpE
lead-yt-051-albert-vilaro	Albert Vilaró	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=2d_HBO8K29g
lead-yt-052-valenti-closa	Valentí Closa	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=VndqXBVK2tw
lead-yt-053-sonia-andorrita	Sonia	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=hW33qita_Vk
lead-yt-054-francesc-solana	Francesc Solana	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=a9FcTn5yjZ0
lead-yt-055-enric-flix	Enric Flix	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=ddITYkCxaxo
lead-yt-056-arnau-fortuny	Arnau Fortuny	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=1yJPzRkvyXw
lead-yt-057-gabriel-lezkano	Gabriel Lezkano	arrelament_no_verificat	pendent_validacio_humana	la font només identifica un músic; no acredita nacionalitat ni residència	https://www.youtube.com/watch?v=gqr2NK_dWCk8
lead-yt-058-nuria-pablos	Núria Pablos	arrelament_no_verificat	pendent_validacio_humana	vídeo produït o emès des d'Andorra; la font no basta per afirmar nacionalitat	https://www.youtube.com/watch?v=tcTwUEJjKz8
