id_persona	forma	clip	json	segments	estat
pa-009	doncs	clips/pa-009__doncs__139.25.wav	qa-clips-json/pa-009__doncs__139_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,000""},""offsets"":{""from"":0,""to"":6000},""text"":"" Doncs com podeu veure amb aquest esquema que tenim aquí al costat, tenim les parts de la campana.""}]"	pendent-audicio
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	qa-clips-json/pa-009__evidentment__947_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,480""},""offsets"":{""from"":0,""to"":4480},""text"":"" L'hora de venir, evidentment, si era l'estiu o era l'hivern, tant cabell""}]"	pendent-audicio
pa-009	o sigui	clips/pa-009__o-sigui__234.25.wav	qa-clips-json/pa-009__o-sigui__234_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,480""},""offsets"":{""from"":0,""to"":3480},""text"":"" però dintre de la mateixa campana, o sigui, a la vora,""}]"	pendent-audicio
pa-009	perquè	clips/pa-009__perqu__349.25.wav	qa-clips-json/pa-009__perqu__349_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,040""},""offsets"":{""from"":0,""to"":6040},""text"":"" perquè no hi ha exemplars com aquest i, més, tant ben conservats com el que us parlo ara.""}]"	pendent-audicio
pa-010	clar	clips/pa-010__clar__334.85.wav	qa-clips-json/pa-010__clar__334_85.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,600""},""offsets"":{""from"":0,""to"":3600},""text"":"" que ho són tant. Us acusaré un parell d'exemplos i ho veureu més clar.""}]"	pendent-audicio
pa-010	de fet	clips/pa-010__de-fet__647.25.wav	qa-clips-json/pa-010__de-fet__647_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,560""},""offsets"":{""from"":0,""to"":5560},""text"":"" i ho són, és de fet, en concret, el dia de ser fixeu-vos també en el detall amb l'esforç...""}]"	pendent-audicio
pa-010	doncs	clips/pa-010__doncs__24.65.wav	qa-clips-json/pa-010__doncs__24_65.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,800""},""offsets"":{""from"":0,""to"":4800},""text"":"" oponímia i risc geològics. I doncs vei avui com a col·laboració dins d'aquest""},{""timestamps"":{""from"":""00:00:04,800"",""to"":""00:00:07,200""},""offsets"":{""from"":4800,""to"":7200},""text"":"" cicle de capsules d'història en temps de confinament.""}]"	pendent-audicio
pa-010	llavors	clips/pa-010__llavors__386.25.wav	qa-clips-json/pa-010__llavors__386_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,500""},""offsets"":{""from"":0,""to"":5500},""text"":"" Allà, llavors, per intentar interpretar què devia voler dir en origen, aquest...""}]"	pendent-audicio
pa-010	perquè	clips/pa-010__perqu__196.65.wav	qa-clips-json/pa-010__perqu__196_65.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,840""},""offsets"":{""from"":0,""to"":4840},""text"":"" perquè també poden ser el reflex de noms fixats a la llengua que encara es fa.""}]"	pendent-audicio
pa-010	és a dir	clips/pa-010__s-a-dir__243.25.wav	qa-clips-json/pa-010__s-a-dir__243_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,000""},""offsets"":{""from"":0,""to"":5000},""text"":"" és a dir, interpretables o en tenuts dos mitjans en la nostra llengua actual.""}]"	pendent-audicio
pa-011	a veure	clips/pa-011__a-veure__551.81.wav	qa-clips-json/pa-011__a-veure__551_81.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,480""},""offsets"":{""from"":0,""to"":4480},""text"":"" acabo d'exposicions i activitats que tenen sempre a veure amb el patrimoni.""}]"	pendent-audicio
pa-011	bé	clips/pa-011__b__185.57.wav	qa-clips-json/pa-011__b__185_57.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,840""},""offsets"":{""from"":0,""to"":3840},""text"":"" a l'exterior de la casa es va molt bé, doncs, a aquesta...""}]"	pendent-audicio
pa-011	de fet	clips/pa-011__de-fet__557.25.wav	qa-clips-json/pa-011__de-fet__557_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,920""},""offsets"":{""from"":0,""to"":3920},""text"":"" de fet, quan es va inaugurar al pal, com a tal, als 16...""}]"	pendent-audicio
pa-011	doncs	clips/pa-011__doncs__61.49.wav	qa-clips-json/pa-011__doncs__61_49.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,800""},""offsets"":{""from"":0,""to"":6800},""text"":"" Escolti, què va passar, doncs que el 1435 l'Ereu de la Casa es va fer mitcari de l'Amassana.""}]"	pendent-audicio
pa-011	perquè	clips/pa-011__perqu__27.61.wav	qa-clips-json/pa-011__perqu__27_61.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,920""},""offsets"":{""from"":0,""to"":3920},""text"":"" Escolte, perquè era de la família Escolte, que vol dir...""}]"	pendent-audicio
pa-011	és a dir	clips/pa-011__s-a-dir__48.09.wav	qa-clips-json/pa-011__s-a-dir__48_09.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,800""},""offsets"":{""from"":0,""to"":5800},""text"":"" és a dir, una casa és tota la família i tot és les seves propietats.""}]"	pendent-audicio
pa-012	perquè	clips/pa-012__perqu__369.25.wav	qa-clips-json/pa-012__perqu__369_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,200""},""offsets"":{""from"":0,""to"":4200},""text"":"" perquè la gent es recordi d'aquestes eines.""}]"	pendent-audicio
pa-013	perquè	clips/pa-013__perqu__433.89.wav	qa-clips-json/pa-013__perqu__433_89.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,440""},""offsets"":{""from"":0,""to"":5440},""text"":"" Per què us sabem? Doncs perquè es conserven múltiples testimonis fotogràfics.""},{""timestamps"":{""from"":""00:00:05,440"",""to"":""00:00:07,440""},""offsets"":{""from"":5440,""to"":7440},""text"":"" Gràcies a Josep Elzina.""}]"	pendent-audicio
pa-013	és a dir	clips/pa-013__s-a-dir__579.17.wav	qa-clips-json/pa-013__s-a-dir__579_17.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,680""},""offsets"":{""from"":0,""to"":5680},""text"":"" torran. És a dir, l'arquitectura de granit es dona en un moment de reconversió gradual""},{""timestamps"":{""from"":""00:00:05,680"",""to"":""00:00:07,560""},""offsets"":{""from"":5680,""to"":7560},""text"":"" del nostre país, que passa de ser...""}]"	pendent-audicio
pa-014	aviam	clips/pa-014__aviam__875.45.wav	qa-clips-json/pa-014__aviam__875_45.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:02,000""},""offsets"":{""from"":0,""to"":2000},""text"":"" d'escoltar una cosa, es diu, escoteu, aviam.""},{""timestamps"":{""from"":""00:00:02,000"",""to"":""00:00:05,000""},""offsets"":{""from"":2000,""to"":5000},""text"":"" Imagineu-vos que les merdes apareixen.""},{""timestamps"":{""from"":""00:00:05,000"",""to"":""00:00:08,000""},""offsets"":{""from"":5000,""to"":8000},""text"":"" Què passa amb el contrapàs? Es deixarà de ballar.""}]"	pendent-audicio
pa-014	crec	clips/pa-014__crec__153.25.wav	qa-clips-json/pa-014__crec__153_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:07,720""},""offsets"":{""from"":0,""to"":7720},""text"":"" I jo crec que també hem hagut que li pugui l'interessar, que estigui interessat en aquesta cultura i en aquest àmbit, que és una mica...""}]"	pendent-audicio
pa-014	evidentment	clips/pa-014__evidentment__28.65.wav	qa-clips-json/pa-014__evidentment__28_65.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,400""},""offsets"":{""from"":0,""to"":3400},""text"":"" que és el nostre país, patrimoni cultural, evidentment.""},{""timestamps"":{""from"":""00:00:03,600"",""to"":""00:00:06,200""},""offsets"":{""from"":3600,""to"":6200},""text"":"" Quan em demanen per anar amb alguna escola""},{""timestamps"":{""from"":""00:00:06,400"",""to"":""00:00:08,840""},""offsets"":{""from"":6400,""to"":8840},""text"":"" per explicar quines són les tradicions i quines són...""}]"	pendent-audicio
pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	qa-clips-json/pa-014__o-sigui__658_45.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:17,000""},""offsets"":{""from"":0,""to"":17000},""text"":"" És a dir, els homes amb barretina, o sigui, amb pantolons de ballut, negres, faixa i barretina vermella, camisa blanca, mitjons blancs i bigatans.""}]"	pendent-audicio
pa-014	perquè	clips/pa-014__perqu__105.85.wav	qa-clips-json/pa-014__perqu__105_85.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:07,800""},""offsets"":{""from"":0,""to"":7800},""text"":"" per quin motiu, perquè en el seu moment es va tenir una sèrie de dubtes o dubtes,""},{""timestamps"":{""from"":""00:00:07,800"",""to"":""00:00:10,000""},""offsets"":{""from"":7800,""to"":10000},""text"":"" més que dubtes, vaig començar a buscar.""}]"	pendent-audicio
pa-015	doncs	clips/pa-015__doncs__83.25.wav	qa-clips-json/pa-015__doncs__83_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,860""},""offsets"":{""from"":0,""to"":3860},""text"":"" és important, doncs és important per una senzilla raó.""}]"	pendent-audicio
pa-015	perquè	clips/pa-015__perqu__86.25.wav	qa-clips-json/pa-015__perqu__86_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,360""},""offsets"":{""from"":0,""to"":5360},""text"":"" senzilla raó perquè és el poder econòmic del que seria la barroquínca.""}]"	pendent-audicio
pa-016	a nivell	clips/pa-016__a-nivell__333.81.wav	qa-clips-json/pa-016__a-nivell__333_81.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,520""},""offsets"":{""from"":0,""to"":6520},""text"":"" inclús recordo doncs fer sessions maratonianes a nivell de comissions sobre tot quan""}]"	pendent-audicio
pa-016	a veure	clips/pa-016__a-veure__369.73.wav	qa-clips-json/pa-016__a-veure__369_73.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,000""},""offsets"":{""from"":0,""to"":6000},""text"":"" I llavors a veure, tu quan saps que tens un termini per fer les coses, doncs...""}]"	pendent-audicio
pa-016	bé	clips/pa-016__b__170.05.wav	qa-clips-json/pa-016__b__170_05.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,280""},""offsets"":{""from"":0,""to"":4280},""text"":"" És una disolució, entres, encara, amb molta més responsabilitat de diòstres,""},{""timestamps"":{""from"":""00:00:04,280"",""to"":""00:00:06,280""},""offsets"":{""from"":4280,""to"":6280},""text"":"" és que ho hem de fer bé.""}]"	pendent-audicio
pa-016	clar	clips/pa-016__clar__175.69.wav	qa-clips-json/pa-016__clar__175_69.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:03,440""},""offsets"":{""from"":0,""to"":3440},""text"":"" Tenim un objectiu molt clar i l'hem de solit.""}]"	pendent-audicio
pa-016	de fet	clips/pa-016__de-fet__318.53.wav	qa-clips-json/pa-016__de-fet__318_53.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:02,440""},""offsets"":{""from"":0,""to"":2440},""text"":"" no ens passarien, perquè de fet,""},{""timestamps"":{""from"":""00:00:02,640"",""to"":""00:00:05,160""},""offsets"":{""from"":2640,""to"":5160},""text"":"" tant l'altra comissió que estava, que era la Comissió de Finances,""}]"	pendent-audicio
pa-016	doncs	clips/pa-016__doncs__62.33.wav	qa-clips-json/pa-016__doncs__62_33.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:02,720""},""offsets"":{""from"":0,""to"":2720},""text"":"" que em diu \""filling a xis polític\"".""},{""timestamps"":{""from"":""00:00:02,800"",""to"":""00:00:04,800""},""offsets"":{""from"":2800,""to"":4800},""text"":"" I em diu \""tu sí que sí, no?\""""},{""timestamps"":{""from"":""00:00:04,880"",""to"":""00:00:07,040""},""offsets"":{""from"":4880,""to"":7040},""text"":"" Doncs has d'anar a la teva paraula. Dic \""sí, sí\"".""}]"	pendent-audicio
pa-016	evidentment	clips/pa-016__evidentment__456.85.wav	qa-clips-json/pa-016__evidentment__456_85.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,480""},""offsets"":{""from"":0,""to"":5480},""text"":"" I, evidentment, si has de dir alguna cosa, ho dius a les sessions que tens intern.""}]"	pendent-audicio
pa-016	llavors	clips/pa-016__llavors__15.05.wav	qa-clips-json/pa-016__llavors__15_05.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,000""},""offsets"":{""from"":0,""to"":4000},""text"":"" i llavors li toca el meu marit ser darrere de contes, i és així.""}]"	pendent-audicio
pa-016	perquè	clips/pa-016__perqu__79.77.wav	qa-clips-json/pa-016__perqu__79_77.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,000""},""offsets"":{""from"":0,""to"":6000},""text"":"" a mi em posa moltíssim, perquè a més era al principi i pensava que m'hagués quedat.""}]"	pendent-audicio
pa-016	vull dir	clips/pa-016__vull-dir__322.53.wav	qa-clips-json/pa-016__vull-dir__322_53.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:04,160""},""offsets"":{""from"":0,""to"":4160},""text"":"" d'esqueles que van fer, les van passar, vull dir, que va ser així.""}]"	pendent-audicio
pa-017	a nivell	clips/pa-017__a-nivell__143.25.wav	qa-clips-json/pa-017__a-nivell__143_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,960""},""offsets"":{""from"":0,""to"":5960},""text"":"" Jo penso que totes les parts implicades a nivell de totes les parròquies""}]"	pendent-audicio
pa-017	clar	clips/pa-017__clar__34.45.wav	qa-clips-json/pa-017__clar__34_45.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:02,960""},""offsets"":{""from"":0,""to"":2960},""text"":"" No és el fet de ser els primers o no els primers.""},{""timestamps"":{""from"":""00:00:02,960"",""to"":""00:00:07,040""},""offsets"":{""from"":2960,""to"":7040},""text"":"" Nosaltres teníem clar que havíem de fer el pas.""}]"	pendent-audicio
pa-017	doncs	clips/pa-017__doncs__459.25.wav	qa-clips-json/pa-017__doncs__459_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:05,000""},""offsets"":{""from"":0,""to"":5000},""text"":"" I perfecte, doncs a partir d'aquí, sempre ja que et dubte de sapiguer,""}]"	pendent-audicio
pa-017	llavors	clips/pa-017__llavors__361.25.wav	qa-clips-json/pa-017__llavors__361_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:01,000""},""offsets"":{""from"":0,""to"":1000},""text"":"" perroquial.""},{""timestamps"":{""from"":""00:00:01,080"",""to"":""00:00:06,440""},""offsets"":{""from"":1080,""to"":6440},""text"":"" Llavors, algunes perroquies bloquejarem completament el comú.""},{""timestamps"":{""from"":""00:00:06,520"",""to"":""00:00:07,520""},""offsets"":{""from"":6520,""to"":7520},""text"":"" Nosaltres anirem consignant.""}]"	pendent-audicio
pa-017	perquè	clips/pa-017__perqu__4.25.wav	qa-clips-json/pa-017__perqu__4_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:07,000""},""offsets"":{""from"":0,""to"":7000},""text"":"" Però vam anar molt a l'il·lusió, perquè la Constitució, nosaltres, realment, és el que ens interessa.""}]"	pendent-audicio
pa-017	tirar endavant	clips/pa-017__tirar-endavant__49.85.wav	qa-clips-json/pa-017__tirar-endavant__49_85.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:02,800""},""offsets"":{""from"":0,""to"":2800},""text"":"" i les decisions que em perpugui tirar endavant,""},{""timestamps"":{""from"":""00:00:02,880"",""to"":""00:00:05,560""},""offsets"":{""from"":2880,""to"":5560},""text"":"" amb tot el que era la justícia, l'immigració.""}]"	pendent-audicio
pa-017	vull dir	clips/pa-017__vull-dir__272.25.wav	qa-clips-json/pa-017__vull-dir__272_25.json	"[{""timestamps"":{""from"":""00:00:00,000"",""to"":""00:00:06,480""},""offsets"":{""from"":0,""to"":6480},""text"":"" Vull dir, nosaltres entraiem en una proporcional nacional.""}]"	pendent-audicio
