id_persona	forma	clip	small	base	greedy	categoria	text_small	text_base	text_greedy
pa-014	evidentment	clips/pa-014__evidentment__28.65.wav	sí	sí	no	B-dos-models	que és el nostre país, patrimoni cultural, evidentment.  Quan em demanen per anar amb alguna escola  per explicar quines són les tradicions i quines són...	a tremoni cultural, evidentment. Quan em demanem parlant amb alguna escola per explicar  qui no són les tradicions i qui no són les eleccions.	per a l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de l'estratègia de
pa-014	perquè	clips/pa-014__perqu__105.85.wav	sí	sí	sí	A-tres-models	per quin motiu, perquè en el seu moment es va tenir una sèrie de dubtes o dubtes,  més que dubtes, vaig començar a buscar.	Per què et motiu?  Perquè en el seu moment voldria estar-hi una sèrie de dubtes,  o dubtes més que dubtes,  Bé, vaig començar a veure...	per quin motiu?  Perquè en el seu moment,  es va tenir una sèrie de dubtes,  més que dubtes,  vaig començar a buscar.
pa-015	doncs	clips/pa-015__doncs__83.25.wav	sí	sí	sí	A-tres-models	és important, doncs és important per una senzilla raó.	que és important, doncs és important per una senzilla rau.	"és important. Doncs per ""és important"" per una senzilla rau."
pa-016	bé	clips/pa-016__b__170.05.wav	sí	no	sí	B-dos-models	És una disolució, entres, encara, amb molta més responsabilitat de diòstres,  és que ho hem de fer bé.	És una disolució, mentre ens encarà amb molta responsabilitat de diòstres,  és que bon de febre, amb de...	"És una disolució, entres encara amb molta més responsabilitat de dir  ""estàs bé, hem de fer bé""."
pa-016	clar	clips/pa-016__clar__175.69.wav	sí	sí	sí	A-tres-models	Tenim un objectiu molt clar i l'hem de solit.	I hem de tenir un objectiu molt clar i hem d'assolir.  Al fet de que...	Tenim un objectiu molt clar i l'hem de solit.
pa-016	perquè	clips/pa-016__perqu__79.77.wav	sí	sí	sí	A-tres-models	a mi em posa moltíssim, perquè a més era al principi i pensava que m'hagués quedat.	A mi m'imposaré moltíssim, perquè més era el principi i pensé que més...	a mi em posava moltíssim, perquè a més era al principi,  i pensava que m'havia de fer una cosa.
pa-017	clar	clips/pa-017__clar__34.45.wav	sí	sí	sí	A-tres-models	No és el fet de ser els primers o no els primers.  Nosaltres teníem clar que havíem de fer el pas.	Nosaltres teníem clar que havíem de fer el pas,	No és el fet de ser els primers o no els primers.  Nosaltres teníem clar que havíem de fer el pas.
pa-017	doncs	clips/pa-017__doncs__459.25.wav	sí	sí	sí	A-tres-models	I perfecte, doncs a partir d'aquí, sempre ja que et dubte de sapiguer,	I perfecte, doncs a partir d'aquí, sempre ja que duté desenvolupar-te, és	i perfecte.  Doncs a partir d'aquí, sempre ja que et dubte,  desapigué, és que...
pa-018	crec	clips/pa-018__crec__7.49.wav	sí	sí	sí	A-tres-models	i després jo crec que el problema que hi ha dels 78 és que...	I després, jo crec que el problema que hi ha dels 78 és de què...	i després jo crec que el problema que hi ha del 78 és que...
pa-018	perquè	clips/pa-018__perqu__91.09.wav	sí	sí	sí	A-tres-models	i resòria, perquè no podíem acabar mai de decidir que una cosa...	i resoria perquè no podíem acabar mai de decidir que una mica.	i resòria, perquè no podíem acabar mai de decidir que una cosa...
pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	sí	sí	sí	A-tres-models	la Constitució és amb qualsevol tema que entrés a nivell de comissions.	amb la Constitució, som, quan se vol té vegades que entres a nivell de comissions.	i la Constitució és un qualsevol tema que entre a nivell de comissions.
pa-019	bé	clips/pa-019__b__195.25.wav	sí	sí	sí	A-tres-models	i buscàvem qui era la fórmula que ens encaixava més bé.	i buscàvem la fórmula que ens encaixava més bé.	i buscàvem qui era la fórmula que ens encaixava més bé.
pa-019	crec	clips/pa-019__crec__27.25.wav	sí	sí	sí	A-tres-models	i en aquell moment jo crec que en Dorre necessitava.	en aquell moment, jo crec que en dos repos necessitaven,  per entrar al llibre.	i en aquell moment jo crec que en Dorre necessitava.
pa-019	diguem	clips/pa-019__diguem__109.25.wav	sí	sí	sí	A-tres-models	I va haver una certa, diguem-ne, un bon feeling, no?	I m'ha aviat una certa, diguem-ne, un bon fillig, no?	i va haver una certa... diguem-ne, un bon feeling, no?
pa-019	llavors	clips/pa-019__llavors__422.25.wav	sí	no	sí	B-dos-models	perquè ens donava eines per poder fer més coses  de les que podíem fer fins al llavors.  Aquest era el missatge.	perquè ens donava eines per fer més coses als que podíem fer fins allà.	perquè ens donava eines per poder fer més coses  que podíem fer fins al llavors.
pa-020	bé	clips/pa-020__b__146.37.wav	sí	sí	sí	A-tres-models	en aquell moment potser no eren ben bé del mateix equip.	En aquell moment potser no eren ben bé del mateix equip,  però...	i els consuls, en aquell moment, potser no eren ben bé del mateix equip,
pa-021	crec	clips/pa-021__crec__115.53.wav	sí	sí	sí	A-tres-models	I jo crec que el fet de que amb el consell anterior passés el que va passant.	Jo crec que el fet de què m'alconseguin anterior  va ser el que va passar.	i és molt fàcil.  Jo crec que el fet que me'l consella anterior  passés el que va passant.
pa-021	perquè	clips/pa-021__perqu__15.45.wav	sí	no	sí	B-dos-models	em van convèncer, doncs, perquè fos candidat.	en van convencer, doncs per què fos candidat.	perquè em van convèncer perquè fos candidat.
pa-022	clar	clips/pa-022__clar__107.73.wav	sí	sí	sí	A-tres-models	l'objectiu tenia molt clar que s'hi jugava molt.	L'objectiu tenia molt clar que t'he jugat molt.  Perquè si no se'n volia.	que el seu objectiu tenia molt clar que es jugava molt.
pa-022	crec	clips/pa-022__crec__243.73.wav	sí	sí	sí	A-tres-models	I jo crec que un factor important és el canvi generacional, també, entreu.	Jo crec que un factor important és al canvi d'internacional, també, entreu.	Jo crec que un factor important és el canvi generacional, també, entre un.
pa-023	a nivell	clips/pa-023__a-nivell__418.57.wav	sí	no	sí	B-dos-models	i després també a nivell d'agricultura.	i després també aniré de agricultura.	i després també a nivell d'agricultura.
pa-025	crec	clips/pa-025__crec__4.25.wav	sí	sí	sí	A-tres-models	Jo crec que el que es volia era trobar la manera d'arribar.	Jo crec que es vulguiere trobarà la manera de arribar.	Jo crec que el que es volia era trobar la manera de arribar.
pa-025	perquè	clips/pa-025__perqu__37.17.wav	sí	sí	sí	A-tres-models	molt grans perquè abans no els deixaven votar, que eren...	molt aglents perquè abans no els deixaven votar, que eren...	perquè abans no els deixaven votar, que eren...
pa-026	a nivell	clips/pa-026__a-nivell__38.25.wav	sí	no	no	C-un-model	A.  Però a nivell nacional volia dir...	Ah, però l'hivern nacional búria de l'estat.	i que ha de ser un llibre de la Generalitat.
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	sí	sí	sí	A-tres-models	La diferència és que la reformeta tractava amb assaig.	ho vam aconseguir. La diferència és que la reformeta tractàvem missatge.	i ho veiem aconseguir.  La diferència és que la reformeta tractàvem massatge.
pa-027	crec	clips/pa-027__crec__8.81.wav	sí	sí	sí	A-tres-models	I ho recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.	i jo recordo perquè no crec que era l'arradió i no sé si hi havia televisió en aquest moment.  En l'alcult de l'alcult de l'alcult.	Jo recordo perquè no crec que era la ràdio,  no sé si havia televisió en aquest moment.
pa-027	evidentment	clips/pa-027__evidentment__174.09.wav	sí	sí	sí	A-tres-models	Per tant, finances, evidentment, pels pressupostos i...	per tant, finançes, evidentment, pel pressupost i...	per la prostitució.  Per tant, finances, evidentment, per el pressupost i...
pa-028	bé	clips/pa-028__b__182.49.wav	sí	sí	no	B-dos-models	i ho veiem, continuem com estàvem, que hem estat molt bé fins ara.	Continuem com estàvem que m'han estat molt bé fins ara.	i que no hi hagi una altra.
pa-028	doncs	clips/pa-028__doncs__329.33.wav	sí	sí	sí	A-tres-models	No era igual.  Doncs conyes que realment té un valor de cada institució.  Jo trobava...	Doncs conyes que, realment, en valora que t'acosti tu, si ho trobava...	i que, igual, doncs conyes que realment té un valor que té constitució.
pa-029	a nivell	clips/pa-029__a-nivell__417.09.wav	sí	no	sí	B-dos-models	que es volien els 4 a nivell nacional i l'aconseguiria.	i xarquatres, o que els altres volien als quadren i veig nacional,  i l'aconseguiria.	i això ha de deixar a quatre,  a algú que els valta els quatre a nivell nacional.
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	sí	sí	sí	A-tres-models	i que véssim també d'autodisoldre per la incapacitat de poder tirar endavant.	i que veiem també d'autodisoldre per a l'incapacitat de poder tirar endavant.	i que véssim també d'autodisoldre per la incapacitat de poder tirar endavant.
pa-030	crec	clips/pa-030__crec__346.45.wav	sí	sí	sí	A-tres-models	perquè jo crec que hi ha alguns que em donen la sensació	Per què jo crec que hi ha alguns que em donen a sensació que n'hi espanyol.	perquè jo crec que hi ha alguns que em donen una sensació
pa-030	evidentment	clips/pa-030__evidentment__43.53.wav	sí	sí	sí	A-tres-models	com estaven, doncs evidentment no era el nostre tarannà.  Per almenys el meu.	com estaven, doncs evidentment no era el nostre tarant.  Per la menys del meu.	com estaven, doncs evidentment no era el nostre tarantà.  Per almenys el meu.
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	sí	sí	no	B-dos-models	Bé, vull dir també, perquè cal recordar-ho.	Bé, vull dir també perquè cal recordar-ho.	i que no hi hagi una altra part de l'independentisme.
pa-031	crec	clips/pa-031__crec__87.01.wav	sí	sí	sí	A-tres-models	de sort, però realment jo crec que l'esperit de la gent no hi ha ni pensat.	de sort, però, realment, jo crec que l'esprit de la gent no hi hagi	de sort, però realment jo crec que l'esperit de la gent no hi ha ni per a la gent.
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	sí	sí	sí	A-tres-models	I, de fet, no em va portar ningú, jo em vaig portar...	i de fet, no em va portar d'ingú, jo em vaig portar.	i, de fet, no em va portar ningú.
pa-032	bueno	clips/pa-032__bueno__44.73.wav	sí	sí	sí	A-tres-models	I, bueno, l'últim, la psiga 4 que ens vam apuntar i vam dir que era capaç.	I bueno, l'últim bapsig que quatre que ens ho vam apuntar i van dir que era que fàcil.	i bueno, l'últim, la psiquia 4 que ens vam apuntar i vam dir que era capaç.
pa-033	bé	clips/pa-033__b__103.09.wav	sí	sí	sí	A-tres-models	que ja estem bé com estem i no ho toquem, que tot es fa molt bé.	que ja estem bé com estem i no ho trobem,  que tot es fa mal bé, i l'hi també hi va ser.	i estem bé com estem i no ho toquem, que tot es fa molt bé.
pa-033	vull dir	clips/pa-033__vull-dir__56.25.wav	sí	no	sí	B-dos-models	perquè, clar, vull dir, tothom veia les exigències que tenien al sol.	"que el clar va dir ""tot amb ell i em va dir les exigències que tenia en el seu""."	perquè, clar, vull dir, tot el que veia és...  Dels exigències que tenien al centre.
pa-034	a veure	clips/pa-034__a-veure__94.05.wav	sí	sí	sí	A-tres-models	Em va venir a veure, perquè, clar, ja sabia de començar a preparar,	que la vaig fer a la vació.  Podíem venir a veure, perquè clar, ja s'havia de començar a preparar,  avui dels candidats.	i em va venir a veure, perquè, clar, ja sabia de començar a preparar,  les candidats.
pa-034	tirar endavant	clips/pa-034__tirar-endavant__690.33.wav	sí	sí	sí	A-tres-models	Però, esclar, també d'entendre que si volíem tirar endavant.	No? Però clar, també d'entendre que si volíem tirar endavant.	Però, clar, també d'entendre que si volíem tirar endavant.
pa-035	crec	clips/pa-035__crec__872.77.wav	sí	sí	sí	A-tres-models	jo no crec que s'hagi de canviar massa, massa sovint d'una constitució.	Jo no crec que s'haig de canviar massa, massa subindulant la costidució.  Adéixeu-ne.	Jo no crec que s'ha de canviar massa, massa subint una constitució.
pa-036	a nivell	clips/pa-036__a-nivell__386.45.wav	sí	sí	sí	A-tres-models	Tot i que les relacions entre en Gàmels i altres parroquis  no eren bones a nivell electoral no s'havia perdut.	Tots i que les reglacions entrenganm i altres perroquies  no eren bones a nivell electoral, no s'havia perdut.	tot i que les relacions entre en Gàmels i altres parroquis  no eren bones a nivell electoral no s'havia perdut.
pa-036	bé	clips/pa-036__b__69.45.wav	sí	sí	sí	A-tres-models	el coprincipat. El coprincipat ens ha vingut molt bé i pensàvem que aquest hauria de continuar i així ens ha sigut.	el cop principal ens ha vingut molt bé  i pensàvem que aquestes viuen continuar  i així ens ha sigut.	El coprincipat ens ha vingut molt bé i pensàvem que aquest havia de continuar.
pa-036	clar	clips/pa-036__clar__136.45.wav	sí	sí	no	B-dos-models	fos una mena d'eleccions ja amb un objectiu més clar que anar més enllà de les reformes que s'està fent,	Fos una mena de eleccions, ja amb un objectiu més clar,  que en el més enllà de les reformes que s'està fent,  si no hi ha d'anar d'aquestes.	que s'està fent.
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	sí	sí	sí	A-tres-models	A més enllà, ens va costar fer aquest pas important,  després, evidentment, entrem a la legislatura crítica  o a la més forta que hi ha.	va costar fer aquest pas important, després evidentment entre la legislatura crítica o la més forte.	i no ens van anar més enllà.  Ens va costar fer aquest pas important.  Després, evidentment, entrem a la legislatura crítica
pa-038	bé	clips/pa-038__b__26.77.wav	sí	sí	sí	A-tres-models	No està bé considerada com un estat real.	No està bé considerada com un estat real.	No està bé considerada com un estat real.
pa-038	crec	clips/pa-038__crec__220.69.wav	sí	sí	sí	A-tres-models	Bé, jo crec que l'atac de nacionalisme que ens va moure...	Jo crec que la tac de nacionalisme que ens va morir.	Bé, jo crec que l'atac de nacionalisme que ens va moure...
pa-038	reformeta	clips/pa-038__reformeta__1821.69.wav	sí	sí	sí	A-tres-models	o com vulguis, segueixen contentat amb una reformeta.	que ho vulguis, s'agressen a contentar-te amb una reformeta.	que ho convolguis, segueixen contentat amb una reformeta.
pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	sí	sí	sí	A-tres-models	Ja et dic que els agents exteriors siguin ja no vull dir quins, però...	Ja et dic els agents exteriors, sigui ja no vull dir quins, però...	Ja et dic que els agents exteriors siguin... ja no vull dir quins, però...
pa-039	bé	clips/pa-039__b__27.77.wav	sí	no	sí	B-dos-models	fins a la prostitució no ja està bé.	fins a la prostitució no hi estava.	fins a la prostitució no ja està bé.
pa-039	crec	clips/pa-039__crec__90.85.wav	sí	sí	sí	A-tres-models	i ho explicarà, doncs jo crec que a aquest home va voler marcar...	m'ho explicarà.  Doncs jo crec que aquesta meva vulguer marcar...	i ho explicarà.  Doncs jo crec que a aquest home hi va voler marcar...
pa-040	crec	clips/pa-040__crec__4.37.wav	sí	sí	sí	A-tres-models	Jo crec que he pogut entrar en càrregues.	Jo crec que desput entrar gairebé sigut...	Jo crec que he pogut entrar a càrrecs.
pa-040	de fet	clips/pa-040__de-fet__70.17.wav	sí	sí	sí	A-tres-models	que tu et trobaves i, de fet, el meu pare el portarà sempre sobre què hi pinc.	que ho trobava, i de fet el meu pare el portarés sempre sobre què hi pensem per el portar.	i de fet el meu pare el portava sempre sobre aquell pin.
pa-040	evidentment	clips/pa-040__evidentment__103.93.wav	sí	sí	no	B-dos-models	que es poden fer més en positiu.  Evidentment hauria sigut un daltabaix,	El que passa és que no s'han positiu.  Evidentment, hagués sigut un dalt a baix, que si no s'hagués.	que no s'ha de fer.
pa-041	crec	clips/pa-041__crec__56.25.wav	sí	sí	sí	A-tres-models	als pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.	Els pares jo crec que van fer una feina molt important  amb aquells primers anys a l'escola d'orana.	els pares jo crec que van fer una feina molt important  amb aquells primers anys de l'escola en d'Orrana.
pa-043	crec	clips/pa-043__crec__102.25.wav	sí	sí	sí	A-tres-models	per mi l'escola andorrana és una identitat no, jo crec.	que està a dir.  Per mi l'escola Endor Rana és que es veu una identitat, no, jo crec.  És a dir, tots els albertats.	per mi l'escola en d'Orrana és una identitat no, jo crec.
pa-045	a veure	clips/pa-045__a-veure__340.93.wav	sí	sí	no	B-dos-models	No ho veiem perquè...  No ho veiem perquè per un luxe d'anar-ho a veure i per conservar-ho.	No ho veiem perquè on l'ús s'ha de donar-ho a veure  i per conservar-ho, no ho veiem.	No ho veiem perquè...  No ho sé, no ho veiem.
pa-045	clar	clips/pa-045__clar__399.85.wav	sí	no	sí	B-dos-models	amb la qual estava bastant clar, semblava bastant clar.	No ho he fet, no ho he fet, no ho he fet, no ho he fet, no ho he fet.	amb el qual estava... amb res.  Amb el qual estava bastant clar.  Semblava bastant clar.
pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	sí	sí	sí	A-tres-models	que tenen senyor o, evidentment,  en una sèrie de condicions molt clares,  d'un nombre de persones.	que tenen senyar-ho, evidentment, amb una sèrie de condicions molt clares,  perquè hi ha nombre de persones.	que tenen senyor o, evidentment,  en una sèrie de...  de condicions molt clares,  dir-ho amb la de persona.
pa-046	bé	clips/pa-046__b__348.81.wav	sí	no	no	C-un-model	I volem avançar dins del camp, molt bé.	i volem avançar dins del càmodeu.	i volen pensar dins del camp.
pa-048	a nivell	clips/pa-048__a-nivell__435.77.wav	sí	sí	sí	A-tres-models	perquè, normalment, quan t'inviten a nivell oficial, t'inviten a tal...	No, perquè normalment quan t'imbitan a nivell oficial t'imbitan a tal...	No, perquè normalment, quan t'inviten a nivell oficial,
pa-048	crec	clips/pa-048__crec__110.97.wav	sí	sí	sí	A-tres-models	Si hi ha cel, jo no crec ni en l'infern, ni en el purgatori, ni en el cel.	Si hi ha cel, jo no crec ni el meu infern, ni el purgatori, ni el cel.	Si hi ha cel, jo no crec ni en l'inferna, ni el purgatori, ni el cel.
pa-049	bueno	clips/pa-049__bueno__269.05.wav	sí	no	sí	B-dos-models	A vosaltres hi havia de més feia de... de més...  Sí, de més de descompte.  Bueno, de més de descompte...	El vostre aviat de més filla de més de d'escola.  De més de d'escola.	-Aquí, a mi. -A vostra via de més feia de...  -De més... -De més de més de més de més de més de més.  Bueno, de més de més de...
pa-049	crec	clips/pa-049__crec__371.85.wav	sí	sí	sí	A-tres-models	M'agradaria que no hi havia res.  Jo crec que en aquella època, pràcticament tot devia ser necessari,  per la falta, precisament, de tot el que hi havia aquí al país.	I jo crec que amb aquella època va ser necessari per la palta,  precisament de tot el que hi havia aquí el país.	i que no hi havia res.  Jo crec que en aquella època pràcticament tot devia ser necessari  per la falta, precisament, de tot el que hi havia aquí al país.
pa-054	bueno	clips/pa-054__bueno__51.69.wav	sí	sí	sí	A-tres-models	I, bueno, era la primera fase.	I, bueno, és el primer fàjum i l'àmbit.	i, bueno, és el primer pas.
pa-055	a nivell	clips/pa-055__a-nivell__38.09.wav	sí	no	sí	B-dos-models	Però a nivell nacional, volia dir, per 89,	Però l'hi veig nacional, bollet i pobvitant-neu, una qüestió.	però a nivell nacional volia dir, per 89,
pa-055	perquè	clips/pa-055__perqu__148.53.wav	sí	sí	sí	A-tres-models	Ja t'ho dic tot, perquè no em vull ascendre.	d'haurit tot, perquè no em vull ascender...	i a turist.  Perquè no em vull ascendre.
pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	sí	sí	sí	A-tres-models	La diferència és que la reformeta tractava amb missatges.	La diferència és que la reformeta tracta ben missatge.	La diferència és que la reformeta tractava amb missatges.
pa-056	clar	clips/pa-056__clar__62.45.wav	sí	sí	sí	A-tres-models	Jo tenia molt clar que s'havia de canviar la manera de fer.	Això tenia molt clar de que s'havia de canviar a la manera d'exferir.	Jo tenia molt clar que s'havia de canviar de manera de fer.
pa-056	crec	clips/pa-056__crec__347.05.wav	sí	sí	sí	A-tres-models	perquè jo crec que hi ha alguns que em donen una sensació	Perquè jo crec que hi ha alguns que em donen associacions  que n'hi esparran.	perquè jo crec que hi ha alguns que em donen una sensació
pa-056	evidentment	clips/pa-056__evidentment__43.45.wav	sí	sí	sí	A-tres-models	com estaven, doncs evidentment no era el nostre tarannà,  per almenys el meu.	com estaven, evidentment no era el nostre tarant nou,  per la menys del meu.	com estaven, doncs evidentment no era el nostre tarantà.  Per almenys el meu.
pa-056	tirar endavant	clips/pa-056__tirar-endavant__185.53.wav	sí	sí	sí	A-tres-models	i estem d'acord? Doncs vam tirar endavant.	I ja estem d'acord, doncs vam tirar endavant.	i estem d'acord? Doncs vam tirar endavant.
pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	sí	sí	sí	A-tres-models	Bé, vull dir també, perquè cal recordar-ho.	Bé, vull dir també perquè cal recordar-ho.	Bé, vull dir també, perquè cal recordar-ho.
pa-057	perquè	clips/pa-057__perqu__249.45.wav	sí	no	no	C-un-model	molt poc temps, perquè tot això es va fer al tomb de 8 mesos, o sigui.	en un poc temps que vaig trobar a fer un tom de lluit més rostia.	"i molt poc temps per a això es va fer el ""Tom de I8"".  Més o ràpid."
pa-058	perquè	clips/pa-058__perqu__91.09.wav	sí	sí	sí	A-tres-models	i resòria, perquè no podíem acabar mai de decidir que una cosa...	i risòria, perquè no podíem acabar mai de decidir que una cosa...	i resòria, perquè no podíem acabar mai de decidir que una cosa...
pa-058	és a dir	clips/pa-058__s-a-dir__74.41.wav	sí	no	no	C-un-model	sin enviure.  És a dir, que nosaltres podíem dins que volíem ser com un pa...	que volien ser com un pare.	i que no hi hagi una persona que no hagi tingut un lloc.
pa-059	clar	clips/pa-059__clar__36.61.wav	sí	sí	sí	A-tres-models	és on els primers.  Nosaltres teníem clar que havíem de fer el pas.	Els altres teníem clar que havíem de fer el pas.	i és on els primers.  Nosaltres teníem clar que havíem de fer el pas.
pa-060	de fet	clips/pa-060__de-fet__72.57.wav	sí	sí	sí	A-tres-models	dos legislatures que van ocupar 4 anys, de fet.	que van ocupar quatre anys de fet.	d'explicatures que van ocupar 4 anys, de fet.
pa-061	a nivell	clips/pa-061__a-nivell__1357.21.wav	sí	sí	no	B-dos-models	No vol dir que a nivell laboral la néixer.	No parlo de dir que a nivell d'La Brau planèria.	i que no hi hagi una altra.
pa-061	crec	clips/pa-061__crec__428.85.wav	sí	sí	no	B-dos-models	que hi ha una cosa que jo crec que és importantíssima,  que és el vinó.	Hi ha una cosa que jo crec que és important.	i que no es poden fer.  I això és molt important.
pa-061	evidentment	clips/pa-061__evidentment__672.69.wav	sí	sí	sí	A-tres-models	i després hi havia el factor, evidentment, diferent.  Se'l deprem, clar, que no.	d'aquestes d'origen, i després hi havia el factor i, evidentment,  diferent sal de prou, la barca.	i després hi havia el factor, evidentment, diferent,  si el deprem clar.
