id_persona	forma	clip	occurrence	local_start_s	local_end_s	absolute_start_s	absolute_end_s	prob_min	text
pa-066	bé	clips/pa-066__b__10.13.wav	1	2.540	3.430	12.670	13.560	0.4289	bé
pa-001	de fet	clips/pa-001__de-fet__68.49.wav	1	0.800	1.200	69.290	69.690	0.5778	de fet
pa-002	de fet	clips/pa-002__de-fet__72.25.wav	1	3.030	3.110	75.280	75.360	0.2739	de fet
pa-003	de fet	clips/pa-003__de-fet__0.00.wav	1	1.900	2.620	1.900	2.620	0.6679	de fet
pa-004	de fet	clips/pa-004__de-fet__601.17.wav	1	2.750	3.000	603.920	604.170	0.6882	de fet
pa-006	de fet	clips/pa-006__de-fet__285.25.wav	1	1.270	2.070	286.520	287.320	0.8407	de fet
pa-008	de fet	clips/pa-008__de-fet__799.25.wav	1	2.440	2.690	801.690	801.940	0.7983	de fet
pa-010	de fet	clips/pa-010__de-fet__647.25.wav	1	1.480	1.990	648.730	649.240	0.6151	de fet
pa-011	de fet	clips/pa-011__de-fet__557.25.wav	1	0.000	0.690	557.250	557.940	0.5130	de fet
pa-016	de fet	clips/pa-016__de-fet__318.53.wav	1	2.270	2.360	320.800	320.890	0.5592	de fet
pa-023	de fet	clips/pa-023__de-fet__72.49.wav	1	4.670	4.870	77.160	77.360	0.7118	de fet
pa-024	de fet	clips/pa-024__de-fet__482.25.wav	1	0.040	0.330	482.290	482.580	0.2345	de fet
pa-025	de fet	clips/pa-025__de-fet__890.85.wav	1	1.590	2.000	892.440	892.850	0.6469	de fet
pa-027	de fet	clips/pa-027__de-fet__109.45.wav	1	0.540	1.040	109.990	110.490	0.3832	de fet
pa-028	de fet	clips/pa-028__de-fet__31.17.wav	1	4.600	4.870	35.770	36.040	0.7839	de fet
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	1	0.930	1.630	10.860	11.560	0.8205	de fet
pa-033	de fet	clips/pa-033__de-fet__249.69.wav	1	1.180	1.460	250.870	251.150	0.9628	de fet
pa-040	de fet	clips/pa-040__de-fet__70.17.wav	1	1.080	1.380	71.250	71.550	0.9576	de fet
pa-060	de fet	clips/pa-060__de-fet__72.57.wav	1	4.700	4.840	77.270	77.410	0.8385	de fet
pa-066	de fet	clips/pa-066__de-fet__44.37.wav	1	1.460	1.790	45.830	46.160	0.7471	de fet
pa-003	és a dir	clips/pa-003__s-a-dir__65.05.wav	1	0.000	0.510	65.050	65.560	0.4942	És a dir
pa-007	és a dir	clips/pa-007__s-a-dir__684.25.wav	1	0.000	1.170	684.250	685.420	0.0916	és a dir
pa-008	és a dir	clips/pa-008__s-a-dir__1110.25.wav	1	2.300	2.600	1112.550	1112.850	0.4791	És a dir
pa-010	és a dir	clips/pa-010__s-a-dir__243.25.wav	1	0.000	0.380	243.250	243.630	0.3904	és a dir
pa-011	és a dir	clips/pa-011__s-a-dir__48.09.wav	1	0.000	0.850	48.090	48.940	0.0626	és a dir
pa-013	és a dir	clips/pa-013__s-a-dir__579.17.wav	1	1.200	1.540	580.370	580.710	0.6284	És a dir
pa-016	és a dir	clips/pa-016__s-a-dir__85.97.wav	1	1.000	1.170	86.970	87.140	0.1726	És a dir
pa-017	és a dir	clips/pa-017__s-a-dir__487.25.wav	1	1.520	1.710	488.770	488.960	0.4956	és a dir
pa-021	és a dir	clips/pa-021__s-a-dir__32.29.wav	1	1.130	2.120	33.420	34.410	0.3647	És a dir
pa-022	és a dir	clips/pa-022__s-a-dir__11.49.wav	1	3.800	4.560	15.290	16.050	0.1417	És a dir
pa-023	és a dir	clips/pa-023__s-a-dir__207.17.wav	1	0.000	0.550	207.170	207.720	0.0165	És a dir
pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	1	1.000	1.770	186.610	187.380	0.6623	és a dir
pa-030	és a dir	clips/pa-030__s-a-dir__193.13.wav	1	1.080	1.470	194.210	194.600	0.3545	És a dir
pa-033	és a dir	clips/pa-033__s-a-dir__39.29.wav	1	0.000	0.460	39.290	39.750	0.2217	és a dir
pa-033	és a dir	clips/pa-033__s-a-dir__39.29.wav	2	1.550	1.890	40.840	41.180	0.4670	és a dir
pa-034	és a dir	clips/pa-034__s-a-dir__319.09.wav	1	0.800	1.340	319.890	320.430	0.6783	és a dir
pa-035	és a dir	clips/pa-035__s-a-dir__582.29.wav	1	0.000	0.750	582.290	583.040	0.1928	És a dir
pa-043	és a dir	clips/pa-043__s-a-dir__107.25.wav	1	1.000	1.330	108.250	108.580	0.3177	És a dir
pa-046	és a dir	clips/pa-046__s-a-dir__135.61.wav	1	2.000	2.320	137.610	137.930	0.8034	és a dir
pa-048	és a dir	clips/pa-048__s-a-dir__1130.61.wav	1	0.000	1.530	1130.610	1132.140	0.0362	és a dir
pa-058	és a dir	clips/pa-058__s-a-dir__74.41.wav	1	1.090	1.660	75.500	76.070	0.9532	És a dir
pa-059	és a dir	clips/pa-059__s-a-dir__487.81.wav	1	0.000	0.560	487.810	488.370	0.3117	És a dir
pa-060	és a dir	clips/pa-060__s-a-dir__207.33.wav	1	0.030	0.530	207.360	207.860	0.1095	És a dir
pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	1	1.000	1.770	974.650	975.420	0.7665	és a dir
pa-064	és a dir	clips/pa-064__s-a-dir__258.61.wav	1	0.080	0.670	258.690	259.280	0.0375	És a dir
pa-065	és a dir	clips/pa-065__s-a-dir__221.29.wav	1	0.000	0.690	221.290	221.980	0.1110	És a dir
pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	1	0.030	0.740	513.280	513.990	0.5916	Aleshores
pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1	1.160	1.630	1316.410	1316.880	0.6411	Aleshores
pa-012	aleshores	clips/pa-012__aleshores__246.25.wav	1	0.340	1.150	246.590	247.400	0.2041	aleshores
pa-025	aleshores	clips/pa-025__aleshores__361.93.wav	1	0.410	1.640	362.340	363.570	0.7026	aleshores
pa-030	aleshores	clips/pa-030__aleshores__392.41.wav	1	0.120	1.250	392.530	393.660	0.3657	aleshores
pa-031	aleshores	clips/pa-031__aleshores__54.09.wav	1	0.770	1.230	54.860	55.320	0.4175	aleshores
pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	1	0.210	2.140	79.300	81.230	0.2226	aleshores
pa-046	aleshores	clips/pa-046__aleshores__527.57.wav	1	2.800	3.290	530.370	530.860	0.5334	aleshores
pa-049	aleshores	clips/pa-049__aleshores__110.29.wav	1	6.080	6.370	116.370	116.660	0.8959	Aleshores
pa-056	aleshores	clips/pa-056__aleshores__393.13.wav	1	0.300	1.210	393.430	394.340	0.5797	aleshores
pa-065	aleshores	clips/pa-065__aleshores__170.69.wav	1	0.090	0.940	170.780	171.630	0.4565	aleshores
pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1	2.230	2.360	1069.920	1070.050	0.8911	evidentment
pa-002	evidentment	clips/pa-002__evidentment__205.25.wav	1	0.610	1.580	205.860	206.830	0.9889	evidentment
pa-003	evidentment	clips/pa-003__evidentment__158.81.wav	1	0.850	1.530	159.660	160.340	0.3957	evidentment
pa-004	evidentment	clips/pa-004__evidentment__522.93.wav	1	3.920	3.970	526.850	526.900	0.9676	evidentment
pa-007	evidentment	clips/pa-007__evidentment__778.25.wav	1	4.080	4.880	782.330	783.130	0.9315	evidentment
pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	1	1.000	1.740	948.250	948.990	0.9520	evidentment
pa-011	evidentment	clips/pa-011__evidentment__157.65.wav	1	0.000	0.860	157.650	158.510	0.1852	evidentment
pa-014	evidentment	clips/pa-014__evidentment__28.65.wav	1	3.180	3.330	31.830	31.980	0.8709	evidentment
pa-016	evidentment	clips/pa-016__evidentment__456.85.wav	1	0.220	1.050	457.070	457.900	0.7723	evidentment
pa-017	evidentment	clips/pa-017__evidentment__152.25.wav	1	0.000	2.050	152.250	154.300	0.1209	Evidentment
pa-019	evidentment	clips/pa-019__evidentment__93.25.wav	1	2.080	2.940	95.330	96.190	0.7612	evidentment
pa-021	evidentment	clips/pa-021__evidentment__211.41.wav	1	0.510	1.640	211.920	213.050	0.4338	evidentment
pa-022	evidentment	clips/pa-022__evidentment__303.01.wav	1	0.000	1.230	303.010	304.240	0.2581	Evidentment
pa-024	evidentment	clips/pa-024__evidentment__518.89.wav	1	3.450	3.750	522.340	522.640	0.6014	evidentment
pa-025	evidentment	clips/pa-025__evidentment__1156.61.wav	1	0.800	1.360	1157.410	1157.970	0.7289	evidentment
pa-027	evidentment	clips/pa-027__evidentment__174.09.wav	1	1.220	1.830	175.310	175.920	0.8805	evidentment
pa-030	evidentment	clips/pa-030__evidentment__43.53.wav	1	1.320	2.040	44.850	45.570	0.8964	evidentment
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	1	5.100	5.570	207.950	208.420	0.9393	evidentment
pa-039	evidentment	clips/pa-039__evidentment__184.17.wav	1	0.000	0.910	184.170	185.080	0.2293	Evidentment
pa-040	evidentment	clips/pa-040__evidentment__103.93.wav	1	1.880	2.190	105.810	106.120	0.8726	Evidentment
pa-041	evidentment	clips/pa-041__evidentment__353.25.wav	1	4.070	4.500	357.320	357.750	0.5787	evidentment
pa-045	evidentment	clips/pa-045__evidentment__290.13.wav	1	1.190	1.960	291.320	292.090	0.9812	evidentment
pa-049	evidentment	clips/pa-049__evidentment__117.17.wav	1	7.210	7.990	124.380	125.160	0.7421	evidentment
pa-055	evidentment	clips/pa-055__evidentment__1644.01.wav	1	4.940	5.150	1648.950	1649.160	0.4660	evidentment
pa-056	evidentment	clips/pa-056__evidentment__43.45.wav	1	1.310	1.980	44.760	45.430	0.8623	evidentment
pa-059	evidentment	clips/pa-059__evidentment__152.13.wav	1	0.000	1.420	152.130	153.550	0.0478	Evidentment
pa-061	evidentment	clips/pa-061__evidentment__672.69.wav	1	2.040	2.670	674.730	675.360	0.9005	evidentment
pa-066	evidentment	clips/pa-066__evidentment__89.75.wav	1	0.000	1.380	89.750	91.130	0.0340	evidentment
pa-006	diguem	clips/pa-006__diguem__530.25.wav	1	4.720	4.990	534.970	535.240	0.4405	diguem
pa-007	diguem	clips/pa-007__diguem__585.25.wav	1	1.210	1.420	586.460	586.670	0.7294	diguem
pa-018	diguem	clips/pa-018__diguem__715.49.wav	1	2.430	2.720	717.920	718.210	0.4794	diguem
pa-020	diguem	clips/pa-020__diguem__1459.77.wav	1	0.120	0.520	1459.890	1460.290	0.1053	Diguem
pa-025	diguem	clips/pa-025__diguem__500.89.wav	1	3.030	3.470	503.920	504.360	0.6352	diguem
pa-027	diguem	clips/pa-027__diguem__57.77.wav	1	1.070	1.490	58.840	59.260	0.3965	diguem
pa-033	diguem	clips/pa-033__diguem__49.01.wav	1	5.130	5.530	54.140	54.540	0.7151	diguem
pa-034	diguem	clips/pa-034__diguem__504.45.wav	1	2.160	2.360	506.610	506.810	0.7193	diguem
pa-046	diguem	clips/pa-046__diguem__626.01.wav	1	2.250	2.490	628.260	628.500	0.6911	diguem
pa-049	diguem	clips/pa-049__diguem__213.13.wav	1	5.960	6.240	219.090	219.370	0.6594	Diguem
pa-058	diguem	clips/pa-058__diguem__715.21.wav	1	2.720	2.910	717.930	718.120	0.7829	diguem
pa-062	diguem	clips/pa-062__diguem__191.37.wav	1	3.720	4.080	195.090	195.450	0.6091	diguem
pa-001	crec	clips/pa-001__crec__97.33.wav	1	0.070	0.340	97.400	97.670	0.0886	crec
pa-002	crec	clips/pa-002__crec__248.25.wav	1	0.310	0.480	248.560	248.730	0.9653	crec
pa-003	crec	clips/pa-003__crec__0.00.wav	1	1.390	1.490	1.390	1.490	0.9968	crec
pa-010	crec	clips/pa-010__crec__1033.25.wav	1	0.390	0.760	1033.640	1034.010	0.8283	crec
pa-014	crec	clips/pa-014__crec__153.25.wav	1	0.310	0.720	153.560	153.970	0.9940	crec
pa-016	crec	clips/pa-016__crec__93.17.wav	1	5.960	6.240	99.130	99.410	0.2252	Crec
pa-018	crec	clips/pa-018__crec__7.49.wav	1	1.060	1.450	8.550	8.940	0.9969	crec
pa-019	crec	clips/pa-019__crec__27.25.wav	1	1.270	1.570	28.520	28.820	0.9925	crec
pa-021	crec	clips/pa-021__crec__115.53.wav	1	0.800	1.060	116.330	116.590	0.9550	crec
pa-022	crec	clips/pa-022__crec__243.73.wav	1	0.210	0.360	243.940	244.090	0.9941	crec
pa-024	crec	clips/pa-024__crec__368.01.wav	1	2.710	2.740	370.720	370.750	0.9944	crec
pa-025	crec	clips/pa-025__crec__4.25.wav	1	0.800	0.900	5.050	5.150	0.9899	crec
pa-027	crec	clips/pa-027__crec__8.81.wav	1	1.900	2.020	10.710	10.830	0.9514	crec
pa-030	crec	clips/pa-030__crec__346.45.wav	1	1.730	2.060	348.180	348.510	0.9742	crec
pa-031	crec	clips/pa-031__crec__87.01.wav	1	2.720	3.570	89.730	90.580	0.9956	crec
pa-034	crec	clips/pa-034__crec__651.65.wav	1	2.540	2.640	654.190	654.290	0.6687	crec
pa-035	crec	clips/pa-035__crec__872.77.wav	1	0.660	0.730	873.430	873.500	0.9666	crec
pa-037	crec	clips/pa-037__crec__424.61.wav	1	11.520	11.760	436.130	436.370	0.3842	crec
pa-038	crec	clips/pa-038__crec__220.69.wav	1	1.010	1.590	221.700	222.280	0.9981	crec
pa-039	crec	clips/pa-039__crec__90.85.wav	1	1.640	1.950	92.490	92.800	0.9907	crec
pa-040	crec	clips/pa-040__crec__4.37.wav	1	0.180	0.530	4.550	4.900	0.9886	crec
pa-041	crec	clips/pa-041__crec__56.25.wav	1	1.310	1.810	57.560	58.060	0.9905	crec
pa-043	crec	clips/pa-043__crec__102.25.wav	1	5.100	5.190	107.350	107.440	0.9942	crec
pa-048	crec	clips/pa-048__crec__110.97.wav	1	2.580	3.120	113.550	114.090	0.9866	crec
pa-049	crec	clips/pa-049__crec__371.85.wav	1	3.020	3.380	374.870	375.230	0.9717	crec
pa-051	crec	clips/pa-051__crec__208.57.wav	1	0.140	0.420	208.710	208.990	0.9924	crec
pa-056	crec	clips/pa-056__crec__347.05.wav	1	1.270	1.780	348.320	348.830	0.9856	crec
pa-060	crec	clips/pa-060__crec__42.05.wav	1	6.130	6.320	48.180	48.370	0.6236	crec
pa-061	crec	clips/pa-061__crec__428.85.wav	1	1.940	2.000	430.790	430.850	0.9809	crec
pa-062	crec	clips/pa-062__crec__1037.89.wav	1	1.040	1.290	1038.930	1039.180	0.9952	crec
pa-063	crec	clips/pa-063__crec__758.81.wav	1	2.740	3.000	761.550	761.810	0.9939	crec
pa-064	crec	clips/pa-064__crec__1335.77.wav	1	2.300	2.670	1338.070	1338.440	0.9844	crec
pa-065	crec	clips/pa-065__crec__1276.85.wav	1	0.830	0.940	1277.680	1277.790	0.6866	crec
pa-066	crec	clips/pa-066__crec__219.63.wav	1	4.560	5.020	224.190	224.650	0.4971	crec
pa-003	bueno	clips/pa-003__bueno__227.05.wav	1	4.370	4.580	231.420	231.630	0.0756	Bueno
pa-019	bueno	clips/pa-019__bueno__328.25.wav	1	0.320	0.600	328.570	328.850	0.1975	bueno
pa-021	bueno	clips/pa-021__bueno__12.25.wav	1	1.950	2.400	14.200	14.650	0.6500	bueno
pa-023	bueno	clips/pa-023__bueno__96.81.wav	1	0.000	0.370	96.810	97.180	0.2301	bueno
pa-030	bueno	clips/pa-030__bueno__459.05.wav	1	1.100	1.380	460.150	460.430	0.2181	bueno
pa-032	bueno	clips/pa-032__bueno__44.73.wav	1	0.270	0.730	45.000	45.460	0.8330	bueno
pa-037	bueno	clips/pa-037__bueno__105.29.wav	1	6.650	6.950	111.940	112.240	0.6636	bueno
pa-038	bueno	clips/pa-038__bueno__874.61.wav	1	0.110	0.660	874.720	875.270	0.5072	Bueno
pa-041	bueno	clips/pa-041__bueno__165.25.wav	1	1.320	2.420	166.570	167.670	0.2602	bueno
pa-043	bueno	clips/pa-043__bueno__0.00.wav	1	0.110	0.270	0.110	0.270	0.2337	Bueno
pa-049	bueno	clips/pa-049__bueno__269.05.wav	1	5.560	5.790	274.610	274.840	0.8754	Bueno
pa-052	bueno	clips/pa-052__bueno__41.97.wav	1	1.710	2.230	43.680	44.200	0.7880	bueno
pa-054	bueno	clips/pa-054__bueno__51.69.wav	1	0.790	0.920	52.480	52.610	0.8263	bueno
pa-059	bueno	clips/pa-059__bueno__166.17.wav	1	0.330	0.430	166.500	166.600	0.0580	Bueno
pa-061	bueno	clips/pa-061__bueno__171.05.wav	1	0.000	0.260	171.050	171.310	0.1212	Bueno
pa-061	bueno	clips/pa-061__bueno__171.05.wav	2	1.240	1.590	172.290	172.640	0.5101	Bueno
pa-062	bueno	clips/pa-062__bueno__297.17.wav	1	1.560	1.910	298.730	299.080	0.6062	Bueno
pa-065	bueno	clips/pa-065__bueno__1389.05.wav	1	1.080	1.420	1390.130	1390.470	0.4485	Bueno
pa-066	bueno	clips/pa-066__bueno__357.23.wav	1	1.470	2.070	358.700	359.300	0.8366	bueno
pa-002	clar	clips/pa-002__clar__186.25.wav	1	1.050	1.650	187.300	187.900	0.3371	clar
pa-003	clar	clips/pa-003__clar__451.89.wav	1	2.770	3.340	454.660	455.230	0.9938	clar
pa-006	clar	clips/pa-006__clar__379.25.wav	1	3.450	3.810	382.700	383.060	0.3707	clar
pa-007	clar	clips/pa-007__clar__344.25.wav	1	0.260	0.610	344.510	344.860	0.4951	clar
pa-008	clar	clips/pa-008__clar__841.25.wav	1	0.160	0.470	841.410	841.720	0.3522	Clar
pa-009	clar	clips/pa-009__clar__99.25.wav	1	3.230	3.520	102.480	102.770	0.9195	clar
pa-010	clar	clips/pa-010__clar__334.85.wav	1	3.280	3.500	338.130	338.350	0.9866	clar
pa-014	clar	clips/pa-014__clar__978.45.wav	1	1.660	1.820	980.110	980.270	0.2909	clar
pa-016	clar	clips/pa-016__clar__175.69.wav	1	1.640	1.990	177.330	177.680	0.9439	clar
pa-017	clar	clips/pa-017__clar__34.45.wav	1	3.900	4.130	38.350	38.580	0.9757	clar
pa-019	clar	clips/pa-019__clar__415.25.wav	1	1.150	1.290	416.400	416.540	0.8680	clar
pa-020	clar	clips/pa-020__clar__89.81.wav	1	3.480	3.620	93.290	93.430	0.5345	clar
pa-022	clar	clips/pa-022__clar__107.73.wav	1	1.380	1.580	109.110	109.310	0.9951	clar
pa-024	clar	clips/pa-024__clar__648.09.wav	1	2.440	3.050	650.530	651.140	0.7141	clar
pa-025	clar	clips/pa-025__clar__116.09.wav	1	1.530	1.830	117.620	117.920	0.6852	clar
pa-027	clar	clips/pa-027__clar__35.13.wav	1	1.310	1.650	36.440	36.780	0.5283	clar
pa-028	clar	clips/pa-028__clar__290.33.wav	1	1.490	1.620	291.820	291.950	0.6888	clar
pa-031	clar	clips/pa-031__clar__154.57.wav	1	2.000	2.000	156.570	156.570	0.4557	clar
pa-032	clar	clips/pa-032__clar__155.33.wav	1	2.070	2.760	157.400	158.090	0.5817	clar
pa-033	clar	clips/pa-033__clar__54.49.wav	1	2.000	2.340	56.490	56.830	0.4406	clar
pa-036	clar	clips/pa-036__clar__136.45.wav	1	5.090	5.270	141.540	141.720	0.8695	clar
pa-037	clar	clips/pa-037__clar__186.29.wav	1	1.310	1.840	187.600	188.130	0.3643	clar
pa-038	clar	clips/pa-038__clar__96.41.wav	1	3.450	3.810	99.860	100.220	0.6020	clar
pa-041	clar	clips/pa-041__clar__0.00.wav	1	3.880	4.480	3.880	4.480	0.3376	clar
pa-045	clar	clips/pa-045__clar__399.85.wav	1	3.680	4.020	403.530	403.870	0.9012	clar
pa-045	clar	clips/pa-045__clar__399.85.wav	2	5.020	5.200	404.870	405.050	0.9997	clar
pa-049	clar	clips/pa-049__clar__382.01.wav	1	1.080	1.330	383.090	383.340	0.6076	Clar
pa-052	clar	clips/pa-052__clar__59.97.wav	1	2.370	2.530	62.340	62.500	0.4297	clar
pa-056	clar	clips/pa-056__clar__62.45.wav	1	1.270	1.740	63.720	64.190	0.9842	clar
pa-059	clar	clips/pa-059__clar__36.61.wav	1	1.850	2.050	38.460	38.660	0.9810	clar
pa-063	clar	clips/pa-063__clar__392.49.wav	1	0.360	0.630	392.850	393.120	0.6773	clar
pa-064	clar	clips/pa-064__clar__109.97.wav	1	0.370	1.870	110.340	111.840	0.0737	clar
pa-065	clar	clips/pa-065__clar__221.29.wav	1	1.590	2.000	222.880	223.290	0.9627	clar
pa-004	vull dir	clips/pa-004__vull-dir__143.45.wav	1	1.710	2.230	145.160	145.680	0.5771	vull dir
pa-014	vull dir	clips/pa-014__vull-dir__19.65.wav	1	4.160	4.610	23.810	24.260	0.7609	vull dir
pa-016	vull dir	clips/pa-016__vull-dir__322.53.wav	1	2.990	3.120	325.520	325.650	0.4016	vull dir
pa-017	vull dir	clips/pa-017__vull-dir__272.25.wav	1	0.000	0.750	272.250	273.000	0.6073	Vull dir
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	1	3.710	4.840	318.000	319.130	0.7440	vull dir
pa-022	vull dir	clips/pa-022__vull-dir__308.17.wav	1	0.990	2.000	309.160	310.170	0.0749	vull dir
pa-023	vull dir	clips/pa-023__vull-dir__22.05.wav	1	0.000	0.460	22.050	22.510	0.1096	Vull dir
pa-026	vull dir	clips/pa-026__vull-dir__311.77.wav	1	2.000	2.070	313.770	313.840	0.5121	vull dir
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	1	0.680	1.660	843.370	844.350	0.9049	vull dir
pa-032	vull dir	clips/pa-032__vull-dir__389.29.wav	1	1.510	1.880	390.800	391.170	0.1701	vull dir
pa-033	vull dir	clips/pa-033__vull-dir__56.25.wav	1	0.610	0.890	56.860	57.140	0.8126	vull dir
pa-036	vull dir	clips/pa-036__vull-dir__632.25.wav	1	0.000	0.550	632.250	632.800	0.0457	Vull dir
pa-037	vull dir	clips/pa-037__vull-dir__414.01.wav	1	0.000	0.690	414.010	414.700	0.2914	Vull dir
pa-038	vull dir	clips/pa-038__vull-dir__1576.57.wav	1	4.180	4.640	1580.750	1581.210	0.9837	vull dir
pa-041	vull dir	clips/pa-041__vull-dir__264.25.wav	1	1.210	2.000	265.460	266.250	0.9947	vull dir
pa-048	vull dir	clips/pa-048__vull-dir__993.69.wav	1	0.000	0.730	993.690	994.420	0.0263	Vull dir
pa-048	vull dir	clips/pa-048__vull-dir__993.69.wav	2	3.150	4.160	996.840	997.850	0.4736	vull dir
pa-049	vull dir	clips/pa-049__vull-dir__208.09.wav	1	5.360	5.660	213.450	213.750	0.3766	vull dir
pa-055	vull dir	clips/pa-055__vull-dir__311.73.wav	1	2.010	2.080	313.740	313.810	0.4485	vull dir
pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	1	0.650	1.560	843.300	844.210	0.9342	vull dir
pa-058	vull dir	clips/pa-058__vull-dir__975.13.wav	1	2.240	2.800	977.370	977.930	0.7520	vull dir
pa-059	vull dir	clips/pa-059__vull-dir__271.81.wav	1	0.000	0.910	271.810	272.720	0.6171	Vull dir
pa-060	vull dir	clips/pa-060__vull-dir__20.65.wav	1	2.000	2.330	22.650	22.980	0.6268	vull dir
pa-061	vull dir	clips/pa-061__vull-dir__193.57.wav	1	1.990	2.800	195.560	196.370	0.3112	vull dir
pa-063	vull dir	clips/pa-063__vull-dir__822.45.wav	1	0.000	1.540	822.450	823.990	0.0089	Vull dir
pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	1	3.600	4.060	376.930	377.390	0.8872	O sigui
pa-006	o sigui	clips/pa-006__o-sigui__136.25.wav	1	0.000	0.490	136.250	136.740	0.0187	o sigui
pa-009	o sigui	clips/pa-009__o-sigui__234.25.wav	1	2.110	2.460	236.360	236.710	0.2229	o sigui
