id_persona	forma	clip	ocurrencia	local_start_s	local_end_s	absolute_start_s	absolute_end_s	tokens	prob_min	prob_mean	tokens_count	coincidencia_token	estat
pa-021	doncs	clips/pa-021__doncs__12.25.wav	1	3.660	3.750	15.910	16.000	doncs	0.7531	0.8764	2	sí	ASR; pendent d'audicio
pa-021	evidentment	clips/pa-021__evidentment__211.41.wav	1	0.510	1.640	211.920	213.050	evidentment	0.4338	0.7163	2	sí	ASR; pendent d'audicio
pa-021	perquè	clips/pa-021__perqu__15.45.wav	1	1.670	2.000	17.120	17.450	perquè	0.8815	0.8815	1	sí	ASR; pendent d'audicio
pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	1	3.710	4.840	318.000	319.130	vull dir	0.7440	0.8676	2	sí	ASR; pendent d'audicio
pa-021	és a dir	clips/pa-021__s-a-dir__32.29.wav	1	1.130	2.120	33.420	34.410	És a dir	0.3647	0.7847	3	sí	ASR; pendent d'audicio
pa-022	a veure	clips/pa-022__a-veure__238.61.wav	1	2.000	2.500	240.610	241.110	a veure	0.3096	0.6496	2	sí	ASR; pendent d'audicio
pa-022	clar	clips/pa-022__clar__107.73.wav	1	1.380	1.580	109.110	109.310	clar	0.9951	0.9951	1	sí	ASR; pendent d'audicio
pa-022	crec	clips/pa-022__crec__243.73.wav	1	0.210	0.360	243.940	244.090	crec	0.9941	0.9941	1	sí	ASR; pendent d'audicio
pa-022	evidentment	clips/pa-022__evidentment__303.01.wav	1	0.000	1.230	303.010	304.240	Evidentment	0.2581	0.7485	3	sí	ASR; pendent d'audicio
pa-022	o sigui	clips/pa-022__o-sigui__42.93.wav	1	0.000	0.540	42.930	43.470	O sigui	0.0430	0.5146	2	sí	ASR; pendent d'audicio
pa-022	perquè	clips/pa-022__perqu__111.69.wav	1	0.000	0.470	111.690	112.160	perquè	0.2534	0.2534	1	sí	ASR; pendent d'audicio
pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	1	2.700	3.400	128.230	128.930	reformeta	0.6595	0.8106	2	sí	ASR; pendent d'audicio
pa-022	és a dir	clips/pa-022__s-a-dir__11.49.wav	1	3.800	4.560	15.290	16.050	És a dir	0.1417	0.6980	3	sí	ASR; pendent d'audicio
pa-023	a nivell	clips/pa-023__a-nivell__418.57.wav	1	1.300	1.800	419.870	420.370	a nivell	0.8081	0.9214	3	sí	ASR; pendent d'audicio
pa-023	a veure	clips/pa-023__a-veure__268.81.wav	1	0.010	0.510	268.820	269.320	A veure	0.1996	0.5001	2	sí	ASR; pendent d'audicio
pa-023	bé	clips/pa-023__b__409.37.wav									0	no	ASR; pendent d'audicio
pa-023	perquè	clips/pa-023__perqu__29.09.wav	1	0.000	0.940	29.090	30.030	perquè	0.1482	0.1482	1	sí	ASR; pendent d'audicio
pa-023	és a dir	clips/pa-023__s-a-dir__207.17.wav	1	0.000	0.550	207.170	207.720	És a dir	0.0165	0.6542	3	sí	ASR; pendent d'audicio
pa-025	a veure	clips/pa-025__a-veure__388.01.wav	1	1.000	1.740	389.010	389.750	A veure	0.7039	0.8515	2	sí	ASR; pendent d'audicio
pa-025	crec	clips/pa-025__crec__4.25.wav	1	0.800	0.900	5.050	5.150	crec	0.9899	0.9899	1	sí	ASR; pendent d'audicio
pa-025	de fet	clips/pa-025__de-fet__890.85.wav	1	1.590	2.000	892.440	892.850	de fet	0.6469	0.8082	2	sí	ASR; pendent d'audicio
pa-025	diguem	clips/pa-025__diguem__500.89.wav	1	3.030	3.470	503.920	504.360	diguem	0.6352	0.8158	2	sí	ASR; pendent d'audicio
pa-025	evidentment	clips/pa-025__evidentment__1156.61.wav	1	0.800	1.360	1157.410	1157.970	evidentment	0.7289	0.8639	2	sí	ASR; pendent d'audicio
pa-025	perquè	clips/pa-025__perqu__37.17.wav	1	0.550	0.980	37.720	38.150	perquè	0.8440	0.8440	1	sí	ASR; pendent d'audicio
pa-025	reformeta	clips/pa-025__reformeta__1085.53.wav	1	2.140	2.900	1087.670	1088.430	reformeta	0.4505	0.7125	2	sí	ASR; pendent d'audicio
pa-026	a nivell	clips/pa-026__a-nivell__38.25.wav	1	1.420	2.020	39.670	40.270	a nivell	0.8241	0.9114	3	sí	ASR; pendent d'audicio
pa-026	a veure	clips/pa-026__a-veure__64.09.wav	1	1.550	2.490	65.640	66.580	a veure	0.6966	0.8417	2	sí	ASR; pendent d'audicio
pa-026	perquè	clips/pa-026__perqu__150.53.wav	1	0.420	0.610	150.950	151.140	perquè	0.6276	0.6276	1	sí	ASR; pendent d'audicio
pa-026	reformeta	clips/pa-026__reformeta__138.61.wav	1	3.050	3.740	141.660	142.350	reformeta	0.9543	0.9609	2	sí	ASR; pendent d'audicio
pa-027	crec	clips/pa-027__crec__8.81.wav	1	1.900	2.020	10.710	10.830	crec	0.9514	0.9514	1	sí	ASR; pendent d'audicio
pa-027	de fet	clips/pa-027__de-fet__109.45.wav	1	0.540	1.040	109.990	110.490	de fet	0.3832	0.6832	2	sí	ASR; pendent d'audicio
pa-027	diguem	clips/pa-027__diguem__57.77.wav	1	1.070	1.490	58.840	59.260	diguem	0.3965	0.6932	2	sí	ASR; pendent d'audicio
pa-027	evidentment	clips/pa-027__evidentment__174.09.wav	1	1.220	1.830	175.310	175.920	evidentment	0.8805	0.9372	2	sí	ASR; pendent d'audicio
pa-027	perquè	clips/pa-027__perqu__8.81.wav	1	1.370	1.700	10.180	10.510	perquè	0.7631	0.7631	1	sí	ASR; pendent d'audicio
pa-028	bé	clips/pa-028__b__182.49.wav	1	3.030	3.120	185.520	185.610	bé	0.9916	0.9916	1	sí	ASR; pendent d'audicio
pa-028	clar	clips/pa-028__clar__290.33.wav	1	1.490	1.620	291.820	291.950	clar	0.6888	0.6888	1	sí	ASR; pendent d'audicio
pa-028	de fet	clips/pa-028__de-fet__31.17.wav	1	4.600	4.870	35.770	36.040	de fet	0.7839	0.8907	2	sí	ASR; pendent d'audicio
pa-028	doncs	clips/pa-028__doncs__329.33.wav	1	1.080	1.330	330.410	330.660	Doncs	0.8421	0.8421	1	sí	ASR; pendent d'audicio
pa-028	llavors	clips/pa-028__llavors__151.01.wav	1	2.720	3.140	153.730	154.150	llavors	0.1910	0.5905	2	sí	ASR; pendent d'audicio
pa-029	a nivell	clips/pa-029__a-nivell__417.09.wav	1	1.570	2.200	418.660	419.290	a nivell	0.9070	0.9632	3	sí	ASR; pendent d'audicio
pa-029	diguem	clips/pa-029__diguem__929.69.wav	1	4.880	4.920	934.570	934.610	diguem	0.7442	0.8543	2	sí	ASR; pendent d'audicio
pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	1	4.940	5.640	61.670	62.370	tirar endavant	0.8813	0.9429	3	sí	ASR; pendent d'audicio
pa-030	a veure	clips/pa-030__a-veure__673.41.wav	1	0.000	0.250	673.410	673.660	A veure	0.1988	0.5917	2	sí	ASR; pendent d'audicio
pa-030	bueno	clips/pa-030__bueno__459.05.wav	1	1.100	1.380	460.150	460.430	bueno	0.2181	0.2181	1	sí	ASR; pendent d'audicio
pa-030	bé	clips/pa-030__b__436.45.wav									0	no	ASR; pendent d'audicio
pa-030	crec	clips/pa-030__crec__346.45.wav	1	1.730	2.060	348.180	348.510	crec	0.9742	0.9742	1	sí	ASR; pendent d'audicio
pa-030	evidentment	clips/pa-030__evidentment__43.53.wav	1	1.320	2.040	44.850	45.570	evidentment	0.8964	0.9475	2	sí	ASR; pendent d'audicio
pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	1	0.680	1.660	843.370	844.350	vull dir	0.9049	0.9470	2	sí	ASR; pendent d'audicio
pa-030	és a dir	clips/pa-030__s-a-dir__193.13.wav	1	1.080	1.470	194.210	194.600	És a dir	0.3545	0.7618	3	sí	ASR; pendent d'audicio
pa-031	crec	clips/pa-031__crec__87.01.wav	1	2.720	3.570	89.730	90.580	crec	0.9956	0.9956	1	sí	ASR; pendent d'audicio
pa-031	de fet	clips/pa-031__de-fet__9.93.wav	1	0.930	1.630	10.860	11.560	de fet	0.8205	0.8598	2	sí	ASR; pendent d'audicio
pa-031	perquè	clips/pa-031__perqu__32.69.wav	1	0.000	0.570	32.690	33.260	perquè	0.0697	0.0697	1	sí	ASR; pendent d'audicio
pa-032	bueno	clips/pa-032__bueno__44.73.wav	1	0.270	0.730	45.000	45.460	bueno	0.8330	0.8330	1	sí	ASR; pendent d'audicio
pa-032	bé	clips/pa-032__b__270.41.wav	1	3.120	3.250	273.530	273.660	bé	0.7044	0.7044	1	sí	ASR; pendent d'audicio
pa-032	clar	clips/pa-032__clar__155.33.wav	1	2.070	2.760	157.400	158.090	clar	0.5817	0.5817	1	sí	ASR; pendent d'audicio
pa-032	perquè	clips/pa-032__perqu__9.21.wav	1	0.000	0.860	9.210	10.070	perquè	0.5112	0.5112	1	sí	ASR; pendent d'audicio
pa-033	bé	clips/pa-033__b__103.09.wav	1	0.970	1.210	104.060	104.300	bé	0.9744	0.9744	1	sí	ASR; pendent d'audicio
pa-033	bé	clips/pa-033__b__103.09.wav	2	3.070	3.190	106.160	106.280	bé	0.9997	0.9997	1	sí	ASR; pendent d'audicio
pa-033	clar	clips/pa-033__clar__54.49.wav	1	2.000	2.340	56.490	56.830	clar	0.4406	0.4406	1	sí	ASR; pendent d'audicio
pa-033	diguem	clips/pa-033__diguem__49.01.wav	1	5.130	5.530	54.140	54.540	diguem	0.7151	0.8271	2	sí	ASR; pendent d'audicio
pa-033	perquè	clips/pa-033__perqu__18.89.wav	1	0.000	0.350	18.890	19.240	perquè	0.2034	0.2034	1	sí	ASR; pendent d'audicio
pa-033	vull dir	clips/pa-033__vull-dir__56.25.wav	1	0.610	0.890	56.860	57.140	vull dir	0.8126	0.9022	2	sí	ASR; pendent d'audicio
pa-034	a nivell	clips/pa-034__a-nivell__143.81.wav	1	2.700	3.360	146.510	147.170	a nivell	0.7736	0.9192	3	sí	ASR; pendent d'audicio
pa-034	a veure	clips/pa-034__a-veure__94.05.wav	1	1.180	1.990	95.230	96.040	a veure	0.9578	0.9626	2	sí	ASR; pendent d'audicio
pa-034	crec	clips/pa-034__crec__651.65.wav	1	2.540	2.640	654.190	654.290	crec	0.6687	0.6687	1	sí	ASR; pendent d'audicio
pa-034	diguem	clips/pa-034__diguem__504.45.wav	1	2.160	2.360	506.610	506.810	diguem	0.7193	0.8550	2	sí	ASR; pendent d'audicio
pa-034	reformeta	clips/pa-034__reformeta__191.33.wav	1	6.120	6.680	197.450	198.010	reformeta	0.4659	0.7170	2	sí	ASR; pendent d'audicio
pa-034	tirar endavant	clips/pa-034__tirar-endavant__690.33.wav	1	3.440	4.350	693.770	694.680	tirar endavant	0.8661	0.9261	3	sí	ASR; pendent d'audicio
pa-035	crec	clips/pa-035__crec__872.77.wav	1	0.660	0.730	873.430	873.500	crec	0.9666	0.9666	1	sí	ASR; pendent d'audicio
pa-035	perquè	clips/pa-035__perqu__181.13.wav	1	0.070	0.080	181.200	181.210	perquè	0.6201	0.6201	1	sí	ASR; pendent d'audicio
pa-035	és a dir	clips/pa-035__s-a-dir__582.29.wav	1	0.000	0.750	582.290	583.040	És a dir	0.1928	0.5961	3	sí	ASR; pendent d'audicio
pa-036	a nivell	clips/pa-036__a-nivell__386.45.wav	1	7.580	8.050	394.030	394.500	a nivell	0.8938	0.9572	3	sí	ASR; pendent d'audicio
pa-036	a veure	clips/pa-036__a-veure__153.05.wav	1	1.100	1.500	154.150	154.550	a veure	0.4770	0.6078	2	sí	ASR; pendent d'audicio
pa-036	bé	clips/pa-036__b__69.45.wav	1	2.510	2.720	71.960	72.170	bé	0.9995	0.9995	1	sí	ASR; pendent d'audicio
pa-036	clar	clips/pa-036__clar__136.45.wav	1	5.090	5.270	141.540	141.720	clar	0.8695	0.8695	1	sí	ASR; pendent d'audicio
pa-036	doncs	clips/pa-036__doncs__367.25.wav	1	5.000	5.370	372.250	372.620	Doncs	0.5064	0.5064	1	sí	ASR; pendent d'audicio
pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	1	5.100	5.570	207.950	208.420	evidentment	0.9393	0.9652	2	sí	ASR; pendent d'audicio
pa-036	perquè	clips/pa-036__perqu__15.65.wav	1	2.470	2.640	18.120	18.290	perquè	0.2664	0.2664	1	sí	ASR; pendent d'audicio
pa-036	vull dir	clips/pa-036__vull-dir__632.25.wav	1	0.000	0.550	632.250	632.800	Vull dir	0.0457	0.4205	3	sí	ASR; pendent d'audicio
pa-037	bueno	clips/pa-037__bueno__105.29.wav	1	6.650	6.950	111.940	112.240	bueno	0.6636	0.6636	1	sí	ASR; pendent d'audicio
pa-037	bé	clips/pa-037__b__105.29.wav	1	10.530	11.500	115.820	116.790	bé	0.9336	0.9336	1	sí	ASR; pendent d'audicio
pa-037	bé	clips/pa-037__b__105.29.wav	2	13.190	13.860	118.480	119.150	bé	0.4035	0.4035	1	sí	ASR; pendent d'audicio
pa-037	bé	clips/pa-037__b__105.29.wav	3	14.960	15.390	120.250	120.680	bé	0.9620	0.9620	1	sí	ASR; pendent d'audicio
