forma	id_persona	interval_escolta	clip	sha256	transcripcio_base	text_base	forma_en_base
bé	pa-037	105.29-124.79	clips/pa-037__b__105.29.wav	06492e67f98cb5ff6ac0d9ccce990af01b2ac560f6a02ec29f9173dfe995ec1d	qa-clips-base/pa-037__be__105_29_124_79.txt	d'acompanyar-se, d'acompanyar-se.	no
bé	pa-038	26.77-31.71	clips/pa-038__b__26.77.wav	9a8b5b80d6eb8653df738050cd79666a39bc0cf09610a317185389a897599200	qa-clips-base/pa-038__be__26_77_31_71.txt	No està bé considerada com un estat real.	sí
bé	pa-039	27.77-32.03	clips/pa-039__b__27.77.wav	9f205fdb77948f20db612fa965d1b98ea9dbc5150d1a003937b7c95e563147d6	qa-clips-base/pa-039__be__27_77_32_03.txt	fins a la prostitució no hi estava.	no
bé	pa-040	32.81-38.63	clips/pa-040__b__32.81.wav	51b3eada431d0bcb5efe581e64a820ef089bd36a1baf27a15188ae4da8889b38	qa-clips-base/pa-040__be__32_81_38_63.txt	Les eleccions, les eleccions, les val, les vam ser.	no
bé	pa-041	130.25-137.75	clips/pa-041__b__130.25.wav	a68aff31d4d7e3d50c926aba76d9f17f320b994cb7e11d53f0d490839d7f8276	qa-clips-base/pa-041__be__130_25_137_75.txt	Bé, jo crec que hi ha d'haver persones més receptives	sí
bé	pa-045	83.49-91.43	clips/pa-045__b__83.49.wav	361724fa3ca9a5367697b671f81950f433a0411978eaf451e4c8caa62c80e325	qa-clips-base/pa-045__be__83_49_91_43.txt	o ve al que considerem mi imprescindible i no deixa de ser inassassari.	no
bé	pa-046	348.81-352.55	clips/pa-046__b__348.81.wav	3b278759a27898565a9ba4b20321e1da89b959bed4c0db4ef3e3c77fbb2509bf	qa-clips-base/pa-046__be__348_81_352_55.txt	i volem avançar dins del càmodeu.	no
bé	pa-048	495.73-502.83	clips/pa-048__b__495.73.wav	c387285fa37a49bf0183699c28c6cb6ad52afae3d174891ae1339efe5fd8ea55	qa-clips-base/pa-048__be__495_73_502_83.txt	Bé, no que t'espai físicament, però que t'espai emblemàtic.	sí
bé	pa-049	74.21-82.63	clips/pa-049__b__74.21.wav	ef676d09815d210cee31283bdddfd05be42d436a5698ffae0e503200b028ab61	qa-clips-base/pa-049__be__74_21_82_63.txt	perquè la llarga i sobretot en petits països  s'ha d'apartir de la base d'entratuts fer-ho tot.  Ho ve que la dona ara...	no
bé	pa-053	90.81-95.91	clips/pa-053__b__90.81.wav	9115c12d369b3bb197dfd272adb3d2860e2a3852cdc1be7efef9bd8739b77ed1	qa-clips-base/pa-053__be__90_81_95_91.txt	d'erba, il·lama, germà, lletsebi, monacorda i jo els pujarà.	no
bé	pa-054	128.77-134.43	clips/pa-054__b__128.77.wav	a47dc6b094324d82ae2182181c82f324cf26cccdab245eedc3d6e602d0e91998	qa-clips-base/pa-054__be__128_77_134_43.txt	I la bossa era el sisquet de pui.  Has vestit bé de bossa.	sí
bé	pa-055	358.57-362.07	clips/pa-055__b__358.57.wav	34d71f23eaa5314c8bbc13163699ad7326deffbea0194e1fd6adcb261df23837	qa-clips-base/pa-055__be__358_57_362_07.txt	bé, no?	sí
bé	pa-056	436.49-441.47	clips/pa-056__b__436.49.wav	be3e64d686c52927c96745d0ba7df289b9d0957d0da403ef1b1da9fb03b1766d	qa-clips-base/pa-056__be__436_49_441_47.txt	o pasabeu, però sentim-me, però no limitad.	sí
bé	pa-057	203.57-209.03	clips/pa-057__b__203.57.wav	5492b3b2cf53849c1b03e9bc5aea26566bf9aff819e50f36a6b5389fd86c814e	qa-clips-base/pa-057__be__203_57_209_03.txt	que les persones de l'estat de l'estat de l'estat de l'anceur.	no
bé	pa-058	210.61-215.39	clips/pa-058__b__210.61.wav	6674c5322827709752c45df8853aea9f030442669673f32267ca5b008003ce5c	qa-clips-base/pa-058__be__210_61_215_39.txt	dintre de l'UCPA quan es va formar	no
bé	pa-059	112.41-118.27	clips/pa-059__b__112.41.wav	4b3ab0927fdabdd652bcb7faa3cb5a0c80780548e50790644a0a6ae55fc097da	qa-clips-base/pa-059__be__112_41_118_27.txt	d'acord, i a partir d'aquí vam començar a veure la paraula de missió,  de missió, de missió, i tot va anar.	no
bé	pa-060	415.73-419.91	clips/pa-060__b__415.73.wav	b2c9be9d1b9b85533e5b640f318feeecb75e793dfa829fffa2954a1b1f8327fb	qa-clips-base/pa-060__be__415_73_419_91.txt	Fem els metros a més uret que n'ha bé creixent.	sí
bé	pa-061	662.89-667.43	clips/pa-061__b__662.89.wav	ad23a7e65a7e9490e9e5ba9c51d87ef1f6a686ba78779eb4b9f279378b67f46e	qa-clips-base/pa-061__be__662_89_667_43.txt	No sé si és una realitat.	no
bé	pa-062	401.61-406.47	clips/pa-062__b__401.61.wav	38f02c1b9070498812dd505aaa226cc78810c5dc0364f2295dd706915d2fa0bf	qa-clips-base/pa-062__be__401_61_406_47.txt	-Doncs ensenyar-lo? -Sí, oi.  Bé, aquesta que té no el com tu dius, que és forçar-lo.	sí
bé	pa-063	105.97-110.35	clips/pa-063__b__105.97.wav	5e555865701ba251187855e9f64c41a4da8a64883a220b860aff83a141c6c032	qa-clips-base/pa-063__be__105_97_110_35.txt	Bé, treballem una cosa que em vulgui agradar que ja ha donat-ho.	sí
bé	pa-064	97.93-104.11	clips/pa-064__b__97.93.wav	f2853c6daf3f83d218c44e2ece3d6b4dcf75210e30882a7d464881930c4dabf0	qa-clips-base/pa-064__be__97_93_104_11.txt	Bé, ara ens agercitarem amb l'exercici de la memòria.	sí
bé	pa-065	138.57-144.67	clips/pa-065__b__138.57.wav	13d706fe597ebef3b508b59a531d16f8db00f85915f3493c1489e5b33de6329c	qa-clips-base/pa-065__be__138_57_144_67.txt	M'agrada molt bé, el Serre Benopardis va marxar el paradis.	sí
bé	pa-066	10.13-15.71	clips/pa-066__b__10.13.wav	250a23141136c42f1e2836ff2f3758048ad53d182346bd09d0ab497ea3c06b02	qa-clips-base/pa-066__be__10_13_15_71.txt	L'últim que hi ha d'haver parlat del trànsit estava complicat.  I bé, venint de casa meva, aquí a vivia...	sí
de fet	pa-001	68.49-71.99	clips/pa-001__de-fet__68.49.wav	851dbae6253ffdface9f901f96eef681d2f9f9cb30bda66c54f5144e53b30041	qa-clips-base/pa-001__de-fet__68_49_71_99.txt	per fer-ho d'obtenir tots i la famosa raó.	no
de fet	pa-002	72.25-76.75	clips/pa-002__de-fet__72.25.wav	847f1018b1b45bc0a38c4eca4b30755512db15e0dba03ec14eebf6bbdda2cfd1	qa-clips-base/pa-002__de-fet__72_25_76_75.txt	Jo crec que va servir per això.	no
de fet	pa-003	0.00-7.19	clips/pa-003__de-fet__0.00.wav	008eb3fe6d9be6fb42738890fa5177d68247f534391c20920525c41994e35dd1	qa-clips-base/pa-003__de-fet__0_00_7_19.txt	Jo crec que de fet ens hem de situar en el context dels anys 80.	sí
de fet	pa-004	601.17-607.35	clips/pa-004__de-fet__601.17.wav	6f305ce3b656fbd3f74eb3e3bb1eef5471b8898aeee64dcd05c7049966915832	qa-clips-base/pa-004__de-fet__601_17_607_35.txt	complicat i comportàvem a gent.  De fet, comportàvem molta complexitat i precisió.	sí
de fet	pa-006	285.25-291.75	clips/pa-006__de-fet__285.25.wav	1bf772774bb8043b9f1f91446680ac19da3b91704a57ad5bee82b37b0b9ac226	qa-clips-base/pa-006__de-fet__285_25_291_75.txt	de plat és que de fet només ja que una sola peça amui men i una sola peça	sí
de fet	pa-008	799.25-804.75	clips/pa-008__de-fet__799.25.wav	258cb96e038458f4aed2481073381e1b001bb4cffe92535d5efb901a8055498a	qa-clips-base/pa-008__de-fet__799_25_804_75.txt	que em votava al terra de fer-te haver-hi algun incident que em van agontantar-ho.	no
de fet	pa-010	647.25-652.75	clips/pa-010__de-fet__647.25.wav	6f7245008f39b5a51b16fca07169d000b0e91a17cb7b40b0141731471492bcd9	qa-clips-base/pa-010__de-fet__647_25_652_75.txt	d'aquest tipus on és, de fet, amb concret o viatzi de segons, per mi m'agradaria amb les fornets.	sí
de fet	pa-011	557.25-561.31	clips/pa-011__de-fet__557.25.wav	74feacb443cae46de84816b37e1b0a352845e9eeff6cfeb557c32be14d1e361e	qa-clips-base/pa-011__de-fet__557_25_561_31.txt	De fet, quan es va inaugurar que el pal com a tal el senyor,	sí
de fet	pa-016	318.53-324.03	clips/pa-016__de-fet__318.53.wav	84cbcc4e1c24b07e98c045a58a1d6b4ca47a7767d60667070ce816649d43935f	qa-clips-base/pa-016__de-fet__318_53_324_03.txt	d'aquesta manera que la Comissió de Finances s'ha de dir.  La Comissió de Finances es pot trobar-ho d'acord.	no
de fet	pa-022	420.21-424.71	clips/pa-022__de-fet__420.21.wav	af302f4211879739bd8091c79ba3e5666401bde824ff072650352bc78559b913	qa-clips-base/pa-022__de-fet__420_21_424_71.txt	que no s'ha tocat amb aquests 31 anys.	no
de fet	pa-023	72.49-78.31	clips/pa-023__de-fet__72.49.wav	22d5efac82b842a1fc62f7b0bf600c5aea467e1f0ff55ab879d4b1f4f65ffbda	qa-clips-base/pa-023__de-fet__72_49_78_31.txt	que van ocupar quatre anys d'aquest llibre.	no
de fet	pa-024	482.25-489.07	clips/pa-024__de-fet__482.25.wav	59ccb13d083f2806c40f8e502377c50015681fba7bdcbce4f997877b1351a63a	qa-clips-base/pa-024__de-fet__482_25_489_07.txt	de fet, amb fàdibuixant una mica seva teoria.	sí
de fet	pa-025	890.85-894.31	clips/pa-025__de-fet__890.85.wav	a559a2cde3a26d3892dd1f6c0429cb20c6210324f18046d1afc84744ceff4cf2	qa-clips-base/pa-025__de-fet__890_85_894_31.txt	S'han de mirar en un lloc de les ciutadans que hi haurà a les ciutadans.	no
de fet	pa-027	109.45-115.11	clips/pa-027__de-fet__109.45.wav	62772c63d9db7198189ed0009cd36dde8e4b071838889fc6b2ca1a9d9b845908	qa-clips-base/pa-027__de-fet__109_45_115_11.txt	que de fet es van reunir, vam fer seminaris,  el tartei, vam fer seminaris.	sí
de fet	pa-028	31.17-37.07	clips/pa-028__de-fet__31.17.wav	aeff5683a84ab11ea5d8a8f1aaf029d27cdd3720613c2afeac4659324f031326	qa-clips-base/pa-028__de-fet__31_17_37_07.txt	de llibre d'on entendre que San Marino eri tal i o de fet.	sí
de fet	pa-031	9.93-14.23	clips/pa-031__de-fet__9.93.wav	5785296cce7554b7cb749c80b7cb6e1fbe29aa36ce7eaa2ff059ae184192b98a	qa-clips-base/pa-031__de-fet__9_93_14_23.txt	i de fet, no em va portar d'ingú, jo em vaig portar.	sí
de fet	pa-033	249.69-252.55	clips/pa-033__de-fet__249.69.wav	46a44cd237981a6175ace71efc9c7211829ef554ac1021d65b6c74757ae97af0	qa-clips-base/pa-033__de-fet__249_69_252_55.txt	Ucabzi de tot de fet, eh?	sí
de fet	pa-040	70.17-73.51	clips/pa-040__de-fet__70.17.wav	1a1f4d6fe223de8ca0f3798029daa9a58cc783b6c68421e0666332a6e0bbdf51	qa-clips-base/pa-040__de-fet__70_17_73_51.txt	que ho trobava, i de fet el meu pare el portarés sempre sobre què hi pensem per el portar.	sí
de fet	pa-051	200.81-205.31	clips/pa-051__de-fet__200.81.wav	0285ad57f4c9bdaafb7811096af2b37d99e3a1ca2edd83ce3d307d428d21a609	qa-clips-base/pa-051__de-fet__200_81_205_31.txt	S'han de fer en el diàgraf.	no
de fet	pa-057	561.25-569.07	clips/pa-057__de-fet__561.25.wav	f60689c72422dd191b8e8e1427701fbb4c3f158b74a781b44419188b83c10e25	qa-clips-base/pa-057__de-fet__561_25_569_07.txt	de fer l'avançar una mica més en minoria i van arribar a buscar la solució,  que no sí, que no s'hi va conèixer i que no s'hi va buscar.	no
de fet	pa-060	72.57-78.35	clips/pa-060__de-fet__72.57.wav	c9b4a528445a1057a5f3a047b6e68cb9f6ab9e2db61b98a7394c4753d3c7d8a6	qa-clips-base/pa-060__de-fet__72_57_78_35.txt	que van ocupar quatre anys de fet.	sí
de fet	pa-065	883.97-888.71	clips/pa-065__de-fet__883.97.wav	5685365f3b00bfe1a63764e888abf93b90b4eebbd10b79ceca8eabde8f0ff101	qa-clips-base/pa-065__de-fet__883_97_888_71.txt	de fer com Jesus encarnar-se amb el pot.	no
de fet	pa-066	44.37-49.71	clips/pa-066__de-fet__44.37.wav	dbe5e9976b2c7b08c17418d9f351cc61ea16589892a902afae955be09045087b	qa-clips-base/pa-066__de-fet__44_37_49_71.txt	No ho sé si la gent va ser l'únic,  va ser important.	no
és a dir	pa-001	890.97-894.47	clips/pa-001__s-a-dir__890.97.wav	f66753c5bc118e0315902c298296c8a5beb477ca293933638f85bba7ae2b7388	qa-clips-base/pa-001__es-a-dir__890_97_894_47.txt	Està tot tan càtia, l'ingrés a la bona.	no
és a dir	pa-002	12.25-17.75	clips/pa-002__s-a-dir__12.25.wav	6aa060c5245db509abfb70f46cd39abe070648e52010c2146d0e3f65b9f9adf2	qa-clips-base/pa-002__es-a-dir__12_25_17_75.txt	Però no que s'hagués fet que s'havia de reformar-te.	no
és a dir	pa-003	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	59b64c066f1c3da6cb7dda74af1439a5735602573b5b739c14a9957829358293	qa-clips-base/pa-003__es-a-dir__65_05_70_51.txt	És a dir, crec que això és important, no es crea com anem...	sí
és a dir	pa-007	684.25-687.75	clips/pa-007__s-a-dir__684.25.wav	90b5e99b7d6efac4f8a32ffbc80d1fc68cc5d31b28e5dfec4aea16991c4a2132	qa-clips-base/pa-007__es-a-dir__684_25_687_75.txt	És li, canviar el nam de carrers.	no
és a dir	pa-008	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	d7847079f3efecbd32a84cafe9c06c682f01f3697e52af62b036a54b2c607e25	qa-clips-base/pa-008__es-a-dir__1110_25_1114_75.txt	va a la festa o fer plante, no? És a dir, quan els més grans s'impliquen...	sí
és a dir	pa-010	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	be9f18bc86f42531bca48f45180c65afcc40de7b6246c72a4e1ddeb93c5171b6	qa-clips-base/pa-010__es-a-dir__243_25_249_55.txt	És a dir, interpretables o en termina dos mitjents en la nostra llengua.  Tual!  Sí.	sí
és a dir	pa-011	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	e1904cb81b1d6adbcad154c83d7ba280b510707fe8a0fca66629592f681002f0	qa-clips-base/pa-011__es-a-dir__48_09_54_67.txt	És a dir, una casa és tota la família i tot és les seves propietats.	sí
és a dir	pa-013	579.17-586.75	clips/pa-013__s-a-dir__579.17.wav	30f54ca8f95556f452e42047d54e4de6a1235335e4afb66e77b83fe5bd922380	qa-clips-base/pa-013__es-a-dir__579_17_586_75.txt	és de dir, l'arquitectura de granites dona en un moment de reconversió gradual del nostre país que passa de ser	no
és a dir	pa-014	95.45-107.35	clips/pa-014__s-a-dir__95.45.wav	937818a38ad39abcac08411c2e0188ba532abd50c204a759271d8a052d426d23	qa-clips-base/pa-014__es-a-dir__95_45_107_35.txt	Meneen sabentat de moltes coses.  És a dir, m'he fet una miqueta, com diríem una miqueta estudiós,  del ball del contrapàs.	sí
és a dir	pa-016	85.97-90.59	clips/pa-016__s-a-dir__85.97.wav	5e147da8e76844f2f8ce04867a23c97da0fe02cba43a70432c0fc2c8afe66cee	qa-clips-base/pa-016__es-a-dir__85_97_90_59.txt	S'ha dit després que tinguin hagut altres carrers i encara que no ho sembla, doncs a l'hora.	no
és a dir	pa-017	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	76794b4314dd38ba0f8979bf00b317b78e187016f5a11beabb485f65ae5c05ab	qa-clips-base/pa-017__es-a-dir__487_25_494_75.txt	És el quim pert, és a dir que sempre hi ha aquesta incognita  i evidentment que teníem d'altres sí que ho ha vingut,  però al quina vida és així.	sí
és a dir	pa-018	74.49-79.83	clips/pa-018__s-a-dir__74.49.wav	c1b8c86cc470f9191fdb5a34c4d5e4886e4a9927206a0b5de46c8b13140e5cca	qa-clips-base/pa-018__es-a-dir__74_49_79_83.txt	És a dir que nosaltres podien dins que volíem ser com un...,	sí
és a dir	pa-019	56.25-60.75	clips/pa-019__s-a-dir__56.25.wav	67da3a42e6228a1a0479c7ecc4b896b1974bcb60d2a01532042cc03c077f04fe	qa-clips-base/pa-019__es-a-dir__56_25_60_75.txt	Estic una de les coses que ens va deixar de marència al consell que es va dir.	no
és a dir	pa-021	32.29-38.55	clips/pa-021__s-a-dir__32.29.wav	651bafcfdb72346d819678d5e876950ff54398179738962c2a5e629a3a3fc465	qa-clips-base/pa-021__es-a-dir__32_29_38_55.txt	d'Andorra. És el riquel poble, ens vaillers i per això.	no
és a dir	pa-022	11.49-17.91	clips/pa-022__s-a-dir__11.49.wav	d843e8305006a5a4c5272cf8b7a7f216adc3828d8b4629f2914eea67b0dab85b	qa-clips-base/pa-022__es-a-dir__11_49_17_91.txt	que es diu que no haguessum demanat mai d'una certa manera.	no
és a dir	pa-023	207.17-213.55	clips/pa-023__s-a-dir__207.17.wav	4e68e4319d2a18e6dff4e3460aa1f69cc7efa50f5c0440b12fd0dc4e08e4eee2	qa-clips-base/pa-023__es-a-dir__207_17_213_55.txt	El que va amb disfrutar molt va ser que hi va haver un ambient molt temps,	no
és a dir	pa-024	78.49-84.39	clips/pa-024__s-a-dir__78.49.wav	a1c469ae4499b42f14fb3519630a085e61dd4916629f9c6d058664d998c00ff2	qa-clips-base/pa-024__es-a-dir__78_49_84_39.txt	de democratitzar més el país que li he expandit, doncs la...	no
és a dir	pa-025	64.61-70.95	clips/pa-025__s-a-dir__64.61.wav	9fb60f0251e2633eca14340bff258dad7323703f418efa58bfa5ccca7e72efe1	qa-clips-base/pa-025__es-a-dir__64_61_70_95.txt	No teníem gairebé un parlement de les eleccions.	no
és a dir	pa-026	64.09-68.39	clips/pa-026__s-a-dir__64.09.wav	a0131f905fc6b5055935b9db4e5f641e9c8dd15f1c33156a2430926f27383e95	qa-clips-base/pa-026__es-a-dir__64_09_68_39.txt	Sí, això hi ha per ell.	no
