ordre	id_persona	forma	clip	prob_small	text_small	text_base	forma_en_base	categoria	decisio_audicio
74	pa-048	crec	clips/pa-048__crec__110.97.wav	0.9866	crec	Si hi ha cel, jo no crec ni el meu infern, ni el purgatori, ni el cel.	sí	A-doble-coincidencia	
75	pa-048	a nivell	clips/pa-048__a-nivell__435.77.wav	0.8845	a nivell	No, perquè normalment quan t'imbitan a nivell oficial t'imbitan a tal...	sí	A-doble-coincidencia	
76	pa-049	llavors	clips/pa-049__llavors__230.45.wav	0.9191	llavors	"I aquí en Dorra va vindre llabons el delegat de prensa de la casa blanca.
 No sé si va ser arreu de la càrrecament de aquesta càrrec."	no	B-small-only	
77	pa-049	a veure	clips/pa-049__a-veure__244.85.wav	0.9962	a veure	"I ja no ens ho pot dir.
 Ja no ens ho pot dir.
 Però va anar a tablar a visitar-te amb el meu pare,
 amb el meu pare, els van a veure després o aixec."	sí	A-doble-coincidencia	
78	pa-051	crec	clips/pa-051__crec__208.57.wav	0.9924	crec	No crec que arribi amb totes les húuelles de canilla, seny.	sí	A-doble-coincidencia	
79	pa-052	bueno	clips/pa-052__bueno__41.97.wav	0.7880	bueno	i heu erro de dins de germans.	no	B-small-only	
80	pa-053	perquè	clips/pa-053__perqu__113.93.wav	0.6129	perquè	n'hi hagi d'aquí, n'havien guanyat una pel·la perquè volem desprotar la gent.	sí	A-doble-coincidencia	
81	pa-054	bueno	clips/pa-054__bueno__51.69.wav	0.8263	bueno	I, bueno, és el primer fàjum i l'àmbit.	sí	A-doble-coincidencia	
82	pa-055	reformeta	clips/pa-055__reformeta__139.05.wav	0.9557	reformeta	La diferència és que la reformeta tracta ben missatge.	sí	A-doble-coincidencia	
83	pa-056	aleshores	clips/pa-056__aleshores__393.13.wav	0.5797	aleshores	i a desarres això està tan quadrícolat.	no	B-small-only	
84	pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	0.9342	vull dir	Bé, vull dir també perquè cal recordar-ho.	sí	A-doble-coincidencia	
85	pa-057	tirar endavant	clips/pa-057__tirar-endavant__56.61.wav	0.9330	tirar endavant	puguessin avançar i que vesim també d'autodisoldre per incapacitat de poder tirar endavant.	sí	A-doble-coincidencia	
86	pa-058	és a dir	clips/pa-058__s-a-dir__74.41.wav	0.9532	És a dir	que volien ser com un pare.	no	B-small-only	
87	pa-058	perquè	clips/pa-058__perqu__91.09.wav	0.9674	perquè	i risòria, perquè no podíem acabar mai de decidir que una cosa...	sí	A-doble-coincidencia	
88	pa-059	clar	clips/pa-059__clar__36.61.wav	0.9810	clar	Els altres teníem clar que havíem de fer el pas.	sí	A-doble-coincidencia	
89	pa-060	de fet	clips/pa-060__de-fet__72.57.wav	0.8385	de fet	que van ocupar quatre anys de fet.	sí	A-doble-coincidencia	
90	pa-061	o sigui	clips/pa-061__o-sigui__161.05.wav	0.6361	O sigui	Si la primera activitat dels germans, despionés, peri...	no	B-small-only	
91	pa-061	llavors	clips/pa-061__llavors__380.77.wav	0.5349	llavors	"-Exactament.
 -Ella abans comença a tornar a agradar-s'hi."	no	B-small-only	
92	pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	0.7665	és a dir	"que ens donaven, és a dir que sin estaurés entre el món polític
 i el món empresarial, un diàleg."	sí	A-doble-coincidencia	
93	pa-063	crec	clips/pa-063__crec__758.81.wav	0.9939	crec	"Això és el que hem d'intentar.
 Jo crec que s'està fent naturalment."	sí	A-doble-coincidencia	
94	pa-063	o sigui	clips/pa-063__o-sigui__826.09.wav	0.6737	O sigui	O sigui que vam estar a la primera paix amb comets.	sí	A-doble-coincidencia	
95	pa-064	o sigui	clips/pa-064__o-sigui__36.73.wav	0.7590	o sigui	A més, les seves gràcies a les eleccions d'aquesta vegada.	no	B-small-only	
96	pa-064	a veure	clips/pa-064__a-veure__587.61.wav	0.9952	a veure	-El set de nata veure amb els anys.	no	B-small-only	
97	pa-065	bé	clips/pa-065__b__138.57.wav	0.9995	bé	M'agrada molt bé, el Serre Benopardis va marxar el paradis.	sí	A-doble-coincidencia	
98	pa-065	doncs	clips/pa-065__doncs__157.49.wav	0.7556	doncs	i quan hi ha amor, doncs deu haver-te entès els nostres coses.	sí	A-doble-coincidencia	
99	pa-066	llavors	clips/pa-066__llavors__16.21.wav	0.7958	llavors	que es poden fer a l'estudio de la ciutadania.	no	B-small-only	
100	pa-066	bueno	clips/pa-066__bueno__357.23.wav	0.8366	bueno	periferia i, bueno, jo recordo de passat, si no.	sí	A-doble-coincidencia	
