id	candidate	forma	clip	audio_sha256	audio_exists	audio_bytes	transcripcio_small	small_exists	small_bytes	transcripcio_base	base_exists	base_bytes	estat
lead-rtva-001::perquè::188::8	lead-rtva-001	perquè	candidats/lead-rtva-001/clips/joan__perqu__560.44.wav	bbe6aff8a65ca55ff163f0797094c9411e2b384fcc2154d3439ceee2debd657e	sí	171564	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
lead-rtva-001::evidentment::205::9	lead-rtva-001	evidentment	candidats/lead-rtva-001/clips/joan__evidentment__617.96.wav	e48fc0e7b2c55e495b4bfd90d021117c940dee4d494e7f340ef9e091e8e26ee5	sí	163884	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
lead-rtva-001::bé::247::10	lead-rtva-001	bé	candidats/lead-rtva-001/clips/joan__b__753.64.wav	ad1d9fe25f6e1c13a548a106f5b6267f997550f748649a51c479778214fd9d0a	sí	166444	candidats/lead-rtva-001/asr/joan-verdu.txt	sí	13680	candidats/lead-rtva-001/asr/joan-verdu-base.txt	sí	13388	complet
lead-rtva-002-ian-moya::a nivell::72::1	lead-rtva-002-ian-moya	a nivell	candidats/lead-rtva-002-ian-moya/clips/ian__a-nivell__225.92.wav	9705079e626e1ffa85512b260c5854e8ce39bcb0ec652a051f3af71d0a263d21	sí	230444	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::a veure::34::2	lead-rtva-002-ian-moya	a veure	candidats/lead-rtva-002-ian-moya/clips/ian__a-veure__114.56.wav	9ed987ab8ea48fc30d12c429de9073d77ee9fa11a1183940ce2d52479013819d	sí	165164	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::bé::20::3	lead-rtva-002-ian-moya	bé	candidats/lead-rtva-002-ian-moya/clips/ian__b__80.96.wav	878cdd7cf78059de3bcf1806ddeac9f7e32029243adcd327ef23a0e9bc4673d7	sí	153644	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::clar::57::4	lead-rtva-002-ian-moya	clar	candidats/lead-rtva-002-ian-moya/clips/ian__clar__174.80.wav	a41a422655362ec28b507dd9bfb522c612e3daf6657e2b2ccd5f8b4448d704ed	sí	143404	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::de fet::25::5	lead-rtva-002-ian-moya	de fet	candidats/lead-rtva-002-ian-moya/clips/ian__de-fet__92.84.wav	e2eec1bcc55069685b3c82f4fb07c4c5da2959568882140a40a501e2ad572841	sí	128044	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::doncs::20::6	lead-rtva-002-ian-moya	doncs	candidats/lead-rtva-002-ian-moya/clips/ian__doncs__80.96.wav	878cdd7cf78059de3bcf1806ddeac9f7e32029243adcd327ef23a0e9bc4673d7	sí	153644	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::evidentment::412::7	lead-rtva-002-ian-moya	evidentment	candidats/lead-rtva-002-ian-moya/clips/ian__evidentment__1242.76.wav	8b88609265f7dbaa6823e84930306317c36e15d567122538f531b035ca3505ab	sí	256044	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::llavors::37::8	lead-rtva-002-ian-moya	llavors	candidats/lead-rtva-002-ian-moya/clips/ian__llavors__123.44.wav	d38f40fbe1b389b36774edf5114f30c81f0ed1db16b203d5939c637c6e0555a1	sí	119084	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::no?::92::9	lead-rtva-002-ian-moya	no?	candidats/lead-rtva-002-ian-moya/clips/ian__no__297.08.wav	21c727ff761ed61799c41fa02350eb167905233fd302748800da355227e04ba5	sí	148524	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::o sigui::28::10	lead-rtva-002-ian-moya	o sigui	candidats/lead-rtva-002-ian-moya/clips/ian__o-sigui__100.08.wav	50156077baf3a3eedbf68395386ebfb2c3debe814f2db0d1282a9a930683c1b1	sí	143404	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::per tant::394::11	lead-rtva-002-ian-moya	per tant	candidats/lead-rtva-002-ian-moya/clips/ian__per-tant__1186.72.wav	c32bb5733415670dd3fcfff1d8a82a6b88b18c30b7697771798a43610d0a3b90	sí	170284	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::perquè::26::12	lead-rtva-002-ian-moya	perquè	candidats/lead-rtva-002-ian-moya/clips/ian__perqu__94.92.wav	c59ffa191d0273b91dfd822e6801b3fede67c77db6a9549b582b14010e22325b	sí	128044	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::és a dir::173::13	lead-rtva-002-ian-moya	és a dir	candidats/lead-rtva-002-ian-moya/clips/ian__s-a-dir__539.76.wav	c0582f293fa103a20073edb1667c00a8b2781a3b8c4e913d628cf09ae34f7fe5	sí	364844	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::Escaldes::10::14	lead-rtva-002-ian-moya	Escaldes	candidats/lead-rtva-002-ian-moya/clips/ian__escaldes__56.96.wav	03e2073993cf25cf415a94040d5d04e8b1d3386b88e2adbda3ef08f6a7cb3a7b	sí	179244	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-002-ian-moya::vull dir::58::15	lead-rtva-002-ian-moya	vull dir	candidats/lead-rtva-002-ian-moya/clips/ian__vull-dir__177.36.wav	0c258d37392361b71a35e70cd699b5fd17c15c824a29fb10612c18ff9f998476	sí	156204	candidats/lead-rtva-002-ian-moya/asr/ian-moya.txt	sí	25413	candidats/lead-rtva-002-ian-moya/asr/ian-moya-base.txt	sí	25311	complet
lead-rtva-003-dj-neura::a veure::5::1	lead-rtva-003-dj-neura	a veure	candidats/lead-rtva-003-dj-neura/clips/dj-neura__a-veure__33.00.wav	7435ab18dbd57227dc38df9e594449f71d8baef1094891854b67ef7902275a6f	sí	256044	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-003-dj-neura::aleshores::8::2	lead-rtva-003-dj-neura	aleshores	candidats/lead-rtva-003-dj-neura/clips/dj-neura__aleshores__50.00.wav	a665c990b06995149fce7e164a7f9d3fb40d30511b63262b9259797072986605	sí	176684	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-003-dj-neura::bueno::6::3	lead-rtva-003-dj-neura	bueno	candidats/lead-rtva-003-dj-neura/clips/dj-neura__bueno__39.00.wav	2a671e2d59b1fd64287e8260d5096fd45ff78ac65ab494a64df0f2e6c7c3a308	sí	224044	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-003-dj-neura::bé::7::4	lead-rtva-003-dj-neura	bé	candidats/lead-rtva-003-dj-neura/clips/dj-neura__b__44.00.wav	e49110d5079b48a679e3d04c21bb0f86ff7aa9c3106698badd540e39f52b6086	sí	256044	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-003-dj-neura::clar::8::5	lead-rtva-003-dj-neura	clar	candidats/lead-rtva-003-dj-neura/clips/dj-neura__clar__50.00.wav	a665c990b06995149fce7e164a7f9d3fb40d30511b63262b9259797072986605	sí	176684	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-003-dj-neura::doncs::7::6	lead-rtva-003-dj-neura	doncs	candidats/lead-rtva-003-dj-neura/clips/dj-neura__doncs__44.00.wav	e49110d5079b48a679e3d04c21bb0f86ff7aa9c3106698badd540e39f52b6086	sí	256044	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-003-dj-neura::no?::7::7	lead-rtva-003-dj-neura	no?	candidats/lead-rtva-003-dj-neura/clips/dj-neura__no__44.00.wav	e49110d5079b48a679e3d04c21bb0f86ff7aa9c3106698badd540e39f52b6086	sí	256044	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-003-dj-neura::perquè::88::8	lead-rtva-003-dj-neura	perquè	candidats/lead-rtva-003-dj-neura/clips/dj-neura__perqu__416.76.wav	9a305eacb665a64de7ae7c77686a6a01a34f9482cb83daee333ab9b083e516fc	sí	213804	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-003-dj-neura::de fet::5::9	lead-rtva-003-dj-neura	de fet	candidats/lead-rtva-003-dj-neura/clips/dj-neura__de-fet__33.00.wav	7435ab18dbd57227dc38df9e594449f71d8baef1094891854b67ef7902275a6f	sí	256044	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-003-dj-neura::o sigui::85::10	lead-rtva-003-dj-neura	o sigui	candidats/lead-rtva-003-dj-neura/clips/dj-neura__o-sigui__394.08.wav	737123b4ed641ef421dea72cb2121b7196b2aa3bf7944374e610c7726637829f	sí	345644	candidats/lead-rtva-003-dj-neura/asr/dj-neura.txt	sí	9536	candidats/lead-rtva-003-dj-neura/asr/dj-neura-base.txt	sí	9640	complet
lead-rtva-004-joan-mico::bueno::12::1	lead-rtva-004-joan-mico	bueno	candidats/lead-rtva-004-joan-mico/clips/joan-mico__bueno__75.24.wav	ead1cfde7b18a2b44ae50465ba516bbbcdf80ce4769228dfd025786ce54050ac	sí	252204	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::bé::30::2	lead-rtva-004-joan-mico	bé	candidats/lead-rtva-004-joan-mico/clips/joan-mico__b__154.52.wav	367518065045bb6850a88f2ebbcd8ed79b7a2b75113e9e471b67117489871469	sí	245804	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::clar::41::3	lead-rtva-004-joan-mico	clar	candidats/lead-rtva-004-joan-mico/clips/joan-mico__clar__205.88.wav	accb06863d3dd2a7b066b4e0f1198d47bb4c8ff0ddc3d343758d81000ea39cec	sí	148524	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::de fet::166::4	lead-rtva-004-joan-mico	de fet	candidats/lead-rtva-004-joan-mico/clips/joan-mico__de-fet__766.48.wav	4a8a90605e64bb74c8371278d63609fd958f875ab47112a78428720cdef0a1f8	sí	243244	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::doncs::16::5	lead-rtva-004-joan-mico	doncs	candidats/lead-rtva-004-joan-mico/clips/joan-mico__doncs__92.28.wav	d3ed110c49a686230b6a35b5af8d547d6101d5d46a2572bed027fb12097970c0	sí	222764	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::llavors::50::6	lead-rtva-004-joan-mico	llavors	candidats/lead-rtva-004-joan-mico/clips/joan-mico__llavors__239.48.wav	721a3420c2e4e3c2f7f71198676a13b941e781972f0d45d9d5723dec78eead2e	sí	192044	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::no?::10::7	lead-rtva-004-joan-mico	no?	candidats/lead-rtva-004-joan-mico/clips/joan-mico__no__64.24.wav	f55d72d921fbbf8ee9934c3101429c0ca5e9323754da6cf55b4b44adb971ce78	sí	256046	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::o sigui::76::8	lead-rtva-004-joan-mico	o sigui	candidats/lead-rtva-004-joan-mico/clips/joan-mico__o-sigui__379.88.wav	929ab71fff13a6d0b0e145c72fe1ae2d4afa5ebf4f57d0c1bdc2d3b2fcf7bf8e	sí	270124	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::per tant::5::9	lead-rtva-004-joan-mico	per tant	candidats/lead-rtva-004-joan-mico/clips/joan-mico__per-tant__42.28.wav	881554c8bd53be8c06e8f488fa522a500ca73c1ede546cf80940393feaae91a1	sí	267564	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::perquè::15::10	lead-rtva-004-joan-mico	perquè	candidats/lead-rtva-004-joan-mico/clips/joan-mico__perqu__87.00.wav	c4cb27fb298a219ae707389f3a7017f01a5bbd0d8853f83ce14b7ced59cd1247	sí	230444	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::vull dir::9::11	lead-rtva-004-joan-mico	vull dir	candidats/lead-rtva-004-joan-mico/clips/joan-mico__vull-dir__60.84.wav	6af7613f822cdc5db8bb26066eea6c748db8980783051da4ceca1057da48f46b	sí	172842	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-004-joan-mico::comuns::216::12	lead-rtva-004-joan-mico	comuns	candidats/lead-rtva-004-joan-mico/clips/joan-mico__comuns__995.92.wav	d6568e014511f9ef07132ca6946bd8f9097c539aa31e35a37efbd3366577e3d5	sí	229164	candidats/lead-rtva-004-joan-mico/asr/joan-mico.txt	sí	21704	candidats/lead-rtva-004-joan-mico/asr/joan-mico-base.txt	sí	22083	complet
lead-rtva-005-carine-montaner::a nivell::37::1	lead-rtva-005-carine-montaner	a nivell	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__a-nivell__113.72.wav	5357398f418d27f1e7e5ec25562a0b8eca812f5243d432fd6953dc349530ee67	sí	192044	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::a veure::224::2	lead-rtva-005-carine-montaner	a veure	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__a-veure__691.44.wav	6d4bbeb1cc71988263082bd9ce1995f00462b3ca854aa6bfe562c61426996a44	sí	131884	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::bueno::388::3	lead-rtva-005-carine-montaner	bueno	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__bueno__1120.36.wav	f74ecb68996be8af9f4347f4a82c19f8e085b649fa9f5968d6068960a5705251	sí	161324	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::bé::26::4	lead-rtva-005-carine-montaner	bé	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__b__82.12.wav	59017f48b02d299c4b4927c65cdbfb753d140fd88310ac08afe6798ed40390e8	sí	190764	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::clar::69::5	lead-rtva-005-carine-montaner	clar	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__clar__215.04.wav	2547a024fc13a7d6d184ccb0f9b86edad5a4b430d95baf2c1e9fd4d1f586212c	sí	188204	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::de fet::256::6	lead-rtva-005-carine-montaner	de fet	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__de-fet__777.08.wav	f513ce4e36d2b0c25a1c733907e74fad9c72652f54a41f933d5643df864a15db	sí	163884	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::diguem::163::7	lead-rtva-005-carine-montaner	diguem	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__diguem__506.60.wav	8e588d3139680813a05d7acd7cc0603b3d9ce59c9f77c57337dab0360bce3090	sí	130604	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::doncs::33::8	lead-rtva-005-carine-montaner	doncs	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__doncs__105.16.wav	9c4c87ee31806316a0a328a6f7a7d53096014031212f0ec4f0742232830cc2c4	sí	125484	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::evidentment::290::9	lead-rtva-005-carine-montaner	evidentment	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__evidentment__868.60.wav	2c10ecf46a5140759d2ca294473bb59e566adb0b7eea080e2ebc44739ee61732	sí	166444	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::llavors::231::10	lead-rtva-005-carine-montaner	llavors	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__llavors__711.88.wav	2181b36f32ac7c6c6749236bffdc0dc1fbbadfa755f72dae7a7ae0e91d8ef8ef	sí	147244	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
lead-rtva-005-carine-montaner::no?::78::11	lead-rtva-005-carine-montaner	no?	candidats/lead-rtva-005-carine-montaner/clips/carine-montaner__no__245.12.wav	5ca5e25e6a57ac217f97161686cb1486911e9b3769412cf74ab170bdc8eae4ac	sí	162604	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner.txt	sí	52847	candidats/lead-rtva-005-carine-montaner/asr/carine-montaner-base.txt	sí	52125	complet
