ordre	categoria	score_evidencia	id_persona	forma	interval_escolta	clip	transcripcio_qa	json_qa	token_coincidencia	token_intervals_absolute	token_prob_min	token_prob_mean	token_text	text_qa	consens_dos_asr	coincidencia_temporal_asr	forma_en_qa	conf_min_segment	conf_min_base_segment	veu_proporcio	rms_p50_db	f0_median_hz	f0_iqr_hz	centroid_median_hz	pausa_mediana_s	estat_audicio	forma_confirmada_auditivament	variant_transcrita	trets_fonetics_observats	observacions_prosodiques	nota_audicio	segments_incerts	min_prob_incert
421	B-doble-ASR	6	pa-041	bueno	165.25-173.75	clips/pa-041__bueno__165.25.wav	qa-clips/pa-041__bueno__165_25_173_75.txt							i que, bueno, que tingués més en compte les peculiaritats endurranes.	sí	no	sí	0.239		0.5307	-33.97	266.31	133.57	1032.83	0.060	pendent						3	0.0314
613	D-divergent	0	pa-006	llavors	214.25-220.75	clips/pa-006__llavors__214.25.wav	qa-clips/pa-006__llavors__214_25_220_75.txt							i ho deixem clar per a unes dones de ràpids del mòbil prop vendit.  Jo és una canventa jo, la portarem i deixarem caure per a algun taller.	no	no	no	0.032		0.5247	-34.19	135.09	80.21	701.64	0.060	pendent						3	0.0317
460	D-divergent	4	pa-022	llavors	57.37-61.35	clips/pa-022__llavors__57.37.wav	qa-clips/pa-022__llavors__57_37_61_35.txt							I una cosa un gran record que tinc de l'Ebonzi, que encara duré ara...	sí	no	no	0.031		0.8030	-25.73	225.05	159.61	1002.34	0.040	pendent						3	0.0320
175	A-triple-consens	9	pa-037	doncs	20.49-28.07	clips/pa-037__doncs__20.49.wav	qa-clips/pa-037__doncs__20_49_28_07.txt	qa-clips-json/pa-037__doncs__20_49.json	sí	20.760-21.240	0.6135	0.8066	doncs	I, doncs, quan va arribar el consell constituent,  ha vint arribar també amb bastant tensos  i l'enriquia es van posar.	sí	sí	sí	0.056	0.103	0.5423	-32.78	233.08	142.70	927.35	0.090	pendent						3	0.0323
450	D-divergent	4	pa-017	bé	112.25-118.15	clips/pa-017__b__112.25.wav	qa-clips/pa-017__be__112_25_118_15.txt							d'acord. A partir d'aquí va començar la paraula de missió, de missió, de missió.	sí	no	no	0.261		0.5578	-32.36	252.71	162.59	995.28	0.100	pendent						3	0.0357
282	A-triple-consens	9	pa-063	perquè	142.61-146.79	clips/pa-063__perqu__142.61.wav	qa-clips/pa-063__perque__142_61_146_79.txt	qa-clips-json/pa-063__perqu__142_61.json	sí	142.610-143.090	0.0412	0.0412	perquè	perquè vam començar l'any 65.	sí	sí	sí	0.004	0.047	0.5144	-34.24	212.90	36.24	1390.26	0.080	pendent						3	0.0358
500	D-divergent	4	pa-059	bé	112.41-118.27	clips/pa-059__b__112.41.wav	qa-clips/pa-059__be__112_41_118_27.txt							llavors a partir d'aquí va començar a veure la paraula d'emissió,  d'emissió, d'emissió i tot va anar...	sí	no	no	0.063		0.5719	-31.64	262.59	151.59	1016.05	0.100	pendent						2	0.0362
509	D-divergent	4	pa-064	llavors	713.33-717.15	clips/pa-064__llavors__713.33.wav	qa-clips/pa-064__llavors__713_33_717_15.txt							Tot el... tot el que he de voler.	sí	no	no	0.036		0.4263	-40.57	208.26	177.20	1129.74	0.120	pendent						3	0.0364
174	A-triple-consens	9	pa-037	diguem	469.77-482.03	clips/pa-037__diguem__469.77.wav	qa-clips/pa-037__diguem__469_77_482_03.txt	qa-clips-json/pa-037__diguem__469_77.json	sí	477.950-478.010	0.7388	0.7902	diguem	Bé, marxar. Una cosa que em va satisfir molt va ser que vaig fer desíndic, diguem-ho així,  durant una hora o més.	sí	sí	sí	0.055	0.208	0.4395	-38.32	242.06	188.40	1334.90	0.100	pendent						3	0.0389
540	C-una-passada	2	pa-006	diguem	530.25-535.75	clips/pa-006__diguem__530.25.wav	qa-clips/pa-006__diguem__530_25_535_75.txt							modernes. Les primeres instal·lacions de producció elèctrica, diguem endorra,	no	no	sí	0.274		0.6971	-31.48	141.13	155.91	753.40	0.050	pendent						2	0.0391
40	A-triple-consens	9	pa-010	llavors	386.25-391.75	clips/pa-010__llavors__386.25.wav	qa-clips/pa-010__llavors__386_25_391_75.txt	qa-clips-json/pa-010__llavors__386_25.json	sí	387.100-387.970	0.7955	0.8972	llavors	Allà, llavors, per intentar interpretar què devia voler dir en origen, aquest...	sí	sí	sí	0.021	0.104	0.6168	-30.77	135.17	164.72	908.44	0.070	pendent						3	0.0400
558	C-una-passada	2	pa-024	perquè	225.53-230.35	clips/pa-024__perqu__225.53.wav	qa-clips/pa-024__perque__225_53_230_35.txt							Doncs vaig així, perquè va ser unes votacions molt interessants.	no	no	sí	0.006		0.3917	-36.81	330.15	87.51	830.62	0.060	pendent						3	0.0403
554	C-una-passada	2	pa-024	clar	648.09-656.83	clips/pa-024__clar__648.09.wav	qa-clips/pa-024__clar__648_09_656_83.txt							per tant, teníem clar al cap l'idea d'una constitució i la volia, sincerament.	no	no	sí	0.016		0.3326	-40.35	330.49	54.67	1039.56	0.160	pendent						3	0.0409
473	D-divergent	4	pa-034	bueno	33.81-39.07	clips/pa-034__bueno__33.81.wav	qa-clips/pa-034__bueno__33_81_39_07.txt							Vaig continuar, vaig pujar les escales...	sí	no	no	0.045		0.5687	-32.79	199.71	114.35	875.58	0.120	pendent						3	0.0452
475	D-divergent	4	pa-034	llavors	29.17-32.67	clips/pa-034__llavors__29.17.wav	qa-clips/pa-034__llavors__29_17_32_67.txt							Ja es va pujar, va a veure posclava, que hi havia molta gent.	sí	no	no	0.037		0.6264	-31.78	153.63	63.40	903.68	0.060	pendent						3	0.0452
267	A-triple-consens	9	pa-061	bé	662.89-667.43	clips/pa-061__b__662.89.wav	qa-clips/pa-061__be__662_89_667_43.txt	qa-clips-json/pa-061__b__662_89.json	sí	664.810-664.890	0.4650	0.4650	bé	que no li ha agradat, eh?, sempre que li n'hi ha bé,  però jo sé per què, mudada.	sí	sí	sí	0.012	0.047	0.6814	-28.14	175.21	138.66	1376.63	0.080	pendent						2	0.0454
653	D-divergent	0	pa-060	aleshores	147.17-151.47	clips/pa-060__aleshores__147.17.wav	qa-clips/pa-060__aleshores__147_17_151_47.txt							Per continuar, adéu.	no	no	no	0.046		0.4486	-40.98	139.13	98.17	1219.46	0.120	pendent						2	0.0462
502	D-divergent	4	pa-060	bueno	150.05-157.07	clips/pa-060__bueno__150.05.wav	qa-clips/pa-060__bueno__150_05_157_07.txt							i que continuà, de bones vegades es va disoldre.  Vam canviar, vam...	sí	no	no	0.046		0.6171	-30.21	137.14	90.66	941.02	0.080	pendent						3	0.0462
605	D-divergent	0	pa-001	vull dir	621.37-625.39	clips/pa-001__vull-dir__621.37.wav	qa-clips/pa-001__vull-dir__621_37_625_39.txt							Els consuls van col·laborar també, però tampoc ho han fet.	no	no	no	0.134		0.6600	-30.69	194.70	30.15	823.71	0.060	pendent						2	0.0480
556	C-una-passada	2	pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	qa-clips/pa-024__de-fet__482_25_489_07.txt							de fet, ens va dibuixar una mica la seva teoria.	no	no	sí	0.042		0.5500	-31.35	278.40	105.03	1153.51	0.060	pendent						2	0.0481
585	C-una-passada	2	pa-052	clar	59.97-64.67	clips/pa-052__clar__59.97.wav	qa-clips/pa-052__clar__59_97_64_67.txt							Hi ha de bona ajuda, que és clar, amb els meus padrins.	no	no	sí	0.029		0.7393	-28.27	189.34	38.91	1068.83	0.060	pendent						3	0.0496
648	D-divergent	0	pa-052	llavors	68.73-73.23	clips/pa-052__llavors__68.73.wav	qa-clips/pa-052__llavors__68_73_73_23.txt							i el estiu de vots que hi ha cap a torna.	no	no	no	0.045		0.7321	-32.45	219.49	20.88	875.60	0.020	pendent						3	0.0496
597	C-una-passada	2	pa-065	a nivell	529.09-536.75	clips/pa-065__a-nivell__529.09.wav	qa-clips/pa-065__a-nivell__529_09_536_75.txt							i el que podreu donar.  Nosaltres venim als santuaris,  trobades a nivell català i a nivell espanyol.	no	no	sí	0.037		0.3691	-37.91	145.24	155.80	893.80	0.100	pendent						3	0.0537
603	D-divergent	0	pa-001	clar	129.77-134.51	clips/pa-001__clar__129.77.wav	qa-clips/pa-001__clar__129_77_134_51.txt							no és el mateix estar sobre l'empara de dos coprínciers	no	no	no	0.055		0.6186	-31.70	189.73	111.27	967.67	0.070	pendent						3	0.0548
626	D-divergent	0	pa-024	bé	175.29-180.79	clips/pa-024__b__175.29.wav	qa-clips/pa-024__be__175_29_180_79.txt							A partir de l'anàlisi de l'antirrègim és molt greu.	no	no	no	0.025		0.3029	-38.60	332.96	53.02	840.78	0.070	pendent						3	0.0550
508	D-divergent	4	pa-063	aleshores	151.45-155.23	clips/pa-063__aleshores__151.45.wav	qa-clips/pa-063__aleshores__151_45_155_23.txt							a les fronteres, o les hores, què s'havia de fer?	sí	no	no	0.088		0.5319	-33.61	194.42	35.82	1405.26	0.120	pendent						2	0.0552
228	A-triple-consens	9	pa-049	diguem	213.13-220.43	clips/pa-049__diguem__213.13.wav	qa-clips/pa-049__diguem__213_13_220_43.txt	qa-clips-json/pa-049__diguem__213_13.json	sí	219.090-219.370	0.6594	0.6876	Diguem	que no havia, avui dia, a Calarenya i al Cíndic General,  per fer una mica de publicitat d'endorra.  Diguem que endorra era un poble.	sí	sí	sí	0.070	0.075	0.6511	-31.34	262.24	79.95	1161.35	0.050	pendent						3	0.0556
459	D-divergent	4	pa-022	bueno	122.85-126.95	clips/pa-022__bueno__122.85.wav	qa-clips/pa-022__bueno__122_85_126_95.txt							que va ser amb arribar-te a aquest punt, ara toqui.	sí	no	no	0.057		0.6029	-31.81	155.35	143.93	1041.36	0.080	pendent						2	0.0565
622	D-divergent	0	pa-022	doncs	122.85-126.95	clips/pa-022__doncs__122.85.wav	qa-clips/pa-022__doncs__122_85_126_95.txt							que va ser amb arribar-te a aquest punt, ara toqui.	no	no	no	0.057		0.6029	-31.81	155.35	143.93	1041.36	0.080	pendent						2	0.0565
105	A-triple-consens	9	pa-022	reformeta	125.53-130.67	clips/pa-022__reformeta__125.53.wav	qa-clips/pa-022__reformeta__125_53_130_67.txt	qa-clips-json/pa-022__reformeta__125_53.json	sí	128.230-128.930	0.6595	0.8106	reformeta	Ara toqui. Portava menys a l'arradera de la reformeta,  de no sé què, que no s'acaba.	sí	sí	sí	0.153	0.115	0.6562	-29.52	117.30	114.53	1049.40	0.090	pendent						2	0.0565
237	A-triple-consens	9	pa-055	reformeta	139.05-145.83	clips/pa-055__reformeta__139.05.wav	qa-clips/pa-055__reformeta__139_05_145_83.txt	qa-clips-json/pa-055__reformeta__139_05.json	sí	141.900-142.850	0.9557	0.9651	reformeta	La diferència és que la reformeta tractava amb missatges.	sí	sí	sí	0.058	0.026	0.4201	-42.11	257.13	170.49	1885.34	0.100	pendent						1	0.0580
255	A-triple-consens	9	pa-059	perquè	4.09-12.43	clips/pa-059__perqu__4.09.wav	qa-clips/pa-059__perque__4_09_12_43.txt	qa-clips-json/pa-059__perqu__4_09.json	sí	6.410-6.730	0.6817	0.6817	perquè	Però vam anar molt a l'il·lusió, perquè la Constitució, nosaltres, realment, és el que ens interessa.	sí	sí	sí	0.040	0.152	0.4543	-36.54	179.83	128.64	1212.56	0.100	pendent						3	0.0581
73	A-triple-consens	9	pa-017	perquè	4.25-12.15	clips/pa-017__perqu__4.25.wav	qa-clips/pa-017__perque__4_25_12_15.txt	qa-clips-json/pa-017__perqu__4_25.json	sí	6.400-6.890	0.6669	0.6669	perquè	Però vam anar molt a l'il·lusió, perquè la Constitució, nosaltres, realment, és el que ens interessa.	sí	sí	sí	0.033	0.102	0.4822	-35.61	187.06	130.52	1116.11	0.100	pendent						3	0.0602
431	B-doble-ASR	6	pa-056	bé	436.49-441.47	clips/pa-056__b__436.49.wav	qa-clips/pa-056__be__436_49_441_47.txt							"""Pasabe"" o ""pero sentimen"" o ""pero nonimidad""."	sí	no	sí	0.016		0.3387	-50.54	159.29	114.07	1709.65	0.040	pendent						3	0.0611
427	B-doble-ASR	6	pa-049	llavors	230.45-239.67	clips/pa-049__llavors__230.45.wav	qa-clips/pa-049__llavors__230_45_239_67.txt							i aquí en Dorre va vindre, llavors, el delegat de premsa de la Casa Blanca.  No sé si va ser arreu realment d'aquesta carta.	sí	no	sí	0.025		0.6891	-27.56	273.21	122.07	1192.61	0.060	pendent						2	0.0629
311	D-divergent	7	pa-010	bé	24.65-31.67	clips/pa-010__b__24.65.wav	qa-clips/pa-010__be__24_65_31_67.txt							oponímia i risc geològics. I doncs vei avui com a col·laboració dins d'aquest  cicle de capsules d'història en temps de confinament.	sí	sí	no	0.057	0.031	0.6314	-30.23	160.70	179.53	949.76	0.100	pendent						2	0.0636
39	A-triple-consens	9	pa-010	doncs	24.65-31.67	clips/pa-010__doncs__24.65.wav	qa-clips/pa-010__doncs__24_65_31_67.txt	qa-clips-json/pa-010__doncs__24_65.json	sí	27.160-27.420	0.4795	0.7395	doncs	oponímia i risc geològics. I doncs vei avui com a col·laboració dins d'aquest  cicle de capsules d'història en temps de confinament.	sí	sí	sí	0.057	0.031	0.6314	-30.23	160.70	179.53	949.76	0.100	pendent						2	0.0636
135	A-triple-consens	9	pa-029	tirar endavant	56.73-63.23	clips/pa-029__tirar-endavant__56.73.wav	qa-clips/pa-029__tirar-endavant__56_73_63_23.txt	qa-clips-json/pa-029__tirar-endavant__56_73.json	sí	61.670-62.370	0.8813	0.9429	tirar endavant	i que véssim també d'autodisoldre per la incapacitat de poder tirar endavant.	sí	sí	sí	0.064	0.116	0.6821	-30.47	218.12	174.64	1030.16	0.060	pendent						3	0.0643
631	D-divergent	0	pa-027	o sigui	361.61-366.71	clips/pa-027__o-sigui__361.61.wav	qa-clips/pa-027__o-sigui__361_61_366_71.txt							I si hem de fer 4 reunions més, fem les ciutadans.	no	no	no	0.066		0.6378	-29.67	227.90	148.27	1088.97	0.100	pendent						3	0.0663
275	A-triple-consens	9	pa-062	és a dir	973.65-980.31	clips/pa-062__s-a-dir__973.65.wav	qa-clips/pa-062__es-a-dir__973_65_980_31.txt	qa-clips-json/pa-062__s-a-dir__973_65.json	sí	974.650-975.420	0.7665	0.9205	és a dir	que ells donaven, és a dir, que s'instaureix  entre el món polític i el món empresarial un diàleg...	sí	sí	sí	0.023	0.092	0.5753	-32.71	235.54	125.56	820.31	0.080	pendent						3	0.0665
64	A-triple-consens	9	pa-016	doncs	62.33-69.43	clips/pa-016__doncs__62.33.wav	qa-clips/pa-016__doncs__62_33_69_43.txt	qa-clips-json/pa-016__doncs__62_33.json	sí	67.210-67.400	0.5311	0.5311	Doncs	"que em diu ""filling a xis polític"".  I em diu ""tu sí que sí, no?""  Doncs has d'anar a la teva paraula. Dic ""sí, sí""."	sí	sí	sí	0.051	0.144	0.5085	-34.52	296.27	55.28	1337.57	0.080	pendent						2	0.0667
324	D-divergent	7	pa-023	crec	42.93-50.23	clips/pa-023__crec__42.93.wav	qa-clips/pa-023__crec__42_93_50_23.txt							Com que no depenia del govern, el PAM creia que era en 84.	sí	sí	no	0.063	0.036	0.6593	-29.50	142.64	136.71	839.06	0.060	pendent						2	0.0678
402	B-doble-ASR	6	pa-023	llavors	48.81-56.07	clips/pa-023__llavors__48.81.wav	qa-clips/pa-023__llavors__48_81_56_07.txt							84, 82%, i, llavors, vull dir, no hi havia ministre de l'Interior.	sí	no	sí	0.035		0.6243	-29.88	149.58	133.69	974.09	0.080	pendent						3	0.0678
593	C-una-passada	2	pa-057	o sigui	249.45-254.11	clips/pa-057__o-sigui__249.45.wav	qa-clips/pa-057__o-sigui__249_45_254_11.txt							molt poc temps, perquè tot això es va fer al tomb de 8 mesos, o sigui.	no	no	sí	0.042		0.2414	-40.38	119.06	181.14	1584.57	0.130	pendent						3	0.0678
247	A-triple-consens	9	pa-057	perquè	249.45-254.11	clips/pa-057__perqu__249.45.wav	qa-clips/pa-057__perque__249_45_254_11.txt	qa-clips-json/pa-057__perqu__249_45.json	sí	250.210-250.590	0.9119	0.9119	perquè	molt poc temps, perquè tot això es va fer al tomb de 8 mesos, o sigui.	sí	sí	sí	0.035	0.029	0.2414	-40.38	119.06	181.14	1584.57	0.130	pendent						3	0.0678
551	C-una-passada	2	pa-020	diguem	1459.77-1463.95	clips/pa-020__diguem__1459.77.wav	qa-clips/pa-020__diguem__1459_77_1463_95.txt							Diguem el que pensem, després de les votacions,	no	no	sí	0.119		0.5577	-32.98	193.47	80.01	1065.14	0.060	pendent						2	0.0701
85	A-triple-consens	9	pa-019	diguem	109.25-113.75	clips/pa-019__diguem__109.25.wav	qa-clips/pa-019__diguem__109_25_113_75.txt	qa-clips-json/pa-019__diguem__109_25.json	sí	110.480-110.860	0.9362	0.9453	diguem	I va haver una certa, diguem-ne, un bon feeling, no?	sí	sí	sí	0.265	0.124	0.5446	-30.09	146.29	160.32	1031.32	0.100	pendent						1	0.0703
599	D-divergent	0	pa-001	a veure	341.57-345.59	clips/pa-001__a-veure__341.57.wav	qa-clips/pa-001__a-veure__341_57_345_59.txt							que més depresivo.	no	no	no	0.031		0.8700	-23.91	241.93	65.71	842.25	0.060	pendent						3	0.0725
129	A-triple-consens	9	pa-028	clar	290.33-295.15	clips/pa-028__clar__290.33.wav	qa-clips/pa-028__clar__290_33_295_15.txt	qa-clips-json/pa-028__clar__290_33.json	sí	291.820-291.950	0.6888	0.6888	clar	com veia perquè ell, clar, l'edat que té nieve i tanta època.	sí	sí	sí	0.074	0.071	0.5792	-33.19	128.15	27.33	1006.32	0.070	pendent						3	0.0738
335	D-divergent	7	pa-027	doncs	18.01-24.51	clips/pa-027__doncs__18.01.wav	qa-clips/pa-027__doncs__18_01_24_51.txt							i inicialment el cíndic parlava amb els consellers.	sí	sí	no	0.034	0.081	0.5216	-33.87	242.66	119.29	1188.00	0.100	pendent						3	0.0761
176	A-triple-consens	9	pa-037	llavors	92.53-106.79	clips/pa-037__llavors__92.53.wav	qa-clips/pa-037__llavors__92_53_106_79.txt	qa-clips-json/pa-037__llavors__92_53.json	sí	95.750-96.000	0.7037	0.8417	llavors	I jo era així, i a bon dia ja, des de llavors,  encara cada any es fa el dia 2 de febrer,  fem un dinar o un trobar de tot el constituent.	sí	sí	sí	0.024	0.141	0.5309	-33.46	237.28	143.75	1302.81	0.060	pendent						3	0.0772
144	A-triple-consens	9	pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	qa-clips/pa-031__de-fet__9_93_14_23.txt	qa-clips-json/pa-031__de-fet__9_93.json	sí	10.860-11.560	0.8205	0.8598	de fet	I, de fet, no em va portar ningú, jo em vaig portar...	sí	sí	sí	0.133	0.189	0.5374	-32.93	142.95	134.10	898.28	0.080	pendent						1	0.0776
503	D-divergent	4	pa-060	bé	415.73-419.91	clips/pa-060__b__415.73.wav	qa-clips/pa-060__be__415_73_419_91.txt							que fan els metros a mesura que anaven creixent.	sí	no	no	0.079		0.7933	-26.27	139.28	24.85	949.19	0.070	pendent						3	0.0793
172	A-triple-consens	9	pa-037	bueno	105.29-124.79	clips/pa-037__bueno__105.29.wav	qa-clips/pa-037__bueno__105_29_124_79.txt	qa-clips-json/pa-037__bueno__105_29.json	sí	111.940-112.240	0.6636	0.6636	bueno	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	sí	sí	sí	0.051	0.057	0.4795	-35.59	232.63	147.67	1094.50	0.080	pendent						3	0.0796
173	A-triple-consens	9	pa-037	bé	105.29-124.79	clips/pa-037__b__105.29.wav	qa-clips/pa-037__be__105_29_124_79.txt	qa-clips-json/pa-037__b__105_29.json	sí	115.820-116.790;118.480-119.150;120.250-120.680;121.180-121.500;123.780-123.950	0.9336;0.4035;0.9620;0.9723;0.3064	0.9336;0.4035;0.9620;0.9723;0.3064	bé;bé;bé;bé;bé	de la constituent, gairebé existim tothom. Jo, personalment, he passat tots els altres anys que no he pogut anar.  Però, bueno, aquesta és la mateixa RNA i torne bé, molt bé, molt bé, molt bé, torna a comentar coses,  del que ha de fer bé passat, però sobretot...	sí	sí	sí	0.025	0.023	0.4795	-35.59	232.63	147.67	1094.50	0.080	pendent						3	0.0796
90	A-triple-consens	9	pa-020	clar	89.81-94.31	clips/pa-020__clar__89.81.wav	qa-clips/pa-020__clar__89_81_94_31.txt	qa-clips-json/pa-020__clar__89_81.json	sí	93.290-93.430	0.5345	0.5345	clar	I quan vam entrar, el que sí que teníem,  clar que s'havia de fer la corte.	sí	sí	sí	0.021	0.022	0.4152	-37.41	201.97	108.39	1283.85	0.060	pendent						3	0.0810
628	D-divergent	0	pa-024	llavors	336.85-341.27	clips/pa-024__llavors__336.85.wav	qa-clips/pa-024__llavors__336_85_341_27.txt							i el que va passar a l'estat espanyol.	no	no	no	0.004		0.7227	-26.14	271.23	63.94	974.12	0.040	pendent						3	0.0814
7	A-triple-consens	9	pa-004	evidentment	522.93-528.15	clips/pa-004__evidentment__522.93.wav	qa-clips/pa-004__evidentment__522_93_528_15.txt	qa-clips-json/pa-004__evidentment__522_93.json	sí	526.850-526.900	0.9676	0.9793	evidentment	i provaria aigua suficient, evidentment, i el...	sí	sí	sí	0.082	0.077	0.1615	-40.11	242.56	182.81	1370.58	0.340	pendent						3	0.0816
133	A-triple-consens	9	pa-029	a nivell	417.09-421.47	clips/pa-029__a-nivell__417.09.wav	qa-clips/pa-029__a-nivell__417_09_421_47.txt	qa-clips-json/pa-029__a-nivell__417_09.json	sí	418.660-419.290	0.9070	0.9632	a nivell	que es volien els 4 a nivell nacional i l'aconseguiria.	sí	sí	sí	0.072	0.080	0.7798	-28.02	218.99	164.59	1010.79	0.020	pendent						3	0.0819
224	A-triple-consens	9	pa-049	a veure	244.85-252.03	clips/pa-049__a-veure__244.85.wav	qa-clips/pa-049__a-veure__244_85_252_03.txt	qa-clips-json/pa-049__a-veure__244_85.json	sí	248.110-248.400;250.750-251.080	0.0989;0.9962	0.3354;0.9964	a veure;a veure	i ara ja no ens ho pot dir.  Però van anar a veure l'amistat amb el meu pare.  El meu pare els va anar a veure després o així.	sí	sí	sí	0.083	0.080	0.7793	-28.10	182.02	111.08	1118.54	0.060	pendent						3	0.0828
214	A-triple-consens	9	pa-046	diguem	626.01-630.19	clips/pa-046__diguem__626.01.wav	qa-clips/pa-046__diguem__626_01_630_19.txt	qa-clips-json/pa-046__diguem__626_01.json	sí	628.260-628.500	0.6911	0.8329	diguem	A part de les patates o les tronfes, que diguem a Canillo.	sí	sí	sí	0.044	0.058	0.4808	-35.23	252.75	74.97	1162.86	0.080	pendent						2	0.0844
616	D-divergent	0	pa-009	llavors	201.25-207.75	clips/pa-009__llavors__201.25.wav	qa-clips/pa-009__llavors__201_25_207_75.txt							i la campana de l'asseu del consell General és de 1856 i és per codi...	no	no	no	0.479		0.5309	-34.18	196.90	76.69	1443.92	0.060	pendent						3	0.0851
