id_persona	forma	interval_escolta	clip	small_subcadena	base_subcadena	small_limit_paraula	base_limit_paraula	consens_limit_paraula	text_small	text_base
pa-045	bé	83.49-91.43	clips/pa-045__b__83.49.wav	sí	no	sí	no	no	o bé el que considerem imprescindible i no deixa de ser innecessari.	o ve al que considerem mi imprescindible i no deixa de ser inassassari.
pa-046	bé	348.81-352.55	clips/pa-046__b__348.81.wav	sí	no	sí	no	no	I volem avançar dins del camp, molt bé.	i volem avançar dins del càmodeu.
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	sí	sí	sí	sí	sí	Bé, no que t'espai físicament, però que t'espai emblemàtic.	Bé, no que t'espai físicament, però que t'espai emblemàtic.
pa-049	bé	74.21-82.63	clips/pa-049__b__74.21.wav	sí	no	sí	no	no	perquè a la llarga i sobretot en petits països.  S'ha de partir de la base d'entre tots fer-ho tot.  O bé que la dona ara...	perquè la llarga i sobretot en petits països  s'ha d'apartir de la base d'entratuts fer-ho tot.  Ho ve que la dona ara...
pa-053	bé	90.81-95.91	clips/pa-053__b__90.81.wav	no	no	no	no	no	i el meu germà el febi amb una corda i jo els pujava.	d'erba, il·lama, germà, lletsebi, monacorda i jo els pujarà.
pa-054	bé	128.77-134.43	clips/pa-054__b__128.77.wav	no	sí	no	sí	no	I la gossa era el sisquet de puig, es vestia de gossa.	I la bossa era el sisquet de pui.  Has vestit bé de bossa.
pa-055	bé	358.57-362.07	clips/pa-055__b__358.57.wav	no	sí	no	sí	no	B, no?	bé, no?
pa-056	bé	436.49-441.47	clips/pa-056__b__436.49.wav	sí	sí	no	no	no	"""Pasabe"" o ""pero sentimen"" o ""pero nonimidad""."	o pasabeu, però sentim-me, però no limitad.
pa-057	bé	203.57-209.03	clips/pa-057__b__203.57.wav	sí	no	sí	no	no	que el sistema està bé, una mica amb l'incapacitat d'una solució.	que les persones de l'estat de l'estat de l'estat de l'anceur.
pa-058	bé	210.61-215.39	clips/pa-058__b__210.61.wav	no	no	no	no	no	dintre de l'UCPA, quan es va formar.	dintre de l'UCPA quan es va formar
pa-059	bé	112.41-118.27	clips/pa-059__b__112.41.wav	no	no	no	no	no	llavors a partir d'aquí va començar a veure la paraula d'emissió,  d'emissió, d'emissió i tot va anar...	d'acord, i a partir d'aquí vam començar a veure la paraula de missió,  de missió, de missió, i tot va anar.
pa-060	bé	415.73-419.91	clips/pa-060__b__415.73.wav	no	sí	no	sí	no	que fan els metros a mesura que anaven creixent.	Fem els metros a més uret que n'ha bé creixent.
pa-061	bé	662.89-667.43	clips/pa-061__b__662.89.wav	sí	no	sí	no	no	que no li ha agradat, eh?, sempre que li n'hi ha bé,  però jo sé per què, mudada.	No sé si és una realitat.
pa-062	bé	401.61-406.47	clips/pa-062__b__401.61.wav	no	sí	no	sí	no	S'ha ensenyat algú.	-Doncs ensenyar-lo? -Sí, oi.  Bé, aquesta que té no el com tu dius, que és forçar-lo.
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	sí	sí	sí	sí	sí	Bé, treballem una cosa que amb una il·liogràdia que ja ha donat...	Bé, treballem una cosa que em vulgui agradar que ja ha donat-ho.
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	sí	sí	sí	sí	sí	Bé, ara ens exercitarem amb l'exercici de la memòria.	Bé, ara ens agercitarem amb l'exercici de la memòria.
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	sí	sí	sí	sí	sí	M'ho diu jo, molt bé, el cert que ve no el paradís,  va en marxar del paradís, però...	M'agrada molt bé, el Serre Benopardis va marxar el paradis.
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	sí	sí	sí	sí	sí	el trànsit estava complicat.  I bé, venint de casa meva, que jo vivia...	L'últim que hi ha d'haver parlat del trànsit estava complicat.  I bé, venint de casa meva, aquí a vivia...
pa-001	de fet	68.49-71.99	clips/pa-001__de-fet__68.49.wav	sí	no	sí	no	no	perquè, de fet, els tenia tots i la famosa rebaixia.	per fer-ho d'obtenir tots i la famosa raó.
pa-002	de fet	72.25-76.75	clips/pa-002__de-fet__72.25.wav	sí	no	sí	no	no	Va servir per això, de fet, per evidenciar amb el servei.	Jo crec que va servir per això.
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	sí	sí	sí	sí	sí	Bé, jo crec que de fet ens hem de situar en el context dels anys 80	Jo crec que de fet ens hem de situar en el context dels anys 80.
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	sí	sí	sí	sí	sí	molt complicat i comportàvem la gent, de fet, comportàvem molta complexitat i precisió.	complicat i comportàvem a gent.  De fet, comportàvem molta complexitat i precisió.
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	sí	sí	sí	sí	sí	és que, de fet, només hi ha una sola peça al muiment.	de plat és que de fet només ja que una sola peça amui men i una sola peça
pa-008	de fet	799.25-804.75	clips/pa-008__de-fet__799.25.wav	sí	no	sí	no	no	que embutava el terra, de fet va haver-hi algun incident cremant algun tendal.	que em votava al terra de fer-te haver-hi algun incident que em van agontantar-ho.
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	sí	sí	sí	sí	sí	i ho són, és de fet, en concret, el dia de ser fixeu-vos també en el detall amb l'esforç...	d'aquest tipus on és, de fet, amb concret o viatzi de segons, per mi m'agradaria amb les fornets.
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	sí	sí	sí	sí	sí	de fet, quan es va inaugurar al pal, com a tal, als 16...	De fet, quan es va inaugurar que el pal com a tal el senyor,
pa-016	de fet	318.53-324.03	clips/pa-016__de-fet__318.53.wav	sí	no	sí	no	no	no ens passarien, perquè de fet,  tant l'altra comissió que estava, que era la Comissió de Finances,	d'aquesta manera que la Comissió de Finances s'ha de dir.  La Comissió de Finances es pot trobar-ho d'acord.
pa-022	de fet	420.21-424.71	clips/pa-022__de-fet__420.21.wav	no	no	no	no	no	és una cosa que no té res a veure amb aquests darrers anys.	que no s'ha tocat amb aquests 31 anys.
pa-023	de fet	72.49-78.31	clips/pa-023__de-fet__72.49.wav	sí	no	sí	no	no	dels legislatures que van ocupar 4 anys, de fet.	que van ocupar quatre anys d'aquest llibre.
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	sí	sí	sí	sí	sí	de fet, ens va dibuixar una mica la seva teoria.	de fet, amb fàdibuixant una mica seva teoria.
pa-025	de fet	890.85-894.31	clips/pa-025__de-fet__890.85.wav	sí	no	sí	no	no	que eren les llicències de fet o amb pares.	S'han de mirar en un lloc de les ciutadans que hi haurà a les ciutadans.
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	sí	sí	sí	sí	sí	que de fet ens vam reunir, vam fer seminaris al tertè, vam fer seminaris...	que de fet es van reunir, vam fer seminaris,  el tartei, vam fer seminaris.
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	sí	sí	sí	sí	sí	i va donar entendre que Sant Marino era Itàlia, de fet.	de llibre d'on entendre que San Marino eri tal i o de fet.
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	sí	sí	sí	sí	sí	I, de fet, no em va portar ningú, jo em vaig portar...	i de fet, no em va portar d'ingú, jo em vaig portar.
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	sí	sí	sí	sí	sí	El capgir és tot, de fet, eh?	Ucabzi de tot de fet, eh?
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	sí	sí	sí	sí	sí	que tu et trobaves i, de fet, el meu pare el portarà sempre sobre què hi pinc.	que ho trobava, i de fet el meu pare el portarés sempre sobre què hi pensem per el portar.
pa-051	de fet	200.81-205.31	clips/pa-051__de-fet__200.81.wav	no	no	no	no	no	i el que és el que és el que és el que és el que és el que és el	S'han de fer en el diàgraf.
pa-057	de fet	561.25-569.07	clips/pa-057__de-fet__561.25.wav	no	no	no	no	no	a fer l'avançar una mica més, era en minoria,  i van buscar una solució que no sí,  la votació del conseller General, i es va buscar a la votació...	de fer l'avançar una mica més en minoria i van arribar a buscar la solució,  que no sí, que no s'hi va conèixer i que no s'hi va buscar.
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	sí	sí	sí	sí	sí	dos legislatures que van ocupar 4 anys, de fet.	que van ocupar quatre anys de fet.
pa-065	de fet	883.97-888.71	clips/pa-065__de-fet__883.97.wav	no	no	no	no	no	el poble que ha de fer és, com a Jesús, encarnar-se amb el poble.	de fer com Jesus encarnar-se amb el pot.
pa-066	de fet	44.37-49.71	clips/pa-066__de-fet__44.37.wav	sí	no	sí	no	no	En aquest edifici, de fet, va ser l'únic, va ser important, no?	No ho sé si la gent va ser l'únic,  va ser important.
pa-001	és a dir	890.97-894.47	clips/pa-001__s-a-dir__890.97.wav	no	no	no	no	no	I el llibre de l'altre dia va ser el que va passar.	Està tot tan càtia, l'ingrés a la bona.
pa-002	és a dir	12.25-17.75	clips/pa-002__s-a-dir__12.25.wav	no	no	no	no	no	per molt que s'hagués fet, el que se'n va dir reformeta,	Però no que s'hagués fet que s'havia de reformar-te.
pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	sí	sí	sí	sí	sí	És a dir, crec que això és important, no es crea com anem...	És a dir, crec que això és important, no es crea com anem...
pa-007	és a dir	684.25-687.75	clips/pa-007__s-a-dir__684.25.wav	sí	no	sí	no	no	és a dir, canviar el nom de carrers,	És li, canviar el nam de carrers.
pa-008	és a dir	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	sí	sí	sí	sí	sí	a la festa o fer planter, no? És a dir,  quan els més grans s'hi implicen.	va a la festa o fer plante, no? És a dir, quan els més grans s'impliquen...
pa-010	és a dir	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	sí	sí	sí	sí	sí	és a dir, interpretables o en tenuts dos mitjans en la nostra llengua actual.	És a dir, interpretables o en termina dos mitjents en la nostra llengua.  Tual!  Sí.
pa-011	és a dir	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	sí	sí	sí	sí	sí	és a dir, una casa és tota la família i tot és les seves propietats.	És a dir, una casa és tota la família i tot és les seves propietats.
pa-013	és a dir	579.17-586.75	clips/pa-013__s-a-dir__579.17.wav	sí	no	sí	no	no	torran. És a dir, l'arquitectura de granit es dona en un moment de reconversió gradual  del nostre país, que passa de ser...	és de dir, l'arquitectura de granites dona en un moment de reconversió gradual del nostre país que passa de ser
pa-014	és a dir	95.45-107.35	clips/pa-014__s-a-dir__95.45.wav	no	sí	no	sí	no	Me n'he assabentat de moltes coses i m'he fet una miqueta estudiós del ball del contrapàs.	Meneen sabentat de moltes coses.  És a dir, m'he fet una miqueta, com diríem una miqueta estudiós,  del ball del contrapàs.
pa-016	és a dir	85.97-90.59	clips/pa-016__s-a-dir__85.97.wav	sí	no	sí	no	no	sempre. És a dir, després he tingut altres càrrecs i encara que no ho sembli, doncs...	S'ha dit després que tinguin hagut altres carrers i encara que no ho sembla, doncs a l'hora.
pa-017	és a dir	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	sí	sí	sí	sí	sí	és el quin perd, és a dir, que sempre hi ha aquesta incognita  i, evidentment, que teníem nosaltres, sí que ho havíem,  però el que n'havia d'estar...	És el quim pert, és a dir que sempre hi ha aquesta incognita  i evidentment que teníem d'altres sí que ho ha vingut,  però al quina vida és així.
pa-018	és a dir	74.49-79.83	clips/pa-018__s-a-dir__74.49.wav	no	sí	no	sí	no	que volien ser com un poc.	És a dir que nosaltres podien dins que volíem ser com un...,
pa-019	és a dir	56.25-60.75	clips/pa-019__s-a-dir__56.25.wav	no	no	no	no	no	És una de les coses que ens va deixar a Marencia,  el consell que es va dir...	Estic una de les coses que ens va deixar de marència al consell que es va dir.
pa-021	és a dir	32.29-38.55	clips/pa-021__s-a-dir__32.29.wav	sí	no	sí	no	no	d'en Durrana. És a dir, que el poble ens va a elegir per això.	d'Andorra. És el riquel poble, ens vaillers i per això.
pa-022	és a dir	11.49-17.91	clips/pa-022__s-a-dir__11.49.wav	sí	no	sí	no	no	que no hauríem d'anar per endorra.  És a dir, que no haguéssum demanat mai d'una certa manera.	que es diu que no haguessum demanat mai d'una certa manera.
pa-023	és a dir	207.17-213.55	clips/pa-023__s-a-dir__207.17.wav	sí	no	sí	no	no	És a dir, que el que vam disfrutar molt va ser que hi va haver un ambient molt temps,	El que va amb disfrutar molt va ser que hi va haver un ambient molt temps,
pa-024	és a dir	78.49-84.39	clips/pa-024__s-a-dir__78.49.wav	no	no	no	no	no	i democratitzar més el país, que li haig d'expandir...	de democratitzar més el país que li he expandit, doncs la...
pa-025	és a dir	64.61-70.95	clips/pa-025__s-a-dir__64.61.wav	no	no	no	no	no	i el que ha de fer és que aquí no teníem veritablement un Parlament.	No teníem gairebé un parlement de les eleccions.
pa-026	és a dir	64.09-68.39	clips/pa-026__s-a-dir__64.09.wav	no	no	no	no	no	Sí, sí, a veure.	Sí, això hi ha per ell.
pa-027	és a dir	185.61-192.87	clips/pa-027__s-a-dir__185.61.wav	sí	sí	sí	sí	sí	de grup, és a dir, amb els que l'havien portat a l'acció de fer amb reunió de grup.	de grup, és a dir, jo amb els que havíem portat a l'acció a fer amb reunió de grup.
pa-029	és a dir	20.17-25.95	clips/pa-029__s-a-dir__20.17.wav	no	no	no	no	no	és un fet que va marcar tot el procés constituent,  el fet de que l'entrada.	que va marcar tot el procés constituent el fet que l'entreten.
pa-030	és a dir	193.13-199.43	clips/pa-030__s-a-dir__193.13.wav	sí	no	sí	no	no	i es van anar.  És a dir, aquí poc temps abans hi havia hagut una autodissolució.	Hi ha hagut un autodisolusió.
pa-033	és a dir	39.29-44.27	clips/pa-033__s-a-dir__39.29.wav	sí	sí	sí	sí	sí	és a dir, el govern net, és a dir, un govern sense massa funcions,	Diu el governet. És a dir, un govern sense massa funcions.  Precii per les coses.
pa-034	és a dir	319.09-323.47	clips/pa-034__s-a-dir__319.09.wav	sí	no	sí	no	no	cap aquí, és a dir, jo no tenia cap dubte, no?, de dir...	Jo no tenia cap dubte, no?
pa-035	és a dir	582.29-589.75	clips/pa-035__s-a-dir__582.29.wav	sí	no	sí	no	no	És a dir, fer un estat de dret modern amb la separació de poders.	És un estat de dret modern amb el separació de poder.
pa-039	és a dir	209.05-216.11	clips/pa-039__s-a-dir__209.05.wav	no	no	no	no	no	i que sigui una reunió de la comissió que no s'ha quedat,  d'economia, aquests, i després...	que hi ha una reunió de la Comissió de No Secueva,  d'economia, que ho s'ha quedat.
pa-041	és a dir	259.25-265.75	clips/pa-041__s-a-dir__259.25.wav	no	no	no	no	no	saps? El plantejament lingüístic va ser potser també un element...	Per tant, el plantejament lingüístic va ser potser també un element.
pa-043	és a dir	107.25-111.75	clips/pa-043__s-a-dir__107.25.wav	sí	no	sí	no	no	crec. És a dir, tots els alumnes que hem sigut repetits	Tots els alumnes que hem sigut, té petits.
pa-046	és a dir	135.61-140.07	clips/pa-046__s-a-dir__135.61.wav	sí	no	sí	no	no	Són fideles, doncs, és a dir, amb el dia a dia i amb Espanya.	Som filers, doncs es veiem el dia a dia i hem espanyol.
pa-048	és a dir	1130.61-1135.31	clips/pa-048__s-a-dir__1130.61.wav	sí	no	sí	no	no	és a dir, ja no hi ha el diàleg, ja no hi ha la...	Llavors, ja no hi hau diàleg, ja no hi haurà.
pa-049	és a dir	907.25-911.75	clips/pa-049__s-a-dir__907.25.wav	no	no	no	no	no	la gent que és intel·ligent i que s'ha de valorar les coses,  les dones són...	La persona que s'interligent i que s'ha pagorat les coses,  no es donen.
pa-055	és a dir	63.89-68.59	clips/pa-055__s-a-dir__63.89.wav	no	no	no	no	no	Sí, sí, a veure...	Sí, sí, això hi ha per ell.
pa-056	és a dir	7.45-10.87	clips/pa-056__s-a-dir__7.45.wav	no	no	no	no	no	de 1989, o sigui, a partir del 90,	de la transició de l'estat de la càrrec de l'estat.
pa-057	és a dir	19.89-25.51	clips/pa-057__s-a-dir__19.89.wav	no	no	no	no	no	el fet d'aquest, és un fet que va marcar tot el procés constituent.	he fet un fet que va marcar tot el procés constituent el fet.
pa-058	és a dir	74.41-79.87	clips/pa-058__s-a-dir__74.41.wav	sí	no	sí	no	no	sin enviure.  És a dir, que nosaltres podíem dins que volíem ser com un pa...	que volien ser com un pare.
pa-059	és a dir	487.81-491.67	clips/pa-059__s-a-dir__487.81.wav	sí	sí	sí	sí	sí	És a dir, que sempre hi ha aquesta incognita i, evidentment,	És a dir que sempre hi ha que estic incognita i evidentment.
pa-060	és a dir	207.33-213.63	clips/pa-060__s-a-dir__207.33.wav	sí	no	sí	no	no	És a dir, que el que vam disfrutar molt va ser que hi va haver un ambient molt temps, però gràcies.	El que va amb disfruta molt va ser que hi va haver un ambient molt temps, però gràcies.
pa-062	és a dir	973.65-980.31	clips/pa-062__s-a-dir__973.65.wav	sí	sí	sí	sí	sí	que ells donaven, és a dir, que s'instaureix  entre el món polític i el món empresarial un diàleg...	que ens donaven, és a dir que sin estaurés entre el món polític  i el món empresarial, un diàleg.
pa-064	és a dir	258.61-265.03	clips/pa-064__s-a-dir__258.61.wav	sí	no	sí	no	no	És a dir, que el Dorre de Bordelel,  en cap d'aquests temps.	el projecte és d'aquell d'or i de bols de bols de bols de bols de bols.
pa-065	és a dir	221.29-226.15	clips/pa-065__s-a-dir__221.29.wav	sí	no	sí	no	no	És a dir, jo tinc clar que l'Evangeli és on tinc el macar.	Jo tinc clar que l'Evangeli és un tinc el macà.
pa-001	aleshores	10.13-13.63	clips/pa-001__aleshores__10.13.wav	no	no	no	no	no	que es tracta bé d'adaptar-ho.	que es tracta més de l'aptar-ho.
pa-003	aleshores	18.69-23.19	clips/pa-003__aleshores__18.69.wav	no	no	no	no	no	també. A les hores dins d'aquest context, l'escola...	també. A les ares dins d'aquest context, l'escola
pa-006	aleshores	513.25-518.75	clips/pa-006__aleshores__513.25.wav	sí	sí	sí	sí	sí	Aleshores era molt fàcil agafar i aprofitar la força d'aigua baixant per l'entrada.	Aleshores era molt fàcil a agafar i aprofitar la força de l'aigua a la ixant per l'entrada.
pa-008	aleshores	1315.25-1319.75	clips/pa-008__aleshores__1315.25.wav	sí	sí	sí	sí	sí	que feien camp. Aleshores va aproficiar aquest retrobament, es va constituir...	que feien camp. Aleshores va propiciar aquest retrobament, es va constituir
pa-011	aleshores	89.33-95.07	clips/pa-011__aleshores__89.33.wav	no	sí	no	sí	no	a les hores de la seva mare, la filla Escutera, la mestres home de la casa,	Aleshores, amb la seva mare, a la llunyra escotera, a la nostra home, a la casa, van decidir...
pa-012	aleshores	246.25-250.75	clips/pa-012__aleshores__246.25.wav	sí	no	sí	no	no	i aleshores ha fet formar un camp que era molt més...	i el desònice això formava un camp que era en molt més.
