categoria	forma	id_persona	ocurrencia	start_s	end_s	interval_vtt	text_segment	font	estat
discurs	clar	pa-001	5	1084.520	1088.240	1084.520-1088.240	I, aleshores, clar, un s'humiré, potser amb un punt de vista,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	de fet	pa-001	1	69.240	71.240	69.240-71.240	perquè, de fet, els tenia tots.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-001	1	1068.440	1070.440	1068.440-1070.440	i ens podem equivocar, evidentment,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	llavors	pa-001	1	837.920	840.360	837.920-840.360	de la manera que, llavors,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	no?	pa-001	1	12.960	16.360	12.960-16.360	a les circumstàncies el millor possible, no?	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	no?	pa-001	2	46.120	49.840	46.120-49.840	són d'aquestes frases que tampoc entens massa, no?	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	no?	pa-001	3	793.480	797.200	793.480-797.200	I clar, això, amb aquell moment, no li va agradar massa, no?	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	no?	pa-001	4	799.040	802.160	799.040-802.160	que els mitjans de comunicació estaven a les vesceroles, no?	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	o sigui	pa-001	1	49.920	53.600	49.920-53.600	Bé, o sigui, això va anar evolucionant	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	o sigui	pa-001	2	180.040	182.960	180.040-182.960	O sigui que hi havia gent reàcia, segurament,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	o sigui	pa-001	3	302.960	305.560	302.960-305.560	O sigui, jo estic fora de la política, no hi vull saber res.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	o sigui	pa-001	4	448.840	454.120	448.840-454.120	O sigui, perquè amb tot el tal com estava el tema,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	o sigui	pa-001	5	497.440	500.280	497.440-500.280	No en tinc ganes, o sigui, ja me'n diuen.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	o sigui	pa-001	6	579.480	582.560	579.480-582.560	O sigui, canell, cam, ordin, maçana, no era fàcil,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	o sigui	pa-001	7	735.240	737.640	735.240-737.640	O sigui, això ho veus amb les reunions de treball,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	o sigui	pa-001	8	879.400	881.400	879.400-881.400	O sigui, al contrari, hi havia alguns punts	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	per tant	pa-001	1	331.760	335.400	331.760-335.400	"per tant, ja està... ja està, de nou per fet""."	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	per tant	pa-001	2	442.720	445.720	442.720-445.720	per tant, només queda una solució, anar a noves eleccions.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	per tant	pa-001	3	506.520	509.960	506.520-509.960	saps com estan les coses, per tant, has d'acabar la feina que ha començat.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	per tant	pa-001	4	616.920	618.800	616.920-618.800	Per tant, com que és de la vostra competència,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	per tant	pa-001	5	683.920	686.960	683.920-686.960	per tant, assolir un consens ampli és complicat.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	per tant	pa-001	6	714.880	717.400	714.880-717.400	Per tant, tot el que dolce cap a l'Elisé,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-001	1	60.320	62.560	60.320-62.560	perquè el que no es veia en bons ulls	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-001	2	69.240	71.240	69.240-71.240	perquè, de fet, els tenia tots.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-001	3	84.320	87.080	84.320-87.080	Perquè, per exemple, al moment donat hi havia una teoria	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-001	4	130.520	133.760	130.520-133.760	Perquè, clar, no és el mateix estar sobre la parada dels coprínciers,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-001	5	311.440	317.480	311.440-317.480	perquè, si no, hi ha molts malics a lligar i no és fàcil.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-001	6	330.320	331.680	330.320-331.680	perquè l'economia està a la premsa,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-001	7	396.000	398.000	396.000-398.000	perquè la majoria ensetza consellers,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-001	8	448.840	454.120	448.840-454.120	O sigui, perquè amb tot el tal com estava el tema,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	vull dir	pa-001	1	622.120	624.640	622.120-624.640	els consells, jo vull dir, van col·laborar també,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	vull dir	pa-001	2	972.080	976.240	972.080-976.240	però vull dir que ho vam deixar tot a mans de la soberania popular.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	és a dir	pa-001	1	891.720	893.720	891.720-893.720	és a dir, l'ingrés a la ONU,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
territorial	andorrana	pa-001	1	62.640	66.680	62.640-66.680	a un alt percentatge de la població d'Andorrana	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
territorial	comuns	pa-001	1	595.160	597.200	595.160-597.200	I després, el tema de competències dels comuns.	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
territorial	comuns	pa-001	2	604.960	608.640	604.960-608.640	sobretot amb el tema comuns i amb el tema mitre,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
territorial	comuns	pa-001	3	629.400	631.920	629.400-631.920	el posicionament i les competències dels comuns,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
territorial	copríncep	pa-001	1	22.480	27.520	22.480-27.520	Recorda la visita del copríncep Giscard d'Estenc,	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
territorial	veguer	pa-001	1	216.960	220.400	216.960-220.400	Hi havia una part que a mi em va manifestar el veguer francès	transcripcions/pa-001.vtt	ASR temporal; pendent d'audicio
discurs	a nivell	pa-003	1	180.920	188.040	180.920-188.040	Aviam, pel que fa a nivell polític, la primera vegada quan es crea la maternal,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-003	1	19.440	22.440	19.440-22.440	Aleshores, dins d'aquest context,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	aleshores	pa-003	2	202.320	206.280	202.320-206.280	perquè aleshores no era govern, era Consell Executiu,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	aviam	pa-003	1	180.920	188.040	180.920-188.040	Aviam, pel que fa a nivell polític, la primera vegada quan es crea la maternal,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-003	1	227.800	234.960	227.800-234.960	perquè hi havia pares en el sentit de dir, bueno, hi existeix un sistema educatiu ric	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-003	1	0.000	6.440	0.000-6.440	Bé, jo crec que, de fet, ens hem de situar en el context dels anys 80,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-003	2	241.440	249.520	241.440-249.520	En canvi, hi havia també certs polítics que sí que veien bé la continuïtat.	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-003	3	252.720	257.920	252.720-257.920	i l'escola maternal endorrana és de bé l'escola endorrana del 1985,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-003	1	452.640	458.400	452.640-458.400	Sí, perquè és clar, l'educació són persones.	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	de fet	pa-003	1	0.000	6.440	0.000-6.440	Bé, jo crec que, de fet, ens hem de situar en el context dels anys 80,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	diguem	pa-003	1	213.600	218.760	213.600-218.760	Aquesta és la primera acció, diguem, d'ordre polític.	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-003	1	159.560	164.440	159.560-164.440	evidentment, i també de les persones que havíem estat treballant amb el projecte.	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-003	2	223.640	227.800	223.640-227.800	evidentment no hi ha un acord totalitari,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-003	3	466.920	470.920	466.920-470.920	evidentment que l'emplicació encara és més forta,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-003	4	478.560	484.240	478.560-484.240	Evidentment, és a dir, qualsevol canvi que vulguis aportar,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-003	1	202.320	206.280	202.320-206.280	perquè aleshores no era govern, era Consell Executiu,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-003	2	227.800	234.960	227.800-234.960	perquè hi havia pares en el sentit de dir, bueno, hi existeix un sistema educatiu ric	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-003	3	234.960	241.440	234.960-241.440	amb diferents opcions, perquè ara la necessitat d'un sistema propi.	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-003	4	265.160	270.480	265.160-270.480	i després perquè havíem el fet de no concebre des de l'inici	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-003	5	276.440	280.440	276.440-280.440	en acabar les etapes, perquè no és igual concebre una maternal	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-003	6	312.080	317.840	312.080-317.840	perquè no era ministeri, i per part de la confiança que havien dipositat els pares,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-003	7	333.200	339.520	333.200-339.520	perquè el qui va donar els mitjans al sistema va ser el polític.	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	perquè	pa-003	8	452.640	458.400	452.640-458.400	Sí, perquè és clar, l'educació són persones.	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	és a dir	pa-003	1	65.800	69.760	65.800-69.760	És a dir, crec que això és important, no es crea com	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	és a dir	pa-003	2	88.440	96.040	88.440-96.040	No, és a dir, en el moment que es crea unes comissionistes hispano-andorranes	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	és a dir	pa-003	3	126.040	130.720	126.040-130.720	És a dir, després dels 3 anys de creació d'aquelles 3 aules de català,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	és a dir	pa-003	4	298.760	305.360	298.760-305.360	és a dir, és tot un altre plantejament on es va demanar un esforç importantíssim	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	és a dir	pa-003	5	322.200	328.240	322.200-328.240	És a dir, independentment dels interrogants en diferents cercles polítics,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	és a dir	pa-003	6	356.640	362.680	356.640-362.680	És a dir, es va haver d'anar encaixant totes les peces que eren necessàries	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	és a dir	pa-003	7	365.880	371.960	365.880-371.960	És a dir, des de l'inici, més enllà del propi plantejament lingüístic,	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	és a dir	pa-003	8	380.360	389.320	380.360-389.320	És a dir, ja tenia totes una sèrie de particularitats on volíem que l'adumne aprengués a aprendre	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
territorial	andorrana	pa-003	1	133.520	144.200	133.520-144.200	és quan es planteja la continuïtat de l'escola maternal-andorrana amb l'escola andorrana	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
territorial	andorrana	pa-003	2	133.520	144.200	133.520-144.200	és quan es planteja la continuïtat de l'escola maternal-andorrana amb l'escola andorrana	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
territorial	andorrana	pa-003	3	176.720	180.920	176.720-180.920	a passar d'escola maternal-andorrana a escola andorrana.	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
territorial	andorrana	pa-003	4	176.720	180.920	176.720-180.920	a passar d'escola maternal-andorrana a escola andorrana.	transcripcions/pa-003.vtt	ASR temporal; pendent d'audicio
discurs	a nivell	pa-002	1	715.000	724.000	715.000-724.000	Perquè l'opció de la minoria que va passar, la majoria, diguéssim, a nivell consell,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	a nivell	pa-002	2	724.000	728.000	724.000-728.000	però no era a nivell governament, com que el govern era nostre,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	a veure	pa-002	1	127.000	132.000	127.000-132.000	Un opositor, a veure, no era fàcil,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	a veure	pa-002	2	1022.000	1027.000	1022.000-1027.000	A veure, per part d'Andorra i Escaldes no teníem massa dubte,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	a veure	pa-002	3	1036.000	1042.000	1036.000-1042.000	d'uns polítics que van dir, a veure, el mateix Calvota Mecanillo,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	a veure	pa-002	4	2125.000	2129.000	2125.000-2129.000	i mirar a veure com podem reconduir la situació.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	a veure	pa-002	5	2211.000	2215.000	2211.000-2215.000	A veure, i aquí la necessitat és reconèixer el mèrit,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-002	1	434.000	440.000	434.000-440.000	Bueno, aquí es va decidir, en aquell moment,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-002	2	551.000	556.000	551.000-556.000	però bueno, llavors hi va haver les maniobres,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-002	3	659.000	664.000	659.000-664.000	I, clar, el que es va fer és fer l'elenc, es va dir, bueno, la Constitució,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-002	4	684.000	689.000	684.000-689.000	I, clar, tot el necessari de temes que anàvem venint, sí, es deia, bueno, la Constitució,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-002	5	1289.000	1293.000	1289.000-1293.000	Tot això va fer de que, bueno, la meva figura,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-002	6	1311.000	1314.000	1311.000-1314.000	que es va dir, bueno, de desolfar-les, de desolfar-les.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-002	7	1667.000	1672.000	1667.000-1672.000	I això, bueno, el mitel d'Andorra els va enviar a la teoria	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bueno	pa-002	8	1992.000	1995.000	1992.000-1995.000	Bueno, nosaltres volem viure amb apensió, òbviament,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-002	1	349.000	355.000	349.000-355.000	Ara el que ens dividia bé, òbviament, era el control de govern.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-002	2	394.000	399.000	394.000-399.000	però també anar bé amb un programa de govern,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-002	3	399.000	402.000	399.000-402.000	anar bé associat amb un programa de govern.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-002	4	850.000	853.000	850.000-853.000	Tots la volem fer, no veiem bé la mateixa, òbviament,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-002	5	935.000	940.000	935.000-940.000	"que digui ""no, la decisió que has pres no és correcta i queda bé""."	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-002	6	978.000	983.000	978.000-983.000	Però van anar bé perquè es van posar els temes sobre la taula,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-002	7	1188.000	1192.000	1188.000-1192.000	Bé, a mi no necessari companys bàsicament de la parròquia i d'algun altre,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	bé	pa-002	8	1448.000	1452.000	1448.000-1452.000	perquè el principal anís, parlar bé el francès,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-002	1	187.000	190.000	187.000-190.000	i que, clar, hi havia una diferència d'edat considerable.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-002	2	292.000	295.000	292.000-295.000	d'això ho teníem inclocat i ho teníem clar,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-002	3	470.000	474.000	470.000-474.000	el govern no ho tenia clar, el govern volia participar.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-002	4	474.000	477.000	474.000-477.000	Jo veia molt clar una cosa, és el que deia abans,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-002	5	659.000	664.000	659.000-664.000	I, clar, el que es va fer és fer l'elenc, es va dir, bueno, la Constitució,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-002	6	684.000	689.000	684.000-689.000	I, clar, tot el necessari de temes que anàvem venint, sí, es deia, bueno, la Constitució,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-002	7	689.000	694.000	689.000-694.000	tractarà d'aquests grans títols, però, clar, no ens va entrar mai el detall a la primera fase.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	clar	pa-002	8	746.000	750.000	746.000-750.000	Clar, això no tenia sortida.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	de fet	pa-002	1	73.000	76.000	73.000-76.000	Va servir per això, de fet,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	de fet	pa-002	2	240.000	242.000	240.000-242.000	de fet, amb aquelles eleccions que van guanyar,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	de fet	pa-002	3	633.000	638.000	633.000-638.000	De fet, evidentment, anar a relantir el treball constitucional,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	de fet	pa-002	4	993.000	1000.000	993.000-1000.000	I, de fet, es van poder discutir i la gent es va poder fer una miqueta	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	de fet	pa-002	5	2136.000	2140.000	2136.000-2140.000	I de fet, a la votació del consell,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	de fet	pa-002	6	2313.000	2317.000	2313.000-2317.000	Ens quedaven, encara, de fet, dos anys de mandat.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-002	1	206.000	209.000	206.000-209.000	però evidentment no hi havia d'altra fórmula.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-002	2	497.000	504.000	497.000-504.000	que evidentment va durar 6-7 mesos i al final va renunciar,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-002	3	633.000	638.000	633.000-638.000	De fet, evidentment, anar a relantir el treball constitucional,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-002	4	1196.000	1199.000	1196.000-1199.000	A mi, evidentment, em va...	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-002	5	1474.000	1478.000	1474.000-1478.000	els convidats de pedra, perquè evidentment no es va parlar ni de Constitució,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-002	6	1482.000	1485.000	1482.000-1485.000	perquè evidentment tots ja havíem girat el full,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-002	7	1621.000	1625.000	1621.000-1625.000	I evidentment, l'únic que tenia una projecció internacional	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	evidentment	pa-002	8	1747.000	1751.000	1747.000-1751.000	Evidentment, si no es tenien en compte una sèrie de punts,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	llavors	pa-002	1	551.000	556.000	551.000-556.000	però bueno, llavors hi va haver les maniobres,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	llavors	pa-002	2	561.000	570.000	561.000-570.000	i llavors la situació del síndic casal dit Bartoló era insostenible,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	llavors	pa-002	3	579.000	584.000	579.000-584.000	I llavors la nostra oposició va maniobrar	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	llavors	pa-002	4	604.000	611.000	604.000-611.000	perquè llavors era un crimen no a dir-te, encara que no fos del teu partit,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	llavors	pa-002	5	621.000	628.000	621.000-628.000	que llavors la majoria va passar de 14-14 a 16-12, per dir-ho,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	llavors	pa-002	6	628.000	633.000	628.000-633.000	o 15-13, no recordo exactament, però llavors van obtindre la majoria.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	llavors	pa-002	7	787.000	794.000	787.000-794.000	Llavors, quan van passar els consellers, van passar tots a la sala del consell.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	llavors	pa-002	8	824.000	826.000	824.000-826.000	Llavors, els van començar a mirar.	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	no?	pa-002	1	124.000	127.000	124.000-127.000	És una paradoxa, no?	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	no?	pa-002	2	694.000	698.000	694.000-698.000	I allà és on hi havia l'equip de la qüestió, no?	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	no?	pa-002	3	1337.000	1340.000	1337.000-1340.000	vaig dir que una mica, no?, però hi havia molt bona relació amb el Torra,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	no?	pa-002	4	2200.000	2202.000	2200.000-2202.000	o s'últim va fent política, no?	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
discurs	per tant	pa-002	1	884.000	894.000	884.000-894.000	Per tant, que la Constitució permetés de liquidar,	transcripcions/pa-002.vtt	ASR temporal; pendent d'audicio
