ordre	rang	prioritat	categoria_base	id_persona	forma	clip	absolute_start_s	absolute_end_s	prob_min	text	text_base	f0_hz	f1_hz	f2_hz	f3_hz	f0_base	f1_base	f2_base	f3_base	justificacio	decisio_auditiva	variant_transcrita	trets_fonetica	observacions_prosodia	nota_audicio
31	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-009	evidentment	clips/pa-009__evidentment__947.25.wav	948.250	948.990	0.9520	evidentment	Lora de penia, evidentment, si era l'estiu o era l'hivern, tancaven el dia.	150.34	457.97	1691.63	2233.40	153.64	621.08	1772.44	2446.18	small i base coincideixen; probabilitat small >= 0,80					
32	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-003	tirar endavant	clips/pa-003__tirar-endavant__361.93.wav	362.910	363.930	0.9453	tirar endavant	"per crear i tirar endavant un sistema educatiu propi.
 És a dir..."		598.99	1996.39	3141.58		598.99	1996.39	3141.58	small i base coincideixen; probabilitat small >= 0,80					
33	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-016	clar	clips/pa-016__clar__175.69.wav	177.330	177.680	0.9439	clar	"I hem de tenir un objectiu molt clar i hem d'assolir.
 Al fet de que..."	170.89	484.94	1190.58	2462.03		635.09	1456.82	2829.86	small i base coincideixen; probabilitat small >= 0,80					
34	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-036	evidentment	clips/pa-036__evidentment__202.85.wav	207.950	208.420	0.9393	evidentment	va costar fer aquest pas important, després evidentment entre la legislatura crítica o la més forte.	96.02	372.78	1773.38	2587.48	91.40	516.06	1693.08	2505.07	small i base coincideixen; probabilitat small >= 0,80					
35	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-056	vull dir	clips/pa-056__vull-dir__842.65.wav	843.300	844.210	0.9342	vull dir	Bé, vull dir també perquè cal recordar-ho.		863.56	1727.02	2602.99		794.29	1998.16	2520.05	small i base coincideixen; probabilitat small >= 0,80					
36	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-057	tirar endavant	clips/pa-057__tirar-endavant__56.61.wav	61.600	62.340	0.9330	tirar endavant	puguessin avançar i que vesim també d'autodisoldre per incapacitat de poder tirar endavant.	97.58	480.53	1704.35	2473.20		289.91	1528.73	2699.95	small i base coincideixen; probabilitat small >= 0,80					
37	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-019	a nivell	clips/pa-019__a-nivell__122.25.wav	125.600	126.080	0.9056	a nivell	amb la Constitució, som, quan se vol té vegades que entres a nivell de comissions.	90.41	383.80	2110.96	2848.96	61.57	590.84	1298.56	2587.43	small i base coincideixen; probabilitat small >= 0,80					
38	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-017	doncs	clips/pa-017__doncs__459.25.wav	460.590	460.880	0.9049	doncs	I perfecte, doncs a partir d'aquí, sempre ja que duté desenvolupar-te, és	179.57	535.38	1090.69	2887.19	172.00	473.42	749.70	1516.20	small i base coincideixen; probabilitat small >= 0,80					
39	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-030	vull dir	clips/pa-030__vull-dir__842.69.wav	843.370	844.350	0.9049	vull dir	Bé, vull dir també perquè cal recordar-ho.		793.66	1681.36	2628.64		851.81	2221.90	3115.51	small i base coincideixen; probabilitat small >= 0,80					
40	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-030	tirar endavant	clips/pa-030__tirar-endavant__185.61.wav	187.230	188.090	0.8976	tirar endavant	"Aquestem d'acord, vam tirar endavant.
 Es va fer la conseqüència constituent."	111.23	675.34	2043.46	3871.85	111.91	559.52	1475.33	2009.28	small i base coincideixen; probabilitat small >= 0,80					
41	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-036	a nivell	clips/pa-036__a-nivell__386.45.wav	394.030	394.500	0.8938	a nivell	"Tots i que les reglacions entrenganm i altres perroquies
 no eren bones a nivell electoral, no s'havia perdut."	95.21	355.13	1884.39	2492.61	91.45	435.02	1934.11	2583.72	small i base coincideixen; probabilitat small >= 0,80					
42	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-001	evidentment	clips/pa-001__evidentment__1067.69.wav	1069.920	1070.050	0.8911	evidentment	en Espanya Mècubuca, evidentment, però no...	91.79	455.66	1982.25	2714.29		888.35	2041.48	3210.17	small i base coincideixen; probabilitat small >= 0,80					
43	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-048	a nivell	clips/pa-048__a-nivell__435.77.wav	439.290	439.510	0.8845	a nivell	No, perquè normalment quan t'imbitan a nivell oficial t'imbitan a tal...		1007.74	2457.18	3383.11	169.69	401.68	1882.96	2824.58	small i base coincideixen; probabilitat small >= 0,80					
44	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-029	tirar endavant	clips/pa-029__tirar-endavant__56.73.wav	61.670	62.370	0.8813	tirar endavant	i que veiem també d'autodisoldre per a l'incapacitat de poder tirar endavant.	96.64	531.97	1679.56	2495.43	98.85	551.55	1931.58	2701.23	small i base coincideixen; probabilitat small >= 0,80					
45	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-015	doncs	clips/pa-015__doncs__83.25.wav	84.380	84.780	0.8466	doncs	que és important, doncs és important per una senzilla rau.		1655.08	2889.62	3626.41	248.32	363.71	849.96	2546.15	small i base coincideixen; probabilitat small >= 0,80					
46	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-028	doncs	clips/pa-028__doncs__329.33.wav	330.410	330.660	0.8421	Doncs	Doncs conyes que, realment, en valora que t'acosti tu, si ho trobava...	133.81	208.97	1934.59	2471.57	176.75	366.55	680.00	2496.72	small i base coincideixen; probabilitat small >= 0,80					
47	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-006	de fet	clips/pa-006__de-fet__285.25.wav	286.520	287.320	0.8407	de fet	de plat és que de fet només ja que una sola peça amui men i una sola peça	122.56	363.37	2364.66	2621.87	106.18	344.38	1759.29	2529.74	small i base coincideixen; probabilitat small >= 0,80					
48	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-060	de fet	clips/pa-060__de-fet__72.57.wav	77.270	77.410	0.8385	de fet	que van ocupar quatre anys de fet.	148.05	492.15	1921.29	2401.89		656.53	1927.28	3050.90	small i base coincideixen; probabilitat small >= 0,80					
49	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-066	bueno	clips/pa-066__bueno__357.23.wav	358.700	359.300	0.8366	bueno	periferia i, bueno, jo recordo de passat, si no.	97.13	368.86	597.75	2204.49	138.63	557.28	826.99	2824.68	small i base coincideixen; probabilitat small >= 0,80					
50	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-032	bueno	clips/pa-032__bueno__44.73.wav	45.000	45.460	0.8330	bueno	I bueno, l'últim bapsig que quatre que ens ho vam apuntar i van dir que era que fàcil.		761.40	1934.99	2786.85		826.35	1587.18	2775.46	small i base coincideixen; probabilitat small >= 0,80					
51	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-054	bueno	clips/pa-054__bueno__51.69.wav	52.480	52.610	0.8263	bueno	I, bueno, és el primer fàjum i l'àmbit.	169.47	357.05	2260.92	3340.06	173.35	366.11	2284.68	3414.67	small i base coincideixen; probabilitat small >= 0,80					
52	1	A-doble-i-confiança-alta	A-doble-coincidencia	pa-031	de fet	clips/pa-031__de-fet__9.93.wav	10.860	11.560	0.8205	de fet	i de fet, no em va portar d'ingú, jo em vaig portar.	109.94	318.84	1820.82	2487.31		1159.58	1901.94	2525.72	small i base coincideixen; probabilitat small >= 0,80					
53	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-041	ensenyança	clips/pa-041__ensenyan-a__523.25.wav	529.520	530.190	0.7954	ensenyança	I aquest material pedagogic que tingués continuïtat també de cara a tota la primera ensenyança.	145.05	433.77	1670.25	2698.89		677.10	1799.86	2846.69	small i base coincideixen; probabilitat small < 0,80					
54	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-062	és a dir	clips/pa-062__s-a-dir__973.65.wav	974.650	975.420	0.7665	és a dir	"que ens donaven, és a dir que sin estaurés entre el món polític
 i el món empresarial, un diàleg."		658.98	1618.07	2518.15	84.39	446.02	1380.76	2535.98	small i base coincideixen; probabilitat small < 0,80					
55	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-065	doncs	clips/pa-065__doncs__157.49.wav	159.720	159.750	0.7556	doncs	i quan hi ha amor, doncs deu haver-te entès els nostres coses.	145.56	254.66	1619.66	2731.29	140.60	281.36	2046.36	2717.53	small i base coincideixen; probabilitat small < 0,80					
56	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-021	vull dir	clips/pa-021__vull-dir__314.29.wav	318.000	319.130	0.7440	vull dir	I nosaltres, malgrat que no vull dir de que no vulguessim de cap manera, no?	134.88	453.62	902.78	3100.86		357.36	1253.44	2547.91	small i base coincideixen; probabilitat small < 0,80					
57	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-007	diguem	clips/pa-007__diguem__585.25.wav	586.460	586.670	0.7294	diguem	"per la funtera, diguem que es va generar un debat força en ces a les corses penones.
 I aquí..."	302.11	327.47	1983.25	2640.08	205.34	1847.28	2529.41	4210.70	small i base coincideixen; probabilitat small < 0,80					
58	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-034	diguem	clips/pa-034__diguem__504.45.wav	506.610	506.810	0.7193	diguem	de la corentena, diguem, no?	122.97	247.51	1548.90	2800.31	134.87	568.38	2288.86	2860.31	small i base coincideixen; probabilitat small < 0,80					
59	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-042	perquè	clips/pa-042__perqu__29.13.wav	31.230	31.590	0.7110	perquè	A més que res, perquè tenia els nens petits, crec que...	266.80	547.75	1994.54	2496.87	269.20	552.95	2056.07	2755.30	small i base coincideixen; probabilitat small < 0,80					
60	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-046	diguem	clips/pa-046__diguem__626.01.wav	628.260	628.500	0.6911	diguem	de les patates o les trumfes que diguem a canellos.	121.23	485.41	1411.43	2465.02	118.35	399.98	1432.10	2456.83	small i base coincideixen; probabilitat small < 0,80					
61	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-014	o sigui	clips/pa-014__o-sigui__658.45.wav	662.480	662.570	0.6862	o sigui	"És a dir, els homes amb baratina, o sigui, amb pantolons de barit, nergres, faixa i baratina vermella,
 que missa blanca, mitjons blancs, i vigatants."	108.48	467.77	1866.05	2369.32	130.08	453.18	1618.27	2244.02	small i base coincideixen; probabilitat small < 0,80					
62	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-063	o sigui	clips/pa-063__o-sigui__826.09.wav	827.170	827.360	0.6737	O sigui	O sigui que vam estar a la primera paix amb comets.	258.67	356.10	2409.95	2576.81	167.62	391.44	886.76	2541.21	small i base coincideixen; probabilitat small < 0,80					
63	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-027	és a dir	clips/pa-027__s-a-dir__185.61.wav	186.610	187.380	0.6623	és a dir	de grup, és a dir, jo amb els que havíem portat a l'acció a fer amb reunió de grup.		842.98	1679.14	2767.57	113.13	809.94	2257.49	3244.43	small i base coincideixen; probabilitat small < 0,80					
64	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-022	reformeta	clips/pa-022__reformeta__125.53.wav	128.230	128.930	0.6595	reformeta	de la reformeta, de no sé què, que no s'ha acabat.	120.08	412.42	1343.62	2307.46		455.98	1697.10	2650.79	small i base coincideixen; probabilitat small < 0,80					
65	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-008	aleshores	clips/pa-008__aleshores__1315.25.wav	1316.410	1316.880	0.6411	Aleshores	que feien camp. Aleshores va propiciar aquest retrobament, es va constituir		802.79	1379.08	2682.19		1664.16	2363.70	3128.22	small i base coincideixen; probabilitat small < 0,80					
66	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-025	diguem	clips/pa-025__diguem__500.89.wav	503.920	504.360	0.6352	diguem	i de competències que hem francesen, diguem, regalien, és la vida.	113.43	343.93	2243.20	2339.35	125.02	305.72	944.40	2258.15	small i base coincideixen; probabilitat small < 0,80					
67	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-053	perquè	clips/pa-053__perqu__113.93.wav	117.840	118.090	0.6129	perquè	n'hi hagi d'aquí, n'havien guanyat una pel·la perquè volem desprotar la gent.	100.60	451.35	1634.60	2129.73	109.22	1133.34	1743.32	3151.71	small i base coincideixen; probabilitat small < 0,80					
68	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-006	aleshores	clips/pa-006__aleshores__513.25.wav	513.280	513.990	0.5916	Aleshores	Aleshores era molt fàcil a agafar i aprofitar la força de l'aigua a la ixant per l'entrada.		1567.02	2587.02	3187.61		501.21	1760.96	2856.50	small i base coincideixen; probabilitat small < 0,80					
69	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-032	aleshores	clips/pa-032__aleshores__79.09.wav	79.300	81.230	0.2226	aleshores	li he llistat, i aleshores els dos oponents es van posar de cort al moment, al moment.		869.09	1811.44	2531.72	107.16	436.26	1502.39	2267.47	small i base coincideixen; probabilitat small < 0,80					
70	2	B-doble-i-confiança-baixa	A-doble-coincidencia	pa-020	aviam	clips/pa-020__aviam__252.21.wav	255.270	255.610	0.1339	aviam	I jo m'han resultat que clar, jo sóc, aviam, puc ser va futbol.	120.35	495.07	1810.49	2561.87		757.95	2009.85	3266.70	small i base coincideixen; probabilitat small < 0,80					
71	3	C-divergència-small-base	B-small-only	pa-045	clar	clips/pa-045__clar__399.85.wav	404.870	405.050	0.9997	clar	No ho he fet, no ho he fet, no ho he fet, no ho he fet, no ho he fet.		518.06	1312.80	2463.93					la forma només apareix al small; comparar amb l’àudio					
72	3	C-divergència-small-base	B-small-only	pa-016	bé	clips/pa-016__b__170.05.wav	175.990	176.330	0.9990	bé	"És una disolució, mentre ens encarà amb molta responsabilitat de diòstres,
 és que bon de febre, amb de..."		767.66	1918.85	2839.31					la forma només apareix al small; comparar amb l’àudio					
73	3	C-divergència-small-base	B-small-only	pa-064	a veure	clips/pa-064__a-veure__587.61.wav	588.880	589.500	0.9952	a veure	-El set de nata veure amb els anys.		499.50	1347.08	2590.44					la forma només apareix al small; comparar amb l’àudio					
74	3	C-divergència-small-base	B-small-only	pa-039	bé	clips/pa-039__b__27.77.wav	30.990	31.040	0.9914	bé	fins a la prostitució no hi estava.		484.73	1503.18	2358.34					la forma només apareix al small; comparar amb l’àudio					
75	3	C-divergència-small-base	B-small-only	pa-013	bé	clips/pa-013__b__196.65.wav	197.770	197.960	0.9863	bé	que em sofre i que la ve per la pell, pel sistema digestiu, i també té altres propietats.		545.17	1096.24	1975.63					la forma només apareix al small; comparar amb l’àudio					
76	3	C-divergència-small-base	B-small-only	pa-037	bé	clips/pa-037__b__105.29.wav	121.180	121.500	0.9723	bé	d'acompanyar-se, d'acompanyar-se.	138.37	333.56	864.40	2545.13					la forma només apareix al small; comparar amb l’àudio					
77	3	C-divergència-small-base	B-small-only	pa-058	és a dir	clips/pa-058__s-a-dir__74.41.wav	75.500	76.070	0.9532	És a dir	que volien ser com un pare.	110.89	342.21	2315.24	2691.94					la forma només apareix al small; comparar amb l’àudio					
78	3	C-divergència-small-base	B-small-only	pa-049	llavors	clips/pa-049__llavors__230.45.wav	231.850	232.270	0.9191	llavors	"I aquí en Dorra va vindre llabons el delegat de prensa de la casa blanca.
 No sé si va ser arreu de la càrrecament de aquesta càrrec."		1318.05	2646.88	3399.61					la forma només apareix al small; comparar amb l’àudio					
79	3	C-divergència-small-base	B-small-only	pa-029	a nivell	clips/pa-029__a-nivell__417.09.wav	418.660	419.290	0.9070	a nivell	"i xarquatres, o que els altres volien als quadren i veig nacional,
 i l'aconseguiria."	93.63	804.16	2102.64	2422.59					la forma només apareix al small; comparar amb l’àudio					
80	3	C-divergència-small-base	B-small-only	pa-019	llavors	clips/pa-019__llavors__422.25.wav	426.010	426.400	0.9040	llavors	perquè ens donava eines per fer més coses als que podíem fer fins allà.	95.58	351.12	1804.64	3335.20					la forma només apareix al small; comparar amb l’àudio					
81	3	C-divergència-small-base	B-small-only	pa-035	doncs	clips/pa-035__doncs__195.49.wav	198.140	198.690	0.9025	doncs	i jo vaig participar d'un amic, una mica.	153.74	293.60	1790.97	2130.76					la forma només apareix al small; comparar amb l’àudio					
82	3	C-divergència-small-base	B-small-only	pa-005	o sigui	clips/pa-005__o-sigui__373.33.wav	376.930	377.390	0.8872	O sigui	n'ha de dir un format xar i dues fogaixes de pas, així que hi ha poques bromes.		367.21	2303.18	3409.75					la forma només apareix al small; comparar amb l’àudio					
83	3	C-divergència-small-base	B-small-only	pa-031	tirar endavant	clips/pa-031__tirar-endavant__146.09.wav	147.060	148.090	0.8395	tirar endavant	de la manera que fos i que s'havia de dir en davant de la manera que fos.		819.12	1525.80	2620.74					la forma només apareix al small; comparar amb l’àudio					
84	3	C-divergència-small-base	B-small-only	pa-023	a nivell	clips/pa-023__a-nivell__418.57.wav	419.870	420.370	0.8081	a nivell	i després també aniré de agricultura.	140.15	566.70	1786.47	2561.78					la forma només apareix al small; comparar amb l’àudio					
85	3	C-divergència-small-base	B-small-only	pa-046	és a dir	clips/pa-046__s-a-dir__135.61.wav	137.610	137.930	0.8034	és a dir	Som filers, doncs es veiem el dia a dia i hem espanyol.		623.52	1487.97	3004.25					la forma només apareix al small; comparar amb l’àudio					
86	3	C-divergència-small-base	B-small-only	pa-015	llavors	clips/pa-015__llavors__197.25.wav	199.290	200.840	0.8028	llavors	d'edat i abans a part de tindre a la G3		227.31	1143.91	2292.14					la forma només apareix al small; comparar amb l’àudio					
87	3	C-divergència-small-base	B-small-only	pa-066	llavors	clips/pa-066__llavors__16.21.wav	17.610	18.050	0.7958	llavors	que es poden fer a l'estudio de la ciutadania.		682.98	1834.10	2914.91					la forma només apareix al small; comparar amb l’àudio					
