id_parlant	nom_public	n_mostres	canals	ambit_documentat	evidencia_contextual	estat	accio
spk-018	Eudald Guillamet	1	RTVA Andorra	Andorra (activitat patrimonial)	El Consell General el documenta com a restaurador i conservador de béns culturals, responsable amb Xavier Llovera del Pla Director de la Casa de la Vall.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-019	Francina Pons	1	Andorra Recerca i Innovació	Andorra la Vella / Andorra	RTVA identifica Francina Pons en una entrevista sobre els molins d’Andorra, la justícia andorrana i la seva activitat cultural al país.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-020	Gabriel Dallerès Codina	2	Consell General	d'Encamp	Índex antroponímic oficial; el situa a Encamp i registra la seva activitat com a conseller.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-021	Gualbert Osorio	1	RTVA Andorra	Andorra (trajectòria professional documentada)	RTVA descriu la seva arribada al país, la trajectòria periodística i la direcció de Ràdio Andorra; la font el situa com a periodista amb una llarga trajectòria al país.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-022	Guillem Areny Argelich	1	Consell General	de la Massana	L’índex antroponímic oficial el situa a la Massana i registra els càrrecs de conseller.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-023	Irene Clua	1	RTVA Andorra	Encamp / Andorra	RTVA identifica Irene Clua com l’artista del cartell del Dia de la Constitució i situa la seva obra en actes públics del Consell General i en una mostra d’Encamp.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-024	Jaume Bartumeu Cassany	1	Consell General	Andorra la Vella / Andorra	La fitxa oficial del Consell General documenta la seva trajectòria institucional, la representació d’Andorra la Vella i el càrrec de cap de Govern.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-025	Joan Santamaria Terré	1	Consell General	de Sant Julià de Lòria	Acta oficial del Consell General que l'identifica entre els representants de Sant Julià de Lòria en la legislatura constituent.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-026	Jordi Farràs Forné	1	Consell General	Andorra la Vella	La notícia oficial documenta el càrrec i que fou escollit per la parròquia d’Andorra la Vella.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-027	Jordi Marquet	1	RTVA Andorra	Canillo	RTVA el descriu com a fill de cal Ton de Borró de Canillo, nascut el 1942, i com a figura de la memòria íntima d'Andorra.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-028	Jordi Mas Torres	1	Consell General	d'Encamp	Acta oficial del Consell General que l'identifica entre els representants d'Encamp.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-029	Jordi Torres Alís	1	Consell General	d'Encamp	Acta oficial del Consell General que l'identifica entre els representants d'Encamp en la legislatura constituent.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-030	Josep Areny	1	RTVA Andorra	Soldeu, Canillo	RTVA el presenta com a hoteler i polític dels anys noranta i situa la fonda familiar de Cal Calbó a Soldeu.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-031	Josep Areny Fité	1	Consell General	Consell General; parròquia no indicada a la fitxa consultada	La fitxa oficial documenta la trajectòria parlamentària i la data de naixement.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-032	Josep Casal	1	Arxiu d'Etnografia d'Andorra	Canillo	RTVA identifica Josep Casal com a exministre i excònsol de Canillo i documenta la seva trajectòria política al país.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-033	Josep Garrallà Rossell	1	Consell General	de la Massana	Acta oficial del Consell General que l'identifica entre els consellers de la Massana.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-034	Josep Marsal Riba	1	Consell General	Andorra (trajectòria institucional)	RTVA el descriu com a protagonista de la transformació d’Andorra a la segona meitat del segle XX i documenta la seva trajectòria política i institucional.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-035	Ladislau Baró Solà	1	Consell General	Consell General; parròquia no indicada a la fitxa consultada	La fitxa oficial documenta la trajectòria parlamentària i la data de naixement.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-036	Ludmilla Lacueva	1	Andorra Recerca i Innovació	Andorra	RTVA presenta Ludmilla Lacueva com a escriptora andorrana i documenta la seva obra i recerca vinculades a Andorra.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-037	Maria Reig Moles	1	Consell General	Consell General; parròquia no indicada a la pàgina consultada	La pàgina institucional de les dones al Consell General la situa entre les conselleres de 1992–1993 i de la legislatura constituent.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-038	Mercè Segura	1	RTVA Andorra	Andorra la Vella / Encamp	La memòria pública de Càritas Andorrana la identifica com a secretària general; fonts sobre l’Escola Andorrana la situen com a assessora pedagògica a Andorra.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-039	Miquel Aleix Areny	2	Consell General	Escaldes-Engordany (circumscripció documentada); d'Escaldes-Engordany	La fitxa oficial documenta la trajectòria i la circumscripció parroquial d’Escaldes-Engordany. | Fitxa institucional del Consell General; documenta la trajectòria política i la circumscripció d'Escaldes-Engordany.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-040	Miquel Armengol Pons	1	Consell General	d'Andorra	L’índex antroponímic oficial el situa a Andorra i registra el càrrec de conseller.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-041	Miquel Naudi Casal	1	Consell General	de Soldeu, Canillo	L'índex antroponímic oficial el registra com a Miquel Naudí Casal, de Soldeu de Canillo, i hi documenta el càrrec de conseller el 1992 i el 1993.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-042	Mossèn Ramon de Canillo	1	RTVA Andorra	Canillo	RTVA documenta que exerceix a la parròquia de Canillo des de 1966 i que va fundar AINA.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-043	Nadia Aleix Tugas	2	Consell General	Escaldes-Engordany	Acta oficial que la identifica entre els consellers d'Escaldes-Engordany; la pàgina institucional sobre les dones al Consell confirma la seva participació el 1993.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-044	Olga Adellach Coma	1	Consell General	Ordino	La fitxa oficial documenta la trajectòria i la circumscripció parroquial d’Ordino.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-045	Patrick Pérez	1	RTVA Andorra	Andorra (activitat empresarial documentada)	RTVA el presenta com a director general de Pyrénées i vincula la seva activitat al comerç local.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-046	Pere Altimir Pintat	1	Consell General	Consell General; parròquia no indicada a la referència consultada	El Butlletí oficial documenta la seva intervenció com a ponent parlamentari.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-047	Pere Torres	1	Arxiu d'Etnografia d'Andorra	Canillo / el Forn	La fitxa de l'Arxiu identifica la peça «Vides de muntanya — Ramaderia d'alçada» i la situa a Casa Toni, Canillo/el Forn.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-048	Ramon Canut Bové	2	Consell General	d'Escaldes-Engordany	Fitxa institucional del Consell General; l'índex antroponímic també el situa a Escaldes-Engordany.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-049	Robert Cassany Vila	1	Consell General	Andorra la Vella	L'acta oficial el situa entre els consellers generals d'Andorra la Vella i recull una intervenció seva en la legislatura constituent.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-050	Robert Lizarte	1	Andorra Recerca i Innovació	Canillo	RTVA identifica Robert Lizarte com a director del Departament de Cultura de Canillo i el vincula a activitats de patrimoni i tradició andorrana.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-051	Rosa Maria Mandicó Alcobé	1	Consell General	del Forn de Canillo	L’índex antroponímic oficial la situa al Forn de Canillo i registra el càrrec de consellera.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-052	Rosa Vidal	1	Arxiu d'Etnografia d'Andorra	Andorra (Ministeri de Salut)	RTVA identifica Rosa Vidal com a responsable de salut pública i recull la seva intervenció sobre el calendari de vacunació d’Andorra.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-053	Roser Bastida	1	RTVA Andorra	Sant Julià de Lòria (context polític local)	La notícia RTVA documenta la seva activitat parlamentària i la vinculació política amb Sant Julià de Lòria.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-054	Roser Jordana	1	RTVA Andorra	Andorra / Ordino	La Biblioteca Nacional identifica Roser Jordana Mallol i la premsa andorrana documenta el seu retorn al Principat i la seva trajectòria al Sindicat d'Iniciativa.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-055	Ruth Casabella	1	Andorra Recerca i Innovació	Andorra (patrimoni cultural)	RTVA la identifica com a cap de Museus i Monuments del Govern en una peça sobre el patrimoni romànic d'Andorra.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-056	Sara Ubach	1	Andorra Recerca i Innovació	Andorra (Patrimoni Cultural)	RTVA identifica Sara Ubach com a tècnica de Patrimoni Cultural i recull la seva intervenció en una activitat institucional sobre el patrimoni mundial d’Andorra.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-057	Teo Armengol	1	Andorra Recerca i Innovació	Andorra la Vella	El document patrimonial del Govern recull el seu relat com a confrare escudellaire d'Andorra la Vella des de 1992.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-058	Trini Mandicó Baró	1	Arxiu d'Etnografia d'Andorra	Sispony, la Massana	La fitxa de l'Arxiu identifica la peça «Vides de dones» i la situa a Casa Xarret de Sispony, amb context de pagesia, escola i remeis.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-059	Xavier Planas	1	Andorra Recerca i Innovació	Andorra (toponímia i riscos naturals)	El Govern documenta Xavier Planas com a geòleg i tècnic de riscos naturals, autor de l'estudi sobre toponímia preromana d'Andorra.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
spk-060	Àngels Mach	1	RTVA Andorra	Andorra (Societat Andorrana de Ciències)	RTVA identifica Àngels Mach com a presidenta de la Societat Andorrana de Ciències i documenta la seva activitat cultural i institucional al país.	context territorial documentat; llengua inicial pendent	confirmar lloc de socialització, llengües d'ús i veu al clip
