id_persona	forma	interval_escolta	clip	json_base	n_matches	token_match	token_matches
pa-033	bé	103.09-107.43	clips/pa-033__b__103.09.wav	qa-consens-base-json/pa-033__b__103_09.json	2	sí	"[{""start"":103.82000000000001,""end"":103.88000000000001,""p_min"":0.263711,""text"":""bé""},{""start"":106.62,""end"":106.84,""p_min"":0.559881,""text"":""bé""}]"
pa-036	bé	69.45-75.15	clips/pa-036__b__69.45.wav	qa-consens-base-json/pa-036__b__69_45.json	1	sí	"[{""start"":71.88000000000001,""end"":72.17,""p_min"":0.996971,""text"":""bé""}]"
pa-038	bé	26.77-31.71	clips/pa-038__b__26.77.wav	qa-consens-base-json/pa-038__b__26_77.json	1	sí	"[{""start"":27.55,""end"":27.82,""p_min"":0.941616,""text"":""bé""}]"
pa-041	bé	130.25-137.75	clips/pa-041__b__130.25.wav	qa-consens-base-json/pa-041__b__130_25.json	1	sí	"[{""start"":130.25,""end"":130.61,""p_min"":0.0399611,""text"":""Bé""}]"
pa-048	bé	495.73-502.83	clips/pa-048__b__495.73.wav	qa-consens-base-json/pa-048__b__495_73.json	1	sí	"[{""start"":495.73,""end"":496.13,""p_min"":0.14099,""text"":""Bé""}]"
pa-056	bé	436.49-441.47	clips/pa-056__b__436.49.wav	qa-consens-base-json/pa-056__b__436_49.json	0	no	[]
pa-063	bé	105.97-110.35	clips/pa-063__b__105.97.wav	qa-consens-base-json/pa-063__b__105_97.json	1	sí	"[{""start"":105.97,""end"":106.22,""p_min"":0.0642268,""text"":""Bé""}]"
pa-064	bé	97.93-104.11	clips/pa-064__b__97.93.wav	qa-consens-base-json/pa-064__b__97_93.json	1	sí	"[{""start"":97.93,""end"":98.36000000000001,""p_min"":0.228535,""text"":""Bé""}]"
pa-065	bé	138.57-144.67	clips/pa-065__b__138.57.wav	qa-consens-base-json/pa-065__b__138_57.json	1	sí	"[{""start"":139.95,""end"":140.28,""p_min"":0.248075,""text"":""bé""}]"
pa-066	bé	10.13-15.71	clips/pa-066__b__10.13.wav	qa-consens-base-json/pa-066__b__10_13.json	1	sí	"[{""start"":13.05,""end"":13.290000000000001,""p_min"":0.25331,""text"":""bé""}]"
pa-003	de fet	0.00-7.19	clips/pa-003__de-fet__0.00.wav	qa-consens-base-json/pa-003__de-fet__0_00.json	1	sí	"[{""start"":1.4,""end"":1.97,""p_min"":0.655982,""text"":""de fet""}]"
pa-004	de fet	601.17-607.35	clips/pa-004__de-fet__601.17.wav	qa-consens-base-json/pa-004__de-fet__601_17.json	1	sí	"[{""start"":603.8499999999999,""end"":604.0699999999999,""p_min"":0.490965,""text"":""De fet""}]"
pa-006	de fet	285.25-291.75	clips/pa-006__de-fet__285.25.wav	qa-consens-base-json/pa-006__de-fet__285_25.json	1	sí	"[{""start"":286.85,""end"":287.35,""p_min"":0.715119,""text"":""de fet""}]"
pa-010	de fet	647.25-652.75	clips/pa-010__de-fet__647.25.wav	qa-consens-base-json/pa-010__de-fet__647_25.json	1	sí	"[{""start"":650.69,""end"":650.8,""p_min"":0.368882,""text"":""de fet""}]"
pa-011	de fet	557.25-561.31	clips/pa-011__de-fet__557.25.wav	qa-consens-base-json/pa-011__de-fet__557_25.json	1	sí	"[{""start"":557.25,""end"":557.63,""p_min"":0.196393,""text"":""De fet""}]"
pa-024	de fet	482.25-489.07	clips/pa-024__de-fet__482.25.wav	qa-consens-base-json/pa-024__de-fet__482_25.json	1	sí	"[{""start"":482.25,""end"":483.67,""p_min"":0.262406,""text"":""de fet""}]"
pa-027	de fet	109.45-115.11	clips/pa-027__de-fet__109.45.wav	qa-consens-base-json/pa-027__de-fet__109_45.json	1	sí	"[{""start"":109.87,""end"":110.7,""p_min"":0.35181,""text"":""de fet""}]"
pa-028	de fet	31.17-37.07	clips/pa-028__de-fet__31.17.wav	qa-consens-base-json/pa-028__de-fet__31_17.json	1	sí	"[{""start"":35.52,""end"":35.92,""p_min"":0.790623,""text"":""de fet""}]"
pa-031	de fet	9.93-14.23	clips/pa-031__de-fet__9.93.wav	qa-consens-base-json/pa-031__de-fet__9_93.json	1	sí	"[{""start"":10.049999999999999,""end"":10.65,""p_min"":0.360243,""text"":""de fet""}]"
pa-033	de fet	249.69-252.55	clips/pa-033__de-fet__249.69.wav	qa-consens-base-json/pa-033__de-fet__249_69.json	1	sí	"[{""start"":250.62,""end"":251.04,""p_min"":0.625589,""text"":""de fet""}]"
pa-040	de fet	70.17-73.51	clips/pa-040__de-fet__70.17.wav	qa-consens-base-json/pa-040__de-fet__70_17.json	1	sí	"[{""start"":72.2,""end"":72.23,""p_min"":0.648954,""text"":""de fet""}]"
pa-060	de fet	72.57-78.35	clips/pa-060__de-fet__72.57.wav	qa-consens-base-json/pa-060__de-fet__72_57.json	1	sí	"[{""start"":76.57,""end"":77.41999999999999,""p_min"":0.382501,""text"":""de fet""}]"
pa-003	és a dir	65.05-70.51	clips/pa-003__s-a-dir__65.05.wav	qa-consens-base-json/pa-003__s-a-dir__65_05.json	1	sí	"[{""start"":65.05,""end"":65.53999999999999,""p_min"":0.505074,""text"":""És a dir""}]"
pa-008	és a dir	1110.25-1114.75	clips/pa-008__s-a-dir__1110.25.wav	qa-consens-base-json/pa-008__s-a-dir__1110_25.json	1	sí	"[{""start"":1112.6,""end"":1112.95,""p_min"":0.688914,""text"":""És a dir""}]"
pa-010	és a dir	243.25-249.55	clips/pa-010__s-a-dir__243.25.wav	qa-consens-base-json/pa-010__s-a-dir__243_25.json	1	sí	"[{""start"":243.25,""end"":243.63,""p_min"":0.122688,""text"":""És a dir""}]"
pa-011	és a dir	48.09-54.67	clips/pa-011__s-a-dir__48.09.wav	qa-consens-base-json/pa-011__s-a-dir__48_09.json	1	sí	"[{""start"":48.09,""end"":48.81,""p_min"":0.138258,""text"":""És a dir""}]"
pa-017	és a dir	487.25-494.75	clips/pa-017__s-a-dir__487.25.wav	qa-consens-base-json/pa-017__s-a-dir__487_25.json	1	sí	"[{""start"":488.85,""end"":489.22,""p_min"":0.216524,""text"":""és a dir""}]"
pa-027	és a dir	185.61-192.87	clips/pa-027__s-a-dir__185.61.wav	qa-consens-base-json/pa-027__s-a-dir__185_61.json	1	sí	"[{""start"":187.61,""end"":188.19000000000003,""p_min"":0.0978576,""text"":""és a dir""}]"
pa-033	és a dir	39.29-44.27	clips/pa-033__s-a-dir__39.29.wav	qa-consens-base-json/pa-033__s-a-dir__39_29.json	1	sí	"[{""start"":40.29,""end"":40.8,""p_min"":0.558356,""text"":""És a dir""}]"
pa-059	és a dir	487.81-491.67	clips/pa-059__s-a-dir__487.81.wav	qa-consens-base-json/pa-059__s-a-dir__487_81.json	1	sí	"[{""start"":487.81,""end"":488.37,""p_min"":0.448858,""text"":""És a dir""}]"
pa-062	és a dir	973.65-980.31	clips/pa-062__s-a-dir__973.65.wav	qa-consens-base-json/pa-062__s-a-dir__973_65.json	1	sí	"[{""start"":975.65,""end"":976.09,""p_min"":0.286056,""text"":""és a dir""}]"
pa-006	aleshores	513.25-518.75	clips/pa-006__aleshores__513.25.wav	qa-consens-base-json/pa-006__aleshores__513_25.json	1	sí	"[{""start"":513.28,""end"":513.82,""p_min"":0.161801,""text"":""Aleshores""}]"
pa-008	aleshores	1315.25-1319.75	clips/pa-008__aleshores__1315.25.wav	qa-consens-base-json/pa-008__aleshores__1315_25.json	1	sí	"[{""start"":1316.25,""end"":1316.72,""p_min"":0.309568,""text"":""Aleshores""}]"
pa-030	aleshores	392.41-397.91	clips/pa-030__aleshores__392.41.wav	qa-consens-base-json/pa-030__aleshores__392_41.json	1	sí	"[{""start"":392.41,""end"":393.61,""p_min"":0.0184069,""text"":""Aleshores""}]"
pa-032	aleshores	79.09-87.19	clips/pa-032__aleshores__79.09.wav	qa-consens-base-json/pa-032__aleshores__79_09.json	1	sí	"[{""start"":81.34,""end"":82.12,""p_min"":0.187183,""text"":""aleshores""}]"
pa-001	evidentment	1067.69-1071.19	clips/pa-001__evidentment__1067.69.wav	qa-consens-base-json/pa-001__evidentment__1067_69.json	1	sí	"[{""start"":1069.1000000000001,""end"":1069.89,""p_min"":0.691935,""text"":""evidentment""}]"
pa-002	evidentment	205.25-209.75	clips/pa-002__evidentment__205.25.wav	qa-consens-base-json/pa-002__evidentment__205_25.json	1	sí	"[{""start"":205.86,""end"":206.96,""p_min"":0.590544,""text"":""evidentment""}]"
pa-003	evidentment	158.81-165.19	clips/pa-003__evidentment__158.81.wav	qa-consens-base-json/pa-003__evidentment__158_81.json	1	sí	"[{""start"":159.79,""end"":160.62,""p_min"":0.583762,""text"":""evidentment""}]"
pa-004	evidentment	522.93-528.15	clips/pa-004__evidentment__522.93.wav	qa-consens-base-json/pa-004__evidentment__522_93.json	1	sí	"[{""start"":526.77,""end"":526.93,""p_min"":0.939644,""text"":""evidentment""}]"
pa-007	evidentment	778.25-783.75	clips/pa-007__evidentment__778.25.wav	qa-consens-base-json/pa-007__evidentment__778_25.json	1	sí	"[{""start"":782.24,""end"":782.86,""p_min"":0.692992,""text"":""evidentment""}]"
pa-009	evidentment	947.25-951.75	clips/pa-009__evidentment__947.25.wav	qa-consens-base-json/pa-009__evidentment__947_25.json	1	sí	"[{""start"":948.16,""end"":948.93,""p_min"":0.476066,""text"":""evidentment""}]"
pa-014	evidentment	28.65-37.55	clips/pa-014__evidentment__28.65.wav	qa-consens-base-json/pa-014__evidentment__28_65.json	1	sí	"[{""start"":30.459999999999997,""end"":31.549999999999997,""p_min"":0.860653,""text"":""evidentment""}]"
pa-016	evidentment	456.85-463.03	clips/pa-016__evidentment__456.85.wav	qa-consens-base-json/pa-016__evidentment__456_85.json	1	sí	"[{""start"":456.95000000000005,""end"":457.93,""p_min"":0.112782,""text"":""evidentment""}]"
pa-022	evidentment	303.01-309.59	clips/pa-022__evidentment__303.01.wav	qa-consens-base-json/pa-022__evidentment__303_01.json	1	sí	"[{""start"":303.13,""end"":304.43,""p_min"":0.230297,""text"":""evidentment""}]"
pa-025	evidentment	1156.61-1160.31	clips/pa-025__evidentment__1156.61.wav	qa-consens-base-json/pa-025__evidentment__1156_61.json	1	sí	"[{""start"":1157.09,""end"":1157.6899999999998,""p_min"":0.361062,""text"":""evidentment""}]"
pa-027	evidentment	174.09-178.23	clips/pa-027__evidentment__174.09.wav	qa-consens-base-json/pa-027__evidentment__174_09.json	1	sí	"[{""start"":176.93,""end"":177.14000000000001,""p_min"":0.445512,""text"":""evidentment""}]"
pa-030	evidentment	43.53-48.63	clips/pa-030__evidentment__43.53.wav	qa-consens-base-json/pa-030__evidentment__43_53.json	1	sí	"[{""start"":44.9,""end"":45.54,""p_min"":0.579412,""text"":""evidentment""}]"
pa-036	evidentment	202.85-211.95	clips/pa-036__evidentment__202.85.wav	qa-consens-base-json/pa-036__evidentment__202_85.json	1	sí	"[{""start"":207.76999999999998,""end"":208.41,""p_min"":0.374706,""text"":""evidentment""}]"
pa-040	evidentment	103.93-106.95	clips/pa-040__evidentment__103.93.wav	qa-consens-base-json/pa-040__evidentment__103_93.json	1	sí	"[{""start"":105.05000000000001,""end"":105.76,""p_min"":0.389979,""text"":""Evidentment""}]"
pa-041	evidentment	353.25-360.75	clips/pa-041__evidentment__353.25.wav	qa-consens-base-json/pa-041__evidentment__353_25.json	1	sí	"[{""start"":356.41,""end"":357.13,""p_min"":0.396619,""text"":""evidentment""}]"
pa-045	evidentment	290.13-298.31	clips/pa-045__evidentment__290.13.wav	qa-consens-base-json/pa-045__evidentment__290_13.json	1	sí	"[{""start"":291.13,""end"":291.88,""p_min"":0.552135,""text"":""evidentment""}]"
pa-055	evidentment	1644.01-1651.31	clips/pa-055__evidentment__1644.01.wav	qa-consens-base-json/pa-055__evidentment__1644_01.json	1	sí	"[{""start"":1649.59,""end"":1650.01,""p_min"":0.818426,""text"":""evidentment""}]"
pa-056	evidentment	43.45-48.59	clips/pa-056__evidentment__43.45.wav	qa-consens-base-json/pa-056__evidentment__43_45.json	1	sí	"[{""start"":44.61,""end"":45.31,""p_min"":0.161839,""text"":""evidentment""}]"
pa-061	evidentment	672.69-677.43	clips/pa-061__evidentment__672.69.wav	qa-consens-base-json/pa-061__evidentment__672_69.json	1	sí	"[{""start"":675.3900000000001,""end"":675.6500000000001,""p_min"":0.84245,""text"":""evidentment""}]"
pa-007	diguem	585.25-591.75	clips/pa-007__diguem__585.25.wav	qa-consens-base-json/pa-007__diguem__585_25.json	1	sí	"[{""start"":586.44,""end"":586.65,""p_min"":0.501182,""text"":""diguem""}]"
pa-018	diguem	715.49-721.19	clips/pa-018__diguem__715.49.wav	qa-consens-base-json/pa-018__diguem__715_49.json	1	sí	"[{""start"":717.48,""end"":717.96,""p_min"":0.492714,""text"":""diguem""}]"
pa-019	diguem	109.25-113.75	clips/pa-019__diguem__109.25.wav	qa-consens-base-json/pa-019__diguem__109_25.json	0	no	[]
pa-025	diguem	500.89-506.43	clips/pa-025__diguem__500.89.wav	qa-consens-base-json/pa-025__diguem__500_89.json	1	sí	"[{""start"":504.03999999999996,""end"":504.51,""p_min"":0.414708,""text"":""diguem""}]"
pa-034	diguem	504.45-508.51	clips/pa-034__diguem__504.45.wav	qa-consens-base-json/pa-034__diguem__504_45.json	1	sí	"[{""start"":506.45,""end"":506.83,""p_min"":0.327075,""text"":""diguem""}]"
pa-037	diguem	469.77-482.03	clips/pa-037__diguem__469.77.wav	qa-consens-base-json/pa-037__diguem__469_77.json	0	no	[]
pa-046	diguem	626.01-630.19	clips/pa-046__diguem__626.01.wav	qa-consens-base-json/pa-046__diguem__626_01.json	1	sí	"[{""start"":627.99,""end"":628.42,""p_min"":0.335348,""text"":""diguem""}]"
pa-057	diguem	929.81-935.31	clips/pa-057__diguem__929.81.wav	qa-consens-base-json/pa-057__diguem__929_81.json	0	no	[]
pa-058	diguem	715.21-718.91	clips/pa-058__diguem__715.21.wav	qa-consens-base-json/pa-058__diguem__715_21.json	1	sí	"[{""start"":717.2,""end"":717.89,""p_min"":0.511272,""text"":""diguem""}]"
pa-062	diguem	191.37-197.03	clips/pa-062__diguem__191.37.wav	qa-consens-base-json/pa-062__diguem__191_37.json	1	sí	"[{""start"":195.15,""end"":195.49,""p_min"":0.872027,""text"":""diguem""}]"
pa-001	crec	97.33-100.95	clips/pa-001__crec__97.33.wav	qa-consens-base-json/pa-001__crec__97_33.json	1	sí	"[{""start"":97.41,""end"":97.73,""p_min"":0.799842,""text"":""crec""}]"
pa-002	crec	248.25-254.75	clips/pa-002__crec__248.25.wav	qa-consens-base-json/pa-002__crec__248_25.json	1	sí	"[{""start"":248.81,""end"":248.81,""p_min"":0.997077,""text"":""crec""}]"
pa-003	crec	0.00-7.19	clips/pa-003__crec__0.00.wav	qa-consens-base-json/pa-003__crec__0_00.json	1	sí	"[{""start"":0.28,""end"":0.85,""p_min"":0.99212,""text"":""crec""}]"
pa-014	crec	153.25-160.55	clips/pa-014__crec__153.25.wav	qa-consens-base-json/pa-014__crec__153_25.json	1	sí	"[{""start"":153.5,""end"":153.85,""p_min"":0.993838,""text"":""crec""}]"
pa-018	crec	7.49-12.83	clips/pa-018__crec__7.49.wav	qa-consens-base-json/pa-018__crec__7_49.json	1	sí	"[{""start"":8.73,""end"":9.1,""p_min"":0.997012,""text"":""crec""}]"
pa-019	crec	27.25-31.75	clips/pa-019__crec__27.25.wav	qa-consens-base-json/pa-019__crec__27_25.json	1	sí	"[{""start"":28.53,""end"":28.8,""p_min"":0.997474,""text"":""crec""}]"
pa-021	crec	115.53-120.03	clips/pa-021__crec__115.53.wav	qa-consens-base-json/pa-021__crec__115_53.json	1	sí	"[{""start"":115.71000000000001,""end"":115.97,""p_min"":0.98995,""text"":""crec""}]"
pa-022	crec	243.73-249.43	clips/pa-022__crec__243.73.wav	qa-consens-base-json/pa-022__crec__243_73.json	1	sí	"[{""start"":243.85,""end"":244.07,""p_min"":0.992226,""text"":""crec""}]"
pa-024	crec	368.01-372.63	clips/pa-024__crec__368.01.wav	qa-consens-base-json/pa-024__crec__368_01.json	1	sí	"[{""start"":368.34999999999997,""end"":369.03999999999996,""p_min"":0.987781,""text"":""crec""}]"
pa-025	crec	4.25-9.11	clips/pa-025__crec__4.25.wav	qa-consens-base-json/pa-025__crec__4_25.json	1	sí	"[{""start"":4.46,""end"":4.89,""p_min"":0.991597,""text"":""crec""}]"
pa-027	crec	8.81-14.39	clips/pa-027__crec__8.81.wav	qa-consens-base-json/pa-027__crec__8_81.json	1	sí	"[{""start"":10.41,""end"":10.72,""p_min"":0.934522,""text"":""crec""}]"
pa-030	crec	346.45-352.99	clips/pa-030__crec__346.45.wav	qa-consens-base-json/pa-030__crec__346_45.json	1	sí	"[{""start"":348.18,""end"":348.38,""p_min"":0.982984,""text"":""crec""}]"
pa-031	crec	87.01-92.63	clips/pa-031__crec__87.01.wav	qa-consens-base-json/pa-031__crec__87_01.json	1	sí	"[{""start"":89.41000000000001,""end"":89.78,""p_min"":0.993283,""text"":""crec""}]"
pa-035	crec	872.77-879.91	clips/pa-035__crec__872.77.wav	qa-consens-base-json/pa-035__crec__872_77.json	1	sí	"[{""start"":873.42,""end"":873.46,""p_min"":0.897417,""text"":""crec""}]"
pa-038	crec	220.69-226.79	clips/pa-038__crec__220.69.wav	qa-consens-base-json/pa-038__crec__220_69.json	1	sí	"[{""start"":221.44,""end"":221.71,""p_min"":0.994296,""text"":""crec""}]"
pa-039	crec	90.85-95.95	clips/pa-039__crec__90.85.wav	qa-consens-base-json/pa-039__crec__90_85.json	1	sí	"[{""start"":92.72999999999999,""end"":92.94999999999999,""p_min"":0.996136,""text"":""crec""}]"
pa-040	crec	4.37-7.79	clips/pa-040__crec__4.37.wav	qa-consens-base-json/pa-040__crec__4_37.json	1	sí	"[{""start"":4.63,""end"":5.16,""p_min"":0.995471,""text"":""crec""}]"
pa-041	crec	56.25-62.75	clips/pa-041__crec__56.25.wav	qa-consens-base-json/pa-041__crec__56_25.json	1	sí	"[{""start"":57.56,""end"":57.7,""p_min"":0.991026,""text"":""crec""}]"
pa-043	crec	102.25-108.75	clips/pa-043__crec__102.25.wav	qa-consens-base-json/pa-043__crec__102_25.json	1	sí	"[{""start"":107.25,""end"":107.49,""p_min"":0.993648,""text"":""crec""}]"
pa-048	crec	110.97-117.27	clips/pa-048__crec__110.97.wav	qa-consens-base-json/pa-048__crec__110_97.json	1	sí	"[{""start"":113.46,""end"":113.58,""p_min"":0.982004,""text"":""crec""}]"
pa-049	crec	371.85-383.51	clips/pa-049__crec__371.85.wav	qa-consens-base-json/pa-049__crec__371_85.json	1	sí	"[{""start"":372.28000000000003,""end"":372.86,""p_min"":0.92113,""text"":""crec""}]"
pa-051	crec	208.57-213.39	clips/pa-051__crec__208.57.wav	qa-consens-base-json/pa-051__crec__208_57.json	1	sí	"[{""start"":208.69,""end"":208.94,""p_min"":0.947249,""text"":""crec""}]"
pa-056	crec	347.05-353.03	clips/pa-056__crec__347.05.wav	qa-consens-base-json/pa-056__crec__347_05.json	1	sí	"[{""start"":348.24,""end"":348.68,""p_min"":0.989413,""text"":""crec""}]"
pa-061	crec	428.85-435.63	clips/pa-061__crec__428.85.wav	qa-consens-base-json/pa-061__crec__428_85.json	1	sí	"[{""start"":432.33000000000004,""end"":432.83000000000004,""p_min"":0.962273,""text"":""crec""}]"
pa-062	crec	1037.89-1041.47	clips/pa-062__crec__1037.89.wav	qa-consens-base-json/pa-062__crec__1037_89.json	1	sí	"[{""start"":1038.14,""end"":1038.48,""p_min"":0.969121,""text"":""crec""}]"
pa-063	crec	758.81-763.23	clips/pa-063__crec__758.81.wav	qa-consens-base-json/pa-063__crec__758_81.json	1	sí	"[{""start"":761.6099999999999,""end"":761.8199999999999,""p_min"":0.993684,""text"":""crec""}]"
pa-064	crec	1335.77-1345.39	clips/pa-064__crec__1335.77.wav	qa-consens-base-json/pa-064__crec__1335_77.json	1	sí	"[{""start"":1338.47,""end"":1338.6299999999999,""p_min"":0.971688,""text"":""crec""}]"
pa-066	crec	219.63-227.13	clips/pa-066__crec__219.63.wav	qa-consens-base-json/pa-066__crec__219_63.json	1	sí	"[{""start"":224.4,""end"":224.75,""p_min"":0.766422,""text"":""crec""}]"
pa-021	bueno	12.25-16.87	clips/pa-021__bueno__12.25.wav	qa-consens-base-json/pa-021__bueno__12_25.json	1	sí	"[{""start"":13.81,""end"":14.07,""p_min"":0.565392,""text"":""bueno""}]"
pa-030	bueno	459.05-463.07	clips/pa-030__bueno__459.05.wav	qa-consens-base-json/pa-030__bueno__459_05.json	1	sí	"[{""start"":459.49,""end"":459.93,""p_min"":0.616923,""text"":""bueno""}]"
pa-032	bueno	44.73-50.63	clips/pa-032__bueno__44.73.wav	qa-consens-base-json/pa-032__bueno__44_73.json	1	sí	"[{""start"":44.8,""end"":45.169999999999995,""p_min"":0.278558,""text"":""bueno""}]"
pa-038	bueno	874.61-878.11	clips/pa-038__bueno__874.61.wav	qa-consens-base-json/pa-038__bueno__874_61.json	1	sí	"[{""start"":875.7,""end"":875.94,""p_min"":0.281817,""text"":""bueno""}]"
pa-043	bueno	0.00-3.75	clips/pa-043__bueno__0.00.wav	qa-consens-base-json/pa-043__bueno__0_00.json	1	sí	"[{""start"":0.11,""end"":0.26,""p_min"":0.531858,""text"":""Bueno""}]"
pa-054	bueno	51.69-55.75	clips/pa-054__bueno__51.69.wav	qa-consens-base-json/pa-054__bueno__51_69.json	1	sí	"[{""start"":52.48,""end"":52.599999999999994,""p_min"":0.922322,""text"":""bueno""}]"
pa-062	bueno	297.17-302.03	clips/pa-062__bueno__297.17.wav	qa-consens-base-json/pa-062__bueno__297_17.json	1	sí	"[{""start"":298.61,""end"":298.92,""p_min"":0.292384,""text"":""Bueno""}]"
pa-066	bueno	357.23-362.57	clips/pa-066__bueno__357.23.wav	qa-consens-base-json/pa-066__bueno__357_23.json	1	sí	"[{""start"":359.23,""end"":359.25,""p_min"":0.688272,""text"":""bueno""}]"
pa-007	clar	344.25-349.75	clips/pa-007__clar__344.25.wav	qa-consens-base-json/pa-007__clar__344_25.json	1	sí	"[{""start"":345.26,""end"":345.34,""p_min"":0.957045,""text"":""clar""}]"
pa-008	clar	841.25-846.75	clips/pa-008__clar__841.25.wav	qa-consens-base-json/pa-008__clar__841_25.json	0	no	[]
pa-009	clar	99.25-105.75	clips/pa-009__clar__99.25.wav	qa-consens-base-json/pa-009__clar__99_25.json	1	sí	"[{""start"":101.92,""end"":102.23,""p_min"":0.349377,""text"":""clar""}]"
pa-010	clar	334.85-339.35	clips/pa-010__clar__334.85.wav	qa-consens-base-json/pa-010__clar__334_85.json	1	sí	"[{""start"":338.15000000000003,""end"":338.3,""p_min"":0.807782,""text"":""clar""}]"
pa-016	clar	175.69-180.35	clips/pa-016__clar__175.69.wav	qa-consens-base-json/pa-016__clar__175_69.json	1	sí	"[{""start"":178.24,""end"":178.69,""p_min"":0.71593,""text"":""clar""}]"
pa-017	clar	34.45-42.35	clips/pa-017__clar__34.45.wav	qa-consens-base-json/pa-017__clar__34_45.json	1	sí	"[{""start"":37.150000000000006,""end"":37.74,""p_min"":0.917776,""text"":""clar""}]"
pa-020	clar	89.81-94.31	clips/pa-020__clar__89.81.wav	qa-consens-base-json/pa-020__clar__89_81.json	1	sí	"[{""start"":92.72,""end"":92.72,""p_min"":0.93055,""text"":""clar""}]"
pa-022	clar	107.73-113.11	clips/pa-022__clar__107.73.wav	qa-consens-base-json/pa-022__clar__107_73.json	1	sí	"[{""start"":109.16000000000001,""end"":109.31,""p_min"":0.967788,""text"":""clar""}]"
pa-024	clar	648.09-656.83	clips/pa-024__clar__648.09.wav	qa-consens-base-json/pa-024__clar__648_09.json	1	sí	"[{""start"":650.44,""end"":650.8000000000001,""p_min"":0.846023,""text"":""clar""}]"
pa-025	clar	116.09-119.95	clips/pa-025__clar__116.09.wav	qa-consens-base-json/pa-025__clar__116_09.json	1	sí	"[{""start"":117.0,""end"":117.29,""p_min"":0.122674,""text"":""clar""}]"
pa-028	clar	290.33-295.15	clips/pa-028__clar__290.33.wav	qa-consens-base-json/pa-028__clar__290_33.json	1	sí	"[{""start"":292.59999999999997,""end"":292.9,""p_min"":0.62284,""text"":""clar""}]"
pa-036	clar	136.45-147.15	clips/pa-036__clar__136.45.wav	qa-consens-base-json/pa-036__clar__136_45.json	1	sí	"[{""start"":141.38,""end"":141.69,""p_min"":0.772681,""text"":""clar""}]"
pa-038	clar	96.41-101.31	clips/pa-038__clar__96.41.wav	qa-consens-base-json/pa-038__clar__96_41.json	1	sí	"[{""start"":99.78,""end"":100.17,""p_min"":0.642624,""text"":""clar""}]"
