id_persona	forma	relacio	pes
pa-028	bé	consens-limits-paraula	1
pa-032	bé	consens-limits-paraula	1
pa-033	bé	consens-limits-paraula	1
pa-036	bé	consens-limits-paraula	1
pa-038	bé	consens-limits-paraula	1
pa-041	bé	consens-limits-paraula	1
pa-048	bé	consens-limits-paraula	1
pa-063	bé	consens-limits-paraula	1
pa-064	bé	consens-limits-paraula	1
pa-065	bé	consens-limits-paraula	1
pa-066	bé	consens-limits-paraula	1
pa-007	clar	consens-limits-paraula	1
pa-009	clar	consens-limits-paraula	1
pa-010	clar	consens-limits-paraula	1
pa-016	clar	consens-limits-paraula	1
pa-017	clar	consens-limits-paraula	1
pa-020	clar	consens-limits-paraula	1
pa-022	clar	consens-limits-paraula	1
pa-024	clar	consens-limits-paraula	1
pa-025	clar	consens-limits-paraula	1
pa-028	clar	consens-limits-paraula	1
pa-036	clar	consens-limits-paraula	1
pa-038	clar	consens-limits-paraula	1
pa-041	clar	consens-limits-paraula	1
pa-052	clar	consens-limits-paraula	1
pa-056	clar	consens-limits-paraula	1
pa-059	clar	consens-limits-paraula	1
pa-063	clar	consens-limits-paraula	1
pa-064	clar	consens-limits-paraula	1
pa-065	clar	consens-limits-paraula	1
pa-001	crec	consens-limits-paraula	1
pa-002	crec	consens-limits-paraula	1
pa-003	crec	consens-limits-paraula	1
pa-014	crec	consens-limits-paraula	1
pa-018	crec	consens-limits-paraula	1
pa-019	crec	consens-limits-paraula	1
pa-021	crec	consens-limits-paraula	1
pa-022	crec	consens-limits-paraula	1
pa-024	crec	consens-limits-paraula	1
pa-025	crec	consens-limits-paraula	1
pa-027	crec	consens-limits-paraula	1
pa-030	crec	consens-limits-paraula	1
pa-031	crec	consens-limits-paraula	1
pa-035	crec	consens-limits-paraula	1
pa-038	crec	consens-limits-paraula	1
pa-039	crec	consens-limits-paraula	1
pa-040	crec	consens-limits-paraula	1
pa-041	crec	consens-limits-paraula	1
pa-043	crec	consens-limits-paraula	1
pa-048	crec	consens-limits-paraula	1
pa-049	crec	consens-limits-paraula	1
pa-051	crec	consens-limits-paraula	1
pa-056	crec	consens-limits-paraula	1
pa-061	crec	consens-limits-paraula	1
pa-062	crec	consens-limits-paraula	1
pa-063	crec	consens-limits-paraula	1
pa-064	crec	consens-limits-paraula	1
pa-066	crec	consens-limits-paraula	1
pa-003	de fet	consens-limits-paraula	1
pa-004	de fet	consens-limits-paraula	1
pa-006	de fet	consens-limits-paraula	1
pa-010	de fet	consens-limits-paraula	1
pa-011	de fet	consens-limits-paraula	1
pa-024	de fet	consens-limits-paraula	1
pa-027	de fet	consens-limits-paraula	1
pa-028	de fet	consens-limits-paraula	1
pa-031	de fet	consens-limits-paraula	1
pa-033	de fet	consens-limits-paraula	1
pa-040	de fet	consens-limits-paraula	1
pa-060	de fet	consens-limits-paraula	1
pa-007	diguem	consens-limits-paraula	1
pa-018	diguem	consens-limits-paraula	1
pa-019	diguem	consens-limits-paraula	1
pa-025	diguem	consens-limits-paraula	1
pa-034	diguem	consens-limits-paraula	1
pa-037	diguem	consens-limits-paraula	1
pa-046	diguem	consens-limits-paraula	1
pa-057	diguem	consens-limits-paraula	1
pa-058	diguem	consens-limits-paraula	1
pa-062	diguem	consens-limits-paraula	1
pa-005	doncs	consens-limits-paraula	1
pa-009	doncs	consens-limits-paraula	1
pa-010	doncs	consens-limits-paraula	1
pa-015	doncs	consens-limits-paraula	1
pa-016	doncs	consens-limits-paraula	1
pa-017	doncs	consens-limits-paraula	1
pa-021	doncs	consens-limits-paraula	1
pa-028	doncs	consens-limits-paraula	1
pa-030	doncs	consens-limits-paraula	1
pa-032	doncs	consens-limits-paraula	1
pa-046	doncs	consens-limits-paraula	1
pa-048	doncs	consens-limits-paraula	1
pa-065	doncs	consens-limits-paraula	1
pa-001	evidentment	consens-limits-paraula	1
pa-002	evidentment	consens-limits-paraula	1
pa-003	evidentment	consens-limits-paraula	1
pa-004	evidentment	consens-limits-paraula	1
pa-007	evidentment	consens-limits-paraula	1
pa-009	evidentment	consens-limits-paraula	1
pa-014	evidentment	consens-limits-paraula	1
pa-016	evidentment	consens-limits-paraula	1
pa-022	evidentment	consens-limits-paraula	1
pa-025	evidentment	consens-limits-paraula	1
pa-027	evidentment	consens-limits-paraula	1
pa-030	evidentment	consens-limits-paraula	1
pa-036	evidentment	consens-limits-paraula	1
pa-040	evidentment	consens-limits-paraula	1
pa-041	evidentment	consens-limits-paraula	1
pa-045	evidentment	consens-limits-paraula	1
pa-055	evidentment	consens-limits-paraula	1
pa-056	evidentment	consens-limits-paraula	1
pa-061	evidentment	consens-limits-paraula	1
pa-007	llavors	consens-limits-paraula	1
pa-010	llavors	consens-limits-paraula	1
pa-037	llavors	consens-limits-paraula	1
pa-063	llavors	consens-limits-paraula	1
pa-009	o sigui	consens-limits-paraula	1
pa-014	o sigui	consens-limits-paraula	1
pa-045	o sigui	consens-limits-paraula	1
pa-048	o sigui	consens-limits-paraula	1
pa-049	o sigui	consens-limits-paraula	1
pa-063	o sigui	consens-limits-paraula	1
pa-065	o sigui	consens-limits-paraula	1
pa-001	perquè	consens-limits-paraula	1
pa-002	perquè	consens-limits-paraula	1
pa-003	perquè	consens-limits-paraula	1
pa-004	perquè	consens-limits-paraula	1
pa-007	perquè	consens-limits-paraula	1
pa-009	perquè	consens-limits-paraula	1
pa-014	perquè	consens-limits-paraula	1
pa-015	perquè	consens-limits-paraula	1
pa-016	perquè	consens-limits-paraula	1
pa-017	perquè	consens-limits-paraula	1
pa-018	perquè	consens-limits-paraula	1
pa-019	perquè	consens-limits-paraula	1
pa-020	perquè	consens-limits-paraula	1
pa-025	perquè	consens-limits-paraula	1
pa-026	perquè	consens-limits-paraula	1
pa-027	perquè	consens-limits-paraula	1
pa-032	perquè	consens-limits-paraula	1
pa-035	perquè	consens-limits-paraula	1
pa-036	perquè	consens-limits-paraula	1
pa-037	perquè	consens-limits-paraula	1
pa-038	perquè	consens-limits-paraula	1
pa-040	perquè	consens-limits-paraula	1
pa-041	perquè	consens-limits-paraula	1
pa-042	perquè	consens-limits-paraula	1
pa-045	perquè	consens-limits-paraula	1
pa-049	perquè	consens-limits-paraula	1
pa-051	perquè	consens-limits-paraula	1
pa-053	perquè	consens-limits-paraula	1
pa-054	perquè	consens-limits-paraula	1
pa-055	perquè	consens-limits-paraula	1
pa-056	perquè	consens-limits-paraula	1
pa-058	perquè	consens-limits-paraula	1
pa-059	perquè	consens-limits-paraula	1
pa-062	perquè	consens-limits-paraula	1
pa-064	perquè	consens-limits-paraula	1
pa-065	perquè	consens-limits-paraula	1
pa-066	perquè	consens-limits-paraula	1
pa-022	reformeta	consens-limits-paraula	1
pa-025	reformeta	consens-limits-paraula	1
pa-026	reformeta	consens-limits-paraula	1
pa-034	reformeta	consens-limits-paraula	1
pa-038	reformeta	consens-limits-paraula	1
pa-055	reformeta	consens-limits-paraula	1
pa-003	tirar endavant	consens-limits-paraula	1
pa-029	tirar endavant	consens-limits-paraula	1
pa-030	tirar endavant	consens-limits-paraula	1
pa-033	tirar endavant	consens-limits-paraula	1
pa-034	tirar endavant	consens-limits-paraula	1
pa-041	tirar endavant	consens-limits-paraula	1
pa-056	tirar endavant	consens-limits-paraula	1
pa-057	tirar endavant	consens-limits-paraula	1
pa-059	tirar endavant	consens-limits-paraula	1
pa-004	vull dir	consens-limits-paraula	1
pa-014	vull dir	consens-limits-paraula	1
pa-017	vull dir	consens-limits-paraula	1
pa-021	vull dir	consens-limits-paraula	1
pa-030	vull dir	consens-limits-paraula	1
pa-037	vull dir	consens-limits-paraula	1
pa-038	vull dir	consens-limits-paraula	1
pa-041	vull dir	consens-limits-paraula	1
pa-048	vull dir	consens-limits-paraula	1
pa-056	vull dir	consens-limits-paraula	1
pa-058	vull dir	consens-limits-paraula	1
pa-059	vull dir	consens-limits-paraula	1
pa-003	és a dir	consens-limits-paraula	1
pa-008	és a dir	consens-limits-paraula	1
pa-010	és a dir	consens-limits-paraula	1
pa-011	és a dir	consens-limits-paraula	1
pa-017	és a dir	consens-limits-paraula	1
pa-027	és a dir	consens-limits-paraula	1
pa-033	és a dir	consens-limits-paraula	1
pa-059	és a dir	consens-limits-paraula	1
pa-062	és a dir	consens-limits-paraula	1
