forma	categoria	n_persones_canoniques	n_registres_font	n_ocurrencies_asr	persones	estat
bé	discurs	56	62	425	spk-001,spk-002,spk-003,spk-004,spk-005,spk-006,spk-007,spk-008,spk-009,spk-010,spk-011,spk-012,spk-014,spk-015,spk-016,spk-017,spk-018,spk-019,spk-020,spk-021,spk-022,spk-024,spk-025,spk-026,spk-027,spk-028,spk-029,spk-030,spk-031,spk-033,spk-034,spk-035,spk-036,spk-037,spk-038,spk-039,spk-040,spk-041,spk-042,spk-043,spk-044,spk-045,spk-046,spk-047,spk-048,spk-049,spk-050,spk-051,spk-053,spk-054,spk-055,spk-056,spk-057,spk-058,spk-059,spk-060	matriu ASR completa; semblança textual; pendent d'audició
clar	discurs	48	53	392	spk-001,spk-002,spk-003,spk-005,spk-006,spk-007,spk-009,spk-010,spk-012,spk-013,spk-014,spk-015,spk-016,spk-018,spk-020,spk-022,spk-024,spk-025,spk-026,spk-027,spk-028,spk-030,spk-031,spk-032,spk-033,spk-034,spk-035,spk-036,spk-037,spk-038,spk-039,spk-040,spk-041,spk-042,spk-043,spk-044,spk-045,spk-046,spk-048,spk-049,spk-050,spk-051,spk-052,spk-053,spk-054,spk-057,spk-059,spk-060	matriu ASR completa; semblança textual; pendent d'audició
comunal	territorial	4	4	6	spk-018,spk-019,spk-022,spk-036	matriu ASR completa; semblança textual; pendent d'audició
comunals	territorial	6	7	8	spk-022,spk-024,spk-032,spk-036,spk-044,spk-048	matriu ASR completa; semblança textual; pendent d'audició
comuns	territorial	11	13	26	spk-002,spk-015,spk-020,spk-022,spk-024,spk-034,spk-036,spk-037,spk-039,spk-046,spk-059	matriu ASR completa; semblança textual; pendent d'audició
comú	territorial	18	20	36	spk-003,spk-005,spk-007,spk-019,spk-022,spk-025,spk-026,spk-028,spk-032,spk-034,spk-036,spk-039,spk-041,spk-042,spk-043,spk-050,spk-051,spk-057	matriu ASR completa; semblança textual; pendent d'audició
copríncep	territorial	10	13	35	spk-002,spk-005,spk-022,spk-024,spk-026,spk-028,spk-037,spk-039,spk-043,spk-048	matriu ASR completa; semblança textual; pendent d'audició
coprínceps	territorial	6	6	25	spk-015,spk-016,spk-024,spk-037,spk-039,spk-043	matriu ASR completa; semblança textual; pendent d'audició
de fet	discurs	23	24	43	spk-001,spk-002,spk-003,spk-008,spk-009,spk-011,spk-015,spk-017,spk-019,spk-020,spk-024,spk-026,spk-029,spk-032,spk-033,spk-035,spk-040,spk-042,spk-044,spk-049,spk-053,spk-059,spk-060	matriu ASR completa; semblança textual; pendent d'audició
diguem	discurs	22	25	39	spk-001,spk-003,spk-005,spk-007,spk-008,spk-009,spk-015,spk-020,spk-022,spk-024,spk-025,spk-027,spk-030,spk-037,spk-039,spk-040,spk-041,spk-046,spk-049,spk-050,spk-051,spk-053	matriu ASR completa; semblança textual; pendent d'audició
doncs	discurs	50	55	439	spk-001,spk-003,spk-004,spk-005,spk-006,spk-007,spk-008,spk-009,spk-010,spk-012,spk-014,spk-015,spk-016,spk-017,spk-018,spk-019,spk-020,spk-021,spk-022,spk-023,spk-024,spk-025,spk-027,spk-028,spk-029,spk-030,spk-031,spk-033,spk-034,spk-035,spk-036,spk-037,spk-038,spk-039,spk-040,spk-041,spk-042,spk-043,spk-044,spk-045,spk-046,spk-048,spk-049,spk-050,spk-051,spk-054,spk-055,spk-056,spk-057,spk-059	matriu ASR completa; semblança textual; pendent d'audició
evidentment	discurs	33	36	108	spk-001,spk-002,spk-005,spk-007,spk-011,spk-014,spk-015,spk-016,spk-017,spk-018,spk-019,spk-022,spk-024,spk-025,spk-026,spk-027,spk-028,spk-029,spk-030,spk-031,spk-034,spk-035,spk-038,spk-040,spk-043,spk-044,spk-045,spk-046,spk-048,spk-050,spk-053,spk-055,spk-057	matriu ASR completa; semblança textual; pendent d'audició
llavors	discurs	44	50	251	spk-001,spk-002,spk-005,spk-006,spk-007,spk-008,spk-009,spk-010,spk-011,spk-012,spk-014,spk-015,spk-016,spk-018,spk-020,spk-021,spk-026,spk-028,spk-030,spk-032,spk-035,spk-036,spk-037,spk-038,spk-039,spk-040,spk-041,spk-042,spk-043,spk-044,spk-045,spk-046,spk-047,spk-048,spk-049,spk-050,spk-051,spk-052,spk-054,spk-056,spk-057,spk-058,spk-059,spk-060	matriu ASR completa; semblança textual; pendent d'audició
no?	discurs	36	39	354	spk-002,spk-003,spk-005,spk-006,spk-007,spk-010,spk-011,spk-012,spk-013,spk-014,spk-015,spk-016,spk-017,spk-018,spk-019,spk-020,spk-021,spk-022,spk-024,spk-025,spk-026,spk-027,spk-030,spk-031,spk-035,spk-037,spk-039,spk-040,spk-044,spk-045,spk-046,spk-048,spk-049,spk-051,spk-054,spk-060	matriu ASR completa; semblança textual; pendent d'audició
o sigui	discurs	30	33	119	spk-001,spk-002,spk-007,spk-010,spk-012,spk-014,spk-015,spk-016,spk-018,spk-020,spk-021,spk-024,spk-027,spk-029,spk-030,spk-035,spk-036,spk-037,spk-040,spk-042,spk-043,spk-044,spk-045,spk-048,spk-050,spk-051,spk-054,spk-056,spk-057,spk-060	matriu ASR completa; semblança textual; pendent d'audició
padrí	territorial	5	5	7	spk-014,spk-027,spk-050,spk-057,spk-060	matriu ASR completa; semblança textual; pendent d'audició
parròquia	territorial	21	24	57	spk-003,spk-007,spk-008,spk-009,spk-015,spk-016,spk-019,spk-024,spk-026,spk-029,spk-031,spk-034,spk-035,spk-036,spk-037,spk-039,spk-041,spk-044,spk-050,spk-051,spk-056	matriu ASR completa; semblança textual; pendent d'audició
per tant	discurs	29	32	124	spk-002,spk-003,spk-004,spk-011,spk-014,spk-015,spk-016,spk-017,spk-019,spk-021,spk-024,spk-025,spk-026,spk-027,spk-028,spk-035,spk-036,spk-038,spk-042,spk-043,spk-044,spk-046,spk-048,spk-050,spk-051,spk-054,spk-055,spk-059,spk-060	matriu ASR completa; semblança textual; pendent d'audició
perquè	discurs	58	64	1142	spk-001,spk-002,spk-003,spk-004,spk-005,spk-006,spk-007,spk-008,spk-009,spk-010,spk-011,spk-012,spk-013,spk-014,spk-015,spk-016,spk-017,spk-018,spk-019,spk-020,spk-021,spk-022,spk-024,spk-025,spk-026,spk-027,spk-028,spk-029,spk-030,spk-031,spk-032,spk-033,spk-034,spk-035,spk-037,spk-038,spk-039,spk-040,spk-041,spk-042,spk-043,spk-044,spk-045,spk-046,spk-047,spk-048,spk-049,spk-050,spk-051,spk-052,spk-053,spk-054,spk-055,spk-056,spk-057,spk-058,spk-059,spk-060	matriu ASR completa; semblança textual; pendent d'audició
santuari	territorial	4	4	7	spk-010,spk-018,spk-042,spk-050	matriu ASR completa; semblança textual; pendent d'audició
veguer	territorial	7	7	9	spk-002,spk-012,spk-014,spk-015,spk-024,spk-026,spk-037	matriu ASR completa; semblança textual; pendent d'audició
vull dir	discurs	32	36	309	spk-002,spk-006,spk-007,spk-008,spk-009,spk-010,spk-012,spk-015,spk-016,spk-018,spk-019,spk-021,spk-022,spk-024,spk-026,spk-027,spk-028,spk-031,spk-033,spk-037,spk-038,spk-039,spk-040,spk-041,spk-042,spk-043,spk-044,spk-045,spk-048,spk-051,spk-054,spk-057	matriu ASR completa; semblança textual; pendent d'audició
és a dir	discurs	36	42	178	spk-002,spk-003,spk-005,spk-007,spk-008,spk-009,spk-010,spk-012,spk-014,spk-015,spk-016,spk-017,spk-020,spk-021,spk-023,spk-024,spk-025,spk-026,spk-027,spk-030,spk-031,spk-034,spk-035,spk-038,spk-039,spk-040,spk-042,spk-043,spk-044,spk-046,spk-048,spk-051,spk-053,spk-055,spk-057,spk-059	matriu ASR completa; semblança textual; pendent d'audició
