origen	desti	relacio	pes	evidencia
pa-049	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-053	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-055	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-056	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-057	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-058	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-059	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-060	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-061	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-062	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-063	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-064	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-065	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-066	trait-be	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-004	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-006	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-008	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-010	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-011	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-016	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-023	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-025	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-028	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-031	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-040	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-057	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-060	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-066	trait-de-fet	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-007	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-008	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-010	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-011	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-013	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-014	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-017	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-018	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-019	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-021	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-023	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-025	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-026	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-030	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-033	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-034	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-035	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-041	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-043	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-048	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-055	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-056	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-057	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-058	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-059	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-060	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-062	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-064	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-065	trait-es-a-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-006	trait-aleshores	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-021	trait-aleshores	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-030	trait-aleshores	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-045	trait-aleshores	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-049	trait-aleshores	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-063	trait-aleshores	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-065	trait-aleshores	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-004	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-006	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-007	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-009	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-013	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-014	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-016	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-017	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-019	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-020	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-021	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-025	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-026	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-030	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-035	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-036	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-039	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-040	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-041	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-045	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-046	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-049	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-055	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-056	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-059	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-061	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-062	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-064	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-066	trait-evidentment	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-007	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-008	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-009	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-018	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-019	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-025	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-028	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-029	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-033	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-034	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-037	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-038	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-039	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-046	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-049	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-057	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-058	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-062	trait-diguem	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-010	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-014	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-018	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-019	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-021	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-023	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-025	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-030	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-031	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-034	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-035	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-038	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-039	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-040	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-041	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-042	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-043	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-045	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-046	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-048	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-049	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-056	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-058	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-060	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-061	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-062	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-063	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-064	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-065	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-066	trait-crec	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-016	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-017	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-018	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-019	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-020	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-021	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-023	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-025	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-026	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-028	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-029	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-030	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-031	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-032	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-034	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-035	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-036	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-037	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-038	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-039	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-041	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-043	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-045	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-046	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-048	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-049	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-054	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-055	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-056	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-057	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-058	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-059	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-060	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-061	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-062	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-065	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-066	trait-bueno	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-005	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-007	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-008	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-009	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-010	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-014	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-016	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-017	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-018	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-020	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-021	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-025	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-026	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-028	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-029	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-030	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-031	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-032	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-033	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-034	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-035	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-036	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-037	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-038	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-039	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-041	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-042	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-045	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-046	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-048	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-049	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-055	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-056	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-058	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-059	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-061	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-062	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-063	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-064	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-065	trait-clar	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-004	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-014	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-016	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-017	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-020	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-021	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-023	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-025	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-026	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-030	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-031	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-033	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-034	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-036	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-037	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-038	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-041	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-048	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-049	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-056	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-058	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-059	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-060	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-061	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-062	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-065	trait-vull-dir	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-005	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-006	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-009	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-014	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-026	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-038	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-045	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-046	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-048	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-049	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-055	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-056	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-061	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-062	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-063	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-064	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-065	trait-o-sigui	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-007	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-010	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-014	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-016	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-017	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-018	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-019	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-022	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-023	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-026	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-027	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-028	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-029	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-032	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-034	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-036	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-037	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-038	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-041	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-045	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-048	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-049	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-055	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-057	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-058	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-059	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-061	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-063	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-064	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-065	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
pa-066	trait-llavors	usa	1	consens textual entre dos ASR; revisió auditiva pendent
