id_persona	categoria	candidat	referencia	indicador_automatic	estat_indicador	observacio_auditiva
pa-002	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-002	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-002	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-002	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-002	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-002	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-002	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-002	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=4;comú=1;copríncep=3;veguer=1;Canillo=1;Ordino=2;Escaldes=4;Massana=4;Sant Julià=2 (ASR)	candidat lèxic; validar àudio	
pa-002	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=4;comú=1;copríncep=3;veguer=1;Canillo=1;Ordino=2;Escaldes=4;Massana=4;Sant Julià=2 (ASR)	candidat lèxic; validar àudio	
pa-002	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=4;comú=1;copríncep=3;veguer=1;Canillo=1;Ordino=2;Escaldes=4;Massana=4;Sant Julià=2 (ASR)	candidat lèxic; validar àudio	
pa-002	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=218 (ASR)	indicador textual; validar àudio	
pa-002	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=11;bueno=11;clar=14;llavors=13;de fet=6;és a dir=24;vull dir=5;a veure=5;evidentment=10;perquè=55;per tant=4;a nivell=2;no?=4	indicador textual; validar àudio	
pa-002	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=127.21; f0_sd_hz=2569.93; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-002	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-002	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-004	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-004	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-004	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-004	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-004	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-004	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-004	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-004	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-004	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-004	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-004	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=2;comú=3;comunal=2;bordes=1;aiguats=2;Ordino=1;Escaldes=1;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-004	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=2;comú=3;comunal=2;bordes=1;aiguats=2;Ordino=1;Escaldes=1;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-004	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=2;comú=3;comunal=2;bordes=1;aiguats=2;Ordino=1;Escaldes=1;Sant Julià=1 (ASR)	candidat lèxic; validar àudio	
pa-004	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=26 (ASR)	indicador textual; validar àudio	
pa-004	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=4;doncs=9;de fet=2;vull dir=1;evidentment=1;perquè=6;per tant=3;no?=5	indicador textual; validar àudio	
pa-004	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=172.81; f0_sd_hz=507.81; pausa_mediana_s=0.14	descriptor acústic; no és tret confirmat	
pa-004	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-004	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-005	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-005	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-005	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-005	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-005	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-005	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-005	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-005	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-005	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-005	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-005	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=1;comú=7;comuns=3;comunal=2;comunals=2;Canillo=1;Ordino=2;Escaldes=4;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-005	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=1;comú=7;comuns=3;comunal=2;comunals=2;Canillo=1;Ordino=2;Escaldes=4;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-005	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=1;comú=7;comuns=3;comunal=2;comunals=2;Canillo=1;Ordino=2;Escaldes=4;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-005	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=15 (ASR)	indicador textual; validar àudio	
pa-005	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=3;clar=3;doncs=4;llavors=1;o sigui=1;per tant=1	indicador textual; validar àudio	
pa-005	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=31.89; f0_sd_hz=55.96; pausa_mediana_s=0.92	descriptor acústic; no és tret confirmat	
pa-005	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-005	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-006	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-006	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-006	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-006	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-006	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-006	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-006	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-006	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-006	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-006	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-006	lèxic	variants occidentals	ALDC; Veny	formes_territorials=Ordino=1;Escaldes=2;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-006	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=Ordino=1;Escaldes=2;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-006	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=Ordino=1;Escaldes=2;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-006	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=4 (ASR)	indicador textual; validar àudio	
pa-006	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=3;clar=1;doncs=3;llavors=3;aleshores=1;de fet=2;o sigui=4;diguem=1;evidentment=2;perquè=6	indicador textual; validar àudio	
pa-006	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=133.36; f0_sd_hz=78.15; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-006	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-006	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-007	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-007	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-007	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-007	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-007	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-007	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-007	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-007	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-007	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-007	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-007	lèxic	variants occidentals	ALDC; Veny	formes_territorials=andorrana=1;comú=1;copríncep=2;Canillo=3;Ordino=1;Escaldes=4;Massana=2;Sant Julià=5 (ASR)	candidat lèxic; validar àudio	
pa-007	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=andorrana=1;comú=1;copríncep=2;Canillo=3;Ordino=1;Escaldes=4;Massana=2;Sant Julià=5 (ASR)	candidat lèxic; validar àudio	
pa-007	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=andorrana=1;comú=1;copríncep=2;Canillo=3;Ordino=1;Escaldes=4;Massana=2;Sant Julià=5 (ASR)	candidat lèxic; validar àudio	
pa-007	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=24 (ASR)	indicador textual; validar àudio	
pa-007	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=1;bueno=1;clar=1;doncs=6;llavors=1;és a dir=2;a veure=1;diguem=1;evidentment=1;perquè=6;no?=4	indicador textual; validar àudio	
pa-007	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=124.14; f0_sd_hz=100.25; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-007	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-007	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-008	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-008	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-008	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-008	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-008	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-008	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-008	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-008	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-008	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-008	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-008	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=1;comú=2;Ordino=3;Escaldes=4;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-008	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=1;comú=2;Ordino=3;Escaldes=4;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-008	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=1;comú=2;Ordino=3;Escaldes=4;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-008	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=46 (ASR)	indicador textual; validar àudio	
pa-008	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=3;bueno=1;clar=1;doncs=16;aleshores=1;de fet=1;és a dir=2;a veure=2;diguem=1;perquè=21;per tant=3;no?=3	indicador textual; validar àudio	
pa-008	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=112.23; f0_sd_hz=196.69; pausa_mediana_s=0.10	descriptor acústic; no és tret confirmat	
pa-008	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-008	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-009	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-009	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-009	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-009	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-009	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-009	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-009	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-009	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-009	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-009	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-009	lèxic	variants occidentals	ALDC; Veny	formes_territorials=parròquia=4;comú=3;santuari=1;padrí=1;Canillo=2;Encamp=1;Ordino=2;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-009	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=parròquia=4;comú=3;santuari=1;padrí=1;Canillo=2;Encamp=1;Ordino=2;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-009	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=parròquia=4;comú=3;santuari=1;padrí=1;Canillo=2;Encamp=1;Ordino=2;Sant Julià=3 (ASR)	candidat lèxic; validar àudio	
pa-009	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=10 (ASR)	indicador textual; validar àudio	
pa-009	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=2;clar=1;doncs=14;llavors=1;o sigui=2;diguem=1;evidentment=1;perquè=7;per tant=3	indicador textual; validar àudio	
pa-009	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=64.42; f0_sd_hz=43.93; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-009	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-009	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-010	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-010	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-010	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-010	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-010	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-010	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-010	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-010	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-010	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-010	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-010	lèxic	variants occidentals	ALDC; Veny	formes_territorials=comuns=1;Ordino=1;Escaldes=1 (ASR)	candidat lèxic; validar àudio	
pa-010	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=comuns=1;Ordino=1;Escaldes=1 (ASR)	candidat lèxic; validar àudio	
pa-010	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=comuns=1;Ordino=1;Escaldes=1 (ASR)	candidat lèxic; validar àudio	
pa-010	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=22 (ASR)	indicador textual; validar àudio	
pa-010	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=3;clar=5;doncs=7;llavors=5;de fet=3;és a dir=10;perquè=16;per tant=1	indicador textual; validar àudio	
pa-010	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=158.13; f0_sd_hz=86.75; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-010	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-010	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-011	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-011	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-011	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-011	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-011	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-011	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-011	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-011	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-011	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-011	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-011	lèxic	variants occidentals	ALDC; Veny	formes_territorials=Ordino=1 (ASR)	candidat lèxic; validar àudio	
pa-011	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials=Ordino=1 (ASR)	candidat lèxic; validar àudio	
pa-011	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials=Ordino=1 (ASR)	candidat lèxic; validar àudio	
pa-011	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=24 (ASR)	indicador textual; validar àudio	
pa-011	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=2;doncs=10;aleshores=4;de fet=1;és a dir=1;a veure=1;evidentment=1;perquè=8;per tant=1;no?=1	indicador textual; validar àudio	
pa-011	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=123.98; f0_sd_hz=643.74; pausa_mediana_s=0.08	descriptor acústic; no és tret confirmat	
pa-011	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-011	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
pa-012	vocalisme	distinció a/e àtones	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-012	vocalisme	neutralització a/e en vocal neutra	ALDC; variació generacional	no inferible de la grafia ASR	requereix escolta	
pa-012	vocalisme	manteniment de o àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-012	vocalisme	alternança o/u àtona	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-012	vocalisme	obertura de e tònica	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-012	morfologia	incoatius en -ix-	ALDC; Veny	pendent de revisió manual	requereix escolta	
pa-012	morfologia	morfologia nominal i adjectival	Rabassa	pendent de revisió manual	requereix escolta	
pa-012	fonosintaxi	contacte entre mots	Rabassa	no inferible de la grafia ASR	requereix escolta	
pa-012	fonètica	palatalització i velarització	ALDC; Veny	no inferible de la grafia ASR	requereix escolta	
pa-012	fonètica	realització de r i consonants finals	Rabassa; ALDC	no inferible de la grafia ASR	requereix escolta	
pa-012	lèxic	variants occidentals	ALDC; Veny	formes_territorials= (ASR)	candidat lèxic; validar àudio	
pa-012	lèxic	andorranismes administratius	Govern d'Andorra; DIEC2	formes_territorials= (ASR)	candidat lèxic; validar àudio	
pa-012	lèxic	terminologia d'esports d'hivern	Govern d'Andorra	formes_territorials= (ASR)	candidat lèxic; validar àudio	
pa-012	sintaxi	perífrasis i règim verbal	Rull	perifrasi_past_aparent=4 (ASR)	indicador textual; validar àudio	
pa-012	pragmàtica	marcadors i reformulacions	corpus actual; revisió pròpia	bé=12;doncs=2;aleshores=3;perquè=2;per tant=1	indicador textual; validar àudio	
pa-012	prosòdia	entonació, ritme i pauses	Rabassa; revisió pròpia	f0_iqr_hz=67.25; f0_sd_hz=566.01; pausa_mediana_s=0.14	descriptor acústic; no és tret confirmat	
pa-012	variació	localitat i generació	Rabassa; ALDC	context no documentat	contextual; no prova varietat	
pa-012	variació	contacte amb castellà i francès	Govern d'Andorra; sociolingüística	no inferible sense biografia i àudio	requereix escolta i context	
