id_a	id_b	n_formes_compartides	formes	estat
spk-001	spk-025	8	Ordino,Sant Julià,bé,clar,diguem,doncs,evidentment,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-026	9	Escaldes,Ordino,Sant Julià,bé,clar,de fet,evidentment,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-027	7	bé,clar,diguem,doncs,evidentment,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-028	9	Escaldes,Ordino,Sant Julià,bé,clar,doncs,evidentment,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-029	6	bé,de fet,doncs,evidentment,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-030	9	aleshores,bé,clar,diguem,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-031	6	aleshores,bé,clar,doncs,evidentment,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-032	4	clar,de fet,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-033	6	aleshores,bé,clar,de fet,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-034	6	Escaldes,bé,clar,doncs,evidentment,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-035	10	Escaldes,Sant Julià,bé,clar,de fet,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-036	8	Escaldes,Ordino,Sant Julià,bé,clar,doncs,llavors,o sigui	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-037	8	Escaldes,bé,clar,diguem,doncs,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-038	6	bé,clar,doncs,evidentment,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-039	8	Escaldes,Sant Julià,bé,clar,diguem,doncs,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-040	9	bé,clar,de fet,diguem,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-041	6	bé,clar,diguem,doncs,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-042	8	aleshores,bé,clar,de fet,doncs,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-043	9	Escaldes,Sant Julià,bé,clar,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-044	9	Ordino,bé,clar,de fet,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-045	7	bé,clar,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-046	7	bé,clar,diguem,doncs,evidentment,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-047	4	Escaldes,bé,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-048	10	Escaldes,Ordino,Sant Julià,bé,clar,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-049	7	bé,clar,de fet,diguem,doncs,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-050	10	Ordino,Sant Julià,bé,clar,diguem,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-051	7	bé,clar,diguem,doncs,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-052	3	clar,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-053	7	aleshores,bé,clar,de fet,diguem,evidentment,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-054	7	aleshores,bé,clar,doncs,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-055	5	Escaldes,bé,doncs,evidentment,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-056	5	bé,doncs,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-057	11	Escaldes,Ordino,Sant Julià,aleshores,bé,clar,doncs,evidentment,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-058	5	Escaldes,Sant Julià,bé,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-059	8	Escaldes,Ordino,bé,clar,de fet,doncs,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-001	spk-060	7	aleshores,bé,clar,de fet,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-003	10	a veure,aleshores,bueno,bé,clar,de fet,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-004	4	aleshores,bé,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-005	11	a veure,andorrana,bueno,bé,clar,copríncep,evidentment,llavors,no?,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-006	9	a veure,aleshores,bueno,bé,clar,llavors,no?,perquè,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-007	14	a nivell,a veure,aleshores,andorrana,bueno,bé,clar,evidentment,llavors,no?,o sigui,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-008	10	a nivell,a veure,aleshores,bueno,bé,de fet,llavors,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-009	8	a nivell,bé,clar,de fet,llavors,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-010	13	a nivell,a veure,aleshores,andorrana,bueno,bé,clar,llavors,no?,o sigui,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-011	9	a nivell,bueno,bé,de fet,evidentment,llavors,no?,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-012	12	a nivell,a veure,bueno,bé,clar,llavors,no?,o sigui,perquè,veguer,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-013	3	clar,no?,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-014	11	a veure,bé,clar,evidentment,llavors,no?,o sigui,per tant,perquè,veguer,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-015	14	bueno,bé,clar,comuns,de fet,evidentment,llavors,no?,o sigui,per tant,perquè,veguer,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-016	13	a veure,aleshores,bueno,bé,clar,evidentment,llavors,no?,o sigui,per tant,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-017	9	a veure,aleshores,bé,de fet,evidentment,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-018	12	a nivell,a veure,aleshores,bueno,bé,clar,evidentment,llavors,no?,o sigui,perquè,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-019	7	bé,de fet,evidentment,no?,per tant,perquè,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-020	13	a nivell,a veure,andorrana,bueno,bé,clar,comuns,de fet,llavors,no?,o sigui,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-021	12	a nivell,a veure,aleshores,bueno,bé,llavors,no?,o sigui,per tant,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-022	10	a nivell,bueno,bé,clar,comuns,copríncep,evidentment,no?,perquè,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-024	16	a veure,aleshores,bueno,bé,clar,comuns,copríncep,de fet,evidentment,no?,o sigui,per tant,perquè,veguer,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-025	8	bueno,bé,clar,evidentment,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-026	15	a nivell,a veure,bueno,bé,clar,copríncep,de fet,evidentment,llavors,no?,per tant,perquè,veguer,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-027	10	bueno,bé,clar,evidentment,no?,o sigui,per tant,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-028	11	a nivell,a veure,bueno,bé,clar,copríncep,evidentment,llavors,per tant,perquè,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-029	5	bé,de fet,evidentment,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-030	10	aleshores,bueno,bé,clar,evidentment,llavors,no?,o sigui,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-031	10	a veure,aleshores,bueno,bé,clar,evidentment,no?,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-032	5	bueno,clar,de fet,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-033	8	a veure,aleshores,bueno,bé,clar,de fet,perquè,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-034	8	a veure,bueno,bé,clar,comuns,evidentment,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-035	13	a nivell,a veure,bueno,bé,clar,de fet,evidentment,llavors,no?,o sigui,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-036	6	bé,clar,comuns,llavors,o sigui,per tant	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-037	13	a nivell,a veure,bueno,bé,clar,comuns,copríncep,llavors,no?,o sigui,perquè,veguer,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-038	10	a veure,bueno,bé,clar,evidentment,llavors,per tant,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-039	13	a nivell,a veure,andorrana,bueno,bé,clar,comuns,copríncep,llavors,no?,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-040	12	a veure,bueno,bé,clar,de fet,evidentment,llavors,no?,o sigui,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-041	6	bueno,bé,clar,llavors,perquè,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-042	13	a nivell,a veure,aleshores,bueno,bé,clar,de fet,llavors,o sigui,per tant,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-043	12	a nivell,bueno,bé,clar,copríncep,evidentment,llavors,o sigui,per tant,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-044	14	a nivell,a veure,bueno,bé,clar,de fet,evidentment,llavors,no?,o sigui,per tant,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-045	11	a nivell,a veure,bueno,bé,clar,evidentment,llavors,no?,o sigui,perquè,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-046	11	a nivell,bueno,bé,clar,comuns,evidentment,llavors,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-047	3	bé,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-048	14	a nivell,a veure,bueno,bé,clar,copríncep,evidentment,llavors,no?,o sigui,per tant,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-049	7	bueno,bé,clar,de fet,llavors,no?,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-050	7	bé,clar,evidentment,llavors,o sigui,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-051	12	a nivell,a veure,bueno,bé,clar,llavors,no?,o sigui,per tant,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-052	4	bueno,clar,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-053	10	a nivell,aleshores,andorrana,bueno,bé,clar,de fet,evidentment,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-054	12	a nivell,a veure,aleshores,bueno,bé,clar,llavors,no?,o sigui,per tant,perquè,vull dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-055	5	bé,evidentment,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-056	4	bé,llavors,o sigui,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-057	10	a veure,aleshores,bé,clar,evidentment,llavors,o sigui,perquè,vull dir,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-058	5	a veure,bueno,bé,llavors,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-059	8	bé,clar,comuns,de fet,llavors,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-002	spk-060	10	a veure,aleshores,bé,clar,de fet,llavors,no?,o sigui,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-004	5	aleshores,bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-005	13	Escaldes,Ordino,Sant Julià,a veure,bueno,bé,clar,comú,diguem,doncs,no?,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-006	9	Ordino,a veure,aleshores,bueno,bé,clar,doncs,no?,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-007	13	Escaldes,a veure,aleshores,bueno,bé,clar,comú,diguem,doncs,no?,parròquia,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-008	11	Sant Julià,a veure,aleshores,bueno,bé,de fet,diguem,doncs,parròquia,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-009	9	Escaldes,bé,clar,de fet,diguem,doncs,parròquia,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-010	9	a veure,aleshores,bueno,bé,clar,doncs,no?,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-011	8	Escaldes,Sant Julià,bueno,bé,de fet,no?,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-012	8	a veure,bueno,bé,clar,doncs,no?,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-013	4	Sant Julià,clar,no?,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-014	8	a veure,bé,clar,doncs,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-015	12	Ordino,bueno,bé,clar,de fet,diguem,doncs,no?,parròquia,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-016	14	Escaldes,Ordino,Sant Julià,a veure,aleshores,bueno,bé,clar,doncs,no?,parròquia,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-017	10	Ordino,a veure,aleshores,bé,de fet,doncs,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-018	9	Escaldes,a veure,aleshores,bueno,bé,clar,doncs,no?,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-019	11	Escaldes,Ordino,Sant Julià,bé,comú,de fet,doncs,no?,parròquia,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-020	11	Ordino,a veure,bueno,bé,clar,de fet,diguem,doncs,no?,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-021	9	a veure,aleshores,bueno,bé,doncs,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-022	10	Ordino,Sant Julià,bueno,bé,clar,comú,diguem,doncs,no?,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-023	3	bueno,doncs,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-024	16	Escaldes,Ordino,Sant Julià,a veure,aleshores,bueno,bé,clar,de fet,diguem,doncs,no?,parròquia,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-025	12	Ordino,Sant Julià,bueno,bé,clar,comú,diguem,doncs,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-026	14	Escaldes,Ordino,Sant Julià,a veure,bueno,bé,clar,comú,de fet,no?,parròquia,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-027	9	bueno,bé,clar,diguem,doncs,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-028	11	Escaldes,Ordino,Sant Julià,a veure,bueno,bé,clar,comú,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-029	5	bé,de fet,doncs,parròquia,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-030	9	aleshores,bueno,bé,clar,diguem,doncs,no?,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-031	10	a veure,aleshores,bueno,bé,clar,doncs,no?,parròquia,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-032	5	bueno,clar,comú,de fet,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-033	8	a veure,aleshores,bueno,bé,clar,de fet,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-034	10	Escaldes,a veure,bueno,bé,clar,comú,doncs,parròquia,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-035	13	Escaldes,Sant Julià,a veure,bueno,bé,clar,de fet,doncs,no?,parròquia,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-036	9	Escaldes,Ordino,Sant Julià,bé,clar,comú,doncs,parròquia,per tant	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-037	10	Escaldes,a veure,bueno,bé,clar,diguem,doncs,no?,parròquia,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-038	8	a veure,bueno,bé,clar,doncs,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-039	13	Escaldes,Sant Julià,a veure,bueno,bé,clar,comú,diguem,doncs,no?,parròquia,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-040	10	a veure,bueno,bé,clar,de fet,diguem,doncs,no?,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-041	8	bueno,bé,clar,comú,diguem,doncs,parròquia,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-042	11	a veure,aleshores,bueno,bé,clar,comú,de fet,doncs,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-043	10	Escaldes,Sant Julià,bueno,bé,clar,comú,doncs,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-044	12	Ordino,a veure,bueno,bé,clar,de fet,doncs,no?,parròquia,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-045	7	a veure,bueno,bé,clar,doncs,no?,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-046	9	bueno,bé,clar,diguem,doncs,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-047	3	Escaldes,bé,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-048	12	Escaldes,Ordino,Sant Julià,a veure,bueno,bé,clar,doncs,no?,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-049	8	bueno,bé,clar,de fet,diguem,doncs,no?,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-050	10	Ordino,Sant Julià,bé,clar,comú,diguem,doncs,parròquia,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-051	12	a veure,bueno,bé,clar,comú,diguem,doncs,no?,parròquia,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-052	3	bueno,clar,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-053	8	aleshores,bueno,bé,clar,de fet,diguem,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-054	9	a veure,aleshores,bueno,bé,clar,doncs,no?,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-055	6	Escaldes,bé,doncs,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-056	4	bé,doncs,parròquia,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-057	11	Escaldes,Ordino,Sant Julià,a veure,aleshores,bé,clar,comú,doncs,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-058	6	Escaldes,Sant Julià,a veure,bueno,bé,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-059	9	Escaldes,Ordino,bé,clar,de fet,doncs,per tant,perquè,és a dir	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-003	spk-060	8	a veure,aleshores,bé,clar,de fet,no?,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-005	3	bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-006	4	aleshores,bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-007	4	aleshores,bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-008	4	aleshores,bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-009	3	bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-010	4	aleshores,bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-011	3	bé,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-012	3	bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-014	4	bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-015	4	bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-016	5	aleshores,bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-017	5	aleshores,bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-018	4	aleshores,bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-019	4	bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-020	3	bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-021	5	aleshores,bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-022	3	bé,doncs,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-024	5	aleshores,bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-025	4	bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-026	3	bé,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-027	4	bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
spk-004	spk-028	4	bé,doncs,per tant,perquè	matriu ASR completa; semblança textual provisional; pendent d'audició
