id_parlant	forma	n_ocurrencies	present	estat
spk-003	bueno	0	no	small; pendent d’audició
spk-003	bé	1	sí	small; pendent d’audició
spk-003	clar	1	sí	small; pendent d’audició
spk-003	crec	0	no	small; pendent d’audició
spk-003	de fet	1	sí	small; pendent d’audició
spk-003	diguem	0	no	small; pendent d’audició
spk-003	doncs	0	no	small; pendent d’audició
spk-003	ensenyança	0	no	small; pendent d’audició
spk-003	evidentment	0	no	small; pendent d’audició
spk-003	llavors	0	no	small; pendent d’audició
spk-003	o sigui	0	no	small; pendent d’audició
spk-003	perquè	1	sí	small; pendent d’audició
spk-003	reformeta	0	no	small; pendent d’audició
spk-003	tirar endavant	0	no	small; pendent d’audició
spk-003	vull dir	0	no	small; pendent d’audició
spk-003	és a dir	1	sí	small; pendent d’audició
spk-004	a nivell	0	no	small; pendent d’audició
spk-004	a veure	0	no	small; pendent d’audició
spk-004	aleshores	1	sí	small; pendent d’audició
spk-004	aviam	0	no	small; pendent d’audició
spk-004	bueno	0	no	small; pendent d’audició
spk-004	bé	1	sí	small; pendent d’audició
spk-004	clar	0	no	small; pendent d’audició
spk-004	crec	0	no	small; pendent d’audició
spk-004	de fet	0	no	small; pendent d’audició
spk-004	diguem	0	no	small; pendent d’audició
spk-004	doncs	0	no	small; pendent d’audició
spk-004	ensenyança	0	no	small; pendent d’audició
spk-004	evidentment	0	no	small; pendent d’audició
spk-004	llavors	0	no	small; pendent d’audició
spk-004	o sigui	0	no	small; pendent d’audició
spk-004	perquè	1	sí	small; pendent d’audició
spk-004	reformeta	0	no	small; pendent d’audició
spk-004	tirar endavant	0	no	small; pendent d’audició
spk-004	vull dir	0	no	small; pendent d’audició
spk-004	és a dir	0	no	small; pendent d’audició
spk-005	a nivell	0	no	small; pendent d’audició
spk-005	a veure	1	sí	small; pendent d’audició
spk-005	aleshores	0	no	small; pendent d’audició
spk-005	aviam	0	no	small; pendent d’audició
spk-005	bueno	0	no	small; pendent d’audició
spk-005	bé	1	sí	small; pendent d’audició
spk-005	clar	1	sí	small; pendent d’audició
spk-005	crec	0	no	small; pendent d’audició
spk-005	de fet	0	no	small; pendent d’audició
spk-005	diguem	1	sí	small; pendent d’audició
spk-005	doncs	1	sí	small; pendent d’audició
spk-005	ensenyança	0	no	small; pendent d’audició
spk-005	evidentment	1	sí	small; pendent d’audició
spk-005	llavors	1	sí	small; pendent d’audició
spk-005	o sigui	0	no	small; pendent d’audició
spk-005	perquè	1	sí	small; pendent d’audició
spk-005	reformeta	0	no	small; pendent d’audició
spk-005	tirar endavant	0	no	small; pendent d’audició
spk-005	vull dir	0	no	small; pendent d’audició
spk-005	és a dir	1	sí	small; pendent d’audició
spk-006	a nivell	0	no	small; pendent d’audició
spk-006	a veure	0	no	small; pendent d’audició
spk-006	aleshores	1	sí	small; pendent d’audició
spk-006	aviam	0	no	small; pendent d’audició
spk-006	bueno	1	sí	small; pendent d’audició
spk-006	bé	1	sí	small; pendent d’audició
spk-006	clar	1	sí	small; pendent d’audició
spk-006	crec	0	no	small; pendent d’audició
spk-006	de fet	0	no	small; pendent d’audició
spk-006	diguem	0	no	small; pendent d’audició
spk-006	doncs	1	sí	small; pendent d’audició
spk-006	ensenyança	0	no	small; pendent d’audició
spk-006	evidentment	0	no	small; pendent d’audició
spk-006	llavors	0	no	small; pendent d’audició
spk-006	o sigui	0	no	small; pendent d’audició
spk-006	perquè	1	sí	small; pendent d’audició
spk-006	reformeta	0	no	small; pendent d’audició
spk-006	tirar endavant	0	no	small; pendent d’audició
spk-006	vull dir	1	sí	small; pendent d’audició
spk-006	és a dir	0	no	small; pendent d’audició
spk-007	a nivell	0	no	small; pendent d’audició
spk-007	a veure	2	sí	small; pendent d’audició
spk-007	aleshores	1	sí	small; pendent d’audició
spk-007	aviam	0	no	small; pendent d’audició
spk-007	bueno	1	sí	small; pendent d’audició
spk-007	bé	1	sí	small; pendent d’audició
spk-007	clar	1	sí	small; pendent d’audició
spk-007	crec	1	sí	small; pendent d’audició
spk-007	de fet	0	no	small; pendent d’audició
spk-007	diguem	1	sí	small; pendent d’audició
spk-007	doncs	0	no	small; pendent d’audició
spk-007	ensenyança	0	no	small; pendent d’audició
spk-007	evidentment	1	sí	small; pendent d’audició
spk-007	llavors	1	sí	small; pendent d’audició
spk-007	o sigui	1	sí	small; pendent d’audició
spk-007	perquè	1	sí	small; pendent d’audició
spk-007	reformeta	0	no	small; pendent d’audició
spk-007	tirar endavant	0	no	small; pendent d’audició
spk-007	vull dir	1	sí	small; pendent d’audició
spk-007	és a dir	0	no	small; pendent d’audició
spk-008	a nivell	2	sí	small; pendent d’audició
spk-008	a veure	2	sí	small; pendent d’audició
spk-008	aleshores	0	no	small; pendent d’audició
spk-008	aviam	0	no	small; pendent d’audició
spk-008	bueno	1	sí	small; pendent d’audició
spk-008	bé	0	no	small; pendent d’audició
spk-008	clar	0	no	small; pendent d’audició
spk-008	crec	1	sí	small; pendent d’audició
spk-008	de fet	2	sí	small; pendent d’audició
spk-008	diguem	0	no	small; pendent d’audició
spk-008	doncs	1	sí	small; pendent d’audició
spk-008	ensenyança	0	no	small; pendent d’audició
spk-008	evidentment	0	no	small; pendent d’audició
spk-008	llavors	2	sí	small; pendent d’audició
spk-008	o sigui	0	no	small; pendent d’audició
spk-008	perquè	2	sí	small; pendent d’audició
spk-008	reformeta	0	no	small; pendent d’audició
spk-008	tirar endavant	0	no	small; pendent d’audició
spk-008	vull dir	2	sí	small; pendent d’audició
spk-008	és a dir	2	sí	small; pendent d’audició
spk-009	a nivell	0	no	small; pendent d’audició
spk-009	a veure	0	no	small; pendent d’audició
spk-009	aleshores	0	no	small; pendent d’audició
spk-009	aviam	0	no	small; pendent d’audició
spk-009	bueno	0	no	small; pendent d’audició
spk-009	bé	2	sí	small; pendent d’audició
spk-009	clar	1	sí	small; pendent d’audició
spk-009	crec	0	no	small; pendent d’audició
spk-009	de fet	1	sí	small; pendent d’audició
spk-009	diguem	1	sí	small; pendent d’audició
spk-009	doncs	0	no	small; pendent d’audició
spk-009	ensenyança	0	no	small; pendent d’audició
spk-009	evidentment	0	no	small; pendent d’audició
spk-009	llavors	1	sí	small; pendent d’audició
spk-009	o sigui	0	no	small; pendent d’audició
spk-009	perquè	1	sí	small; pendent d’audició
spk-009	reformeta	0	no	small; pendent d’audició
spk-009	tirar endavant	1	sí	small; pendent d’audició
spk-009	vull dir	1	sí	small; pendent d’audició
spk-009	és a dir	2	sí	small; pendent d’audició
spk-010	a nivell	1	sí	small; pendent d’audició
spk-010	a veure	1	sí	small; pendent d’audició
spk-010	aleshores	0	no	small; pendent d’audició
spk-010	aviam	0	no	small; pendent d’audició
spk-010	bueno	0	no	small; pendent d’audició
spk-010	bé	1	sí	small; pendent d’audició
spk-010	clar	0	no	small; pendent d’audició
spk-010	crec	1	sí	small; pendent d’audició
spk-010	de fet	0	no	small; pendent d’audició
spk-010	diguem	0	no	small; pendent d’audició
spk-010	doncs	1	sí	small; pendent d’audició
spk-010	ensenyança	0	no	small; pendent d’audició
spk-010	evidentment	0	no	small; pendent d’audició
spk-010	llavors	1	sí	small; pendent d’audició
spk-010	o sigui	1	sí	small; pendent d’audició
spk-010	perquè	0	no	small; pendent d’audició
spk-010	reformeta	0	no	small; pendent d’audició
spk-010	tirar endavant	0	no	small; pendent d’audició
spk-010	vull dir	2	sí	small; pendent d’audició
spk-010	és a dir	1	sí	small; pendent d’audició
spk-011	a nivell	1	sí	small; pendent d’audició
spk-011	a veure	0	no	small; pendent d’audició
spk-011	aleshores	0	no	small; pendent d’audició
spk-011	aviam	0	no	small; pendent d’audició
spk-011	bueno	1	sí	small; pendent d’audició
spk-011	bé	1	sí	small; pendent d’audició
spk-011	clar	0	no	small; pendent d’audició
spk-011	crec	1	sí	small; pendent d’audició
spk-011	de fet	1	sí	small; pendent d’audició
spk-011	diguem	0	no	small; pendent d’audició
spk-011	doncs	0	no	small; pendent d’audició
spk-011	ensenyança	0	no	small; pendent d’audició
spk-011	evidentment	1	sí	small; pendent d’audició
spk-011	llavors	1	sí	small; pendent d’audició
spk-011	o sigui	0	no	small; pendent d’audició
spk-011	perquè	1	sí	small; pendent d’audició
spk-011	reformeta	0	no	small; pendent d’audició
spk-011	tirar endavant	0	no	small; pendent d’audició
spk-011	vull dir	0	no	small; pendent d’audició
spk-011	és a dir	0	no	small; pendent d’audició
spk-012	a nivell	0	no	small; pendent d’audició
spk-012	a veure	0	no	small; pendent d’audició
spk-012	aleshores	0	no	small; pendent d’audició
spk-012	aviam	0	no	small; pendent d’audició
spk-012	bueno	0	no	small; pendent d’audició
spk-012	bé	0	no	small; pendent d’audició
spk-012	clar	0	no	small; pendent d’audició
spk-012	crec	0	no	small; pendent d’audició
spk-012	de fet	0	no	small; pendent d’audició
spk-012	diguem	0	no	small; pendent d’audició
spk-012	doncs	0	no	small; pendent d’audició
spk-012	ensenyança	0	no	small; pendent d’audició
spk-012	evidentment	0	no	small; pendent d’audició
spk-012	llavors	0	no	small; pendent d’audició
spk-012	o sigui	0	no	small; pendent d’audició
spk-012	perquè	0	no	small; pendent d’audició
spk-012	reformeta	0	no	small; pendent d’audició
spk-012	tirar endavant	0	no	small; pendent d’audició
spk-012	vull dir	0	no	small; pendent d’audició
spk-012	és a dir	0	no	small; pendent d’audició
spk-013	a nivell	0	no	small; pendent d’audició
spk-013	a veure	0	no	small; pendent d’audició
spk-013	aleshores	0	no	small; pendent d’audició
spk-013	aviam	0	no	small; pendent d’audició
spk-013	bueno	0	no	small; pendent d’audició
spk-013	bé	0	no	small; pendent d’audició
spk-013	clar	0	no	small; pendent d’audició
spk-013	crec	0	no	small; pendent d’audició
spk-013	de fet	0	no	small; pendent d’audició
spk-013	diguem	0	no	small; pendent d’audició
spk-013	doncs	0	no	small; pendent d’audició
spk-013	ensenyança	0	no	small; pendent d’audició
spk-013	evidentment	0	no	small; pendent d’audició
spk-013	llavors	0	no	small; pendent d’audició
spk-013	o sigui	0	no	small; pendent d’audició
spk-013	perquè	1	sí	small; pendent d’audició
spk-013	reformeta	0	no	small; pendent d’audició
spk-013	tirar endavant	0	no	small; pendent d’audició
spk-013	vull dir	0	no	small; pendent d’audició
spk-013	és a dir	0	no	small; pendent d’audició
spk-014	a nivell	0	no	small; pendent d’audició
spk-014	a veure	1	sí	small; pendent d’audició
spk-014	aleshores	0	no	small; pendent d’audició
spk-014	aviam	0	no	small; pendent d’audició
spk-014	bueno	0	no	small; pendent d’audició
spk-014	bé	1	sí	small; pendent d’audició
spk-014	clar	1	sí	small; pendent d’audició
spk-014	crec	1	sí	small; pendent d’audició
spk-014	de fet	0	no	small; pendent d’audició
spk-014	diguem	0	no	small; pendent d’audició
spk-014	doncs	0	no	small; pendent d’audició
spk-014	ensenyança	0	no	small; pendent d’audició
spk-014	evidentment	0	no	small; pendent d’audició
spk-014	llavors	0	no	small; pendent d’audició
spk-014	o sigui	1	sí	small; pendent d’audició
spk-014	perquè	1	sí	small; pendent d’audició
spk-014	reformeta	0	no	small; pendent d’audició
spk-014	tirar endavant	0	no	small; pendent d’audició
spk-014	vull dir	0	no	small; pendent d’audició
spk-014	és a dir	1	sí	small; pendent d’audició
spk-015	a nivell	0	no	small; pendent d’audició
spk-015	a veure	0	no	small; pendent d’audició
spk-015	aleshores	0	no	small; pendent d’audició
spk-015	aviam	0	no	small; pendent d’audició
spk-015	bueno	0	no	small; pendent d’audició
spk-015	bé	0	no	small; pendent d’audició
spk-015	clar	1	sí	small; pendent d’audició
spk-015	crec	1	sí	small; pendent d’audició
spk-015	de fet	1	sí	small; pendent d’audició
spk-015	diguem	1	sí	small; pendent d’audició
spk-015	doncs	0	no	small; pendent d’audició
spk-015	ensenyança	0	no	small; pendent d’audició
spk-015	evidentment	1	sí	small; pendent d’audició
spk-015	llavors	0	no	small; pendent d’audició
spk-015	o sigui	0	no	small; pendent d’audició
spk-015	perquè	1	sí	small; pendent d’audició
spk-015	reformeta	0	no	small; pendent d’audició
spk-015	tirar endavant	0	no	small; pendent d’audició
spk-015	vull dir	0	no	small; pendent d’audició
spk-015	és a dir	1	sí	small; pendent d’audició
spk-016	a nivell	0	no	small; pendent d’audició
spk-016	a veure	2	sí	small; pendent d’audició
spk-016	aleshores	2	sí	small; pendent d’audició
spk-016	aviam	0	no	small; pendent d’audició
spk-016	bueno	1	sí	small; pendent d’audició
spk-016	bé	0	no	small; pendent d’audició
spk-016	clar	1	sí	small; pendent d’audició
spk-016	crec	2	sí	small; pendent d’audició
spk-016	de fet	0	no	small; pendent d’audició
spk-016	diguem	0	no	small; pendent d’audició
spk-016	doncs	2	sí	small; pendent d’audició
spk-016	ensenyança	0	no	small; pendent d’audició
spk-016	evidentment	2	sí	small; pendent d’audició
spk-016	llavors	2	sí	small; pendent d’audició
spk-016	o sigui	1	sí	small; pendent d’audició
spk-016	perquè	1	sí	small; pendent d’audició
spk-016	reformeta	0	no	small; pendent d’audició
spk-016	tirar endavant	2	sí	small; pendent d’audició
spk-016	vull dir	2	sí	small; pendent d’audició
spk-016	és a dir	1	sí	small; pendent d’audició
spk-017	a nivell	0	no	small; pendent d’audició
spk-017	a veure	1	sí	small; pendent d’audició
spk-017	aleshores	0	no	small; pendent d’audició
spk-017	aviam	0	no	small; pendent d’audició
spk-017	bueno	0	no	small; pendent d’audició
spk-017	bé	1	sí	small; pendent d’audició
spk-017	clar	0	no	small; pendent d’audició
spk-017	crec	0	no	small; pendent d’audició
spk-017	de fet	1	sí	small; pendent d’audició
spk-017	diguem	0	no	small; pendent d’audició
spk-017	doncs	1	sí	small; pendent d’audició
spk-017	ensenyança	0	no	small; pendent d’audició
spk-017	evidentment	1	sí	small; pendent d’audició
spk-017	llavors	0	no	small; pendent d’audició
spk-017	o sigui	0	no	small; pendent d’audició
spk-017	perquè	1	sí	small; pendent d’audició
spk-017	reformeta	0	no	small; pendent d’audició
spk-017	tirar endavant	0	no	small; pendent d’audició
spk-017	vull dir	0	no	small; pendent d’audició
spk-017	és a dir	1	sí	small; pendent d’audició
spk-018	a nivell	1	sí	small; pendent d’audició
spk-018	a veure	1	sí	small; pendent d’audició
spk-018	aleshores	0	no	small; pendent d’audició
spk-018	aviam	0	no	small; pendent d’audició
spk-018	bueno	0	no	small; pendent d’audició
spk-018	bé	1	sí	small; pendent d’audició
spk-018	clar	2	sí	small; pendent d’audició
spk-018	crec	0	no	small; pendent d’audició
spk-018	de fet	0	no	small; pendent d’audició
spk-018	diguem	0	no	small; pendent d’audició
spk-018	doncs	1	sí	small; pendent d’audició
spk-018	ensenyança	0	no	small; pendent d’audició
spk-018	evidentment	1	sí	small; pendent d’audició
spk-018	llavors	1	sí	small; pendent d’audició
spk-018	o sigui	1	sí	small; pendent d’audició
spk-018	perquè	1	sí	small; pendent d’audició
spk-018	reformeta	0	no	small; pendent d’audició
spk-018	tirar endavant	0	no	small; pendent d’audició
spk-018	vull dir	0	no	small; pendent d’audició
spk-018	és a dir	0	no	small; pendent d’audició
spk-019	a nivell	0	no	small; pendent d’audició
spk-019	a veure	0	no	small; pendent d’audició
spk-019	aleshores	0	no	small; pendent d’audició
spk-019	aviam	0	no	small; pendent d’audició
spk-019	bueno	0	no	small; pendent d’audició
spk-019	bé	1	sí	small; pendent d’audició
spk-019	clar	0	no	small; pendent d’audició
spk-019	crec	0	no	small; pendent d’audició
spk-019	de fet	1	sí	small; pendent d’audició
spk-019	diguem	0	no	small; pendent d’audició
spk-019	doncs	0	no	small; pendent d’audició
spk-019	ensenyança	0	no	small; pendent d’audició
spk-019	evidentment	1	sí	small; pendent d’audició
spk-019	llavors	0	no	small; pendent d’audició
spk-019	o sigui	0	no	small; pendent d’audició
spk-019	perquè	1	sí	small; pendent d’audició
spk-019	reformeta	0	no	small; pendent d’audició
spk-019	tirar endavant	0	no	small; pendent d’audició
spk-019	vull dir	1	sí	small; pendent d’audició
spk-019	és a dir	0	no	small; pendent d’audició
spk-020	a nivell	2	sí	small; pendent d’audició
spk-020	a veure	0	no	small; pendent d’audició
spk-020	aleshores	0	no	small; pendent d’audició
spk-020	aviam	0	no	small; pendent d’audició
spk-020	bueno	0	no	small; pendent d’audició
spk-020	bé	1	sí	small; pendent d’audició
spk-020	clar	0	no	small; pendent d’audició
spk-020	crec	0	no	small; pendent d’audició
spk-020	de fet	0	no	small; pendent d’audició
spk-020	diguem	0	no	small; pendent d’audició
spk-020	doncs	0	no	small; pendent d’audició
spk-020	ensenyança	0	no	small; pendent d’audició
spk-020	evidentment	0	no	small; pendent d’audició
spk-020	llavors	1	sí	small; pendent d’audició
spk-020	o sigui	2	sí	small; pendent d’audició
spk-020	perquè	1	sí	small; pendent d’audició
spk-020	reformeta	0	no	small; pendent d’audició
spk-020	tirar endavant	2	sí	small; pendent d’audició
spk-020	vull dir	0	no	small; pendent d’audició
spk-020	és a dir	0	no	small; pendent d’audició
spk-021	a nivell	0	no	small; pendent d’audició
spk-021	a veure	0	no	small; pendent d’audició
spk-021	aleshores	0	no	small; pendent d’audició
spk-021	aviam	0	no	small; pendent d’audició
spk-021	bueno	0	no	small; pendent d’audició
spk-021	bé	0	no	small; pendent d’audició
spk-021	clar	0	no	small; pendent d’audició
spk-021	crec	0	no	small; pendent d’audició
spk-021	de fet	0	no	small; pendent d’audició
spk-021	diguem	0	no	small; pendent d’audició
spk-021	doncs	0	no	small; pendent d’audició
spk-021	ensenyança	0	no	small; pendent d’audició
spk-021	evidentment	0	no	small; pendent d’audició
spk-021	llavors	0	no	small; pendent d’audició
spk-021	o sigui	0	no	small; pendent d’audició
spk-021	perquè	0	no	small; pendent d’audició
spk-021	reformeta	0	no	small; pendent d’audició
spk-021	tirar endavant	0	no	small; pendent d’audició
spk-021	vull dir	0	no	small; pendent d’audició
spk-021	és a dir	0	no	small; pendent d’audició
spk-022	a nivell	1	sí	small; pendent d’audició
spk-022	a veure	0	no	small; pendent d’audició
spk-022	aleshores	0	no	small; pendent d’audició
spk-022	aviam	1	sí	small; pendent d’audició
spk-022	bueno	0	no	small; pendent d’audició
spk-022	bé	1	sí	small; pendent d’audició
spk-022	clar	1	sí	small; pendent d’audició
spk-022	crec	0	no	small; pendent d’audició
spk-022	de fet	0	no	small; pendent d’audició
spk-022	diguem	1	sí	small; pendent d’audició
spk-022	doncs	1	sí	small; pendent d’audició
spk-022	ensenyança	0	no	small; pendent d’audició
spk-022	evidentment	0	no	small; pendent d’audició
spk-022	llavors	0	no	small; pendent d’audició
spk-022	o sigui	0	no	small; pendent d’audició
spk-022	perquè	1	sí	small; pendent d’audició
spk-022	reformeta	0	no	small; pendent d’audició
spk-022	tirar endavant	0	no	small; pendent d’audició
spk-022	vull dir	0	no	small; pendent d’audició
spk-022	és a dir	0	no	small; pendent d’audició
spk-023	a nivell	0	no	small; pendent d’audició
spk-023	a veure	0	no	small; pendent d’audició
spk-023	aleshores	0	no	small; pendent d’audició
spk-023	aviam	0	no	small; pendent d’audició
spk-023	bueno	1	sí	small; pendent d’audició
spk-023	bé	0	no	small; pendent d’audició
spk-023	clar	0	no	small; pendent d’audició
spk-023	crec	1	sí	small; pendent d’audició
spk-023	de fet	0	no	small; pendent d’audició
spk-023	diguem	0	no	small; pendent d’audició
spk-023	doncs	0	no	small; pendent d’audició
spk-023	ensenyança	0	no	small; pendent d’audició
spk-023	evidentment	0	no	small; pendent d’audició
spk-023	llavors	0	no	small; pendent d’audició
spk-023	o sigui	0	no	small; pendent d’audició
spk-023	perquè	0	no	small; pendent d’audició
spk-023	reformeta	0	no	small; pendent d’audició
spk-023	tirar endavant	0	no	small; pendent d’audició
spk-023	vull dir	0	no	small; pendent d’audició
spk-023	és a dir	1	sí	small; pendent d’audició
spk-024	a nivell	0	no	small; pendent d’audició
spk-024	a veure	1	sí	small; pendent d’audició
spk-024	aleshores	1	sí	small; pendent d’audició
spk-024	aviam	0	no	small; pendent d’audició
spk-024	bueno	0	no	small; pendent d’audició
spk-024	bé	0	no	small; pendent d’audició
spk-024	clar	1	sí	small; pendent d’audició
spk-024	crec	1	sí	small; pendent d’audició
spk-024	de fet	1	sí	small; pendent d’audició
spk-024	diguem	1	sí	small; pendent d’audició
spk-024	doncs	0	no	small; pendent d’audició
spk-024	ensenyança	0	no	small; pendent d’audició
spk-024	evidentment	1	sí	small; pendent d’audició
spk-024	llavors	0	no	small; pendent d’audició
spk-024	o sigui	1	sí	small; pendent d’audició
spk-024	perquè	1	sí	small; pendent d’audició
spk-024	reformeta	1	sí	small; pendent d’audició
spk-024	tirar endavant	0	no	small; pendent d’audició
spk-024	vull dir	0	no	small; pendent d’audició
spk-024	és a dir	0	no	small; pendent d’audició
spk-025	a nivell	0	no	small; pendent d’audició
spk-025	a veure	0	no	small; pendent d’audició
spk-025	aleshores	0	no	small; pendent d’audició
spk-025	aviam	0	no	small; pendent d’audició
spk-025	bueno	0	no	small; pendent d’audició
spk-025	bé	1	sí	small; pendent d’audició
spk-025	clar	0	no	small; pendent d’audició
spk-025	crec	1	sí	small; pendent d’audició
spk-025	de fet	0	no	small; pendent d’audició
spk-025	diguem	0	no	small; pendent d’audició
spk-025	doncs	0	no	small; pendent d’audició
spk-025	ensenyança	0	no	small; pendent d’audició
spk-025	evidentment	1	sí	small; pendent d’audició
spk-025	llavors	0	no	small; pendent d’audició
spk-025	o sigui	0	no	small; pendent d’audició
spk-025	perquè	1	sí	small; pendent d’audició
spk-025	reformeta	0	no	small; pendent d’audició
spk-025	tirar endavant	0	no	small; pendent d’audició
spk-025	vull dir	0	no	small; pendent d’audició
spk-025	és a dir	0	no	small; pendent d’audició
spk-026	a nivell	1	sí	small; pendent d’audició
spk-026	a veure	1	sí	small; pendent d’audició
spk-026	aleshores	0	no	small; pendent d’audició
spk-026	aviam	0	no	small; pendent d’audició
spk-026	bueno	0	no	small; pendent d’audició
spk-026	bé	1	sí	small; pendent d’audició
spk-026	clar	1	sí	small; pendent d’audició
spk-026	crec	1	sí	small; pendent d’audició
spk-026	de fet	1	sí	small; pendent d’audició
spk-026	diguem	0	no	small; pendent d’audició
spk-026	doncs	0	no	small; pendent d’audició
spk-026	ensenyança	0	no	small; pendent d’audició
spk-026	evidentment	1	sí	small; pendent d’audició
spk-026	llavors	1	sí	small; pendent d’audició
spk-026	o sigui	0	no	small; pendent d’audició
spk-026	perquè	1	sí	small; pendent d’audició
spk-026	reformeta	1	sí	small; pendent d’audició
spk-026	tirar endavant	0	no	small; pendent d’audició
spk-026	vull dir	0	no	small; pendent d’audició
spk-026	és a dir	0	no	small; pendent d’audició
spk-027	a nivell	0	no	small; pendent d’audició
spk-027	a veure	0	no	small; pendent d’audició
spk-027	aleshores	0	no	small; pendent d’audició
spk-027	aviam	0	no	small; pendent d’audició
spk-027	bueno	1	sí	small; pendent d’audició
spk-027	bé	0	no	small; pendent d’audició
spk-027	clar	0	no	small; pendent d’audició
spk-027	crec	1	sí	small; pendent d’audició
spk-027	de fet	0	no	small; pendent d’audició
spk-027	diguem	1	sí	small; pendent d’audició
spk-027	doncs	0	no	small; pendent d’audició
spk-027	ensenyança	0	no	small; pendent d’audició
spk-027	evidentment	0	no	small; pendent d’audició
spk-027	llavors	0	no	small; pendent d’audició
spk-027	o sigui	1	sí	small; pendent d’audició
spk-027	perquè	1	sí	small; pendent d’audició
spk-027	reformeta	0	no	small; pendent d’audició
spk-027	tirar endavant	0	no	small; pendent d’audició
spk-027	vull dir	0	no	small; pendent d’audició
spk-027	és a dir	1	sí	small; pendent d’audició
spk-028	a nivell	1	sí	small; pendent d’audició
spk-028	a veure	1	sí	small; pendent d’audició
spk-028	aleshores	0	no	small; pendent d’audició
spk-028	aviam	0	no	small; pendent d’audició
spk-028	bueno	0	no	small; pendent d’audició
spk-028	bé	1	sí	small; pendent d’audició
spk-028	clar	1	sí	small; pendent d’audició
spk-028	crec	0	no	small; pendent d’audició
spk-028	de fet	0	no	small; pendent d’audició
spk-028	diguem	0	no	small; pendent d’audició
spk-028	doncs	1	sí	small; pendent d’audició
spk-028	ensenyança	0	no	small; pendent d’audició
spk-028	evidentment	1	sí	small; pendent d’audició
spk-028	llavors	0	no	small; pendent d’audició
spk-028	o sigui	0	no	small; pendent d’audició
spk-028	perquè	1	sí	small; pendent d’audició
spk-028	reformeta	0	no	small; pendent d’audició
spk-028	tirar endavant	0	no	small; pendent d’audició
spk-028	vull dir	1	sí	small; pendent d’audició
spk-028	és a dir	0	no	small; pendent d’audició
spk-029	a nivell	0	no	small; pendent d’audició
spk-029	a veure	0	no	small; pendent d’audició
spk-029	aleshores	0	no	small; pendent d’audició
spk-029	aviam	0	no	small; pendent d’audició
spk-029	bueno	0	no	small; pendent d’audició
spk-029	bé	0	no	small; pendent d’audició
spk-029	clar	0	no	small; pendent d’audició
spk-029	crec	1	sí	small; pendent d’audició
spk-029	de fet	1	sí	small; pendent d’audició
spk-029	diguem	0	no	small; pendent d’audició
spk-029	doncs	0	no	small; pendent d’audició
spk-029	ensenyança	0	no	small; pendent d’audició
spk-029	evidentment	1	sí	small; pendent d’audició
spk-029	llavors	0	no	small; pendent d’audició
spk-029	o sigui	0	no	small; pendent d’audició
spk-029	perquè	1	sí	small; pendent d’audició
spk-029	reformeta	0	no	small; pendent d’audició
spk-029	tirar endavant	0	no	small; pendent d’audició
spk-029	vull dir	0	no	small; pendent d’audició
spk-029	és a dir	0	no	small; pendent d’audició
spk-030	a nivell	0	no	small; pendent d’audició
spk-030	a veure	0	no	small; pendent d’audició
spk-030	aleshores	1	sí	small; pendent d’audició
spk-030	aviam	0	no	small; pendent d’audició
spk-030	bueno	0	no	small; pendent d’audició
spk-030	bé	1	sí	small; pendent d’audició
