id	tipus	etiqueta	font_ref	notes
trait-diguem	tret	diguem	pa-003,pa-006,pa-007,pa-008,pa-009,pa-018,pa-019,pa-020,pa-022,pa-023,pa-025,pa-027,pa-028,pa-029,pa-033,pa-034,pa-037,pa-038,pa-039,pa-046,pa-049,pa-057,pa-058,pa-060,pa-062	candidat compartit; recompte ASR pendent de revisió auditiva
trait-crec	tret	crec	pa-001,pa-002,pa-003,pa-010,pa-014,pa-016,pa-018,pa-019,pa-021,pa-022,pa-023,pa-024,pa-025,pa-027,pa-030,pa-031,pa-034,pa-035,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-043,pa-045,pa-046,pa-048,pa-049,pa-051,pa-056,pa-058,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	candidat compartit; recompte ASR pendent de revisió auditiva
trait-bueno	tret	bueno	pa-001,pa-002,pa-003,pa-007,pa-008,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-041,pa-043,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-065,pa-066	candidat compartit; recompte ASR pendent de revisió auditiva
trait-clar	tret	clar	pa-001,pa-002,pa-003,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-014,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-041,pa-042,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-055,pa-056,pa-057,pa-058,pa-059,pa-061,pa-062,pa-063,pa-064,pa-065	candidat compartit; recompte ASR pendent de revisió auditiva
trait-vull-dir	tret	vull dir	pa-001,pa-002,pa-004,pa-014,pa-016,pa-017,pa-020,pa-021,pa-022,pa-023,pa-025,pa-026,pa-027,pa-030,pa-031,pa-032,pa-033,pa-034,pa-036,pa-037,pa-038,pa-041,pa-045,pa-048,pa-049,pa-055,pa-056,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-065	candidat compartit; recompte ASR pendent de revisió auditiva
trait-o-sigui	tret	o sigui	pa-001,pa-005,pa-006,pa-009,pa-014,pa-015,pa-016,pa-022,pa-024,pa-025,pa-026,pa-027,pa-029,pa-030,pa-034,pa-038,pa-040,pa-045,pa-046,pa-048,pa-049,pa-055,pa-056,pa-057,pa-059,pa-061,pa-062,pa-063,pa-064,pa-065	candidat compartit; recompte ASR pendent de revisió auditiva
trait-llavors	tret	llavors	pa-001,pa-002,pa-005,pa-006,pa-007,pa-009,pa-010,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-022,pa-023,pa-024,pa-026,pa-027,pa-028,pa-029,pa-030,pa-032,pa-033,pa-034,pa-036,pa-037,pa-038,pa-041,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-063,pa-064,pa-065,pa-066	candidat compartit; recompte ASR pendent de revisió auditiva
trait-a-veure	tret	a veure	pa-001,pa-002,pa-007,pa-008,pa-011,pa-014,pa-016,pa-018,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-029,pa-030,pa-031,pa-032,pa-034,pa-035,pa-036,pa-038,pa-041,pa-045,pa-048,pa-049,pa-054,pa-055,pa-056,pa-057,pa-058,pa-060,pa-061,pa-063,pa-064,pa-065	candidat compartit; recompte ASR pendent de revisió auditiva
trait-aviam	tret	aviam	pa-003,pa-014,pa-016,pa-020,pa-049	candidat compartit; recompte ASR pendent de revisió auditiva
trait-doncs	tret	doncs	pa-004,pa-005,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-043,pa-045,pa-046,pa-048,pa-049,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065	candidat compartit; recompte ASR pendent de revisió auditiva
trait-perque	tret	perquè	pa-001,pa-002,pa-003,pa-004,pa-006,pa-007,pa-008,pa-009,pa-010,pa-011,pa-012,pa-013,pa-014,pa-015,pa-016,pa-017,pa-018,pa-019,pa-020,pa-021,pa-022,pa-023,pa-024,pa-025,pa-026,pa-027,pa-028,pa-029,pa-030,pa-031,pa-032,pa-033,pa-034,pa-035,pa-036,pa-037,pa-038,pa-039,pa-040,pa-041,pa-042,pa-045,pa-046,pa-048,pa-049,pa-051,pa-052,pa-053,pa-054,pa-055,pa-056,pa-057,pa-058,pa-059,pa-060,pa-061,pa-062,pa-063,pa-064,pa-065,pa-066	candidat compartit; recompte ASR pendent de revisió auditiva
trait-a-nivell	tret	a nivell	pa-001,pa-002,pa-003,pa-016,pa-017,pa-018,pa-019,pa-020,pa-023,pa-024,pa-026,pa-029,pa-033,pa-034,pa-036,pa-038,pa-045,pa-048,pa-049,pa-055,pa-057,pa-058,pa-059,pa-060,pa-061,pa-063,pa-065,pa-066	candidat compartit; recompte ASR pendent de revisió auditiva
trait-tirar-endavant	tret	tirar endavant	pa-003,pa-017,pa-020,pa-029,pa-030,pa-031,pa-033,pa-034,pa-041,pa-056,pa-057,pa-059	candidat compartit; recompte ASR pendent de revisió auditiva
trait-reformeta	tret	reformeta	pa-002,pa-022,pa-025,pa-026,pa-034,pa-038,pa-055	candidat compartit; recompte ASR pendent de revisió auditiva
pa-051	persona	Josep Casal	pa-051	analitzada-provisional-contextual; Canillo documentat
pa-052	persona	Rosa Vidal	pa-052	analitzada-provisional-contextual; Tor/Sispony documentats
pa-053	persona	Pere Torres	pa-053	veu de l'Arxiu d'Etnografia; Casa Toni, Canillo/El Forn; revisió manual pendent
pa-054	persona	Trini Mandicó Baró	pa-054	veu de l'Arxiu d'Etnografia; Sispony (1926); revisió manual pendent
pa-055	persona	Ramon Canut Bové	pa-055	analitzada-provisional-automatica
pa-056	persona	Enric Dolsa Font	pa-056	analitzada-provisional-automatica
pa-057	persona	Gabriel Dallerès Codina	pa-057	analitzada-provisional-automatica
pa-058	persona	Miquel Aleix Areny	pa-058	analitzada-provisional-automatica
pa-059	persona	Nadia Aleix Tugas	pa-059	analitzada-provisional-automatica
pa-060	persona	Antoni Armengol Vila	pa-060	analitzada-provisional-automatica
pa-061	persona	Patrick Pérez	pa-061	analitzada-provisional-automatica
pa-062	persona	Jordi Marquet	pa-062	analitzada-provisional-automatica
pa-063	persona	Roser Jordana	pa-063	analitzada-provisional-automatica
pa-064	persona	Daniel Armengol	pa-064	analitzada-provisional-automatica
pa-065	persona	Mossèn Ramon de Canillo	pa-065	analitzada-provisional-automatica
pa-066	persona	Carles Sasplugas	pa-066	analitzada-provisional-automatica
