origen	desti	relacio	pes	evidencia
pa-066	trait-be	usa	3	recompte ASR; revisió auditiva pendent
pa-001	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-002	trait-de-fet	usa	6	recompte ASR; revisió auditiva pendent
pa-003	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-004	trait-de-fet	usa	2	recompte ASR; revisió auditiva pendent
pa-006	trait-de-fet	usa	2	recompte ASR; revisió auditiva pendent
pa-008	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-010	trait-de-fet	usa	3	recompte ASR; revisió auditiva pendent
pa-011	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-016	trait-de-fet	usa	2	recompte ASR; revisió auditiva pendent
pa-022	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-023	trait-de-fet	usa	2	recompte ASR; revisió auditiva pendent
pa-024	trait-de-fet	usa	2	recompte ASR; revisió auditiva pendent
pa-025	trait-de-fet	usa	2	recompte ASR; revisió auditiva pendent
pa-027	trait-de-fet	usa	3	recompte ASR; revisió auditiva pendent
pa-028	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-031	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-033	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-040	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-051	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-057	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-060	trait-de-fet	usa	2	recompte ASR; revisió auditiva pendent
pa-065	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-066	trait-de-fet	usa	1	recompte ASR; revisió auditiva pendent
pa-001	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-002	trait-es-a-dir	usa	24	recompte ASR; revisió auditiva pendent
pa-003	trait-es-a-dir	usa	11	recompte ASR; revisió auditiva pendent
pa-007	trait-es-a-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-008	trait-es-a-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-010	trait-es-a-dir	usa	10	recompte ASR; revisió auditiva pendent
pa-011	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-013	trait-es-a-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-014	trait-es-a-dir	usa	10	recompte ASR; revisió auditiva pendent
pa-016	trait-es-a-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-017	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-018	trait-es-a-dir	usa	3	recompte ASR; revisió auditiva pendent
pa-019	trait-es-a-dir	usa	6	recompte ASR; revisió auditiva pendent
pa-021	trait-es-a-dir	usa	10	recompte ASR; revisió auditiva pendent
pa-022	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-023	trait-es-a-dir	usa	4	recompte ASR; revisió auditiva pendent
pa-024	trait-es-a-dir	usa	5	recompte ASR; revisió auditiva pendent
pa-025	trait-es-a-dir	usa	7	recompte ASR; revisió auditiva pendent
pa-026	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-027	trait-es-a-dir	usa	6	recompte ASR; revisió auditiva pendent
pa-029	trait-es-a-dir	usa	3	recompte ASR; revisió auditiva pendent
pa-030	trait-es-a-dir	usa	10	recompte ASR; revisió auditiva pendent
pa-033	trait-es-a-dir	usa	4	recompte ASR; revisió auditiva pendent
pa-034	trait-es-a-dir	usa	3	recompte ASR; revisió auditiva pendent
pa-035	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-039	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-041	trait-es-a-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-043	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-046	trait-es-a-dir	usa	4	recompte ASR; revisió auditiva pendent
pa-048	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-049	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-055	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-056	trait-es-a-dir	usa	10	recompte ASR; revisió auditiva pendent
pa-057	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-058	trait-es-a-dir	usa	3	recompte ASR; revisió auditiva pendent
pa-059	trait-es-a-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-060	trait-es-a-dir	usa	4	recompte ASR; revisió auditiva pendent
pa-062	trait-es-a-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-064	trait-es-a-dir	usa	7	recompte ASR; revisió auditiva pendent
pa-065	trait-es-a-dir	usa	7	recompte ASR; revisió auditiva pendent
pa-001	trait-aleshores	usa	23	recompte ASR; revisió auditiva pendent
pa-003	trait-aleshores	usa	2	recompte ASR; revisió auditiva pendent
pa-006	trait-aleshores	usa	1	recompte ASR; revisió auditiva pendent
pa-008	trait-aleshores	usa	1	recompte ASR; revisió auditiva pendent
pa-011	trait-aleshores	usa	4	recompte ASR; revisió auditiva pendent
pa-012	trait-aleshores	usa	3	recompte ASR; revisió auditiva pendent
pa-014	trait-aleshores	usa	2	recompte ASR; revisió auditiva pendent
pa-021	trait-aleshores	usa	2	recompte ASR; revisió auditiva pendent
pa-025	trait-aleshores	usa	5	recompte ASR; revisió auditiva pendent
pa-030	trait-aleshores	usa	2	recompte ASR; revisió auditiva pendent
pa-031	trait-aleshores	usa	7	recompte ASR; revisió auditiva pendent
pa-032	trait-aleshores	usa	2	recompte ASR; revisió auditiva pendent
pa-045	trait-aleshores	usa	1	recompte ASR; revisió auditiva pendent
pa-046	trait-aleshores	usa	4	recompte ASR; revisió auditiva pendent
pa-048	trait-aleshores	usa	2	recompte ASR; revisió auditiva pendent
pa-049	trait-aleshores	usa	2	recompte ASR; revisió auditiva pendent
pa-056	trait-aleshores	usa	3	recompte ASR; revisió auditiva pendent
pa-060	trait-aleshores	usa	3	recompte ASR; revisió auditiva pendent
pa-063	trait-aleshores	usa	4	recompte ASR; revisió auditiva pendent
pa-065	trait-aleshores	usa	15	recompte ASR; revisió auditiva pendent
pa-001	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-002	trait-evidentment	usa	10	recompte ASR; revisió auditiva pendent
pa-003	trait-evidentment	usa	4	recompte ASR; revisió auditiva pendent
pa-004	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-006	trait-evidentment	usa	2	recompte ASR; revisió auditiva pendent
pa-007	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-009	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-011	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-013	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-014	trait-evidentment	usa	7	recompte ASR; revisió auditiva pendent
pa-016	trait-evidentment	usa	3	recompte ASR; revisió auditiva pendent
pa-017	trait-evidentment	usa	3	recompte ASR; revisió auditiva pendent
pa-019	trait-evidentment	usa	4	recompte ASR; revisió auditiva pendent
pa-020	trait-evidentment	usa	7	recompte ASR; revisió auditiva pendent
pa-021	trait-evidentment	usa	6	recompte ASR; revisió auditiva pendent
pa-022	trait-evidentment	usa	2	recompte ASR; revisió auditiva pendent
pa-024	trait-evidentment	usa	2	recompte ASR; revisió auditiva pendent
pa-025	trait-evidentment	usa	4	recompte ASR; revisió auditiva pendent
pa-026	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-027	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-030	trait-evidentment	usa	4	recompte ASR; revisió auditiva pendent
pa-035	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-036	trait-evidentment	usa	4	recompte ASR; revisió auditiva pendent
pa-039	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-040	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-041	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-045	trait-evidentment	usa	12	recompte ASR; revisió auditiva pendent
pa-046	trait-evidentment	usa	3	recompte ASR; revisió auditiva pendent
pa-049	trait-evidentment	usa	2	recompte ASR; revisió auditiva pendent
pa-055	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-056	trait-evidentment	usa	4	recompte ASR; revisió auditiva pendent
pa-059	trait-evidentment	usa	3	recompte ASR; revisió auditiva pendent
pa-061	trait-evidentment	usa	2	recompte ASR; revisió auditiva pendent
pa-062	trait-evidentment	usa	4	recompte ASR; revisió auditiva pendent
pa-064	trait-evidentment	usa	1	recompte ASR; revisió auditiva pendent
pa-066	trait-evidentment	usa	2	recompte ASR; revisió auditiva pendent
pa-003	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-006	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-007	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-008	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-009	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-018	trait-diguem	usa	2	recompte ASR; revisió auditiva pendent
pa-019	trait-diguem	usa	4	recompte ASR; revisió auditiva pendent
pa-020	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-022	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-023	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-025	trait-diguem	usa	3	recompte ASR; revisió auditiva pendent
pa-027	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-028	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-029	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-033	trait-diguem	usa	3	recompte ASR; revisió auditiva pendent
pa-034	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-037	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-038	trait-diguem	usa	3	recompte ASR; revisió auditiva pendent
pa-039	trait-diguem	usa	2	recompte ASR; revisió auditiva pendent
pa-046	trait-diguem	usa	2	recompte ASR; revisió auditiva pendent
pa-049	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-057	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-058	trait-diguem	usa	2	recompte ASR; revisió auditiva pendent
pa-060	trait-diguem	usa	1	recompte ASR; revisió auditiva pendent
pa-062	trait-diguem	usa	2	recompte ASR; revisió auditiva pendent
pa-001	trait-crec	usa	2	recompte ASR; revisió auditiva pendent
pa-002	trait-crec	usa	11	recompte ASR; revisió auditiva pendent
pa-003	trait-crec	usa	5	recompte ASR; revisió auditiva pendent
pa-010	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-014	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-016	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-018	trait-crec	usa	15	recompte ASR; revisió auditiva pendent
pa-019	trait-crec	usa	23	recompte ASR; revisió auditiva pendent
pa-021	trait-crec	usa	5	recompte ASR; revisió auditiva pendent
pa-022	trait-crec	usa	6	recompte ASR; revisió auditiva pendent
pa-023	trait-crec	usa	4	recompte ASR; revisió auditiva pendent
pa-024	trait-crec	usa	24	recompte ASR; revisió auditiva pendent
pa-025	trait-crec	usa	13	recompte ASR; revisió auditiva pendent
pa-027	trait-crec	usa	16	recompte ASR; revisió auditiva pendent
pa-030	trait-crec	usa	2	recompte ASR; revisió auditiva pendent
pa-031	trait-crec	usa	2	recompte ASR; revisió auditiva pendent
pa-034	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-035	trait-crec	usa	2	recompte ASR; revisió auditiva pendent
pa-037	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-038	trait-crec	usa	4	recompte ASR; revisió auditiva pendent
pa-039	trait-crec	usa	4	recompte ASR; revisió auditiva pendent
pa-040	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-041	trait-crec	usa	7	recompte ASR; revisió auditiva pendent
pa-042	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-043	trait-crec	usa	3	recompte ASR; revisió auditiva pendent
pa-045	trait-crec	usa	5	recompte ASR; revisió auditiva pendent
pa-046	trait-crec	usa	17	recompte ASR; revisió auditiva pendent
pa-048	trait-crec	usa	3	recompte ASR; revisió auditiva pendent
pa-049	trait-crec	usa	2	recompte ASR; revisió auditiva pendent
pa-051	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-056	trait-crec	usa	2	recompte ASR; revisió auditiva pendent
pa-058	trait-crec	usa	15	recompte ASR; revisió auditiva pendent
pa-060	trait-crec	usa	5	recompte ASR; revisió auditiva pendent
pa-061	trait-crec	usa	4	recompte ASR; revisió auditiva pendent
pa-062	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-063	trait-crec	usa	16	recompte ASR; revisió auditiva pendent
pa-064	trait-crec	usa	1	recompte ASR; revisió auditiva pendent
pa-065	trait-crec	usa	2	recompte ASR; revisió auditiva pendent
pa-066	trait-crec	usa	3	recompte ASR; revisió auditiva pendent
pa-001	trait-bueno	usa	2	recompte ASR; revisió auditiva pendent
pa-002	trait-bueno	usa	11	recompte ASR; revisió auditiva pendent
pa-003	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-007	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-008	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-016	trait-bueno	usa	4	recompte ASR; revisió auditiva pendent
pa-017	trait-bueno	usa	2	recompte ASR; revisió auditiva pendent
pa-018	trait-bueno	usa	49	recompte ASR; revisió auditiva pendent
pa-019	trait-bueno	usa	3	recompte ASR; revisió auditiva pendent
pa-020	trait-bueno	usa	22	recompte ASR; revisió auditiva pendent
pa-021	trait-bueno	usa	11	recompte ASR; revisió auditiva pendent
pa-022	trait-bueno	usa	12	recompte ASR; revisió auditiva pendent
pa-023	trait-bueno	usa	3	recompte ASR; revisió auditiva pendent
pa-024	trait-bueno	usa	23	recompte ASR; revisió auditiva pendent
pa-025	trait-bueno	usa	8	recompte ASR; revisió auditiva pendent
pa-026	trait-bueno	usa	24	recompte ASR; revisió auditiva pendent
pa-027	trait-bueno	usa	7	recompte ASR; revisió auditiva pendent
pa-028	trait-bueno	usa	12	recompte ASR; revisió auditiva pendent
pa-029	trait-bueno	usa	2	recompte ASR; revisió auditiva pendent
pa-030	trait-bueno	usa	3	recompte ASR; revisió auditiva pendent
pa-031	trait-bueno	usa	13	recompte ASR; revisió auditiva pendent
pa-032	trait-bueno	usa	3	recompte ASR; revisió auditiva pendent
pa-034	trait-bueno	usa	26	recompte ASR; revisió auditiva pendent
pa-035	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-036	trait-bueno	usa	3	recompte ASR; revisió auditiva pendent
pa-037	trait-bueno	usa	4	recompte ASR; revisió auditiva pendent
pa-038	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-039	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-041	trait-bueno	usa	3	recompte ASR; revisió auditiva pendent
pa-043	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-045	trait-bueno	usa	6	recompte ASR; revisió auditiva pendent
pa-046	trait-bueno	usa	15	recompte ASR; revisió auditiva pendent
pa-048	trait-bueno	usa	3	recompte ASR; revisió auditiva pendent
pa-049	trait-bueno	usa	11	recompte ASR; revisió auditiva pendent
pa-051	trait-bueno	usa	2	recompte ASR; revisió auditiva pendent
pa-052	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-054	trait-bueno	usa	2	recompte ASR; revisió auditiva pendent
pa-055	trait-bueno	usa	27	recompte ASR; revisió auditiva pendent
pa-056	trait-bueno	usa	5	recompte ASR; revisió auditiva pendent
pa-057	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-058	trait-bueno	usa	36	recompte ASR; revisió auditiva pendent
pa-059	trait-bueno	usa	4	recompte ASR; revisió auditiva pendent
pa-060	trait-bueno	usa	4	recompte ASR; revisió auditiva pendent
pa-061	trait-bueno	usa	12	recompte ASR; revisió auditiva pendent
pa-062	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-063	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-065	trait-bueno	usa	3	recompte ASR; revisió auditiva pendent
pa-066	trait-bueno	usa	1	recompte ASR; revisió auditiva pendent
pa-001	trait-clar	usa	5	recompte ASR; revisió auditiva pendent
pa-002	trait-clar	usa	14	recompte ASR; revisió auditiva pendent
pa-003	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-005	trait-clar	usa	3	recompte ASR; revisió auditiva pendent
pa-006	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-007	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-008	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-009	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-010	trait-clar	usa	5	recompte ASR; revisió auditiva pendent
pa-014	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-016	trait-clar	usa	12	recompte ASR; revisió auditiva pendent
pa-017	trait-clar	usa	5	recompte ASR; revisió auditiva pendent
pa-018	trait-clar	usa	12	recompte ASR; revisió auditiva pendent
pa-019	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-020	trait-clar	usa	29	recompte ASR; revisió auditiva pendent
pa-021	trait-clar	usa	9	recompte ASR; revisió auditiva pendent
pa-022	trait-clar	usa	2	recompte ASR; revisió auditiva pendent
pa-024	trait-clar	usa	21	recompte ASR; revisió auditiva pendent
pa-025	trait-clar	usa	9	recompte ASR; revisió auditiva pendent
pa-026	trait-clar	usa	10	recompte ASR; revisió auditiva pendent
pa-027	trait-clar	usa	11	recompte ASR; revisió auditiva pendent
pa-028	trait-clar	usa	2	recompte ASR; revisió auditiva pendent
pa-029	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-030	trait-clar	usa	9	recompte ASR; revisió auditiva pendent
pa-031	trait-clar	usa	4	recompte ASR; revisió auditiva pendent
pa-032	trait-clar	usa	6	recompte ASR; revisió auditiva pendent
pa-033	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-034	trait-clar	usa	57	recompte ASR; revisió auditiva pendent
pa-035	trait-clar	usa	2	recompte ASR; revisió auditiva pendent
pa-036	trait-clar	usa	5	recompte ASR; revisió auditiva pendent
pa-037	trait-clar	usa	4	recompte ASR; revisió auditiva pendent
pa-038	trait-clar	usa	7	recompte ASR; revisió auditiva pendent
pa-039	trait-clar	usa	9	recompte ASR; revisió auditiva pendent
pa-041	trait-clar	usa	6	recompte ASR; revisió auditiva pendent
pa-042	trait-clar	usa	12	recompte ASR; revisió auditiva pendent
pa-045	trait-clar	usa	9	recompte ASR; revisió auditiva pendent
pa-046	trait-clar	usa	12	recompte ASR; revisió auditiva pendent
pa-048	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-049	trait-clar	usa	19	recompte ASR; revisió auditiva pendent
pa-051	trait-clar	usa	2	recompte ASR; revisió auditiva pendent
pa-052	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-055	trait-clar	usa	11	recompte ASR; revisió auditiva pendent
pa-056	trait-clar	usa	7	recompte ASR; revisió auditiva pendent
pa-057	trait-clar	usa	1	recompte ASR; revisió auditiva pendent
pa-058	trait-clar	usa	12	recompte ASR; revisió auditiva pendent
pa-059	trait-clar	usa	5	recompte ASR; revisió auditiva pendent
pa-061	trait-clar	usa	7	recompte ASR; revisió auditiva pendent
pa-062	trait-clar	usa	3	recompte ASR; revisió auditiva pendent
pa-063	trait-clar	usa	3	recompte ASR; revisió auditiva pendent
pa-064	trait-clar	usa	3	recompte ASR; revisió auditiva pendent
pa-065	trait-clar	usa	13	recompte ASR; revisió auditiva pendent
pa-001	trait-vull-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-002	trait-vull-dir	usa	5	recompte ASR; revisió auditiva pendent
pa-004	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-014	trait-vull-dir	usa	8	recompte ASR; revisió auditiva pendent
pa-016	trait-vull-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-017	trait-vull-dir	usa	5	recompte ASR; revisió auditiva pendent
pa-020	trait-vull-dir	usa	12	recompte ASR; revisió auditiva pendent
pa-021	trait-vull-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-022	trait-vull-dir	usa	4	recompte ASR; revisió auditiva pendent
pa-023	trait-vull-dir	usa	20	recompte ASR; revisió auditiva pendent
pa-025	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-026	trait-vull-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-027	trait-vull-dir	usa	5	recompte ASR; revisió auditiva pendent
pa-030	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-031	trait-vull-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-032	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-033	trait-vull-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-034	trait-vull-dir	usa	156	recompte ASR; revisió auditiva pendent
pa-036	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-037	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-038	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-041	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-045	trait-vull-dir	usa	3	recompte ASR; revisió auditiva pendent
pa-048	trait-vull-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-049	trait-vull-dir	usa	23	recompte ASR; revisió auditiva pendent
pa-055	trait-vull-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-056	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-058	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-059	trait-vull-dir	usa	5	recompte ASR; revisió auditiva pendent
pa-060	trait-vull-dir	usa	20	recompte ASR; revisió auditiva pendent
pa-061	trait-vull-dir	usa	2	recompte ASR; revisió auditiva pendent
pa-062	trait-vull-dir	usa	10	recompte ASR; revisió auditiva pendent
pa-063	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-065	trait-vull-dir	usa	1	recompte ASR; revisió auditiva pendent
pa-001	trait-o-sigui	usa	10	recompte ASR; revisió auditiva pendent
pa-005	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-006	trait-o-sigui	usa	4	recompte ASR; revisió auditiva pendent
pa-009	trait-o-sigui	usa	2	recompte ASR; revisió auditiva pendent
pa-014	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-015	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-016	trait-o-sigui	usa	2	recompte ASR; revisió auditiva pendent
pa-022	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-024	trait-o-sigui	usa	2	recompte ASR; revisió auditiva pendent
pa-025	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-026	trait-o-sigui	usa	4	recompte ASR; revisió auditiva pendent
pa-027	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-029	trait-o-sigui	usa	2	recompte ASR; revisió auditiva pendent
pa-030	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-034	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-038	trait-o-sigui	usa	7	recompte ASR; revisió auditiva pendent
pa-040	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-045	trait-o-sigui	usa	20	recompte ASR; revisió auditiva pendent
pa-046	trait-o-sigui	usa	2	recompte ASR; revisió auditiva pendent
pa-048	trait-o-sigui	usa	1	recompte ASR; revisió auditiva pendent
pa-049	trait-o-sigui	usa	8	recompte ASR; revisió auditiva pendent
