segment	inici_s	final_s	rol_provisional	confiança	motiu	text_asr	estat
49	234.480	239.480	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	quasi urbà, no? Més urbà que per per els hàbits que tenim.	heurística textual; pendent d'audició
50	239.480	243.480	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que llavors el... I amb la primera edat que tenim,	heurística textual; pendent d'audició
51	243.480	249.160	joan-mico-probable	baixa	segment llarg compatible amb resposta	No és que ara estem en una situació, és que dins de pocs anys cada cop necessitarà més gent,	heurística textual; pendent d'audició
52	249.160	256.240	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè al enviar-se a la població, simplement per reemplar les persones que s'han de jubilar,	heurística textual; pendent d'audició
53	256.240	261.240	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	doncs no tenim suficients fills, no? No tenim.	heurística textual; pendent d'audició
54	261.240	265.200	indeterminat	baixa	no hi ha senyal textual suficient	-No hi ha prou natalitat. -No hi ha prou natalitat, i això sembla que no canviarà.	heurística textual; pendent d'audició
55	265.200	270.200	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que és un procés irreversible. És clar, això, com passa també a altres ciutats europeus,	heurística textual; pendent d'audició
56	270.200	282.200	joan-mico-probable	baixa	segment llarg compatible amb resposta	És un procés complex, però la part positiva és que s'ha de mirar al costat que s'està enriquint molt.	heurística textual; pendent d'audició
57	282.200	289.200	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Joan, el gènere és un altre eix de desigualtat?	heurística textual; pendent d'audició
58	289.200	296.200	indeterminat	baixa	no hi ha senyal textual suficient	Sí, sí, clar, quan parlem de desigualtat són molts factors, llavors el gènere és un dels factors.	heurística textual; pendent d'audició
59	296.200	303.200	joan-mico-probable	baixa	segment llarg compatible amb resposta	La situació és que, també quan parlem de la desigualtat ha de semblar que sigui el factor aquest més important i està tot barrejat.	heurística textual; pendent d'audició
60	303.200	306.200	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que el gènere és important, però no és el mateix.	heurística textual; pendent d'audició
61	306.200	318.200	joan-mico-probable	baixa	segment llarg compatible amb resposta	Doncs una senyora anantolla que està treballant de cuidadora o de netejar no que sigui, que en major part són dones.	heurística textual; pendent d'audició
62	318.200	324.200	joan-mico-probable	baixa	segment llarg compatible amb resposta	Vull dir que això és una desigualtat que no una persona que treballa a l'administració, que té un carrer cal i que és una dona.	heurística textual; pendent d'audició
63	324.200	328.680	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que, realment, hi ha altres factors que determinen també.	heurística textual; pendent d'audició
64	328.680	331.400	indeterminat	baixa	no hi ha senyal textual suficient	Però, en general, és un factor.	heurística textual; pendent d'audició
65	331.400	334.280	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	-Això ens portaria a parlar també del famós sostre de vidre?	heurística textual; pendent d'audició
66	334.280	336.680	indeterminat	baixa	no hi ha senyal textual suficient	-Sí, sí, el sostre...	heurística textual; pendent d'audició
67	336.680	339.800	indeterminat	baixa	no hi ha senyal textual suficient	Bueno, el sostre de vidre és un tema molt, molt interessant,	heurística textual; pendent d'audició
68	339.800	342.680	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè en societats que, en principi,	heurística textual; pendent d'audició
69	342.680	346.680	joan-mico-probable	baixa	primera persona i resposta desenvolupada	semblaria que tradicionalment em pensen que estan més avançades,	heurística textual; pendent d'audició
70	346.680	350.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	com al nord europei i tal, doncs encarar el continuant tenint.	heurística textual; pendent d'audició
71	350.920	359.360	indeterminat	baixa	no hi ha senyal textual suficient	Ja haurem de ser capaços de que això cada cop sigui menys important,	heurística textual; pendent d'audició
72	359.360	365.080	indeterminat	baixa	no hi ha senyal textual suficient	però hi ha una realitat, una realitat és que sobretot quan es fan estudis fora,	heurística textual; pendent d'audició
73	365.080	369.000	indeterminat	baixa	no hi ha senyal textual suficient	un dels factors que condiciona aquest sostre de vidre és quan les persones tenen fills,	heurística textual; pendent d'audició
74	369.000	374.600	indeterminat	baixa	no hi ha senyal textual suficient	i sobretot les dones, són les que al final se n'ocupen més,	heurística textual; pendent d'audició
75	374.600	379.880	indeterminat	baixa	no hi ha senyal textual suficient	i això determina que està en un temps sense treballar, després al tornar a la feina,	heurística textual; pendent d'audició
76	379.880	386.320	indeterminat	baixa	no hi ha senyal textual suficient	doncs no tenen, o sigui, clar, els homes es poden dedicar a fer més hores,	heurística textual; pendent d'audició
77	386.320	389.120	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	el que sigui, al final això condiciona molt, no?	heurística textual; pendent d'audició
78	389.120	393.240	indeterminat	baixa	no hi ha senyal textual suficient	Clar, la solució ha de passar per això, perquè tant els homes com les dones,	heurística textual; pendent d'audició
79	393.240	398.840	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	doncs dediquem el mateix temps a la cura dels tres fills, no?	heurística textual; pendent d'audició
80	398.840	403.960	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Igualtat de condicions, cosa que encara, encara ens queda camí, eh?	heurística textual; pendent d'audició
81	403.960	414.920	joan-mico-probable	baixa	segment llarg compatible amb resposta	Sí, sí, sí, al final també és la, bueno, el monument feminista és una gran revolució que hem tingut.	heurística textual; pendent d'audició
82	414.920	422.280	joan-mico-probable	baixa	segment llarg compatible amb resposta	I el monument feminista ha passat i que està molt bé amb el fet que les dones podien fer les mateixes coses que els som a més.	heurística textual; pendent d'audició
83	422.280	426.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Però en el procés ara inversa, no? De les coses tradicionals que feien.	heurística textual; pendent d'audició
84	426.920	435.520	joan-mico-probable	baixa	segment llarg compatible amb resposta	O sigui, la paraquesta de cura en un sistema, que tot el que ens paga no es valora.	heurística textual; pendent d'audició
85	435.520	438.760	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir, nosaltres amb ella no hem assumit aquesta banda,	heurística textual; pendent d'audició
86	438.760	441.720	indeterminat	baixa	no hi ha senyal textual suficient	tant com les dones han assumit la paraqueta per fora.	heurística textual; pendent d'audició
87	441.720	446.000	indeterminat	baixa	no hi ha senyal textual suficient	Bueno, això és el dilema.	heurística textual; pendent d'audició
88	446.000	449.240	indeterminat	baixa	no hi ha senyal textual suficient	Clar, llavors dius que els homes no ho volen fer, no, és més complexe.	heurística textual; pendent d'audició
89	449.240	451.880	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que també el sistema també no dificulta.	heurística textual; pendent d'audició
90	451.880	456.400	indeterminat	baixa	no hi ha senyal textual suficient	Dificulta, vull dir que segurament cada cop ja en més països	heurística textual; pendent d'audició
91	456.400	459.640	indeterminat	baixa	no hi ha senyal textual suficient	que les baixes, per exemple, de maternitat al somri,	heurística textual; pendent d'audició
92	459.720	464.760	indeterminat	baixa	no hi ha senyal textual suficient	estan obligats, però tot això s'ha d'anar més cap aquí.	heurística textual; pendent d'audició
93	465.840	469.440	joan-mico-probable	baixa	primera persona i resposta desenvolupada	Jo sempre dic que, si hagués tingut un fill,	heurística textual; pendent d'audició
94	469.520	471.960	joan-mico-probable	baixa	primera persona i resposta desenvolupada	jo imagino que m'hagués fet molta il·lusió	heurística textual; pendent d'audició
95	472.040	473.840	indeterminat	baixa	no hi ha senyal textual suficient	i imagino que hagués dit a l'empresa.	heurística textual; pendent d'audició
96	473.920	476.360	joan-mico-probable	baixa	primera persona i resposta desenvolupada	Jo també vull gaudir del meu fill, però...	heurística textual; pendent d'audició
97	476.440	479.480	indeterminat	baixa	no hi ha senyal textual suficient	Clar. No, no, és que la solució no és que diguis...	heurística textual; pendent d'audició
98	479.560	485.120	indeterminat	baixa	no hi ha senyal textual suficient	És que la cura dels fills és un factor de realització personal,	heurística textual; pendent d'audició
99	485.200	489.120	indeterminat	baixa	no hi ha senyal textual suficient	I està molt bé que sigui tradicionalment que hi hagi les dones	heurística textual; pendent d'audició
100	489.120	491.720	indeterminat	baixa	no hi ha senyal textual suficient	i el que hem de fer nosaltres és que sigui el mateix.	heurística textual; pendent d'audició
101	491.720	496.920	joan-mico-probable	baixa	segment llarg compatible amb resposta	I el que ha passat o el que s'està passant o continua passant és que ja no és un problema,	heurística textual; pendent d'audició
102	496.920	502.640	joan-mico-probable	baixa	primera persona i resposta desenvolupada	jo crec que en la major part dels casos de masclisme i tal,	heurística textual; pendent d'audició
103	502.640	506.240	indeterminat	baixa	no hi ha senyal textual suficient	sinó que és un problema que, al final, les parelles s'organitza de tota manera	heurística textual; pendent d'audició
104	506.240	510.640	indeterminat	baixa	no hi ha senyal textual suficient	que l'home és el principal guanyat de pa i la dona la principal cuidadora.	heurística textual; pendent d'audició
105	510.640	520.520	joan-mico-probable	baixa	primera persona i resposta desenvolupada	I això és una cosa que hem de disoldre en el sentit de que jo hi ha parelles que fa una cosa i una altra, però que no sigui determinat tant pel gènere.	heurística textual; pendent d'audició
106	520.520	528.200	joan-mico-probable	baixa	segment llarg compatible amb resposta	Tinc la sensació, això és collita pròpia, de que ho tenim tots plegats i tots plegats, vull dir, homes i dones, molt interioritzats.	heurística textual; pendent d'audició
107	528.200	536.840	mixt-indeterminat	baixa	pregunta i resposta possible dins el mateix segment	-Sí. -Jo he conegut dones que no et donen ni peu, no? No, no, això m'encarrego jo, no?	heurística textual; pendent d'audició
108	536.840	542.000	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Bueno, perquè és perquè ja és clar, això ja ve de la costum, no?	heurística textual; pendent d'audició
109	542.360	549.600	joan-mico-probable	baixa	segment llarg compatible amb resposta	I ja veig, o sigui, el fet d'aquesta vegada, o sigui, el que es tracta és que es valori aquesta feina.	heurística textual; pendent d'audició
110	549.600	557.840	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	És com si tens un fill i una filla i abans la filla és la que es cuidava de la que ajudava la mare, que això està fatal, no?	heurística textual; pendent d'audició
111	557.840	560.720	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Però el que no pot ser és que ni la filla ni el fill ajudi, no?	heurística textual; pendent d'audició
112	560.720	569.840	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que les feines de casa domèstiques que siguin feines que es valorin també,	heurística textual; pendent d'audició
113	569.840	572.240	indeterminat	baixa	no hi ha senyal textual suficient	però per dos, no que es decideixin de valorar.	heurística textual; pendent d'audició
114	572.240	575.760	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que el que tradicionaven feines les dones estava molt bé.	heurística textual; pendent d'audició
115	575.760	581.680	joan-mico-probable	baixa	segment llarg compatible amb resposta	I el que hem de aconseguir és que nosaltres també arribem al mateix nivell que tenien elles abans.	heurística textual; pendent d'audició
116	581.680	587.920	indeterminat	baixa	no hi ha senyal textual suficient	Escolta'm, Joan, per què ens costa tant entendre que per la mateixa feina	heurística textual; pendent d'audició
117	587.920	590.920	indeterminat	baixa	no hi ha senyal textual suficient	Un o una dona han de cobrar el mateix.	heurística textual; pendent d'audició
118	591.920	594.920	joan-mico-probable	baixa	primera persona i resposta desenvolupada	-Bueno, això és... Home, jo crec que ara això...	heurística textual; pendent d'audició
119	594.920	597.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	-Va canviar, eh? -Va canviar, però sí.	heurística textual; pendent d'audició
120	597.920	601.920	indeterminat	baixa	no hi ha senyal textual suficient	Encara ha hagut... Encara sí, encara hi ha hagut alguna situació.	heurística textual; pendent d'audició
121	601.920	602.920	indeterminat	baixa	no hi ha senyal textual suficient	Encara hi ha hagut una situació.	heurística textual; pendent d'audició
122	602.920	605.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Què passa és que quan parlem de la mitjana,	heurística textual; pendent d'audició
123	605.920	607.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	que és divu, no?	heurística textual; pendent d'audició
124	607.920	610.920	indeterminat	baixa	no hi ha senyal textual suficient	La diferència entre els homes i dones de mitjana	heurística textual; pendent d'audició
125	610.920	614.920	indeterminat	baixa	no hi ha senyal textual suficient	és un 15% o 20% més que els homes i dones de mitjana.	heurística textual; pendent d'audició
126	614.920	619.800	indeterminat	baixa	no hi ha senyal textual suficient	Rader és sí que hi ha casos de que ja el mateix feina la dona cobraments,	heurística textual; pendent d'audició
127	619.880	623.200	indeterminat	baixa	no hi ha senyal textual suficient	però hi ha altres factors que determinarà aquesta mitjana, que per exemple,	heurística textual; pendent d'audició
128	623.280	628.360	indeterminat	baixa	no hi ha senyal textual suficient	hi ha més caps, o més que dones, això és una desigualtat.	heurística textual; pendent d'audició
129	628.440	634.440	indeterminat	baixa	no hi ha senyal textual suficient	Hi ha tipus de feines diferents, amb la qual les feines més feminitzades cobrant menys,	heurística textual; pendent d'audició
130	634.520	641.840	indeterminat	baixa	no hi ha senyal textual suficient	les feines per exemple d'oficis, la construcció, tot això que continua sent més masculí,	heurística textual; pendent d'audició
131	641.920	644.360	indeterminat	baixa	no hi ha senyal textual suficient	doncs això tenen uns salaris més sals, en canvi,	heurística textual; pendent d'audició
132	644.440	647.520	indeterminat	baixa	no hi ha senyal textual suficient	fins i tot els oficis més feminitzats,	heurística textual; pendent d'audició
133	647.600	651.240	indeterminat	baixa	no hi ha senyal textual suficient	per tant, per oqueria i tal, doncs tenen els salaris menors.	heurística textual; pendent d'audició
134	651.320	653.440	indeterminat	baixa	no hi ha senyal textual suficient	I després ja...	heurística textual; pendent d'audició
135	653.520	657.720	indeterminat	baixa	no hi ha senyal textual suficient	Bé, ara ja més factors, però vull dir que, a final,	heurística textual; pendent d'audició
136	657.800	662.160	indeterminat	baixa	no hi ha senyal textual suficient	aquest conllus de factors, el que determinen és que la mitjana final	heurística textual; pendent d'audició
137	662.240	663.600	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	segueix aquesta, no?	heurística textual; pendent d'audició
138	663.680	668.120	indeterminat	baixa	no hi ha senyal textual suficient	Però, a final, la part que és que cobren diferent	heurística textual; pendent d'audició
139	668.200	669.920	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	a millor no és tan elevada, no?	heurística textual; pendent d'audició
140	670.000	672.920	indeterminat	baixa	no hi ha senyal textual suficient	-Amb la mateixa responsabilitat... -Amb la mateixa responsabilitat.	heurística textual; pendent d'audició
141	673.000	675.480	indeterminat	baixa	no hi ha senyal textual suficient	Si després hi ha altres factors, com per exemple això que diem abans,	heurística textual; pendent d'audició
142	675.560	679.240	indeterminat	baixa	no hi ha senyal textual suficient	en somés per aquesta divisió que hi ha a casa,	heurística textual; pendent d'audició
143	679.320	683.360	indeterminat	baixa	no hi ha senyal textual suficient	doncs poden dedicar més hores a la feina, a fer més hores extres,	heurística textual; pendent d'audició
144	683.440	689.080	indeterminat	baixa	no hi ha senyal textual suficient	o que faci que també puguin augmentar més l'escalafó,	heurística textual; pendent d'audició
145	689.160	692.880	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè les dones estan més dedicades a la llal,	heurística textual; pendent d'audició
146	692.960	697.520	indeterminat	baixa	no hi ha senyal textual suficient	vull dir que tot això és com... és junta,	heurística textual; pendent d'audició
147	697.600	700.040	indeterminat	baixa	no hi ha senyal textual suficient	i, al final, fos que hi ha aquesta diferència.	heurística textual; pendent d'audició
148	701.640	705.480	indeterminat	baixa	no hi ha senyal textual suficient	La paritat ha vingut, i ho entenc perfectament,	heurística textual; pendent d'audició
149	705.560	708.880	indeterminat	baixa	no hi ha senyal textual suficient	per donar aquesta oportunitat a les dones,	heurística textual; pendent d'audició
150	708.960	711.560	joan-mico-probable	baixa	primera persona i resposta desenvolupada	però jo sempre dic que, Joan, per antenna,	heurística textual; pendent d'audició
151	711.640	714.120	joan-mico-probable	baixa	primera persona i resposta desenvolupada	i no em cansaré de fer-ho, que no hi crec, amb la paritat.	heurística textual; pendent d'audició
152	714.200	716.600	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Perquè si jo tinc una empresa i vull que funcioni bé,	heurística textual; pendent d'audició
153	716.680	720.760	indeterminat	baixa	no hi ha senyal textual suficient	i faig 100 entrevistes i vec, necessito 10 persones,	heurística textual; pendent d'audició
154	721.360	726.120	indeterminat	baixa	no hi ha senyal textual suficient	10 noies, més ben preparades que 10 nois, agafaré 10 noies.	heurística textual; pendent d'audició
155	726.200	728.280	indeterminat	baixa	no hi ha senyal textual suficient	-Clar. -Sí, sí.	heurística textual; pendent d'audició
156	728.360	731.520	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	Si és a l'inrevés a l'inrevés, però per què ha de ser cinc i cinc?	heurística textual; pendent d'audició
157	731.600	734.200	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir, això de la paritat és a vegades pervers,	heurística textual; pendent d'audició
158	734.280	736.040	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè el mío em fan falta més dones comes.	heurística textual; pendent d'audició
159	736.120	740.440	joan-mico-probable	baixa	primera persona i resposta desenvolupada	Clar, bueno, jo crec que poden ser polítiques puntuals,	heurística textual; pendent d'audició
160	740.520	743.160	indeterminat	baixa	no hi ha senyal textual suficient	però el que dius tu tens tota la raó.	heurística textual; pendent d'audició
161	743.240	746.360	indeterminat	baixa	no hi ha senyal textual suficient	Sí, el que s'ha de solucionar és la diferència estructural.	heurística textual; pendent d'audició
162	746.440	749.600	indeterminat	baixa	no hi ha senyal textual suficient	Vull dir que no que un empresari	heurística textual; pendent d'audició
163	749.680	754.320	indeterminat	baixa	no hi ha senyal textual suficient	o dintre de l'administració o les polítiques.	heurística textual; pendent d'audició
164	754.400	759.680	indeterminat	baixa	no hi ha senyal textual suficient	Han de ser la meitat. No, això no és un més que d'obligar, és que estructuralment, doncs,	heurística textual; pendent d'audició
165	759.680	766.480	joan-mico-probable	baixa	segment llarg compatible amb resposta	que allà cada cop més dones, o que no sigui un factor determinar el ser o m'heu donat.	heurística textual; pendent d'audició
166	766.480	772.080	joan-mico-probable	baixa	segment llarg compatible amb resposta	A final, això no ha de ser tan important. De fet, doncs el que dius, tu abans, a vegades,	heurística textual; pendent d'audició
167	772.080	778.240	indeterminat	baixa	no hi ha senyal textual suficient	el discurs d'una dona pot ser molt masclista, i el d'un home, doncs, és molt feminista,	heurística textual; pendent d'audició
168	778.240	781.600	indeterminat	baixa	no hi ha senyal textual suficient	O no vull dir que això no és una gran funció també.	heurística textual; pendent d'audició
169	781.800	784.400	indeterminat	baixa	no hi ha senyal textual suficient	Seria tot molt més fàcil, si fos tot tan clar.	heurística textual; pendent d'audició
170	784.600	787.960	indeterminat	baixa	no hi ha senyal textual suficient	Un home és així, una dona no, és tot més complexe.	heurística textual; pendent d'audició
171	788.160	790.120	indeterminat	baixa	no hi ha senyal textual suficient	Joan, un factor de desigualtat.	heurística textual; pendent d'audició
172	790.320	793.760	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	També és el col·lectiu LGTBIQ més?	heurística textual; pendent d'audició
173	793.960	795.120	indeterminat	baixa	no hi ha senyal textual suficient	Sí, sí, sí.	heurística textual; pendent d'audició
174	795.320	799.000	indeterminat	baixa	no hi ha senyal textual suficient	I això és la gran revolució que estem veient en aquest moment.	heurística textual; pendent d'audició
175	799.200	802.720	indeterminat	baixa	no hi ha senyal textual suficient	És una gran revolució, una gran revolució que, per exemple,	heurística textual; pendent d'audició
176	802.920	806.320	indeterminat	baixa	no hi ha senyal textual suficient	per la meva generació és molt interessant.	heurística textual; pendent d'audició
177	806.520	814.760	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	perquè sí que en les gestions més joves hi havia la mòcsexualitat,	heurística textual; pendent d'audició
178	814.840	817.120	indeterminat	baixa	no hi ha senyal textual suficient	tot això cada cop estava més assumida.	heurística textual; pendent d'audició
179	817.200	823.080	indeterminat	baixa	no hi ha senyal textual suficient	Sí que va ser un gran pas el fet del casament a Espanya,	heurística textual; pendent d'audició
180	823.160	830.360	indeterminat	baixa	no hi ha senyal textual suficient	i això va ser un avanç i un després per el reconeixement del col·lectiu.	heurística textual; pendent d'audició
181	830.440	836.160	indeterminat	baixa	no hi ha senyal textual suficient	Però ara tot aquest ventall de possibilitats de situar-te	heurística textual; pendent d'audició
182	836.240	842.240	entrevistador-probable	mitjana	marcador interrogatiu o inici de pregunta	on van i donen. Això és un ventall que és molt molt molt curiós i que és interessant.	heurística textual; pendent d'audició
183	842.240	847.240	indeterminat	baixa	no hi ha senyal textual suficient	Aquí sí que tenim tots plegats molts prejudicis, la societat en general, avui dia.	heurística textual; pendent d'audició
