fitxer	titol	estat	nota
raw/corpus-parla-andorrana/proveniencia/pa-019/README.md	Procedència — pa-019 — Pere Altimir Pintat	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-020/README.md	Procedència — pa-020 — Guillem Areny Argelich	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-021/README.md	Procedència — pa-021 — Josep Areny Fité	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-022/README.md	Procedència — pa-022 — Miquel Armengol Pons	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-023/README.md	Procedència — pa-023 — Antoni Armengol Vila	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-024/README.md	Procedència — pa-024 — Ladislau Baró Solà	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-025/README.md	Procedència — pa-025 — Jaume Bartumeu Cassany	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-026/README.md	Procedència — pa-026 — Ramon Canut Bové	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-027/README.md	Procedència — pa-027 — Enric Casadevall Medrano	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-028/README.md	Procedència — pa-028 — Robert Cassany Vila	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-029/README.md	Procedència — pa-029 — Gabriel Dallerès Codina	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-030/README.md	Procedència — pa-030 — Enric Dolsa Font	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-031/README.md	Procedència — pa-031 — Josep Garrallà Rossell	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-032/README.md	Procedència — pa-032 — Andreu Gaspà Picart	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-033/README.md	Procedència — pa-033 — Antoni Jordi Areny	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-034/README.md	Procedència — pa-034 — Rosa Maria Mandicó Alcobé	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-035/README.md	Procedència — pa-035 — Josep Marsal Riba	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-036/README.md	Procedència — pa-036 — Jordi Mas Torres	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-037/README.md	Procedència — pa-037 — Miquel Naudi Casal	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-038/README.md	Procedència — pa-038 — Maria Reig Moles	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-039/README.md	Procedència — pa-039 — Joan Santamaria Terré	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-040/README.md	Procedència — pa-040 — Jordi Torres Alís	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-041/README.md	Procedència — pa-041 — Mercè Segura	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-042/README.md	Procedència — pa-042 — Cielo	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-043/README.md	Procedència — pa-043 — Irene Clua	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-044/README.md	Procedència — pa-044 — Casimir Arajol	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-045/README.md	Procedència — pa-045 — Eudald Guillamet	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-046/README.md	Procedència — pa-046 — Josep Areny	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-047/README.md	Procedència — pa-047 — Gualbert Osorio	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-048/README.md	Procedència — pa-048 — Antoni Morell	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-049/README.md	Procedència — pa-049 — Angelina Mas	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-050/README.md	Procedència — pa-050 — Àngels Mach	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-051/README.md	Procedència — pa-051 — Josep Casal	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-052/README.md	Procedència — pa-052 — Rosa Vidal	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-053/README.md	Procedència — pa-053 — Pere Torres	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-054/README.md	Procedència — pa-054 — Trini Mandicó Baró	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-055/README.md	Procedència — pa-055 — Ramon Canut Bové	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-056/README.md	Procedència — pa-056 — Enric Dolsa Font	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-057/README.md	Procedència — pa-057 — Gabriel Dallerès Codina	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-058/README.md	Procedència — pa-058 — Miquel Aleix Areny	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-059/README.md	Procedència — pa-059 — Nadia Aleix Tugas	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-060/README.md	Procedència — pa-060 — Antoni Armengol Vila	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-061/README.md	Procedència — pa-061 — Patrick Pérez	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-062/README.md	Procedència — pa-062 — Jordi Marquet	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-063/README.md	Procedència — pa-063 — Roser Jordana	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-064/README.md	Procedència — pa-064 — Daniel Armengol	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-065/README.md	Procedència — pa-065 — Mossèn Ramon de Canillo	identificable	
raw/corpus-parla-andorrana/proveniencia/pa-066/README.md	Procedència — pa-066 — Carles Sasplugas	identificable	
raw/llengua-usos-linguistics/annexos-toponims/3_Fitxa_Segudet.README.md	Segudet (Ordino) — fitxa toponímica i fisiogràfica	identificable	
raw/sac-debats-recerca/dr13-2020-instantanies-historiques.README.md	13ns Debats de recerca — Instantànies històriques (2021)	identificable	
raw/sac-debats-recerca/nova-reforma-1866/README.md	150 anys de la Nova Reforma (1866–2016)	identificable	
raw/sac-papers-recerca/badia-concordat-espanyol-andorra-1934.README.md	*El projecte de concordat espanyol de 1934 i les seves implicacions sobre Andorra*	identificable	
raw/sac-papers-recerca/massa-moments-sobirania-andorra-2023.README.md	*Moments delicats en la sobirania d’Andorra als segles XVIII, XIX i XX*	identificable	
raw/web/costums/bascompte-guerra-segadors-andorra-2025.README.md	La guerra dels Segadors i Andorra — captura local	identificable	
raw/web/cultura/edicio-andorra-cervantes.README.md	La edición en Andorra — EDI-RED, captura local	identificable	
raw/web/cultura/fotografia/casa-rossell-nena-1890-1920/README.md	Una nena al pati d’una casa (1890–1920)	identificable	
raw/web/cultura/fotografia/dos-soldats-casa-rossell-1890-1920/README.md	Dos soldats en un grup al bosc (1890–1920)	identificable	
raw/web/cultura/fotografia/festa-major-andorra-vella-1900-1913/README.md	Una plaça decorada a Andorra la Vella (1900–1913)	identificable	
raw/web/cultura/fotografia/visita-benlloch-1908/README.md	La visita oficial del bisbe Benlloch (1908)	identificable	
raw/web/cultura/radio-andorra/govern-radio-andorra-2011.README.md	*L'incroyable aventure de Radio Andorra*	identificable	
raw/web/cultura/transport/primera-maquina-llevaneu-1936/README.md	Una màquina llevaneu Ford a Andorra (1936)	identificable	
raw/web/duanes/gaceta-madrid-acta-amojonament-andorra-1868/README.md	Acta final d'amollonament des d'Andorra fins al Mediterrani, 1868	identificable	
raw/web/duanes/gaceta-madrid-cupos-andorra-1923/README.md	Cupos de franquícia d'Andorra, 1923	identificable	
raw/web/duanes/gaceta-madrid-cupos-andorra-1924/README.md	Cupos de franquícia d'Andorra, 1924	identificable	
raw/web/duanes/gaceta-madrid-cupos-andorra-1925/README.md	Cupos de franquícia d'Andorra, 1925	identificable	
raw/web/duanes/gaceta-madrid-cupos-andorra-1926/README.md	Cupos de franquícia d'Andorra, 1926	identificable	
raw/web/duanes/gaceta-madrid-cupos-andorra-1931/README.md	Cupos de franquícia d'Andorra, 1931	identificable	
raw/web/duanes/gaceta-madrid-franquicies-andorra-1867/README.md	Restabliment de la franquícia d'Andorra, 1867	identificable	
raw/web/duanes/gaceta-madrid-franquicies-andorra-1922/README.md	Real decreto de franquícies d'Andorra, 1922	identificable	
raw/web/duanes/gaceta-madrid-tratado-limits-andorra-1866/README.md	Tractat de límits des d'Andorra fins al Mediterrani, 1866	identificable	
raw/web/esports/govern-historia-esqui-1956.README.md	De les aigües termals al Duralex — història de l’esquí d’Andorra	identificable	
raw/web/historia/antic-regim/enciclopedia-andorra-edictes-1607-1620.README.md	Andorra a la Gran Enciclopèdia Catalana — edictes de 1607 i 1620	identificable	
raw/web/historia/anys-daurats/plandolit-andorra-agricola-govern.README.md	Pau Xavier Areny de Plandolit i la revista Andorra Agrícola — captura local	identificable	
raw/web/historia/camp-del-perot/memoria-forn-cal-terrissaire-2022.README.md	Camp del Perot: memòria arqueològica de Cal Terrissaire	identificable	
raw/web/historia/democratitzacio/reveil-andorre-bnf-1931.README.md	Le Réveil de l’Andorre (fitxa BnF, 1931)	identificable	
raw/web/historia/enquesta-1347/README.md	L’enquesta de 1347	identificable	
raw/web/historia/notariat-1356/README.md	Taxes dels notaris (1356)	identificable	
raw/web/historia/primera-guerra/bondia-altra-guerra-mundial-i-nosaltres.README.md	L’altra guerra mundial i nosaltres — el cas dels soldats turcs	identificable	
raw/web/historia/privilegis-1611/README.md	Lluís XIII confirma els privilegis d’Andorra (1611)	identificable	
raw/web/historia/privilegis-vitualles-1606/README.md	La sal i els camins de les mercaderies a Sant Julià de Lòria	identificable	
raw/web/historia/reforma-1866/mjp-reforma-1866.README.md	*Andorre, Plan de réforme de 1866* — Digithèque MJP	identificable	
raw/web/historia/revolucio-1933/govern-peca-mes-2026.README.md	*El coronel Baulard* — La peça del mes (març de 2026)	identificable	
raw/web/historia/roc-enclar/zona-arqueologica-roc-enclar.README.md	Zona arqueològica del Roc d’Enclar	identificable	
raw/web/historia/terra-de-bruixes/README.md	Andorra, Terra de Bruixes	identificable	
raw/web/institucions/archives-diplomatiques/andorre-1652-1882/inventari-6MD.README.md	*Mémoires et Documents / Andorre, 1652–1882*	identificable	
raw/web/institucions/archives-diplomatiques/casino-1868/6md1-casino-1868.README.md	Expedient diplomàtic francès sobre el conflicte del casino d’Andorra (1868)	identificable	
raw/web/institucions/archives-diplomatiques/reforma-1866/6md1-reforma-1866.README.md	Expedient diplomàtic francès de la Reforma d’Andorra (1866)	identificable	
raw/web/institucions/archives-diplomatiques/reforma-1867/6md1-reforma-1867.README.md	Nota diplomàtica francesa sobre la Nova Constitució d’Andorra (abril de 1867)	identificable	
raw/web/institucions/arxiu-casa-rossell/apoca-dot-ordino-1581/README.md	Una mare i una filla reconeixen un dot, 1581	identificable	
raw/web/institucions/arxiu-casa-rossell/debitori-dot-margarida-vilar-1374/README.md	Debitori del dot de Margarida Vilar, 1374	identificable	
raw/web/institucions/arxiu-casa-rossell/enviaments-ferro-1808/README.md	Llibre d’enviaments de ferro, 1808	identificable	
raw/web/institucions/arxiu-casa-rossell/rebut-dandine-ferro-1812/README.md	Rebut de Jacques Dandine per comptes de la farga, 1812	identificable	
raw/web/institucions/arxiu-casa-rossell/testament-joan-vilar-1441/README.md	Testament de Joan Vilar de la Cortinada, 1441	identificable	
raw/web/institucions/arxiu-casa-rossell/testaments-vilar-1487-1529/README.md	Dos testaments de la Cortinada, 1487 i 1529	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/README.md	Arxiu Comunal d’Andorra — inventari de documents 1907–1919	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/cens-anual-lles-1600/README.md	Un rebut del cens anual que Andorra paga a Lles, 1600	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/censos-pera-1635-1642/README.md	La muntanya de la Pera apareix en una apoca i en rebuts de censos, 1635–1642	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/concòrdia-lles-1570/README.md	Lles i Andorra signen una concòrdia pels emprius, 1570	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/empriu-pera-arancer-1481/README.md	Arànser ratifica l’acord sobre la muntanya de la Pera, 1481	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/empriu-pera-audiencia-1572/README.md	La disputa de la Pera arriba a la Reial Audiència, 1572	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/empriu-pera-venda-1475/README.md	La venda perpètua que obre la seqüència de la Pera, 1475	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/emprius-lles-travesseres-1386/README.md	Els emprius andorrans de Lles i Travesseres arriben al tribunal de Puigcerdà	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/franquicia-cerdanya-1631-1634/README.md	Les declaracions de 1631 ja tenen còpia digital directa	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/lleuda-querol-1401/README.md	La sentència de 1401 sobre la lleuda de Querol té pergamí digital	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/pagament-cens-lles-1489/README.md	Un pagament de cens que el batlle de Travesseres no vol rebre, 1489	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/peticio-justicia-urgell-1409/README.md	Petició perquè l’oficial d’Urgell administri justícia, 1409	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/proces-empriu-cantabra-pera-1542/README.md	Un procés judicial llarg pels emprius de Cantabrà i la Pera, 1542	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/rodalia-empriu-pera-1792/README.md	La rodalia de l’empriu de la Pera es descriu per fites, 1792	identificable	
raw/web/institucions/arxiu-nacional/arxiu-comunal-andorra/sentencia-pera-1572-original-traduccio/README.md	L’original i la traducció d’una sentència sobre l’empriu de la Pera, 1572	identificable	
raw/web/institucions/arxiu-set-claus/alberga-1466/README.md	Alberga i servitud episcopal a Andorra, 1466	identificable	
raw/web/institucions/arxiu-set-claus/apelacio-lleuda-cerdanya-1465/README.md	Andorra apel·la contra la lleuda de Cerdanya, 1465	identificable	
raw/web/institucions/arxiu-set-claus/autoritzacio-residencia-francesc-pasto-1950/README.md	Un paleta de Castelló demana entrar i residir a Andorra	identificable	
raw/web/institucions/arxiu-set-claus/beques-noies-franca-1890/README.md	Beques franceses per a dues noies andorranes, 1890	identificable	
raw/web/institucions/arxiu-set-claus/blat-andorra-1904/README.md	Blat de Cerdanya repartit a Andorra (les Caldes i Andorra) el 1904	identificable	
raw/web/institucions/arxiu-set-claus/blat-encamp-1904/README.md	Blat de Cerdanya repartit a Encamp el 1904	identificable	
raw/web/institucions/arxiu-set-claus/blat-massana-1904/README.md	Blat de Cerdanya repartit a la Massana el 1904	identificable	
raw/web/institucions/arxiu-set-claus/blat-ordino-1904/README.md	Blat de Cerdanya repartit a Ordino el 1904	identificable	
raw/web/institucions/arxiu-set-claus/cartes-reina-navarra-1512/README.md	Guillem Cal d’Ordino aixeca acta de cartes de la reina de Navarra, 1512	identificable	
raw/web/institucions/arxiu-set-claus/certificat-residencia-quesada-1948/README.md	Una resident de Bacares és certificada a Grenoble	identificable	
raw/web/institucions/arxiu-set-claus/certificat-residencia-rispal-1956/README.md	Un certificat parroquial d’Antònia Rispal	identificable	
raw/web/institucions/arxiu-set-claus/collegi-foix-sucara-1672/README.md	Un nomenament al Col·legi de Foix, 1672	identificable	
raw/web/institucions/arxiu-set-claus/concordia-castellbo-pastures-1543/README.md	Concòrdia sobre passatge i pasturatge a Santa Cecília, 1543	identificable	
raw/web/institucions/arxiu-set-claus/concòrdia-batlle-1176-1379/README.md	Trasllat de la concòrdia sobre el batlle d’Andorra	identificable	
raw/web/institucions/arxiu-set-claus/contribucio-industrial-1849/README.md	Contribució industrial i de comerç, 1849	identificable	
raw/web/institucions/arxiu-set-claus/conveni-apotecari-balmes-1737/README.md	Pactes amb l’apotecari Francesc Balmes, 1737	identificable	
raw/web/institucions/arxiu-set-claus/conveni-banc-agricol-caixa-pensions-1934/README.md	Un conveni bancari andorrà es firma a Barcelona (1934)	identificable	
raw/web/institucions/arxiu-set-claus/demanda-passaport-adrià-benezet-1946/README.md	Una sol·licitud de passaport des de Besiers	identificable	
raw/web/institucions/arxiu-set-claus/execucio-lleuda-agramunt-1494-1503/README.md	Execució de la franquícia de lleuda d’Agramunt, 1494–1503	identificable	
raw/web/institucions/arxiu-set-claus/franquesa-lleuda-puigcerda-1646/README.md	El privilegi de 1646 té testimonis digitals directes	identificable	
raw/web/institucions/arxiu-set-claus/immunitat-1512/README.md	Manaments de Foix sobre presos i immunitat a Andorra	identificable	
raw/web/institucions/arxiu-set-claus/llibre-actes-1586-1723/README.md	Un llibre digitalitzat per comprovar les actes del segle XVII	identificable	
raw/web/institucions/arxiu-set-claus/napoleo-1806/asc-3709.info.README.md	ASC-3709 — Decret de Napoleó I, 27 de març de 1806	identificable	
raw/web/institucions/arxiu-set-claus/napoleo-1806/govern-peca-mes-2016.README.md	Còpia del decret de Napoleó I sobre Andorra — peça del mes (març de 2016)	identificable	
raw/web/institucions/arxiu-set-claus/napoleo-1806/mjp-decret-1806.README.md	Decret imperial de Napoleó I sobre Andorra (27 de març de 1806) — transcripció	identificable	
raw/web/institucions/arxiu-set-claus/noies-escola-normal-perpinya-1898/README.md	Correspondència sobre noies andorranes que estudien a Perpinyà	identificable	
raw/web/institucions/arxiu-set-claus/ordinacions-cort-1580/README.md	Ordinacions de la Cort contra quadrilles i rodamons, 1580	identificable	
raw/web/institucions/arxiu-set-claus/ordinacions-pastures-1340/README.md	Ordinacions sobre pastures i pas del bestiar, 1340	identificable	
raw/web/institucions/arxiu-set-claus/ordre-hospital-seu-1691/README.md	Una ordre de 1691 mobilitza animals per portar malalts a l’hospital	identificable	
raw/web/institucions/arxiu-set-claus/pagaments-oficis-consell-1820/README.md	El Consell paga el nunci i l’advocat, 1820	identificable	
raw/web/institucions/arxiu-set-claus/pagaments-salut-consell-1820/README.md	El Consell paga el lloguer i el salari de l’apotecari, 1820	identificable	
raw/web/institucions/arxiu-set-claus/pas-franca-dalleres-1868/README.md	Pase de Pere Dalleres para circular por Francia, 1868	identificable	
raw/web/institucions/arxiu-set-claus/passaport-filomena-albos-1941/README.md	Un passaport andorrà de 1941	identificable	
raw/web/institucions/arxiu-set-claus/passaports-seu-1840/README.md	El governador de Lleida respon sobre els passaports andorrans, 1840	identificable	
raw/web/institucions/arxiu-set-claus/pont-grau-1595/README.md	Sentència sobre el pont del Grau, 1595	identificable	
raw/web/institucions/arxiu-set-claus/potestat-defensa-muntanyes-1513/README.md	Trasllat de la potestat per defensar muntanyes i emprius, 1513	identificable	
raw/web/institucions/arxiu-set-claus/privilegi-fira-mercat-1402-1542/README.md	Ratificació de la fira anual i el mercat setmanal, 1542	identificable	
raw/web/institucions/arxiu-set-claus/privilegi-fira-sant-mateu-1542/README.md	Privilegi de fira per Sant Mateu, 1542	identificable	
raw/web/institucions/arxiu-set-claus/privilegi-franquesa-lleuda-foix-1366/README.md	Extracte del privilegi de franquesa de lleuda, 1366	identificable	
raw/web/institucions/arxiu-set-claus/privilegi-franquesa-oli-1265/README.md	Privilegi de franquesa del mesuratge d’oli, 1265	identificable	
raw/web/institucions/arxiu-set-claus/privilegi-mercat-andorra-1512/README.md	Privilegi de mercat quinzenal, 1512	identificable	
raw/web/institucions/arxiu-set-claus/privilegi-mercat-andorra-1516/README.md	Privilegi de mercat quinzenal sense tributs, 1516	identificable	
raw/web/institucions/arxiu-set-claus/proposicio-escola-1882/README.md	Una proposta d’escola primària el 1882	identificable	
raw/web/institucions/arxiu-set-claus/proposta-cens-poblacio-1896/README.md	Un cens per repartir les càrregues de la carretera	identificable	
raw/web/institucions/arxiu-set-claus/queixa-batlle-garreta-1528/README.md	Martí Garreta porta al Consell una decisió del batlle, 1528	identificable	
raw/web/institucions/arxiu-set-claus/rebut-lloguer-cirurgia-1828/README.md	Un rebut de lloguer signat per un cirurgià el 1828	identificable	
raw/web/institucions/arxiu-set-claus/registre-residencia-gil-1893/README.md	Un andorrà s’inscriu al registre municipal francès	identificable	
