model	categoria	forma	segment	inici_s	final_s	prob_min_segment	text_asr	estat
small	discurs	a veure	224	691.440	693.560	0.0000	Fa molts mesos que treballem a veure què tal.	candidat ASR; pendent d'audició
small	discurs	clar	231	711.880	714.480	0.0000	Llavors, clar, s'ha d'impulsar un canvi.	candidat ASR; pendent d'audició
small	discurs	llavors	231	711.880	714.480	0.0000	Llavors, clar, s'ha d'impulsar un canvi.	candidat ASR; pendent d'audició
small	discurs	llavors	232	714.560	717.440	0.0000	Llavors, si hi ha persones amb diferents sensibilitats,	candidat ASR; pendent d'audició
small	discurs	perquè	234	719.720	723.320	0.0000	perquè al final, els polítics, el que han de fer és un programa concret,	candidat ASR; pendent d'audició
small	discurs	perquè	236	725.720	728.680	0.0000	Perquè una promesa és un deuter, el que deia Confucius, eh?	candidat ASR; pendent d'audició
small	discurs	és a dir	237	728.760	731.160	0.0000	És veritat, és a dir, una promesa és un deuter.	candidat ASR; pendent d'audició
small	discurs	a nivell	239	733.480	735.000	0.0000	a nivell nacional.	candidat ASR; pendent d'audició
small	discurs	clar	240	735.080	737.080	0.0000	Clar, no es pot enganyar la gent.	candidat ASR; pendent d'audició
small	discurs	per tant	241	737.160	739.640	0.0000	Per tant, nosaltres demanem això.	candidat ASR; pendent d'audició
small	discurs	o sigui	243	742.280	745.640	0.0000	Et torno a insistir, o sigui, l'objectiu és presentar-se, segur?	candidat ASR; pendent d'audició
small	discurs	no?	248	754.760	757.240	0.0000	els simpatitants i militants del seu partit, no?	candidat ASR; pendent d'audició
small	discurs	és a dir	254	770.120	772.920	0.0000	Sí, és a dir, que el partit s'ha fet al voltant de la meva persona,	candidat ASR; pendent d'audició
small	discurs	de fet	256	777.080	780.200	0.0000	de dir, hi ha llibertat de vacunar-se o no, perquè, de fet,	candidat ASR; pendent d'audició
small	discurs	perquè	256	777.080	780.200	0.0000	de dir, hi ha llibertat de vacunar-se o no, perquè, de fet,	candidat ASR; pendent d'audició
small	discurs	perquè	258	782.680	785.160	0.0000	Perquè a més a més Pfizer va reconèixer	candidat ASR; pendent d'audició
small	discurs	clar	261	789.960	793.800	0.0000	Doncs la gent, clar, que s'ha fiat el partit,	candidat ASR; pendent d'audició
small	discurs	doncs	261	789.960	793.800	0.0000	Doncs la gent, clar, que s'ha fiat el partit,	candidat ASR; pendent d'audició
small	discurs	doncs	262	793.880	796.600	0.0000	tenen doncs els mateixos posicionaments, eh?	candidat ASR; pendent d'audició
small	discurs	a nivell	265	801.960	806.120	0.0000	a nivell del partit, hi ha unes línies marcades per persones,	candidat ASR; pendent d'audició
small	discurs	perquè	271	821.240	825.080	0.0000	perquè fins les 10 aquí ens podem esplaiar.	candidat ASR; pendent d'audició
small	discurs	a veure	273	828.360	830.360	0.0000	o s'espera a veure quin acord serà?	candidat ASR; pendent d'audició
small	discurs	diguem	280	844.040	846.040	0.0000	Porto no ho anys, diguem-ho.	candidat ASR; pendent d'audició
small	discurs	a nivell	281	846.120	848.120	0.0000	I nosaltres a nivell del programa electoral vam dir	candidat ASR; pendent d'audició
small	discurs	clar	287	859.960	861.960	0.0000	Clar, i ara ho vam veure.	candidat ASR; pendent d'audició
small	discurs	evidentment	290	868.600	871.800	0.0000	jo, evidentment, per cortesia parlamentària,	candidat ASR; pendent d'audició
small	discurs	clar	300	894.760	897.720	0.0000	perquè clar, si una persona es queixa el Tribunal Europeu,	candidat ASR; pendent d'audició
small	discurs	perquè	300	894.760	897.720	0.0000	perquè clar, si una persona es queixa el Tribunal Europeu,	candidat ASR; pendent d'audició
small	discurs	clar	303	902.200	904.200	0.0000	Clar, hi ha molts dubtes.	candidat ASR; pendent d'audició
small	discurs	clar	307	910.520	913.480	0.0000	Clar, tenim la seguretat que tenim perquè tenim filtres,	candidat ASR; pendent d'audició
small	discurs	perquè	307	910.520	913.480	0.0000	Clar, tenim la seguretat que tenim perquè tenim filtres,	candidat ASR; pendent d'audició
small	discurs	clar	311	921.320	923.320	0.0000	perquè jo li vaig dir, clar,	candidat ASR; pendent d'audició
small	discurs	perquè	311	921.320	923.320	0.0000	perquè jo li vaig dir, clar,	candidat ASR; pendent d'audició
small	discurs	doncs	321	946.680	948.680	0.0000	Doncs el 80% són de l'UE,	candidat ASR; pendent d'audició
small	discurs	per tant	323	950.840	954.680	0.0000	Per tant, quan hi ha contradiccions així...	candidat ASR; pendent d'audició
small	discurs	o sigui	336	984.920	988.200	0.0000	però avança, o sigui, el que li demana la classe política,	candidat ASR; pendent d'audició
small	discurs	bé	342	999.800	1003.400	0.0000	"""la confiança està molt bé, el control és millor""."	candidat ASR; pendent d'audició
small	discurs	no?	344	1005.560	1007.560	0.0000	No pot controlar des de dintre, no?	candidat ASR; pendent d'audició
small	discurs	clar	349	1016.920	1020.040	0.0000	Però, clar, quan veiem les contradiccions que fan,	candidat ASR; pendent d'audició
small	discurs	perquè	350	1020.120	1023.720	0.0000	o a vegades, perquè tothom, no pot pensar en tot.	candidat ASR; pendent d'audició
small	discurs	per tant	359	1040.760	1043.880	0.0000	Per tant, és bo intercanviar posicionaments,	candidat ASR; pendent d'audició
small	discurs	clar	361	1047.480	1049.480	0.0000	perquè, clar, al final...	candidat ASR; pendent d'audició
small	discurs	perquè	361	1047.480	1049.480	0.0000	perquè, clar, al final...	candidat ASR; pendent d'audició
small	discurs	és a dir	364	1054.200	1056.680	0.0000	És a dir, l'EU et dona molta documentació,	candidat ASR; pendent d'audició
small	discurs	clar	366	1058.840	1060.840	0.0000	Clar, nosaltres fan no-wines al consell	candidat ASR; pendent d'audició
small	discurs	clar	377	1092.280	1094.280	0.0000	No ho veuen clar.	candidat ASR; pendent d'audició
small	discurs	clar	383	1107.480	1111.400	0.0000	I per tant, clar, normalment...	candidat ASR; pendent d'audició
small	discurs	per tant	383	1107.480	1111.400	0.0000	I per tant, clar, normalment...	candidat ASR; pendent d'audició
small	discurs	bueno	388	1120.360	1123.400	0.0000	Però bueno, ja fa dos dies, però no fa tant.	candidat ASR; pendent d'audició
small	discurs	perquè	392	1131.160	1133.560	0.0000	Perquè el fa una persona o una empresa...	candidat ASR; pendent d'audició
small	discurs	a veure	393	1133.640	1135.640	0.0000	A veure, li poso un exemple.	candidat ASR; pendent d'audició
small	discurs	bueno	398	1145.400	1147.400	0.0000	Bueno, els estudis d'impacte.	candidat ASR; pendent d'audició
small	discurs	perquè	410	1170.360	1172.360	0.0000	Perquè al final hi ha decisions polítiques aquí.	candidat ASR; pendent d'audició
small	discurs	clar	419	1189.080	1191.080	0.0000	Clar, hi havia percepcions.	candidat ASR; pendent d'audició
small	discurs	a nivell	420	1191.160	1193.640	0.0000	Percepcions a nivell de carrers, a nivell de les empreses.	candidat ASR; pendent d'audició
small	discurs	bé	424	1201.480	1205.480	0.0000	Bé, contractem un gabinet de Bruxelles.	candidat ASR; pendent d'audició
small	discurs	clar	426	1208.840	1210.840	0.0000	Perquè clar, el govern era...	candidat ASR; pendent d'audició
small	discurs	perquè	426	1208.840	1210.840	0.0000	Perquè clar, el govern era...	candidat ASR; pendent d'audició
small	discurs	és a dir	430	1218.440	1221.320	0.0000	És a dir, la qüestió era firmar l'acord d'associació.	candidat ASR; pendent d'audició
small	discurs	perquè	432	1224.680	1226.680	0.0000	Perquè són coses factuals.	candidat ASR; pendent d'audició
small	discurs	clar	433	1226.760	1230.280	0.0000	Les coses factuals, clar, no hi ha interpretació possible.	candidat ASR; pendent d'audició
small	discurs	doncs	435	1232.440	1237.080	0.0000	I, per tant, ells van veure, doncs, el període de les quatre llibertats.	candidat ASR; pendent d'audició
small	discurs	per tant	435	1232.440	1237.080	0.0000	I, per tant, ells van veure, doncs, el període de les quatre llibertats.	candidat ASR; pendent d'audició
small	discurs	clar	436	1237.160	1240.600	0.0000	Van veure que també el tema fiscal no era molt clar.	candidat ASR; pendent d'audició
small	discurs	perquè	437	1240.680	1244.600	0.0000	Perquè ells tenen empreses exportadores que no paguen impostos.	candidat ASR; pendent d'audició
small	discurs	és a dir	438	1244.680	1248.600	0.0000	És a dir, les empreses que no exporten paguen impostos.	candidat ASR; pendent d'audició
small	discurs	no?	441	1256.280	1259.240	0.0000	Poques empreses de guantanilla, si no hi cap re, no?	candidat ASR; pendent d'audició
small	discurs	bé	444	1263.960	1266.360	0.0000	I llavors, clar, ells han estudiat molt bé.	candidat ASR; pendent d'audició
small	discurs	clar	444	1263.960	1266.360	0.0000	I llavors, clar, ells han estudiat molt bé.	candidat ASR; pendent d'audició
small	discurs	llavors	444	1263.960	1266.360	0.0000	I llavors, clar, ells han estudiat molt bé.	candidat ASR; pendent d'audició
small	discurs	clar	445	1266.440	1269.400	0.0000	I els bancs, els bancs de Monaco, van dir, però, clar,	candidat ASR; pendent d'audició
small	discurs	clar	448	1276.120	1278.440	0.0000	Perquè, clar, ells van fer un estudi	candidat ASR; pendent d'audició
small	discurs	perquè	448	1276.120	1278.440	0.0000	Perquè, clar, ells van fer un estudi	candidat ASR; pendent d'audició
small	discurs	per tant	451	1284.360	1289.000	0.0000	I, per tant, hem de mirar la nostra petitesa, la nostra competitivitat,	candidat ASR; pendent d'audició
small	discurs	perquè	455	1296.920	1298.920	0.0000	Perquè vostè ja m'ha dit que no hi creu.	candidat ASR; pendent d'audició
small	discurs	perquè	460	1310.600	1312.600	0.0000	Vam posar el programa electoral perquè havíem treballat.	candidat ASR; pendent d'audició
small	discurs	clar	464	1325.240	1327.240	0.0000	Perquè, clar, hi ha directives d'Europes.	candidat ASR; pendent d'audició
small	discurs	perquè	464	1325.240	1327.240	0.0000	Perquè, clar, hi ha directives d'Europes.	candidat ASR; pendent d'audició
small	discurs	clar	467	1331.480	1333.480	0.0000	Li preguntueu a vostè. Clar, clar.	candidat ASR; pendent d'audició
small	discurs	perquè	470	1340.360	1346.040	0.0000	S'ha de negociar amb ple coneixement, perquè ens podem trobar amb sorpreses.	candidat ASR; pendent d'audició
small	discurs	perquè	471	1346.120	1349.560	0.0000	Perquè tot el cabal de la UE l'hem d'aplicar aquí.	candidat ASR; pendent d'audició
small	discurs	a nivell	473	1351.720	1356.920	0.0000	S'està plantejant fer de crear una comissió a nivell del consell General	candidat ASR; pendent d'audició
small	discurs	perquè	476	1364.600	1367.720	0.0000	El Parlament perd la seva essència, perquè s'haurà d'aplicar.	candidat ASR; pendent d'audició
small	discurs	és a dir	477	1367.800	1369.800	0.0000	És a dir, s'ha d'anguir i s'ha acabat.	candidat ASR; pendent d'audició
small	discurs	a nivell	478	1369.880	1374.760	0.0000	A nivell dels ministeris també s'ha de redimensionar tota l'administració pública,	candidat ASR; pendent d'audició
small	discurs	clar	480	1379.400	1381.400	0.0000	I totes les directives futures, clar,	candidat ASR; pendent d'audició
small	discurs	per tant	482	1385.480	1388.360	0.0000	Per tant, hi ha un real risc...	candidat ASR; pendent d'audició
small	discurs	no?	484	1390.520	1393.320	0.0000	Creu que és capaç, en l'Andrii Riba, o no?	candidat ASR; pendent d'audició
small	discurs	clar	489	1403.480	1406.280	0.0000	Clar, jo la pressió molt, l'Andrii.	candidat ASR; pendent d'audició
small	discurs	llavors	494	1416.520	1419.480	0.0000	Jo li dic perquè, llavors, no li pot fer confiança.	candidat ASR; pendent d'audició
small	discurs	perquè	494	1416.520	1419.480	0.0000	Jo li dic perquè, llavors, no li pot fer confiança.	candidat ASR; pendent d'audició
small	discurs	perquè	496	1425.800	1431.640	0.0000	Perquè jo, al minut 1, la persona encarregada hauria fet l'estudi d'impacte.	candidat ASR; pendent d'audició
small	discurs	perquè	497	1431.720	1435.720	0.0000	Perquè Monaco van comandar els estudis d'impacte.	candidat ASR; pendent d'audició
small	discurs	per tant	499	1437.880	1442.760	0.0000	Per tant, hem de sapiguer on anem. Hem de sapiguer on anem.	candidat ASR; pendent d'audició
small	discurs	perquè	501	1446.680	1450.120	0.0000	Perquè la Unió es posa, canvia de tot, la Unió.	candidat ASR; pendent d'audició
small	discurs	és a dir	502	1450.200	1452.600	0.0000	És a dir, que la Unió, la consideració...	candidat ASR; pendent d'audició
small	discurs	no?	516	1514.920	1517.320	0.0000	És a dir, es veu Carit Montaner fer campanya pel NO?	candidat ASR; pendent d'audició
small	discurs	és a dir	516	1514.920	1517.320	0.0000	És a dir, es veu Carit Montaner fer campanya pel NO?	candidat ASR; pendent d'audició
small	discurs	clar	526	1541.000	1545.160	0.0000	Clar, aquest mercat interior el que passa és que té molts competidors,	candidat ASR; pendent d'audició
small	discurs	clar	532	1559.480	1564.280	0.0000	Clar, hi haurà, doncs, més facilitat per els ciutadans de l'AUE	candidat ASR; pendent d'audició
small	discurs	doncs	532	1559.480	1564.280	0.0000	Clar, hi haurà, doncs, més facilitat per els ciutadans de l'AUE	candidat ASR; pendent d'audició
small	discurs	clar	534	1566.440	1572.440	0.0000	Clar, els nostres filtres no seran tan estrictes com tenim ara.	candidat ASR; pendent d'audició
small	discurs	clar	536	1576.520	1578.760	0.0000	Clar, hi ha el tema bancari.	candidat ASR; pendent d'audició
small	discurs	clar	537	1578.840	1582.120	0.0000	Clar, si els bancs europeus venen aquí,	candidat ASR; pendent d'audició
small	discurs	bé	540	1589.320	1593.560	0.0000	i la banca comercial, com aquell que diu, no hi és ben bé.	candidat ASR; pendent d'audició
small	discurs	clar	541	1593.640	1598.120	0.0000	Clar, una banca de fora, després és molt baixes, eh?	candidat ASR; pendent d'audició
small	discurs	perquè	550	1620.600	1623.000	0.0000	Sí, ho van ributjar perquè era una consideració...	candidat ASR; pendent d'audició
small	discurs	perquè	552	1625.160	1628.040	0.0000	Ajuda-hi, carinyo, entendre-la, perquè no és ajudar-me a mi.	candidat ASR; pendent d'audició
small	discurs	no?	553	1628.120	1630.120	0.0000	Vostes veuen fent campanya pel no?	candidat ASR; pendent d'audició
small	discurs	clar	554	1630.200	1632.600	0.0000	Perquè, clar, al final, això serà binari, serà sí o no.	candidat ASR; pendent d'audició
small	discurs	perquè	554	1630.200	1632.600	0.0000	Perquè, clar, al final, això serà binari, serà sí o no.	candidat ASR; pendent d'audició
small	discurs	perquè	557	1636.840	1640.360	0.0000	Perquè nosaltres tenim el mateix posicionament que en Monaco.	candidat ASR; pendent d'audició
small	discurs	llavors	564	1658.920	1661.320	0.0000	Llavors, tots els dubtes que havia apuntat	candidat ASR; pendent d'audició
small	discurs	doncs	567	1667.560	1670.520	0.0000	Doncs ja, ja, ja, es veu que sí, que tenia raó.	candidat ASR; pendent d'audició
small	discurs	no?	568	1670.600	1672.600	0.0000	Es veu fent campanya pel no? Sí.	candidat ASR; pendent d'audició
small	discurs	per tant	569	1672.680	1674.680	0.0000	Per tant, descarta completament que la convencin	candidat ASR; pendent d'audició
small	discurs	doncs	573	1682.920	1684.920	0.0000	doncs dubto molt.	candidat ASR; pendent d'audició
small	discurs	perquè	574	1685.000	1688.120	0.0000	I jo el que recomano al govern, perquè si el govern ho fa,	candidat ASR; pendent d'audició
small	discurs	és a dir	576	1690.280	1692.280	0.0000	És a dir, si el govern no fa els estudis d'impacte,	candidat ASR; pendent d'audició
small	discurs	clar	579	1697.640	1700.120	0.0000	Clar, amb el mateix gabinet, per exemple, que Monaco,	candidat ASR; pendent d'audició
small	discurs	perquè	580	1700.200	1702.200	0.0000	perquè es coneixen la qüestió,	candidat ASR; pendent d'audició
small	discurs	llavors	581	1702.280	1706.280	0.0000	llavors, esclar, estudiaran les especificitats d'Andorra	candidat ASR; pendent d'audició
small	discurs	doncs	582	1706.360	1708.360	0.0000	i ens faran, doncs, un informe jurídic.	candidat ASR; pendent d'audició
small	discurs	doncs	585	1713.880	1718.280	0.0000	Sí, doncs, a Monaco, ells van trigar 4 mesos per fer-ho.	candidat ASR; pendent d'audició
small	discurs	clar	586	1718.360	1722.680	0.0000	Clar, nosaltres, si contractem aquest gabinet,	candidat ASR; pendent d'audició
small	discurs	perquè	587	1722.760	1726.520	0.0000	podria ser 2, 3 mesos, perquè ja han treballat la qüestió.	candidat ASR; pendent d'audició
small	discurs	és a dir	588	1726.600	1729.320	0.0000	És a dir, que la directiva no canvia per 7 coses,	candidat ASR; pendent d'audició
small	discurs	perquè	589	1729.400	1731.560	0.0000	perquè tenim ninguits en comú en Monaco.	candidat ASR; pendent d'audició
small	territorial	comú	589	1729.400	1731.560	0.0000	perquè tenim ninguits en comú en Monaco.	candidat ASR; pendent d'audició
small	discurs	bé	593	1738.760	1740.760	0.0000	I vostè li cauen tots molt bé.	candidat ASR; pendent d'audició
small	discurs	és a dir	594	1740.840	1742.840	0.0000	Sí, és a dir, aquest mandat...Però no es votarà que no.	candidat ASR; pendent d'audició
small	discurs	perquè	600	1754.920	1757.320	0.0000	Perquè si vostè té un posicionament diferent del meu,	candidat ASR; pendent d'audició
small	discurs	bueno	606	1768.680	1771.720	0.0000	"""Bueno, senyora ministra, per què no truqueu a el govern de Monaco?"""	candidat ASR; pendent d'audició
small	discurs	perquè	607	1771.800	1773.800	0.0000	Perquè es pot intercanviar, escoltar.	candidat ASR; pendent d'audició
