forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
aiguats	territorial	0	0	no											ASR textual; atribució i audició pendents
andorrana	territorial	0	0	no											ASR textual; atribució i audició pendents
comunal	territorial	0	0	no											ASR textual; atribució i audició pendents
comunals	territorial	0	0	no											ASR textual; atribució i audició pendents
comuns	territorial	0	0	no											ASR textual; atribució i audició pendents
comú	territorial	1	0	no	small	Això, animo tothom, que somiri o ho tenim penjat a xarxes, a la web del comú,		0.4419	0.7900			lead-yt-040__29__com.wav	1396120	1401520	ASR textual; atribució i audició pendents
copríncep	territorial	0	0	no											ASR textual; atribució i audició pendents
coprínceps	territorial	0	0	no											ASR textual; atribució i audició pendents
padrí	territorial	0	0	no											ASR textual; atribució i audició pendents
parròquia	territorial	3	3	sí	small	perquè sigui una gran productora com a parròquia de flors?	perquè sigui una gran productora com a parròquia de flors,	0.3549	0.8106	0.2536	0.7542	lead-yt-040__33__parr-quia.wav	556040	558960	ASR textual; atribució i audició pendents
santuari	territorial	0	0	no											ASR textual; atribució i audició pendents
veguer	territorial	0	0	no											ASR textual; atribució i audició pendents
Guillem Forné	persona	1	0	no	small	El meu costat a la meva esquerra es troba Guillem Forné, que és el conseller de Cultura de la Massana,		0.2848	0.8082			lead-yt-040__36__guillem-forn.wav	0	4360	ASR textual; atribució i audició pendents
La Massana	toponim	20	7	sí	small	El meu costat a la meva esquerra es troba Guillem Forné, que és el conseller de Cultura de la Massana,	que és el conseller de Cultura de la Massana que torna a visitar aquest lloc,	0.2848	0.8082	0.3300	0.7850	lead-yt-040__37__la-massana.wav	0	4360	ASR textual; atribució i audició pendents
conseller	institucions	3	1	sí	small	El meu costat a la meva esquerra es troba Guillem Forné, que és el conseller de Cultura de la Massana,	que és el conseller de Cultura de la Massana que torna a visitar aquest lloc,	0.2848	0.8082	0.3300	0.7850	lead-yt-040__38__conseller.wav	0	4360	ASR textual; atribució i audició pendents
conseller de Cultura	institucions	2	1	sí	small	El meu costat a la meva esquerra es troba Guillem Forné, que és el conseller de Cultura de la Massana,	que és el conseller de Cultura de la Massana que torna a visitar aquest lloc,	0.2848	0.8082	0.3300	0.7850	lead-yt-040__39__conseller-de-cultura.wav	0	4360	ASR textual; atribució i audició pendents
cultura	cultura	5	4	sí	small	El meu costat a la meva esquerra es troba Guillem Forné, que és el conseller de Cultura de la Massana,	que és el conseller de Cultura de la Massana que torna a visitar aquest lloc,	0.2848	0.8082	0.3300	0.7850	lead-yt-040__40__cultura.wav	0	4360	ASR textual; atribució i audició pendents
Andorra	toponim	13	7	sí	small	per als colers d'Andorra	vaig conèixer la Joanaine, la soprano d'aquí d'Andorra,	0.6109	0.8743	0.2697	0.8080	lead-yt-040__41__andorra.wav	105840	107440	ASR textual; atribució i audició pendents
andorrà	gentilici	0	0	no											ASR textual; atribució i audició pendents
Andorra la Vella	toponim	0	0	no											ASR textual; atribució i audició pendents
Pirineus TV	mitjans	0	0	no											ASR textual; atribució i audició pendents
La Vida	mitjans	8	8	sí	small	Bé, benvingut a Pirinous Televisió, benvingut a En Camp, benvingut a la tele, benvingut a la vida.	Bé, vinguta a Perena, us televisió, ben vinguta en camp, ben vinguta a la tele, ben vinguta a la vida,	0.1142	0.8102	0.1295	0.7089	lead-yt-040__45__la-vida.wav	73720	78720	ASR textual; atribució i audició pendents
AndoFlora	cultura	3	7	sí	small	perquè hi ha la tradició de molta gent que s'espera a l'Andoflora	I Andoflora vol guardar això,	0.2861	0.9109	0.2718	0.7194	lead-yt-040__46__andoflora.wav	751360	754400	ASR textual; atribució i audició pendents
flors	medi ambient	2	2	sí	small	perquè sigui una gran productora com a parròquia de flors?	perquè sigui una gran productora com a parròquia de flors,	0.3549	0.8106	0.2536	0.7542	lead-yt-040__47__flors.wav	556040	558960	ASR textual; atribució i audició pendents
floral	cultura	3	3	sí	small	A part dels 25 casetes que tenim la majoria a nivell floral, però també d'artesania,	que, realment, ho tenim aquí, a part de les 25 casetes que tenim a la majoria a nivell floral,	0.3338	0.8700	0.2755	0.7900	lead-yt-040__48__floral.wav	437680	442800	ASR textual; atribució i audició pendents
fira	cultura	12	6	sí	small	"En ""Do Flora"" tenim aquí... a part de ser una fira mercat que ja està assentada, estem a les 29 hores d'això, que només es diu ràpid, sí."	A part de fer de ser la fira i mercat de la flor i de la planta més reconeguda a nivell d'Andorra,	0.1266	0.7826	0.0159	0.7417	lead-yt-040__49__fira.wav	411440	420920	ASR textual; atribució i audició pendents
mercat	economia	8	8	sí	small	"En ""Do Flora"" tenim aquí... a part de ser una fira mercat que ja està assentada, estem a les 29 hores d'això, que només es diu ràpid, sí."	A part de ser una fila mercat	0.1266	0.7826	0.3327	0.8422	lead-yt-040__50__mercat.wav	411440	420920	ASR textual; atribució i audició pendents
tradició	cultura	2	2	sí	small	però hi ha molta tradició foral a la partida de les primaveres.	Revent no et sé dir el motiu, però hi ha molta tradició forà.	0.4434	0.8454	0.1004	0.7186	lead-yt-040__51__tradici.wav	568120	570920	ASR textual; atribució i audició pendents
viles florides	cultura	3	0	no	small	Sí, i a part també formen part d'aquest conglomerat de viles florides,		0.3791	0.7860			lead-yt-040__52__viles-florides.wav	587520	591920	ASR textual; atribució i audició pendents
Catalunya	toponim	1	1	sí	small	de... saps què, que és de Catalunya.	I, a part, també formem part d'aquest conglomerat de villes florides que és de Catalunya.	0.1753	0.7170	0.0345	0.7051	lead-yt-040__53__catalunya.wav	592000	593760	ASR textual; atribució i audició pendents
canalla	societat	5	4	sí	small	-Anem a la fira. -Sí, i més si tens canalla.	que són el deleit de tota la canalla.	0.4076	0.7942	0.2822	0.8044	lead-yt-040__54__canalla.wav	503520	505040	ASR textual; atribució i audició pendents
infants	societat	0	0	no											ASR textual; atribució i audició pendents
nens	societat	3	3	sí	small	M'està bé que ho aprenguin quan són nens, eh, perquè...	No està bé que ho aprenquin quan són nens, eh, perquè...	0.3070	0.8287	0.1176	0.6250	lead-yt-040__56__nens.wav	706840	709640	ASR textual; atribució i audició pendents
teatre	cultura	4	4	sí	small	Han muntat un grup de teatre, els has d'anar a veure, perquè és plores de riure.	han montat un grup de teatre, eh, els estan a veure,	0.2570	0.8238	0.4248	0.7611	lead-yt-040__57__teatre.wav	834440	838920	ASR textual; atribució i audició pendents
literatura	cultura	0	0	no											ASR textual; atribució i audició pendents
llibres	cultura	1	1	sí	small	que és un taller infertil de llibres, amb la Elena Randa, no sé si la coneixes,	verbella, que és un tallin fartil de llibres, amb la Elena Randa, no sé si la coneixes.	0.3858	0.8354	0.0779	0.7584	lead-yt-040__59__llibres.wav	937720	941720	ASR textual; atribució i audició pendents
lectura	educació	1	1	sí	small	I sempre fa tallerets així d'aprenentatge de lectura i de foment, precisament que és molt important.	i sempre fa talleres d'apparentatge de lectura i de fomen,	0.0920	0.7755	0.0480	0.5454	lead-yt-040__60__lectura.wav	947720	952880	ASR textual; atribució i audició pendents
dansa	cultura	3	0	no	small	No, i encara tenim dissabte al matí. Tenim espectacle de dansa des 12.		0.1206	0.7649			lead-yt-040__61__dansa.wav	1071360	1075240	ASR textual; atribució i audició pendents
escena nacional	cultura	2	0	no	small	escena nacional i sempre comptem amb ells, perquè realment són un grup de joves que...		0.4540	0.8235			lead-yt-040__62__escena-nacional.wav	1211400	1217600	ASR textual; atribució i audició pendents
restauradors	economia	1	1	sí	small	I també tenim una implicació tremenda amb tots els restauradors.	amb tots els restauradors,	0.4802	0.9258	0.3520	0.7161	lead-yt-040__63__restauradors.wav	1803380	1808380	ASR textual; atribució i audició pendents
gastronomia	economia	0	0	no											ASR textual; atribució i audició pendents
producte	economia	2	2	sí	small	Sempre intentem, sempre promocionem el producte Kilòmetre Zero,	sempre intentem, sempre promocionem el producte quilòmetre 0,	0.1467	0.8652	0.2327	0.7205	lead-yt-040__65__producte.wav	1106640	1110120	ASR textual; atribució i audició pendents
calçots	gastronomia	1	1	sí	small	Tenim els més temàtics quan és a l'època de calçots,	Tenim el més temàtic quan és època de calçots,	0.2969	0.8506	0.1678	0.8039	lead-yt-040__66__cal-ots.wav	1811380	1814380	ASR textual; atribució i audició pendents
bolets	gastronomia	1	1	sí	small	quan és l'escuda ella, quan és els productes de tardor, els bolets.	els bolets, se'n fa a la boca, i jo no s'opat en cara.	0.4327	0.8200	0.2370	0.6515	lead-yt-040__67__bolets.wav	1814380	1819380	ASR textual; atribució i audició pendents
boleros	cultura	5	4	sí	small	hem agafat el grup La Gardènia, que ens faran boleros,	"Hem agafat el grup ""La Gardenia"", que ens faran boleros."	0.5022	0.8316	0.3075	0.7470	lead-yt-040__68__boleros.wav	1182200	1186000	ASR textual; atribució i audició pendents
climatologia	medi ambient	2	2	sí	small	Sí, és difícil, i més endora amb la climatologia que tenim,	Més endor amb la climatologia que tenim.	0.3384	0.7120	0.1551	0.6823	lead-yt-040__69__climatologia.wav	794120	797720	ASR textual; atribució i audició pendents
hotels	economia	1	1	sí	small	Veiem hotels, veiem particulars,	La partida de les primàveres veiem hotels, veiem particulars,	0.5911	0.8973	0.2575	0.7484	lead-yt-040__70__hotels.wav	570920	573600	ASR textual; atribució i audició pendents
