forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
Sonia	persona	2	4	sí	small	Oye, vamos a ver. Sonia, vamos a ver. Aviam què creer algo, no?	Trorrain, o la Sonia.	0.1141	0.7156	0.0957	0.5251	lead-yt-053-sonia-andorrita__36__sonia.wav	307280	311280	ASR textual; atribució i audició pendents
Andorrita	societat	14	7	sí	small	Per què li poses a Andorrita? Per què és simpàtic?	-Vale. -Però Andorrita va crecer.	0.2779	0.7422	0.1560	0.6084	lead-yt-053-sonia-andorrita__37__andorrita.wav	339840	342840	ASR textual; atribució i audició pendents
comerç	economia	0	0	no											ASR textual; atribució i audició pendents
botiga	economia	1	0	no	small	Mira, aquest d'aquí, de la taula del costat, és el de la botiga.		0.3108	0.7995			lead-yt-053-sonia-andorrita__39__botiga.wav	196400	200600	ASR textual; atribució i audició pendents
productes	economia	0	0	no											ASR textual; atribució i audició pendents
clients	economia	0	0	no											ASR textual; atribució i audició pendents
serveis	societat	0	0	no											ASR textual; atribució i audició pendents
Andorra	toponim	14	11	sí	small	però sempre he viscut a Madrid, i des de fa 3 anys, més o menys, a Andorra.	I des de fa 3 anys, més o menys, a Andorra.	0.1268	0.8098	0.4361	0.8235	lead-yt-053-sonia-andorrita__43__andorra.wav	45360	51760	ASR textual; atribució i audició pendents
andorrà	gentilici	0	0	no											ASR textual; atribució i audició pendents
empresa	economia	0	0	no											ASR textual; atribució i audició pendents
emprenedoria	economia	0	0	no											ASR textual; atribució i audició pendents
economia	economia	0	0	no											ASR textual; atribució i audició pendents
comunitat	societat	3	3	sí	small	-Sempre fas, sempre feu acción solidària. -Sí, sí, perquè penso que som una comunitat divertida, una comunitat agradable,	Sí, perquè penso que som una comunitat divertida,	0.4473	0.8846	0.4280	0.8449	lead-yt-053-sonia-andorrita__48__comunitat.wav	858740	865340	ASR textual; atribució i audició pendents
persones	societat	10	10	sí	small	i aquesta vídeo es va viralitzar i van acudir a la primera trobada 26 persones.	i van acudir a la primera trobada 26 persones.	0.6593	0.9005	0.3432	0.8146	lead-yt-053-sonia-andorrita__49__persones.wav	458840	465200	ASR textual; atribució i audició pendents
solidària	societat	4	3	sí	small	A més a més, aquesta trobada per mi és una mica especial. Sí, perquè vam fer una acción solidària.	Perquè van fer una acció solidària.	0.5500	0.8857	0.2349	0.7722	lead-yt-053-sonia-andorrita__50__solid-ria.wav	852500	858740	ASR textual; atribució i audició pendents
associacions	societat	2	2	sí	small	Farem una acción solidària. Una acción solidària d'Ocè por d'Ocè, que és un espai meravelloso que dona suport a la empresió particular si posen contacte amb associacions senceràremes de lucre.	Ara sempre és el particular si posen contacte amb associacions s'han animo de lucre,	0.0634	0.7163	0.0298	0.5082	lead-yt-053-sonia-andorrita__51__associacions.wav	872660	886980	ASR textual; atribució i audició pendents
inscripció	societat	1	1	sí	small	"Però abans, sobretot, la inscripció a ""Antorita.com""."	"Però avant sobretot la inscripció ""En Torri.com"", jo sabeu, ""Sónia com ser per a felicitat"", ""Senhora bona"", ""Sés per tu""."	0.1494	0.8349	0.0267	0.4863	lead-yt-053-sonia-andorrita__52__inscripci.wav	963780	966180	ASR textual; atribució i audició pendents
