id	tipus	seccio	desti	usos	decisio	motiu	volatilitat	estat_buit	doc_id	font	familia_font	llicencia	redistribucio	domini	anys	entitats	estat_revisio
parla/oral/cal-pal-esther-jover#b11	buit	Buits registrats	-	-	excloure	perfil del parlant: passa al frontmatter (generació, llengua primera, ofici: no consta)	-	no-es-buit	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b12	buit	Buits registrats	-	-	excloure	estat de drets, no pregunta de contingut	-	resolt	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b13	buit	Buits registrats	-	-	excloure	instrucció d'ús: passa al frontmatter com a citable_com_a_fet: false	-	no-es-buit	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b14	buit	Buits registrats	-	-	excloure	buit de perfil, drets o instrucció de la mostra; passa a metadades o queda fora	-	parcial	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#b15	buit	Buits registrats	-	-	excloure	buit de perfil, drets o instrucció de la mostra; passa a metadades o queda fora	-	no-es-buit	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	-
parla/oral/cal-pal-esther-jover#c1	chunk	La transcripció	chunks	llengua	pendent	estat pendent-escolta; no entra a entrenament fins a validar l'àudio	0.0	-	parla/oral/cal-pal-esther-jover	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	2026,1347,1435,1961,1956,2018,2019	Andorra Recerca; Commons Attribution; Esther Jover; Cal Pal; Joan Pal; Anton Torres Armengol; Reig-Tribó; Evidentment Calpal; El Colomer; Jordi Fulla; Francina Pons	pending
parla/oral/el-contrapas-teo-armengol#b1	avis	(preàmbul)	-	-	excloure	fitxa editorial de la tanda; la durada passa al frontmatter	-	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b2	nota-treball	Cribratge i avís	-	-	excloure	referència local a raw/; paràgraf exclòs per higiene del chunk	-	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b3	consentiment	Consentiment	-	-	excloure	estat de drets; ja és a redistribucio de la fitxa de font	-	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b4	taula-fitxa	Qui parla	-	-	excloure	passa al frontmatter com a «parlant»	-	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b5	transcripcio	La transcripció	llengua	llengua	pendent	veu originària sense verificar contra l'àudio: pendent-escolta	-	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b6	taula	Trets	-	-	pendent	taula presentada com a conjectura pel mateix text («conjectura», «no quadra», «dubtós»); revisió humana	-	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b7	nota-treball	La -t final que cau: segona pista fonètica	-	-	excloure	el subjecte és «el corpus»	-	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b8	cos	La -t final que cau: segona pista fonètica	-	-	incloure	fora dels usos de dades	0.0	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b9	taula	La -t final que cau: segona pista fonètica	-	-	incloure	taula de dades conservada en Markdown	0.0	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b10	cos	La -t final que cau: segona pista fonètica	-	-	incloure	fora dels usos de dades	0.0	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b11	cos	`Santa Anna`, segon parlant	-	-	incloure	fora dels usos de dades	0.0	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b12	nota-treball	`Santa Anna`, segon parlant	-	-	excloure	el subjecte és «el corpus»	-	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b13	buit	Buits registrats	-	-	excloure	no-es-buit: limitació de la mostra	-	no-es-buit	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b14	buit	Buits registrats	-	-	excloure	perfil del parlant: passa al frontmatter (generació, llengua primera, ofici: no consta)	-	no-es-buit	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b15	buit	Buits registrats	-	-	excloure	estat de drets, no pregunta de contingut	-	parcial	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b16	buit	Buits registrats	-	-	excloure	instrucció d'ús: passa al frontmatter com a citable_com_a_fet: false	-	parcial	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b17	buit	Buits registrats	-	-	excloure	buit de perfil, drets o instrucció de la mostra; passa a metadades o queda fora	-	no-es-buit	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#b18	buit	Buits registrats	-	-	excloure	buit de perfil, drets o instrucció de la mostra; passa a metadades o queda fora	-	no-es-buit	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	-
parla/oral/el-contrapas-teo-armengol#c1	chunk	La transcripció	chunks	llengua	pendent	estat pendent-escolta; no entra a entrenament fins a validar l'àudio	0.0	-	parla/oral/el-contrapas-teo-armengol	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1900,1981,1980,1982,1984,2026	Andorra Recerca; Creative Commons Attribution; Teo Armengol; Sant Antoni; Sant Julià; Vall Nord; Festa Major; Esbart Dansaire; Albert Rossa Naudí; Santa Anna; Ruth Casabella; Ventura Armengol	unreviewed
parla/oral/els-hostals-comunals-lacueva#b1	avis	(preàmbul)	-	-	excloure	fitxa editorial de la tanda; la durada passa al frontmatter	-	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
parla/oral/els-hostals-comunals-lacueva#b2	nota-treball	Avís doble	-	-	excloure	referència local a raw/; paràgraf exclòs per higiene del chunk	-	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
parla/oral/els-hostals-comunals-lacueva#b3	cos	Avís doble	-	-	incloure	fora dels usos de dades	0.0	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
parla/oral/els-hostals-comunals-lacueva#b4	consentiment	Consentiment	-	-	excloure	estat de drets; ja és a redistribucio de la fitxa de font	-	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
parla/oral/els-hostals-comunals-lacueva#b5	taula-fitxa	Qui parla	-	-	excloure	passa al frontmatter com a «parlant»	-	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
parla/oral/els-hostals-comunals-lacueva#b6	cos	L'única autora que el corpus té escrita i parlada	-	-	incloure	fora dels usos de dades	0.0	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
parla/oral/els-hostals-comunals-lacueva#b7	transcripcio	La transcripció	llengua	llengua	pendent	veu originària sense verificar contra l'àudio: pendent-escolta	-	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
parla/oral/els-hostals-comunals-lacueva#b8	taula	La màquina perd els dos mots que el corpus ja té bé	-	-	incloure	taula de dades conservada en Markdown	0.0	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
parla/oral/els-hostals-comunals-lacueva#b9	cos	La màquina perd els dos mots que el corpus ja té bé	-	-	incloure	fora dels usos de dades	0.0	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
parla/oral/els-hostals-comunals-lacueva#b10	taula	Trets	-	-	pendent	taula presentada com a conjectura pel mateix text («conjectura», «no quadra», «dubtós»); revisió humana	-	-	parla/oral/els-hostals-comunals-lacueva	ari-capsules	ari-capsules	YouTube declara Creative Commons Attribution en vídeos individuals; verificació per peça, no per sèrie. Verificada a #34, #49, #56, #57, #60 i #65.	pendent	parla	1556,2002,1795,1721,1745,1618,1757,1764,1806,1709,1853,1593,1832,2026,1893	Andorra Recerca; Creative Commons Attribution; Ludmilla Lacueva; Estudis Andorrans; Jordi Guillemet; Sant Miquel; Sant Julià; El Mostafa; Sant Esteves; Santa Coloma; Sant Pere; Sant Corneli; Josep Caixal	-
