forma	categoria	small	base	consens	model_localitzador	context_small	context_base	prob_min_segment_small	prob_mean_segment_small	prob_min_segment_base	prob_mean_segment_base	clip	inici_ms	final_ms	estat
obra	infraestructures	1	2	sí	small	S'assemblen en obra de manera que et permet tenir tot aquest perimetre interior per evitar.	S'ençamblen en obra, de manera que permet tenir tot aquest parimatra interior per evitar, no?	0.2558	0.7586	0.0902	0.5545	lead-yt-045__41__obra.wav	240160	247160	ASR textual; atribució i audició pendents
paisatge	territori	2	1	sí	small	permet tenir aquests grans finestrals que enmarquen tot el paisatge de l'entorn,	que marcan tot el paisatge de l'entorn,	0.2637	0.8643	0.3008	0.7859	lead-yt-045__42__paisatge.wav	371640	377600	ASR textual; atribució i audició pendents
muntanya	territori	5	5	sí	small	Avui és una mica arquitectura de muntanya.	Avui és una mica arquitectura de muntanya?	0.4973	0.8994	0.2528	0.7786	lead-yt-045__43__muntanya.wav	147440	149440	ASR textual; atribució i audició pendents
habitatge	societat	0	0	no											ASR textual; atribució i audició pendents
casa	infraestructures	27	19	sí	small	M'he portat una casa de la Cerdanya avui.	m'ha portat una casa de la sardanya avui.	0.1278	0.8979	0.0259	0.7386	lead-yt-045__45__casa.wav	143360	145880	ASR textual; atribució i audició pendents
Andorra	toponim	0	0	no											ASR textual; atribució i audició pendents
andorrà	gentilici	0	0	no											ASR textual; atribució i audició pendents
La Massana	toponim	0	0	no											ASR textual; atribució i audició pendents
materials	infraestructures	3	2	sí	small	M'ho vull dir, que són molts materials, no?	a nivell de materials atmosferes.	0.2298	0.7862	0.2820	0.5478	lead-yt-045__49__materials.wav	168200	171880	ASR textual; atribució i audició pendents
disseny	cultura	1	1	sí	small	algunes estratègies de disseny.	algunes estratègies de disseny.	0.6227	0.9044	0.2464	0.6970	lead-yt-045__50__disseny.wav	155760	157760	ASR textual; atribució i audició pendents
natura	medi ambient	0	0	no											ASR textual; atribució i audició pendents
sostenibilitat	medi ambient	0	0	no											ASR textual; atribució i audició pendents
turisme	economia	0	0	no											ASR textual; atribució i audició pendents
