QXO_2025_03_25_08_55_55 

 Ordinació del 20-3-2025 d’ajut per al foment i suport del petit comerç a la parròquia d’Escaldes-Engordany. 
 Vist l’article 80.2 de la Constitució del Principat d’Andorra; 
 Vista la Llei qualificada de delimitació de competències dels Comuns, del 4 de novembre del 1993, i les lleis 6/2007, del 22 de març i 19/2017, del 20 d’octubre, qualificades de modificació de la llei qualificada de delimitació de competències dels comuns; 
 Vista la Llei 36/2021 , de 16 de desembre, de les finances comunals; 
 Vist el Decret legislatiu del 7-02-2018 de publicació del text refós de la Llei 21/2014 , del 16 d’octubre, de bases de l’ordenament tributari; 
 El Comú d’Escaldes-Engordany, en la seva sessió de Consell de Comú de data 20 de març de 2025 ha acordat aprovar la següent Ordinació d’ajut per al foment i suport del petit comerç a la parròquia d’Escaldes-Engordany: 
 Article 1. Objecte, caràcter i finalitat 
 L’objecte de la present ordinació és la regulació de la concessió d’un ajut, en forma de bonificació dels següents tributs, regulats a l’Ordinació del 30-12-2024 tributària del Comú d’Escaldes-Engordany per a l’any 2025: 
 - Impost de radicació d’activitats comercials, empresarials i professionals 
 - Taxa per la instal·lació de rètols comercials 
 - Taxa pel servei d’higiene pública 
 - Taxa pel servei d’enllumenat 
 - Taxa per la instal·lació de terrasses 
 Es tracta d’un ajut econòmic que té caràcter eventual per a l’any 2025. 
 La finalitat d’aquest ajut és el foment i suport del petit comerç a la parròquia d’Escaldes-Engordany. 
 Article 2. Beneficiaris 
 Podran ser beneficiaris d’aquesta bonificació les persones físiques o jurídiques que siguin obligats tributaris dels tributs referits a l’article 1 i que compleixin els següents requisits: 
 - Exercir com a activitat principal alguna de les incloses a l’Annex 1. 
 - Haver estat autoritzat a exercir aquesta activitat abans o durant l’any 2022. 
 - Haver tingut uns ingressos durant l’exercici 2024 inferiors a 150.000 € en cas d’activitat empresarial o professional, i a 300.000 € en cas d’activitat estrictament comercial. 
 - Estar al corrent de les obligacions tributàries i no tenir deutes amb el Comú d’Escaldes-Engordany. 
 Article 3. Import 
 L’import de la bonificació serà del 25% de la quota tributària dels tributs relacionats a l’article 1. 
 Article 4. Sol·licitud 
 Les sol·licituds d’ajut s’han de formalitzar mitjançant el model de sol·licitud genèrica i s’han de presentar al Servei de Tràmits del Comú, juntament amb les declaracions-liquidacions de l’impost General Indirecte (IGI) per les activitats dutes a terme l’any 2024. 
 El termini de presentació de les sol·licituds finalitzarà el dia 31 de juliol de 2025. 
 Article 5. Tramitació. Pagament 
 L’òrgan gestor dels ajuts és el Departament de Finances. La Comissió de Finances sotmetrà les propostes de resolució a la Junta de Govern per a la seva aprovació. 
 El pagament de l’ajut es farà efectiu mitjançant transferència bancària abans de que finalitzi l’any 2025. 
 Article 6. Entrada en vigor 
 La present ordinació entrarà en vigor el dia de la seva publicació al Butlletí Oficial del Principat d’Andorra. 
 Cosa que es fa pública per a coneixement general. 
 Escaldes-Engordany, Casa Comuna, 20 de març del 2025 
 Vist i plau La cònsol major Rosa Gili Casals 
 P.o. de la Junta de Govern La secretària general Sandra Tudó Montanya 
 Annex 1 
 
Divisió | Grup | Classe | Descripció
 | | 46.47 | Comerç a l’engròs de mobles, catifes i aparells d’il·luminació
 | | 46.48 | Comerç a l’engròs de rellotges i joieria
 | | 46.49 | Comerç a l’engròs d’altres articles d’ús domèstic
 | 46.5 | | Comerç a l’engròs d’equips per a les tecnologies de la informació i les comunicacions (TIC)
 | | 46.51 | Comerç a l’engròs d’ordinadors, equips perifèrics i programes informàtics
 | | 46.52 | Comerç a l’engròs d’equips electrònics i de telecomunicacions i els seus components
 | 46.6 | | Comerç a l’engròs d’una altra maquinària, equips i subministraments
 | | 46.61 | Comerç a l’engròs de maquinària, equips i subministraments agrícoles
 | | 46.62 | Comerç a l’engròs de màquines eina
 | | 46.63 | Comerç a l’engròs de maquinària per a la mineria, la construcció i l’enginyeria civil
 | | 46.64 | Comerç a l’engròs de maquinària per a les indústries tèxtils, màquines de cosir i de tricotar
 | | 46.65 | Comerç a l’engròs de mobles d’oficina
 | | 46.66 | Comerç a l’engròs d’altres tipus de maquinària i equips d’oficina
 | | 46.69 | Comerç a l’engròs d’altres tipus de maquinària i equips
 | 46.7 | | Altres tipus de comerç a l’engròs especialitzat
 | | 46.71 | Comerç a l’engròs de combustibles sòlids, líquids i gasosos, i productes similars
 | | 46.72 | Comerç a l’engròs de metalls i minerals metàl·lics
 | | 46.73 | Comerç a l’engròs de fusta, materials de construcció i aparells sanitaris
 | | 46.74 | Comerç a l’engròs de ferreteria, lampisteria i calefacció
 | | 46.75 | Comerç a l’engròs de productes químics
 | | 46.76 | Comerç a l’engròs d’altres productes semielaborats
 | | 46.77 | Comerç a l’engròs de ferralla i productes de rebuig
 | 46.9 | | Comerç a l’engròs no especialitzat
 | | 46.90 | Comerç a l’engròs no especialitzat
47 | | | Comerç al detall, excepte el comerç de vehicles de motor i motocicletes
 | 47.1 | | Comerç al detall en establiments no especialitzats
 | | 47.11 | Comerç al detall en establiments no especialitzats, amb predomini de productes alimentaris, begudes i tabac
 | | 47.17 | Altres tipus de comerç al detall en establiments no especialitzats, excepte Grans establiments comercials
 | | 47.18 | Grans establiments comercials
 | 47.2 | | Comerç al detall de productes alimentaris, begudes i tabac en establiments especialitzats
 | | 47.21 | Comerç al detall de fruites i hortalisses en establiments especialitzats
 | | 47.22 | Comerç al detall de carn i productes carnis en establiments especialitzats
 | | 47.23 | Comerç al detall de peix i marisc en establiments especialitzats
 | | 47.24 | Comerç al detall de pa i productes de fleca, confiteria i pastisseria en establiments especialitzats
 | | 47.25 | Comerç al detall de begudes en establiments especialitzats
 | | 47.26 | Comerç al detall de productes de tabac en establiments especialitzats
 | | 47.29 | Comerç al detall d’altres tipus de productes alimentaris en establiments especialitzats
 | 47.3 | | Comerç al detall de combustibles per a l’automoció en establiments especialitzats
 | | 47.30 | Comerç al detall de combustibles per a l’automoció en establiments especialitzats
 | 47.4 | | Comerç al detall d’equips per a les tecnologies de la informació i les comunicacions (TIC) en establiments especialitzats
 | | 47.41 | Comerç al detall d’ordinadors, equips perifèrics i programes informàtics en establiments especialitzats
 | | 47.42 | Comerç al detall d’equips de telecomunicacions en establiments especialitzats
 | | 47.43 | Comerç al detall d’equips d’àudio i vídeo en establiments especialitzats
 | 47.5 | | Comerç al detall d’altres articles d’ús domèstic en establiments especialitzats
 | | 47.51 | Comerç al detall de tèxtils en establiments especialitzats
 | | 47.52 | Comerç al detall de ferreteria, pintures i vidre en establiments especialitzats
 | | 47.53 | Comerç al detall de catifes, moquetes i revestiments de parets i terres en establiments especialitzats
 | | 47.54 | Comerç al detall d’electrodomèstics en establiments especialitzats
 | | 47.59 | Comerç al detall de mobles, aparells d’il·luminació i d’altres articles d’ús domèstic en establiments especialitzats
 | 47.6 | | Comerç al detall d’articles culturals i recreatius en establiments especialitzats
 | | 47.61 | Comerç al detall de llibres en establiments especialitzats
 | | 47.62 | Comerç al detall de periòdics i articles de papereria en establiments especialitzats
 | | 47.63 | Comerç al detall d’enregistrament de música i vídeo en establiments especialitzats
 | | 47.64 | Comerç al detall d’articles d’esport en establiments especialitzats
 | | 47.65 | Comerç al detall de jocs i joguines en establiments especialitzats
 | 47.7 | | Comerç al detall d’altres articles en establiments especialitzats
 | | 47.71 | Comerç al detall de peces de vestir en establiments especialitzats
 | | 47.72 | Comerç al detall de calçat i articles de cuir en establiments especialitzats
 | | 47.73 | Comerç al detall de productes farmacèutics en establiments especialitzats
 | | 47.74 | Comerç al detall d’articles mèdics i ortopèdics en establiments especialitzats
 | | 47.75 | Comerç al detall de productes cosmètics i higiènics en establiments especialitzats
 | | 47.76 | Comerç al detall de flors, plantes, llavors, fertilitzants, animals de companyia i aliments per a animals domèstics en establiments especialitzats
 | | 47.77 | Comerç al detall d’articles de rellotgeria i joieria en establiments especialitzats
 | | 47.78 | Comerç al detall d’altres tipus d’articles nous en establiments especialitzats
 | | 47.79 | Comerç al detall d’articles de segona mà en establiments especialitzats
 | 47.8 | | Comerç al detall en parades de venda i mercats ambulants
 | | 47.81 | Comerç al detall de productes alimentaris, begudes i tabac en parades de venda i mercats ambulants
 | | 47.82 | Comerç al detall de productes tèxtils, peces de vestir i calçat en parades de venda i mercats ambulants
 | | 47.89 | Comerç al detall d’altres productes en parades de venda i mercats ambulants
 | 47.9 | | Comerç al detall fora d’establiments, excepte en parades de venda i mercats ambulants
 | | 47.91 | Comerç al detall per correspondència i per Internet
 | | 47.99 | Comerç al detall d’altres tipus fora d’establiments, excepte en parades de venda i mercats ambulants
I Hostaleria
55 | | | Serveis d’allotjament
 | 55.1 | | Hotels i allotjaments similars
 | | 55.10 | Hotels i allotjaments similars
56 | | | Serveis de menjar i begudes
 | 56.1 | | Restaurants i establiments de menjars
 | | 56.10 | Restaurants i establiments de menjars
 | 56.2 | | Provisió de menjars preparats per a celebracions i altres serveis de menjars
 | | 56.21 | Provisió de menjars preparats per a celebracions
 | | 56.29 | Altres serveis de menjars
 | 56.3 | | Establiments de begudes
 | | 56.30 | Establiments de begudes
N Activitats administratives i serveis auxiliars
77 | | | Activitats de lloguer
 | 77.1 | | Lloguer de vehicles de motor
 | | 77.11 | Lloguer d’automòbils i vehicles de motor lleugers
 | | 77.12 | Lloguer de camions
 | 77.2 | | Lloguer d’efectes personals i efectes domèstics
 | | 77.21 | Lloguer d’articles d’oci i esportius
 | | 77.22 | Lloguer de cintes de vídeo i discos
 | | 77.29 | Lloguer d’efectes personals i efectes domèstics ncaa
 | 77.3 | | Lloguer d’altres tipus de maquinària, equips i béns tangibles
 | | 77.31 | Lloguer de maquinària i equips agraris
 | | 77.32 | Lloguer de maquinària i equips per a la construcció i enginyeria civil
 | | 77.33 | Lloguer de maquinària i equips d’oficina, inclosos els ordinadors
 | | 77.34 | Lloguer de mitjans de navegació
 | | 77.35 | Lloguer de mitjans de transport aeri
 | | 77.39 | Lloguer d’altres tipus de maquinària, equips i béns tangibles ncaa
 | 77.4 | | Arrendament de la propietat intel·lectual i productes similars, excepte treballs protegits pels drets d’autor
 | | 77.40 | Arrendament de la propietat intel·lectual i productes similars, excepte treballs protegits pels drets d’autor
78 | | | Activitats relacionades amb l’ocupació
 | 78.1 | | Activitats de les agències de col·locació
 | | 78.10 | Activitats de les agències de col·locació
 | 78.2 | | Activitats de les empreses de treball temporal
 | | 78.20 | Activitats de les empreses de treball temporal
 | 78.3 | | Altres tipus de provisió de recursos humans
 | | 78.30 | Altres tipus de provisió de recursos humans
79 | | | Activitats de les agències de viatges, operadors turístics i altres serveis de reserves i activitats que s’hi relacionen
 | 79.1 | | Activitats de les agències de viatges i operadors turístics
 | | 79.11 | Activitats de les agències de viatges
 | | 79.12 | Activitats dels operadors turístics
 | 79.9 | | Altres serveis de reserves i activitats que s’hi relacionen
 | | 79.90 | Altres serveis de reserves i activitats que s’hi relacionen
80 | | | Activitats de seguretat i investigació
 | 80.1 | | Activitats de seguretat privada
 | | 80.10 | Activitats de seguretat privada
 | 80.2 | | Serveis de sistemes de seguretat
 | | 80.20 | Serveis de sistemes de seguretat
 | 80.3 | | Activitats d’investigació
 | | 80.30 | Activitats d’investigació
81 | | | Serveis a edificis i activitats de jardineria
 | 81.1 | | Serveis integrals a edificis i instal·lacions
 | | 81.10 | Serveis integrals a edificis i instal·lacions
 | 81.2 | | Activitats de neteja
 | | 81.21 | Neteja general d’edificis
 | | 81.22 | Altres activitats de neteja industrial i d’edificis
 | | 81.29 | Activitats de neteja ncaa
 | 81.3 | | Activitats de jardineria
 | | 81.30 | Activitats de jardineria
82 | | | Activitats administratives d’oficina i altres activitats auxiliars a les empreses
 | 82.1 | | Activitats administratives i auxiliars d’oficina
 | | 82.11 | Serveis administratius combinats
 | | 82.19 | Activitats de reprografia, preparació de documents i altres activitats especialitzades d’oficina
 | 82.2 | | Activitats de centres d’atenció telefònica
 | | 82.20 | Activitats de centres d’atenció telefònica
 | 82.3 | | Organització de convencions i fires de mostres
 | | 82.30 | Organització de convencions i fires de mostres
 | 82.9 | | Altres activitats de suport a les empreses
 | | 82.91 | Activitats de les agències de cobrament i d’informació comercial
 | | 82.92 | Activitats d’envasament i empaquetatge
 | | 82.99 | Altres activitats de suport a les empreses ncaa
P Educació
85 | | | Educació
 | 85.1 | | Educació preprimària
 | | 85.10 | Educació preprimària
 | 85.2 | | Educació primària
 | | 85.20 | Educació primària
 | 85.3 | | Educació secundària
 | | 85.31 | Educació secundària general
 | | 85.32 | Educació secundària tècnica i professional
 | 85.4 | | Educació postsecundària
 | | 85.41 | Educació postsecundària no superior
 | | 85.43 | Educació superior universitària
 | | 85.44 | Educació superior no universitària
 | 85.5 | | Altres activitats d’educació
 | | 85.51 | Educació relacionada amb l’esport i les activitats recreatives
 | | 85.52 | Educació relacionada amb la cultura
 | | 85.53 | Activitats de les escoles de conducció i pilotatge
 | | 85.59 | Altres activitats d’educació ncaa
 | | 85.6 | Activitats auxiliars a l’educació
 | | 85.60 | Activitats auxiliars a l’educació
Q Activitats sanitàries i de serveis socials
86 | | | Activitats sanitàries
 | 86.1 | | Activitats hospitalàries
 | | 86.10 | Activitats hospitalàries
 | 86.2 | | Activitats mèdiques i odontològiques
 | | 86.21 | Activitats de medicina general
 | | 86.22 | Activitats de medicina especialitzada
 | | 86.23 | Activitats odontològiques
 | 86.9 | | Altres activitats sanitàries
 | | 86.90 | Altres activitats sanitàries
87 | | | Activitats de serveis socials amb allotjament
 | 87.1 | | Activitats de serveis socials amb allotjament i cures d’infermeria
 | | 87.10 | Activitats de serveis socials amb allotjament i cures d’infermeria
 | 87.2 | | Activitats de serveis socials amb allotjament a persones amb discapacitat psíquica, malalts mentals i drogodependents
 | | 87.20 | Activitats de serveis socials amb allotjament a persones amb discapacitat psíquica, malalts mentals i drogodependents
 | 87.3 | | Activitats de serveis socials amb allotjament a persones grans i persones amb discapacitat física
 | | 87.30 | Activitats de serveis socials amb allotjament a persones grans i persones amb discapacitat física
 | 87.9 | | Altres tipus d’activitats de serveis socials amb allotjament
 | | 87.90 | Altres tipus d’activitats de serveis socials amb allotjament
88 | | | Activitats de serveis socials sense allotjament
 | 88.1 | | Activitats de serveis socials sense allotjament a persones grans i persones amb discapacitat
 | | 88.10 | Activitats de serveis socials sense allotjament a persones grans i persones amb discapacitat
 | 88.9 | | Altres tipus d’activitats de serveis socials sense allotjament
 | | 88.91 | Activitats d’atenció diürna d’infants
 | | 88.99 | Altres tipus d’activitats de serveis socials sense allotjament ncaa
R Activitats artístiques, recreatives i d’entreteniment
90 | | | Activitats de creació, artístiques i d’espectacles
 | 90.0 | | Activitats de creació, artístiques i d’espectacles
 | | 90.01 | Arts escèniques
 | | 90.02 | Activitats auxiliars a les arts escèniques
 | | 90.03 | Creació artística i literària
 | | 90.04 | Gestió de sales d’espectacles
91 | | | Activitats de biblioteques, arxius, museus i altres activitats culturals
 | 91.0 | | Activitats de biblioteques, arxius, museus i altres activitats culturals
 | | 91.01 | Activitats de biblioteques i arxius
 | | 91.02 | Activitats de museus
 | | 91.03 | Gestió de llocs i edificis històrics
 | 91.04 | Activitats de jardins botànics, parcs zoològics i reserves naturals
92 | | | Activitats relacionades amb els jocs d’atzar i les apostes
 | 92.0 | | Activitats relacionades amb els jocs d’atzar i les apostes
 | | 92.00 | Activitats relacionades amb els jocs d’atzar i les apostes
93 | | | Activitats esportives, recreatives i d’entreteniment
 | 93.1 | | Activitats esportives
 | | 93.11 | Gestió d’instal·lacions esportives
 | | 93.12 | Activitats de clubs esportius
 | | 93.13 | Activitats dels gimnasos
 | | 93.19 | Altres activitats relacionades amb l’esport
 | 93.2 | | Altres activitats recreatives i d’entreteniment
 | | 93.21 | Activitats de parcs d’atraccions i parcs temàtics
 | | 93.29 | Altres activitats recreatives i d’entreteniment ncaa
S Altres serveis
94 | | | Activitats associatives
 | 94.1 | | Activitats d’organitzacions empresarials, professionals i patronals
 | | 94.11 | Activitats d’organitzacions empresarials i patronals
 | | 94.12 | Activitats d’organitzacions professionals
 | 94.2 | | Activitats sindicals
 | | 94.20 | Activitats sindicals
 | 94.9 | | Activitats associatives diverses
 | | 94.91 | Activitats d’organitzacions religioses
 | | 94.92 | Activitats d’organitzacions polítiques
 | | 94.99 | Altres activitats associatives ncaa
95 | | | Reparació d’ordinadors, d’efectes personals i efectes domèstics
 | 95.1 | | Reparació d’ordinadors i equips de comunicació
 | | 95.11 | Reparació d’ordinadors i equips perifèrics
 | | 95.12 | Reparació d’equips de comunicació
 | | 95.2 | Reparació d’efectes personals i efectes domèstics
 | | 95.21 | Reparació d’aparells electrònics d’àudio i vídeo d’ús domèstic
 | | 95.22 | Reparació d’aparells electrodomèstics i d’estris per a la llar i el jardí
 | | 95.23 | Reparació de calçat i altres articles de cuir
 | | 95.24 | Reparació de mobles i articles de parament de la llar
 | | 95.25 | Reparació de rellotges i joieria
 | | 95.29 | Reparació d’efectes personals i articles d’ús domèstic ncaa
96 | | | Altres activitats de serveis personals
 | 96.0 | | Altres activitats de serveis personals
 | | 96.01 | Rentatge i neteja de peces tèxtils i de pell
 | | 96.02 | Perruqueria i altres tractaments de bellesa
 | | 96.03 | Pompes fúnebres i activitats que s’hi relacionen
 | | 96.04 | Activitats de manteniment físic
 | | 96.09 | Altres activitats de serveis personals ncaa
