segment	inici_s	final_s	cluster_acustic	distancia_centre	text_asr	estat
70	202.960	207.080	0	2.4653	Portem anys i anys intentant lluitar per entrar en aquests 30 millors,	agrupació acústica provisional; identitat pendent
71	207.160	211.200	0	4.2924	i, evidentment, si et guardes una mica és impossible,	agrupació acústica provisional; identitat pendent
72	211.280	214.280	0	3.0207	però sí que és que hi ha una mica més intel·ligent	agrupació acústica provisional; identitat pendent
73	214.360	216.600	0	2.6206	del que estava, potser, fent anteriorment,	agrupació acústica provisional; identitat pendent
74	216.680	219.480	1	2.9696	que buscava reventar tots els parcials,	agrupació acústica provisional; identitat pendent
75	219.560	223.000	0	1.3964	i això em va servir a tenir una bona oportunitat de cara a la segona mànega,	agrupació acústica provisional; identitat pendent
76	223.080	225.480	0	2.9109	que vaig sortir tercer amb la pista neta,	agrupació acústica provisional; identitat pendent
77	225.560	227.560	1	3.0703	i ja vaig poder exprimir el meu màxim esquí,	agrupació acústica provisional; identitat pendent
78	227.640	230.400	0	2.4830	i, com sabeu, una grandíssima màniga,	agrupació acústica provisional; identitat pendent
79	230.480	233.800	0	3.1207	guanyant a tothom amb clar avantatge,	agrupació acústica provisional; identitat pendent
80	233.880	238.200	0	1.6641	remontant moltes posicions i demostrant tot el treball	agrupació acústica provisional; identitat pendent
81	238.280	240.640	1	2.4859	i tot l'esquí que havia fet durant els mesos anteriors	agrupació acústica provisional; identitat pendent
82	240.720	242.920	1	2.3810	que no havia pogut demostrar a Sol de Ney Abaldizer,	agrupació acústica provisional; identitat pendent
83	243.000	244.680	1	5.9174	pues fer-ho aquí al Tava Díaz.	agrupació acústica provisional; identitat pendent
84	244.760	248.320	0	3.0058	I això et va permetre també estar a una bona estona xupant càmera,	agrupació acústica provisional; identitat pendent
85	248.400	251.800	0	3.9473	que, al final, és un objectiu de país, de federació,	agrupació acústica provisional; identitat pendent
86	251.880	253.480	1	1.8069	i de Joan Verdul, sense dubte,	agrupació acústica provisional; identitat pendent
87	253.560	258.560	0	3.7186	amb aquell seient que està exclusiu als millors classificats.	agrupació acústica provisional; identitat pendent
88	258.640	260.640	1	2.4679	Quant d'estona vas estar?	agrupació acústica provisional; identitat pendent
89	260.720	263.320	0	2.2441	Una bona estona, a veure. Vaig remontar 16 posicions	agrupació acústica provisional; identitat pendent
90	263.400	267.320	0	3.0693	i més o menys són dos minuts per corredor, doncs mitja oreta.	agrupació acústica provisional; identitat pendent
91	267.400	269.400	0	1.5533	És un moment molt especial.	agrupació acústica provisional; identitat pendent
92	269.480	271.480	0	2.1747	Sobretot amb la mànega que havia fet,	agrupació acústica provisional; identitat pendent
93	271.560	273.560	0	2.8392	veure grans noms que anaven baixant,	agrupació acústica provisional; identitat pendent
94	273.640	275.640	1	2.5454	que em portaven bastant de diferència.	agrupació acústica provisional; identitat pendent
95	275.720	277.720	1	2.7882	Tot i així sent anar endarrere, brutal.	agrupació acústica provisional; identitat pendent
96	277.800	281.440	0	2.9415	I, a més, com deies tu, vas guanyar aquella mànega,	agrupació acústica provisional; identitat pendent
97	281.520	284.400	0	2.5920	Però això potser no s'ha dit tant,	agrupació acústica provisional; identitat pendent
98	284.480	286.880	1	1.7527	sí que s'ha comentat que va ser el millor resultat	agrupació acústica provisional; identitat pendent
99	286.960	288.960	1	2.4435	de l'Història de l'Esquí endurant Copa del Món,	agrupació acústica provisional; identitat pendent
100	289.040	291.040	1	2.5631	aquesta dutzena posició, amb la que vas a acabar.	agrupació acústica provisional; identitat pendent
101	291.120	296.000	0	2.7343	Però també va ser la teva millor puntuació, fins que havies aconseguit mai.	agrupació acústica provisional; identitat pendent
102	296.080	299.160	1	2.6598	Sí, sí, correcte. Vaig puntuar 9 punts fins.	agrupació acústica provisional; identitat pendent
103	299.240	302.040	0	2.9701	Això ara ja no ens hi fixem tant,	agrupació acústica provisional; identitat pendent
104	302.120	305.120	1	1.0554	perquè el tenir punts Copa del Món és el que marca el dorsal,	agrupació acústica provisional; identitat pendent
105	305.200	306.800	0	2.1443	però també està bé,	agrupació acústica provisional; identitat pendent
106	306.880	309.200	1	2.8467	ja que en el cas que hem fèssim fora dels 30 millors,	agrupació acústica provisional; identitat pendent
107	309.280	312.080	1	1.8827	A partir d'aquí sí que em tornaria a regir per els puntsfis.	agrupació acústica provisional; identitat pendent
108	312.160	315.200	0	2.3242	Per tant, una puntuació important era...	agrupació acústica provisional; identitat pendent
109	315.280	318.880	0	2.2031	molt exigent, el traçat, molt llarg, ho vinc cada mànega...	agrupació acústica provisional; identitat pendent
110	318.960	323.920	0	2.3803	I, uau, una bona guerra i una pista mítica com és altafadia,	agrupació acústica provisional; identitat pendent
111	324.000	327.400	0	3.2429	doncs poder fer una carrera així allà és increïble.	agrupació acústica provisional; identitat pendent
112	327.480	330.400	0	2.7969	M'has resportat una mica la pregunta que també et volia fer.	agrupació acústica provisional; identitat pendent
113	330.480	332.680	0	2.3726	Et serveixen d'alguna cosa, ara que ets nou,	agrupació acústica provisional; identitat pendent
114	332.760	334.760	1	2.6042	amb 50 puntsfis que vas aconseguir,	agrupació acústica provisional; identitat pendent
115	334.840	337.160	0	2.4342	perquè ara et regeixes per la one-top-start list,	agrupació acústica provisional; identitat pendent
116	337.240	341.520	0	3.0784	I imagino que els mundial també estaràs amb aquesta llista.	agrupació acústica provisional; identitat pendent
117	341.600	343.600	1	2.8530	Et serveix d'alguna cosa o no?	agrupació acústica provisional; identitat pendent
118	343.680	347.800	0	2.0261	Ara mateix no, només serviria en el cas de que em treguessin fora dels 30.	agrupació acústica provisional; identitat pendent
119	347.880	351.080	1	1.7561	Perquè llavors, a partir d'allà, un altre cop seria ranking per punts fills.	agrupació acústica provisional; identitat pendent
120	351.160	354.080	1	3.0299	I llavors, doncs, bueno, també està bé, és com un seguro, no?	agrupació acústica provisional; identitat pendent
121	354.160	357.880	0	3.4169	Diguéssim, si et fan fora, no saps que no sortiràs a més 60 i pico com sortia abans,	agrupació acústica provisional; identitat pendent
122	357.960	359.960	1	2.2165	sinó que tindràs el 30 a poc.	agrupació acústica provisional; identitat pendent
123	360.040	363.320	1	3.2573	Ara que ja ho has dit tu, te l'anava a fer més tard aquesta pregunta,	agrupació acústica provisional; identitat pendent
124	363.400	365.560	0	2.4634	però te la llenço ja.	agrupació acústica provisional; identitat pendent
125	365.640	370.520	0	2.9331	Tornes a estar dintre de l'1 que va estar lista entre els 30.	agrupació acústica provisional; identitat pendent
126	370.600	373.320	1	2.6457	De fet, segurament sorties, em poso que el 25 no està tot el 26,	agrupació acústica provisional; identitat pendent
127	373.400	375.240	1	1.7976	però es poso que el 25, no?	agrupació acústica provisional; identitat pendent
128	375.320	378.000	0	4.2633	Això sí que és clau, no?	agrupació acústica provisional; identitat pendent
129	378.080	381.480	0	1.5561	Completament, i ens hem donat content, encara més,	agrupació acústica provisional; identitat pendent
130	381.560	386.000	0	3.7835	aquests dies el dorsal és clau per...	agrupació acústica provisional; identitat pendent
131	387.080	389.720	0	2.2148	al nivell on volem anar els objectius els que apuntem,	agrupació acústica provisional; identitat pendent
132	389.800	393.080	0	4.3383	necessitem seguir construint, seguir construint dorsal,	agrupació acústica provisional; identitat pendent
133	393.160	396.000	1	1.6681	pas a pas, és un factor bastant important,	agrupació acústica provisional; identitat pendent
134	396.080	398.200	1	3.7813	les pistes estan degradant molt	agrupació acústica provisional; identitat pendent
135	398.280	400.640	1	2.6742	i el fet de sortir amb un dos sal més alt	agrupació acústica provisional; identitat pendent
136	400.720	404.840	0	3.1055	que us et condiciona, òbviament, a la teva carrera i, llavors...	agrupació acústica provisional; identitat pendent
137	405.920	409.960	0	4.8713	Sabem i som conscients i jo confio moltíssim en mi	agrupació acústica provisional; identitat pendent
138	410.040	413.240	1	3.7898	i sé que puc, és que hi ha un nivell altíssim,	agrupació acústica provisional; identitat pendent
139	413.320	415.920	1	2.8296	però també hem de ser realistes amb el procés	agrupació acústica provisional; identitat pendent
140	416.000	419.600	0	2.1396	i seguir lluitant per aquest dos sal, anar pujant dos sal	agrupació acústica provisional; identitat pendent
141	419.680	423.360	0	3.7032	i tenir més facilitats, no sempre anar a contracorrent,	agrupació acústica provisional; identitat pendent
142	423.440	426.240	1	2.1630	tenir més facilitats per el dia que tinc una bona oportunitat,	agrupació acústica provisional; identitat pendent
143	426.320	428.320	0	1.5194	atacar i mossegar fort.	agrupació acústica provisional; identitat pendent
144	428.400	432.280	0	3.3023	Perquè, justament, m'havia sortit d'aquest top 30,	agrupació acústica provisional; identitat pendent
145	432.360	435.080	0	1.9355	i, clar, és una anyomica de construcció, suposo,	agrupació acústica provisional; identitat pendent
146	435.160	437.960	1	2.6098	perquè jo penso, personalment,	agrupació acústica provisional; identitat pendent
147	438.040	440.280	1	2.3429	que potser ara tens un nivell per estar en un top 10,	agrupació acústica provisional; identitat pendent
148	440.360	443.200	0	2.3749	però, clar, s'ha d'anar construint per poder arribar allà	agrupació acústica provisional; identitat pendent
149	443.280	445.760	1	3.8963	i tenir la estratègia correcta per poder arribar-hi, no?	agrupació acústica provisional; identitat pendent
150	445.840	448.280	1	2.2167	Bueno, mira aquí, t'anava a dir entre tu i jo,	agrupació acústica provisional; identitat pendent
151	448.360	450.200	0	3.0353	Però no, òbviament no és la idea jo.	agrupació acústica provisional; identitat pendent
152	450.280	453.360	1	2.4864	Aquest any el tinc una mica condicionat, entre cometes,	agrupació acústica provisional; identitat pendent
153	453.440	455.760	1	4.1204	per el gran objectiu que tenim aquí a casa.	agrupació acústica provisional; identitat pendent
154	455.840	457.880	0	4.8106	Perquè, de ser sumar punts,	agrupació acústica provisional; identitat pendent
155	457.960	461.360	0	2.9313	vull estar entre els 25 millors, a final de temporada,	agrupació acústica provisional; identitat pendent
156	461.440	463.960	0	1.9168	i això m'obliga, que cada carrera ha de ser regular,	agrupació acústica provisional; identitat pendent
157	464.040	468.800	0	2.0444	a intentar sumar, i això potser, de altra manera, potser,	agrupació acústica provisional; identitat pendent
158	468.880	471.080	1	3.1321	si no tingués aquest objectiu aquest any,	agrupació acústica provisional; identitat pendent
159	471.160	475.440	0	1.8958	potser aniria més a per totes,	agrupació acústica provisional; identitat pendent
160	475.520	478.680	1	3.1992	realment buscar i exprimir el meu màxim esquí,	agrupació acústica provisional; identitat pendent
161	478.760	481.440	0	2.9439	però això va lligat de la mà amb més risc,	agrupació acústica provisional; identitat pendent
162	481.520	484.320	0	3.2688	amb més sortides de pista o més caigudes.	agrupació acústica provisional; identitat pendent
163	484.400	486.600	1	3.0807	Llavors, com que no m'ho puc permetre ara mateix,	agrupació acústica provisional; identitat pendent
164	486.680	491.760	0	2.1120	doncs vull esquiar més intel·ligent, eh, guarda, això.	agrupació acústica provisional; identitat pendent
165	491.840	494.560	0	1.8977	Això, estem parlant aquí, tu i jo, sentats on s'ho fa,	agrupació acústica provisional; identitat pendent
166	494.640	497.720	0	2.5397	però després et tires allà a la pista, amb un minut ho has de donar tot,	agrupació acústica provisional; identitat pendent
167	497.800	500.200	1	3.6176	no pots treure la calculadora i fer els números,	agrupació acústica provisional; identitat pendent
168	500.280	502.760	1	4.4270	però sí que ser, en certs moments, una miqueta més...	agrupació acústica provisional; identitat pendent
169	502.840	507.680	0	2.2960	precabut, amb línia o el que sigui, per tenir mena aquests punts	agrupació acústica provisional; identitat pendent
170	507.760	509.760	1	2.3380	i seguir construint tota la temporada.	agrupació acústica provisional; identitat pendent
171	509.840	513.280	0	2.9455	Punts que són ara mateix a 44, que et situen en el lloc 19,	agrupació acústica provisional; identitat pendent
172	513.360	518.600	0	3.2395	l'any passat, el XXII, tenia 40 punts.	agrupació acústica provisional; identitat pendent
173	518.680	521.080	0	3.1456	A veure, això és molt relatiu, eh?	agrupació acústica provisional; identitat pendent
174	521.160	523.440	0	2.7302	Però al final de temporada, vull dir.	agrupació acústica provisional; identitat pendent
175	523.520	526.240	1	3.3960	Et dona una mica la idea d'on pot estar el tall.	agrupació acústica provisional; identitat pendent
176	526.320	528.480	1	1.2230	Igualment varia bastant de segons l'any,	agrupació acústica provisional; identitat pendent
177	528.560	531.920	1	3.5313	però jo el que vull fer és un esquí solit,	agrupació acústica provisional; identitat pendent
178	532.000	535.840	1	2.7344	seguir consolidant-me en la Govalmón, que és el màxim objectiu,	agrupació acústica provisional; identitat pendent
179	535.920	538.720	1	0.7946	i, a partir d'aquí, guanyar d'orsal	agrupació acústica provisional; identitat pendent
180	538.800	542.320	0	3.2771	i les copes del món, les finals, vindran de la mà.	agrupació acústica provisional; identitat pendent
181	542.400	544.720	0	3.8971	Però el que volia dir és que, d'alguna manera,	agrupació acústica provisional; identitat pendent
182	544.800	546.480	1	3.1246	això et dona una tranquil·litat, no?	agrupació acústica provisional; identitat pendent
183	546.560	550.080	0	3.0354	Fins i tot aquests 44 punts podria ser que t'entressin dins d'aquestes finals,	agrupació acústica provisional; identitat pendent
184	550.160	551.920	0	3.0430	jo estic segur que em vindran més,	agrupació acústica provisional; identitat pendent
185	552.000	555.200	0	4.0024	però et dona aquesta tranquil·litat i et fa treballar millor, potser, o no?	agrupació acústica provisional; identitat pendent
186	555.280	556.480	1	3.4821	Sí, sí, òbviament.	agrupació acústica provisional; identitat pendent
187	556.560	560.360	0	3.7461	les dues carrers de dalt a dia, amb l'inici d'emporada una mica complicat.	agrupació acústica provisional; identitat pendent
188	560.440	563.800	0	3.5403	Tinc una treta un pes de sobre, no només perquè he vist	agrupació acústica provisional; identitat pendent
189	563.880	565.880	0	3.5105	que sóc capaç d'estar a un gran dissing nivell,	agrupació acústica provisional; identitat pendent
190	565.960	568.160	1	1.6256	sinó també perquè ja tenim una base de punts important	agrupació acústica provisional; identitat pendent
191	568.240	572.040	0	1.4310	i ara, per poc que sumem, doncs la cosa hauria d'anar bé.	agrupació acústica provisional; identitat pendent
192	572.120	575.280	0	2.6091	Tot i que això ja et dic mai sessat, podem passar mil coses,	agrupació acústica provisional; identitat pendent
193	575.360	579.840	0	2.5774	però nosaltres ens entrem a entrenar com el millor que podem,	agrupació acústica provisional; identitat pendent
194	579.920	583.800	0	2.1536	el dia de carrera està al màxim concentrat per donar el nostre millor esquí,	agrupació acústica provisional; identitat pendent
195	583.880	585.880	1	2.4298	i a partir d'aquí la resta vindrà sol.	agrupació acústica provisional; identitat pendent
196	585.960	590.080	0	1.4396	Adelboden, si no recordo malament és on l'ha impassat avies d'anar	agrupació acústica provisional; identitat pendent
197	590.160	592.160	1	4.0621	i no has poder pel tema del Covid, no?	agrupació acústica provisional; identitat pendent
198	592.240	596.080	0	1.4905	Comences la pista, digues-nos una mica què esperes.	agrupació acústica provisional; identitat pendent
199	596.160	601.120	1	3.8582	Conec la pista, pista molt guapa i molt exigena de vegada.	agrupació acústica provisional; identitat pendent
200	601.200	605.080	0	2.3961	Surto amb aquest dorsal 25, aproximadament.	agrupació acústica provisional; identitat pendent
201	605.160	608.000	1	2.9342	Venim d'un bus de confiança important.	agrupació acústica provisional; identitat pendent
202	608.080	611.680	0	2.7292	Estem tranquils, estem confiats, estem motivadíssims.	agrupació acústica provisional; identitat pendent
203	611.760	614.160	0	2.7323	Personalment tinc moltes ganes d'aquesta carrera,	agrupació acústica provisional; identitat pendent
204	614.240	617.880	0	3.1301	perquè he dit una mica, avui seguir en aquest esquí tan sòlid,	agrupació acústica provisional; identitat pendent
205	617.960	621.080	0	2.7257	no cada cara podrà ser un 12è, jo, evidentment,	agrupació acústica provisional; identitat pendent
206	621.160	624.400	0	3.7581	però seguir sòlid en aquests 30,	agrupació acústica provisional; identitat pendent
207	624.480	628.080	0	3.0831	i tenir oportunitats de quan la pista estigui un pelet millor,	agrupació acústica provisional; identitat pendent
208	628.160	630.680	1	2.8615	doncs poder exprimir-me al màxim i anar a buscar punts.	agrupació acústica provisional; identitat pendent
209	630.760	632.920	0	3.5787	Tornarà a haver-hi club de fans per allà o no?	agrupació acústica provisional; identitat pendent
210	633.000	635.440	0	2.0445	Sí, segurament, segurament, sí, sí, sí.	agrupació acústica provisional; identitat pendent
211	635.520	639.520	0	3.0733	No, està bé, perquè allà, si no, tot és austria, suïssa...	agrupació acústica provisional; identitat pendent
212	639.600	644.320	0	2.5096	i que desbarrereixi una mica de països com el nostre,	agrupació acústica provisional; identitat pendent
213	644.400	646.840	1	2.5059	entre les grans nacions de l'esquí, d'on està molt bé?	agrupació acústica provisional; identitat pendent
214	646.920	649.920	0	3.5035	La televisió d'Andorra s'ha recuperat una mica	agrupació acústica provisional; identitat pendent
215	650.000	652.960	1	4.1537	el que passava amb el Lluís Marín, que havia en les copes del món,	agrupació acústica provisional; identitat pendent
216	653.040	655.360	0	2.3504	i veies que la gent s'ajuntava sota la televisió.	agrupació acústica provisional; identitat pendent
217	655.440	659.160	1	4.4038	Ara, tot em sap un del carro, ara que fas aquests resultats brutals,	agrupació acústica provisional; identitat pendent
218	659.240	665.520	0	3.9471	la gent s'ajuntava sota la televisió per viure en directe les teves màneques.	agrupació acústica provisional; identitat pendent
219	665.600	667.480	1	2.7530	Imagino que això passa tot el país, clar.	agrupació acústica provisional; identitat pendent
220	667.560	671.400	0	3.0337	no he notat molt suport de moltíssima gent,	agrupació acústica provisional; identitat pendent
221	671.480	673.800	0	3.1117	en general, que seguien l'estiu anteriorment,	agrupació acústica provisional; identitat pendent
222	673.880	675.880	0	2.1016	o que l'han començat a seguir ara.	agrupació acústica provisional; identitat pendent
223	675.960	679.120	0	2.1861	I jo em sento la diferència, una mica, en el meu cas,	agrupació acústica provisional; identitat pendent
224	679.200	684.080	1	2.3562	en el nostre cas d'Andorra amb la diferència d'altres corredors,	agrupació acústica provisional; identitat pendent
225	684.160	687.360	0	2.1757	és que tenen una història com Suïssa, Òstria,	agrupació acústica provisional; identitat pendent
226	687.440	691.800	0	1.5216	de constantment campions, grans esquíadors,	agrupació acústica provisional; identitat pendent
227	691.880	695.000	1	3.2692	i nosaltres és com un corredor sol,	agrupació acústica provisional; identitat pendent
228	695.080	698.560	1	2.2479	I em sento com molt part de tot el suport,	agrupació acústica provisional; identitat pendent
229	698.640	701.240	1	3.3287	sento el suport, represento el meu país,	agrupació acústica provisional; identitat pendent
230	701.320	703.320	1	3.9423	i això encara em dona un puj extra.	agrupació acústica provisional; identitat pendent
231	703.400	705.920	0	2.7020	I un puj extra també t'ha donat el tema del YouTube.	agrupació acústica provisional; identitat pendent
232	706.000	708.000	0	3.6677	Ara ets YouTuber, no sé si...	agrupació acústica provisional; identitat pendent
233	708.080	710.080	0	3.4494	Bé, bé, poc a poc, eh?	agrupació acústica provisional; identitat pendent
234	710.160	712.520	1	3.0992	Imagino que t'ajuda un pli, una mica...	agrupació acústica provisional; identitat pendent
235	712.600	715.200	1	2.2937	A veure, tu ho he destacat jo moltes vegades,	agrupació acústica provisional; identitat pendent
236	715.280	717.280	1	2.6259	que sembla una vida fàcil la vostra,	agrupació acústica provisional; identitat pendent
237	717.360	721.080	1	1.9622	però, clar, no tens la vida d'algú de 20 anys normal,	agrupació acústica provisional; identitat pendent
238	721.160	723.360	1	2.8918	que pot estar amb els seus amics quan acaba de treballar.	agrupació acústica provisional; identitat pendent
239	723.440	726.480	0	2.9522	Imagino que t'omple aquests espais buits i, d'alguna manera, els profit.	agrupació acústica provisional; identitat pendent
240	726.560	730.120	0	2.4896	Sí, la idea del YouTube era, justament això,	agrupació acústica provisional; identitat pendent
241	730.200	733.760	1	2.7606	intentar mostrar tot el treball que hi ha darrere,	agrupació acústica provisional; identitat pendent
242	733.840	738.160	0	2.5008	perquè, al final, només es veuen quatre imatges a les xarxes socials	agrupació acústica provisional; identitat pendent
243	738.240	741.920	1	3.8912	o alguna manera a la tele, però no es veu tota la preparació que hi ha darrere,	agrupació acústica provisional; identitat pendent
244	742.000	746.840	0	2.7014	no només d'esquí, sinó de preparació física, d'alimentació, de tot,	agrupació acústica provisional; identitat pendent
245	746.920	750.320	0	3.1127	tot el que abarca a una preparació de copa del món.	agrupació acústica provisional; identitat pendent
246	750.400	753.560	0	2.8611	I, bueno, estem dedicant ganes, energia,	agrupació acústica provisional; identitat pendent
